scenario,method,method_type,seed_index,seed_value,full_front_size,matched_output_cardinality,matched_single_hv_analytic_ref1p2,compromise_max_score,compromise_sum_tiebreak,objective_cost,objective_negative_reliability,objective_negative_renewable,objective_risk,objective_negative_quality,portfolio_size,selected_candidate_ids,selected_set_sha256
benchmark_portfolio_optimization,TRACE-MOEA,shared_custom_moea,20,260969,39,1,0.0151711515,0.9832791568,3.1254659299,1110.2799803970,-5.6093840682,-183.9714349053,0.1978499327,-0.7685714286,14,rts-zone-12.0-flexible-renewable-support;rts-zone-13.0-flexible-renewable-support;rts-zone-15.0-flexible-renewable-support;rts-zone-16.0-flexible-renewable-support;rts-zone-22.0-flexible-renewable-support;rts-zone-24.0-flexible-renewable-support;rts-zone-25.0-flexible-renewable-support;rts-zone-26.0-flexible-renewable-support;rts-zone-31.0-reliability-automation;rts-zone-31.0-flexible-renewable-support;rts-zone-32.0-flexible-renewable-support;rts-zone-33.0-flexible-renewable-support;rts-zone-36.0-flexible-renewable-support;simbench-LV5.211-feeder-reinforcement,9d3bcf675159fd7033bf3cf60d38e1cf4014c20d0447f2ad6825b03c5f51fc92
benchmark_portfolio_optimization,TRACE-MOEA,shared_custom_moea,21,268888,38,1,0.0255044111,0.9876745336,2.9563762814,895.9819803970,-5.0027174016,-135.6112075368,0.2048271871,-0.7700000000,11,rts-zone-11.0-flexible-renewable-support;rts-zone-12.0-flexible-renewable-support;rts-zone-15.0-flexible-renewable-support;rts-zone-17.0-transmission-reinforcement;rts-zone-21.0-flexible-renewable-support;rts-zone-22.0-reliability-automation;rts-zone-22.0-flexible-renewable-support;rts-zone-26.0-flexible-renewable-support;rts-zone-32.0-flexible-renewable-support;rts-zone-36.0-flexible-renewable-support;simbench-LV5.201-feeder-reinforcement,3d95d3166350292372bc0886fd523f7a4e0f180d672023193e8221a5474600c0
benchmark_portfolio_optimization,TRACE-MOEA,shared_custom_moea,22,276807,39,1,0.0193281370,0.9860283654,3.0421796497,989.4140000000,-2.4849948240,-153.7232084211,0.1891000000,-0.7658333333,12,rts-zone-12.0-transmission-reinforcement;rts-zone-12.0-flexible-renewable-support;rts-zone-15.0-flexible-renewable-support;rts-zone-16.0-flexible-renewable-support;rts-zone-17.0-flexible-renewable-support;rts-zone-21.0-flexible-renewable-support;rts-zone-22.0-reliability-automation;rts-zone-24.0-flexible-renewable-support;rts-zone-26.0-flexible-renewable-support;rts-zone-32.0-flexible-renewable-support;rts-zone-34.0-flexible-renewable-support;rts-zone-36.0-flexible-renewable-support,8c2c632a57d40bd0cc0347897e8d1e58672e040482bbd9c57c61fbb7565a686a
benchmark_portfolio_optimization,TRACE-MOEA,shared_custom_moea,23,284726,39,1,0.0129352894,0.9818090864,3.1617237279,1128.0920000000,-2.6677777778,-200.1459157895,0.1884000000,-0.7600000000,14,rts-zone-11.0-flexible-renewable-support;rts-zone-12.0-flexible-renewable-support;rts-zone-13.0-flexible-renewable-support;rts-zone-14.0-flexible-renewable-support;rts-zone-15.0-flexible-renewable-support;rts-zone-16.0-flexible-renewable-support;rts-zone-22.0-flexible-renewable-support;rts-zone-23.0-flexible-renewable-support;rts-zone-24.0-flexible-renewable-support;rts-zone-26.0-flexible-renewable-support;rts-zone-27.0-flexible-renewable-support;rts-zone-31.0-flexible-renewable-support;rts-zone-35.0-flexible-renewable-support;rts-zone-36.0-flexible-renewable-support,bdfad357740c78b2ff90f0908db3895239ffbf7ac3e4fe24083cb73c5f0496ae
benchmark_portfolio_optimization,TRACE-MOEA,shared_custom_moea,24,292645,39,1,0.0194967878,0.9876526396,3.0706126756,1045.0959607940,-8.0921066458,-135.8520971789,0.2155537012,-0.7715384615,13,rts-zone-12.0-flexible-renewable-support;rts-zone-16.0-flexible-renewable-support;rts-zone-17.0-flexible-renewable-support;rts-zone-21.0-flexible-renewable-support;rts-zone-22.0-transmission-reinforcement;rts-zone-22.0-flexible-renewable-support;rts-zone-25.0-flexible-renewable-support;rts-zone-31.0-flexible-renewable-support;rts-zone-32.0-flexible-renewable-support;rts-zone-34.0-flexible-renewable-support;rts-zone-37.0-reliability-automation;simbench-LV5.201-feeder-reinforcement;simbench-LV5.205-feeder-reinforcement,f6108ee05c1cb906d6027dafed39eeeda30809b77e14ad42dd34776d518b0195
benchmark_portfolio_optimization,TRACE-MOEA,shared_custom_moea,25,300564,38,1,0.0150481097,0.9853916553,3.1028534861,1095.6200000000,-3.3677622497,-160.7286252632,0.1798285714,-0.7771428571,14,rts-zone-12.0-flexible-renewable-support;rts-zone-13.0-flexible-renewable-support;rts-zone-16.0-reliability-automation;rts-zone-17.0-flexible-renewable-support;rts-zone-21.0-reliability-automation;rts-zone-23.0-reliability-automation;rts-zone-23.0-flexible-renewable-support;rts-zone-24.0-flexible-renewable-support;rts-zone-25.0-flexible-renewable-support;rts-zone-26.0-flexible-renewable-support;rts-zone-31.0-flexible-renewable-support;rts-zone-32.0-flexible-renewable-support;rts-zone-33.0-flexible-renewable-support;rts-zone-36.0-flexible-renewable-support,7049bb14742437721d5a2a87efb6c61a3bfc76445c4a7d069ce8530b5ca93c76
benchmark_portfolio_optimization,TRACE-MOEA,shared_custom_moea,26,308483,39,1,0.0138906856,0.9854115095,3.1496826759,1130.0719803970,-5.5743840682,-160.5101780632,0.2013070755,-0.7678571429,14,rts-zone-11.0-flexible-renewable-support;rts-zone-12.0-flexible-renewable-support;rts-zone-16.0-flexible-renewable-support;rts-zone-17.0-transmission-reinforcement;rts-zone-17.0-flexible-renewable-support;rts-zone-21.0-flexible-renewable-support;rts-zone-22.0-flexible-renewable-support;rts-zone-24.0-flexible-renewable-support;rts-zone-26.0-reliability-automation;rts-zone-27.0-flexible-renewable-support;rts-zone-35.0-flexible-renewable-support;rts-zone-36.0-flexible-renewable-support;rts-zone-37.0-flexible-renewable-support;simbench-LV5.206-feeder-reinforcement,683ea6320182b3260d02f6795d7750a7dcf2e45c9f15a62211779195c8a93fd8
benchmark_portfolio_optimization,TRACE-MOEA,shared_custom_moea,27,316402,39,1,0.0150560366,0.9834650372,3.1275307747,1078.4820000000,-2.4422222222,-181.9262821053,0.1921230769,-0.7592307692,13,rts-zone-11.0-transmission-reinforcement;rts-zone-11.0-flexible-renewable-support;rts-zone-12.0-flexible-renewable-support;rts-zone-13.0-flexible-renewable-support;rts-zone-14.0-flexible-renewable-support;rts-zone-21.0-flexible-renewable-support;rts-zone-22.0-flexible-renewable-support;rts-zone-23.0-flexible-renewable-support;rts-zone-26.0-flexible-renewable-support;rts-zone-31.0-flexible-renewable-support;rts-zone-32.0-flexible-renewable-support;rts-zone-34.0-flexible-renewable-support;rts-zone-36.0-flexible-renewable-support,e140b456fb86bdbd7ad4f381001cdd9410e2a6a6b4d8e928f3704e663cd8f8b8
benchmark_portfolio_optimization,TRACE-MOEA,shared_custom_moea,28,324321,39,1,0.0132241542,0.9846002294,3.1642754021,1113.5400000000,-2.4072222222,-169.4363052632,0.1958461538,-0.7584615385,13,rts-zone-11.0-flexible-renewable-support;rts-zone-12.0-flexible-renewable-support;rts-zone-15.0-flexible-renewable-support;rts-zone-16.0-transmission-reinforcement;rts-zone-16.0-flexible-renewable-support;rts-zone-22.0-transmission-reinforcement;rts-zone-22.0-flexible-renewable-support;rts-zone-23.0-flexible-renewable-support;rts-zone-26.0-flexible-renewable-support;rts-zone-34.0-flexible-renewable-support;rts-zone-35.0-flexible-renewable-support;rts-zone-36.0-flexible-renewable-support;rts-zone-37.0-flexible-renewable-support,0abb36606e6818dfdb976538e1bbc27bd98d74d0dc38f007d4d4145947fdf2ab
benchmark_portfolio_optimization,TRACE-MOEA,shared_custom_moea,29,332240,39,1,0.0145270324,0.9840358518,3.1190509263,1101.7380000000,-3.0358115626,-175.6458821053,0.1826857143,-0.7714285714,14,rts-zone-12.0-flexible-renewable-support;rts-zone-21.0-flexible-renewable-support;rts-zone-22.0-flexible-renewable-support;rts-zone-24.0-flexible-renewable-support;rts-zone-26.0-flexible-renewable-support;rts-zone-27.0-flexible-renewable-support;rts-zone-31.0-flexible-renewable-support;rts-zone-32.0-flexible-renewable-support;rts-zone-33.0-flexible-renewable-support;rts-zone-34.0-reliability-automation;rts-zone-34.0-flexible-renewable-support;rts-zone-35.0-flexible-renewable-support;rts-zone-36.0-flexible-renewable-support;rts-zone-37.0-reliability-automation,178674771f040e9e981b03ab51664facef7440a1e8ffbc32eebecf0df8badb26
