paper,experiment_id,comparison,opponent_role,n_per_group,mean_proposed,mean_opponent,mean_diff,u_statistic,p_value,p_holm,significant_005_holm
p5,reliability_driven_review,TRACE-MOEA vs Ablation-SingleObjective,ablation,30,0.17223179,0.09865920,0.07357258,900.00,3.01986e-11,3.01986e-10,True
p5,reliability_driven_review,TRACE-MOEA vs Ablation-SmallProjectPool,ablation,30,0.17223179,0.06355597,0.10867582,900.00,3.01986e-11,3.01986e-10,True
p5,reliability_driven_review,TRACE-MOEA vs Greedy BCR,baseline,30,0.17223179,0.03597660,0.13625519,900.00,1.21178e-12,1.69649e-11,True
p5,reliability_driven_review,TRACE-MOEA vs MOEA/D,baseline,30,0.17223179,0.00047204,0.17175975,900.00,1.21178e-12,1.69649e-11,True
p5,reliability_driven_review,TRACE-MOEA vs NSGA-II,baseline,30,0.17223179,0.17143540,0.00079639,584.00,0.0484135,0.242067,False
p5,reliability_driven_review,TRACE-MOEA vs Random Feasible,baseline,30,0.17223179,0.07263710,0.09959468,900.00,3.01986e-11,3.01986e-10,True
p5,reliability_driven_review,TRACE-MOEA vs Weighted Sum,baseline,30,0.17223179,0.02801251,0.14421928,900.00,1.21178e-12,1.69649e-11,True
p5,renewable_accommodation_review,TRACE-MOEA vs AHP-TOPSIS,baseline,30,0.18646095,0.14114755,0.04531340,900.00,1.21178e-12,1.69649e-11,True
p5,renewable_accommodation_review,TRACE-MOEA vs Ablation-NSGA2Only,ablation,30,0.18646095,0.18385013,0.00261082,751.00,8.88288e-06,4.44144e-05,True
p5,renewable_accommodation_review,TRACE-MOEA vs Ablation-NoFeasibilityRepair,ablation,30,0.18646095,0.18506764,0.00139331,651.00,0.00303395,0.00910184,True
p5,renewable_accommodation_review,TRACE-MOEA vs Ablation-NoPreferenceRanking,ablation,30,0.18646095,0.18467796,0.00178299,624.00,0.0103147,0.0206293,True
p5,renewable_accommodation_review,TRACE-MOEA vs Ablation-NoReliabilityFeatures,ablation,30,0.18646095,0.13442056,0.05204039,900.00,3.01986e-11,3.23543e-10,True
p5,renewable_accommodation_review,TRACE-MOEA vs Ablation-NoRenewableFeatures,ablation,30,0.18646095,0.17604445,0.01041650,900.00,3.01797e-11,3.23543e-10,True
p5,renewable_accommodation_review,TRACE-MOEA vs Ablation-NoScheduleRisk,ablation,30,0.18646095,0.18589801,0.00056294,489.00,0.56922,0.56922,False
p5,renewable_accommodation_review,TRACE-MOEA vs Ablation-SingleObjective,ablation,30,0.18646095,0.15289335,0.03356760,900.00,2.99346e-11,3.23543e-10,True
p5,renewable_accommodation_review,TRACE-MOEA vs Ablation-SmallProjectPool,ablation,30,0.18646095,0.07195821,0.11450274,900.00,3.01986e-11,3.23543e-10,True
p5,renewable_accommodation_review,TRACE-MOEA vs Greedy BCR,baseline,30,0.18646095,0.05986210,0.12659885,900.00,1.21178e-12,1.69649e-11,True
p5,renewable_accommodation_review,TRACE-MOEA vs MOEA/D,baseline,30,0.18646095,0.03828961,0.14817134,900.00,2.9413e-11,3.23543e-10,True
p5,renewable_accommodation_review,TRACE-MOEA vs NSGA-II,baseline,30,0.18646095,0.18504893,0.00141203,677.00,0.000811998,0.00324799,True
p5,renewable_accommodation_review,TRACE-MOEA vs Random Feasible,baseline,30,0.18646095,0.11074372,0.07571723,900.00,3.01986e-11,3.23543e-10,True
p5,renewable_accommodation_review,TRACE-MOEA vs Weighted Sum,baseline,30,0.18646095,0.05986210,0.12659885,900.00,1.21178e-12,1.69649e-11,True
p5,traceability_evaluation,TRACE-MOEA vs AHP-TOPSIS,baseline,30,0.17520823,0.13381786,0.04139037,900.00,1.21178e-12,1.69649e-11,True
p5,traceability_evaluation,TRACE-MOEA vs Ablation-NSGA2Only,ablation,30,0.17520823,0.17352968,0.00167855,646.00,0.00384807,0.0153923,True
p5,traceability_evaluation,TRACE-MOEA vs Ablation-NoFeasibilityRepair,ablation,30,0.17520823,0.17447766,0.00073056,560.00,0.10547,0.21094,False
p5,traceability_evaluation,TRACE-MOEA vs Ablation-NoPreferenceRanking,ablation,30,0.17520823,0.17442365,0.00078458,537.00,0.200949,0.21094,False
p5,traceability_evaluation,TRACE-MOEA vs Ablation-NoReliabilityFeatures,ablation,30,0.17520823,0.08780620,0.08740203,900.00,3.01986e-11,3.20305e-10,True
p5,traceability_evaluation,TRACE-MOEA vs Ablation-NoRenewableFeatures,ablation,30,0.17520823,0.16908682,0.00612141,879.00,2.37147e-10,1.42288e-09,True
p5,traceability_evaluation,TRACE-MOEA vs Ablation-NoScheduleRisk,ablation,30,0.17520823,0.17579301,-0.00058479,268.00,0.00728836,0.0218651,True
p5,traceability_evaluation,TRACE-MOEA vs Ablation-SingleObjective,ablation,30,0.17520823,0.11049113,0.06471710,900.00,3.01986e-11,3.20305e-10,True
p5,traceability_evaluation,TRACE-MOEA vs Ablation-SmallProjectPool,ablation,30,0.17520823,0.06341525,0.11179298,900.00,3.01986e-11,3.20305e-10,True
p5,traceability_evaluation,TRACE-MOEA vs Greedy BCR,baseline,30,0.17520823,0.04110810,0.13410013,900.00,1.21178e-12,1.69649e-11,True
p5,traceability_evaluation,TRACE-MOEA vs MOEA/D,baseline,30,0.17520823,0.02315792,0.15205031,900.00,2.91186e-11,3.20305e-10,True
p5,traceability_evaluation,TRACE-MOEA vs NSGA-II,baseline,30,0.17520823,0.17324636,0.00196187,702.00,0.000200581,0.00100291,True
p5,traceability_evaluation,TRACE-MOEA vs Random Feasible,baseline,30,0.17520823,0.07780967,0.09739856,900.00,3.01986e-11,3.20305e-10,True
p5,traceability_evaluation,TRACE-MOEA vs Weighted Sum,baseline,30,0.17520823,0.02801251,0.14719572,900.00,1.21178e-12,1.69649e-11,True
