paper,experiment_id,comparison,opponent,opponent_role,inference_status,n_proposed,n_opponent_effective,mean_proposed,mean_opponent,mean_difference,relative_difference_pct,rank_biserial,mean_diff_ci_low,mean_diff_ci_high,p_raw,p_holm_stochastic_family,significant_005_holm
p5,benchmark_portfolio_optimization,TRACE-MOEA vs MOEA/D,MOEA/D,baseline,inferential_stochastic,30,30,0.174415029,0.02526261866666667,0.14915241033333332,590.4075594907976,1.0,0.14693948085,0.15122330819166668,2.967274866039994e-11,3.560729839247993e-10,True
p5,benchmark_portfolio_optimization,TRACE-MOEA vs NSGA-II,NSGA-II,baseline,inferential_stochastic,30,30,0.174415029,0.172239541,0.002175488000000003,1.2630595665602762,0.37555555555555564,0.00047489220833329336,0.004247122791666629,0.012732114616306573,0.06366057308153286,False
p5,benchmark_portfolio_optimization,TRACE-MOEA vs R-NSGA-II,R-NSGA-II,baseline,inferential_stochastic,30,30,0.174415029,0.12702110566666666,0.04739392333333334,37.31184914868098,0.9977777777777779,0.04139622103333334,0.05347475351666667,3.3383888204288e-11,3.560729839247993e-10,True
p5,benchmark_portfolio_optimization,TRACE-MOEA vs Random Feasible,Random Feasible,baseline,inferential_stochastic,30,30,0.174415029,0.07538350266666666,0.09903152633333334,131.37029035548312,1.0,0.09297650985833335,0.10473138898333335,3.019859359162157e-11,3.560729839247993e-10,True
p5,benchmark_portfolio_optimization,TRACE-MOEA vs Weighted Sum,Weighted Sum,baseline,descriptive_deterministic_n1,30,1,0.174415029,0.028012510000000008,0.14640251899999998,522.6326344908041,,,,,,False
p5,budget_ranking_stability,TRACE-MOEA vs AHP-TOPSIS,AHP-TOPSIS,baseline,descriptive_deterministic_n1,30,1,0.17139149299999998,0.13248142999999998,0.038910062999999995,29.370201544473073,,,,,,False
p5,budget_ranking_stability,TRACE-MOEA vs Ablation-NSGA2Only,Ablation-NSGA2Only,ablation,inferential_stochastic,30,30,0.17139149299999998,0.16839865166666665,0.0029928413333333292,1.7772359242266722,0.43333333333333335,0.0009552648666667232,0.0054092062666666,0.004032977591300897,0.020164887956504486,True
p5,budget_ranking_stability,TRACE-MOEA vs Ablation-NoFeasibilityRepair,Ablation-NoFeasibilityRepair,ablation,inferential_stochastic,30,30,0.17139149299999998,0.1688567606666667,0.0025347323333332894,1.5011139165088005,0.38444444444444437,0.0007317226999999712,0.0045959056666667235,0.010762612595411516,0.043050450381646066,True
p5,budget_ranking_stability,TRACE-MOEA vs Ablation-NoPreferenceRanking,Ablation-NoPreferenceRanking,ablation,inferential_stochastic,30,30,0.17139149299999998,0.171535609,-0.00014411600000002744,-0.08401520876054613,0.08000000000000007,-0.0012534813166666249,0.0008868349000000634,0.5996894845123704,1.0,False
p5,budget_ranking_stability,TRACE-MOEA vs Ablation-NoReliabilityFeatures,Ablation-NoReliabilityFeatures,ablation,inferential_stochastic,30,30,0.17139149299999998,0.081655657,0.08973583599999997,109.89543075992883,1.0,0.08571395149999997,0.093447186725,3.019859359162157e-11,3.5652036147509503e-10,True
p5,budget_ranking_stability,TRACE-MOEA vs Ablation-NoRenewableFeatures,Ablation-NoRenewableFeatures,ablation,inferential_stochastic,30,30,0.17139149299999998,0.166958177,0.004433315999999965,2.6553452365498442,0.8244444444444445,0.003305563858333316,0.005500832174999983,4.310612299972247e-08,2.586367379983348e-07,True
p5,budget_ranking_stability,TRACE-MOEA vs Ablation-NoScheduleRisk,Ablation-NoScheduleRisk,ablation,inferential_stochastic,30,30,0.17139149299999998,0.17114737833333335,0.0002441146666666283,0.1426341840838452,-0.00666666666666671,-0.001395660966666646,0.002095112125000014,0.9705160513002812,1.0,False
p5,budget_ranking_stability,TRACE-MOEA vs Ablation-SingleObjective,Ablation-SingleObjective,ablation,inferential_stochastic,30,30,0.17139149299999998,0.08994557133333334,0.08144592166666664,90.55022994387633,1.0,0.07484434844999999,0.08785825736666669,3.019859359162157e-11,3.5652036147509503e-10,True
