scope,method,method_role,reconciliation,fixed_split_count,seeds_on_split,mean_hierarchy_weighted_smape,std_hierarchy_weighted_smape_across_seeds_conditional_on_split,mean_coherence_violation,mean_leaf_smape,mean_region_smape,mean_system_smape,dispersion_scope,rank_within_reconciliation
"Ausgrid exact 12-leaf/4-region/system hierarchy, lead 24 fixed split",LSTM,external baseline,Base,1,10,0.30816240,0.00546794,0.04546972,0.43766470,0.29717456,0.18964794,SD across optimization seeds conditional on one fixed temporal split,11
"Ausgrid exact 12-leaf/4-region/system hierarchy, lead 24 fixed split",DLinear,external baseline,Bottom-Up,1,10,0.28016873,0.00135025,0.00000000,0.39534499,0.27025070,0.17491049,SD across optimization seeds conditional on one fixed temporal split,1
"Ausgrid exact 12-leaf/4-region/system hierarchy, lead 24 fixed split",MLP,external baseline,Bottom-Up,1,10,0.28651569,0.00383063,0.00000000,0.40760238,0.27448501,0.17745969,SD across optimization seeds conditional on one fixed temporal split,2
"Ausgrid exact 12-leaf/4-region/system hierarchy, lead 24 fixed split",PatchTST-lite,external baseline,Bottom-Up,1,10,0.28805026,0.00880627,0.00000000,0.40856111,0.27660911,0.17898056,SD across optimization seeds conditional on one fixed temporal split,3
"Ausgrid exact 12-leaf/4-region/system hierarchy, lead 24 fixed split",TemporalOnly (smaller head),historical ablation,Bottom-Up,1,10,0.28902181,0.00642474,0.00000000,0.41247605,0.27638883,0.17820056,SD across optimization seeds conditional on one fixed temporal split,4
"Ausgrid exact 12-leaf/4-region/system hierarchy, lead 24 fixed split",CSA-LoadNet,proposed,Bottom-Up,1,10,0.29140157,0.00466335,0.00000000,0.41552186,0.27830999,0.18037285,SD across optimization seeds conditional on one fixed temporal split,5
"Ausgrid exact 12-leaf/4-region/system hierarchy, lead 24 fixed split",Euclidean weights,historical ablation,Bottom-Up,1,10,0.29154055,0.00507028,0.00000000,0.41544612,0.27859364,0.18058191,SD across optimization seeds conditional on one fixed temporal split,6
"Ausgrid exact 12-leaf/4-region/system hierarchy, lead 24 fixed split",Uniform/equal-weight neighbors,historical ablation,Bottom-Up,1,10,0.29247422,0.00758729,0.00000000,0.41646031,0.27945326,0.18150910,SD across optimization seeds conditional on one fixed temporal split,7
"Ausgrid exact 12-leaf/4-region/system hierarchy, lead 24 fixed split",Fixed distance scale,historical ablation,Bottom-Up,1,10,0.29290685,0.00807623,0.00000000,0.41700878,0.27982351,0.18188826,SD across optimization seeds conditional on one fixed temporal split,8
"Ausgrid exact 12-leaf/4-region/system hierarchy, lead 24 fixed split",No sequence-phase features,historical ablation,Bottom-Up,1,10,0.29376592,0.00974363,0.00000000,0.41703877,0.28128752,0.18297147,SD across optimization seeds conditional on one fixed temporal split,9
"Ausgrid exact 12-leaf/4-region/system hierarchy, lead 24 fixed split",TCN,external baseline,Bottom-Up,1,10,0.29430648,0.00777188,0.00000000,0.41484150,0.28234214,0.18573579,SD across optimization seeds conditional on one fixed temporal split,10
"Ausgrid exact 12-leaf/4-region/system hierarchy, lead 24 fixed split",LSTM,external baseline,Bottom-Up,1,10,0.30913580,0.00599366,0.00000000,0.43766470,0.29883360,0.19090910,SD across optimization seeds conditional on one fixed temporal split,11
"Ausgrid exact 12-leaf/4-region/system hierarchy, lead 24 fixed split",DLinear,external baseline,Top-Down,1,10,0.35971442,0.00077802,0.00000000,0.55944419,0.34455105,0.17514803,SD across optimization seeds conditional on one fixed temporal split,1
"Ausgrid exact 12-leaf/4-region/system hierarchy, lead 24 fixed split",PatchTST-lite,external baseline,Top-Down,1,10,0.36150534,0.00321804,0.00000000,0.56109958,0.34585473,0.17756169,SD across optimization seeds conditional on one fixed temporal split,2
"Ausgrid exact 12-leaf/4-region/system hierarchy, lead 24 fixed split",MLP,external baseline,Top-Down,1,10,0.36164731,0.00241392,0.00000000,0.56140792,0.34583952,0.17769449,SD across optimization seeds conditional on one fixed temporal split,3
"Ausgrid exact 12-leaf/4-region/system hierarchy, lead 24 fixed split",TemporalOnly (smaller head),historical ablation,Top-Down,1,10,0.36268216,0.00468006,0.00000000,0.56272788,0.34710218,0.17821644,SD across optimization seeds conditional on one fixed temporal split,4
"Ausgrid exact 12-leaf/4-region/system hierarchy, lead 24 fixed split",CSA-LoadNet,proposed,Top-Down,1,10,0.36280123,0.00373051,0.00000000,0.56262415,0.34725608,0.17852348,SD across optimization seeds conditional on one fixed temporal split,5
"Ausgrid exact 12-leaf/4-region/system hierarchy, lead 24 fixed split",Uniform/equal-weight neighbors,historical ablation,Top-Down,1,10,0.36309387,0.00452094,0.00000000,0.56282587,0.34748455,0.17897117,SD across optimization seeds conditional on one fixed temporal split,6
"Ausgrid exact 12-leaf/4-region/system hierarchy, lead 24 fixed split",Euclidean weights,historical ablation,Top-Down,1,10,0.36309441,0.00373619,0.00000000,0.56298728,0.34756269,0.17873327,SD across optimization seeds conditional on one fixed temporal split,7
"Ausgrid exact 12-leaf/4-region/system hierarchy, lead 24 fixed split",Fixed distance scale,historical ablation,Top-Down,1,10,0.36318155,0.00472094,0.00000000,0.56287599,0.34756737,0.17910130,SD across optimization seeds conditional on one fixed temporal split,8
"Ausgrid exact 12-leaf/4-region/system hierarchy, lead 24 fixed split",TCN,external baseline,Top-Down,1,10,0.36463098,0.00294789,0.00000000,0.56463604,0.34910014,0.18015677,SD across optimization seeds conditional on one fixed temporal split,9
"Ausgrid exact 12-leaf/4-region/system hierarchy, lead 24 fixed split",No sequence-phase features,historical ablation,Top-Down,1,10,0.36469763,0.00489456,0.00000000,0.56426258,0.34904856,0.18078175,SD across optimization seeds conditional on one fixed temporal split,10
"Ausgrid exact 12-leaf/4-region/system hierarchy, lead 24 fixed split",LSTM,external baseline,Top-Down,1,10,0.37004356,0.00344473,0.00000000,0.56645995,0.35402280,0.18964794,SD across optimization seeds conditional on one fixed temporal split,11
"Ausgrid exact 12-leaf/4-region/system hierarchy, lead 24 fixed split",DLinear,external baseline,OLS,1,10,0.28046637,0.00114813,0.00000000,0.39576395,0.27051889,0.17511629,SD across optimization seeds conditional on one fixed temporal split,1
"Ausgrid exact 12-leaf/4-region/system hierarchy, lead 24 fixed split",PatchTST-lite,external baseline,OLS,1,10,0.28642843,0.00473875,0.00000000,0.40729488,0.27465572,0.17733470,SD across optimization seeds conditional on one fixed temporal split,2
"Ausgrid exact 12-leaf/4-region/system hierarchy, lead 24 fixed split",MLP,external baseline,OLS,1,10,0.28672017,0.00337229,0.00000000,0.40822151,0.27469739,0.17724162,SD across optimization seeds conditional on one fixed temporal split,3
"Ausgrid exact 12-leaf/4-region/system hierarchy, lead 24 fixed split",TemporalOnly (smaller head),historical ablation,OLS,1,10,0.28923127,0.00649383,0.00000000,0.41312115,0.27685584,0.17771684,SD across optimization seeds conditional on one fixed temporal split,4
"Ausgrid exact 12-leaf/4-region/system hierarchy, lead 24 fixed split",TCN,external baseline,OLS,1,10,0.28926199,0.00385745,0.00000000,0.40984657,0.27762038,0.18031901,SD across optimization seeds conditional on one fixed temporal split,5
"Ausgrid exact 12-leaf/4-region/system hierarchy, lead 24 fixed split",CSA-LoadNet,proposed,OLS,1,10,0.28948786,0.00498420,0.00000000,0.41328572,0.27715877,0.17801908,SD across optimization seeds conditional on one fixed temporal split,6
"Ausgrid exact 12-leaf/4-region/system hierarchy, lead 24 fixed split",Euclidean weights,historical ablation,OLS,1,10,0.28961781,0.00528469,0.00000000,0.41322965,0.27739257,0.17823123,SD across optimization seeds conditional on one fixed temporal split,7
"Ausgrid exact 12-leaf/4-region/system hierarchy, lead 24 fixed split",Uniform/equal-weight neighbors,historical ablation,OLS,1,10,0.28997279,0.00653642,0.00000000,0.41369985,0.27762769,0.17859082,SD across optimization seeds conditional on one fixed temporal split,8
"Ausgrid exact 12-leaf/4-region/system hierarchy, lead 24 fixed split",Fixed distance scale,historical ablation,OLS,1,10,0.29015025,0.00676361,0.00000000,0.41395382,0.27774022,0.17875670,SD across optimization seeds conditional on one fixed temporal split,9
"Ausgrid exact 12-leaf/4-region/system hierarchy, lead 24 fixed split",No sequence-phase features,historical ablation,OLS,1,10,0.29139975,0.00689234,0.00000000,0.41449287,0.27921604,0.18049036,SD across optimization seeds conditional on one fixed temporal split,10
"Ausgrid exact 12-leaf/4-region/system hierarchy, lead 24 fixed split",LSTM,external baseline,OLS,1,10,0.30893822,0.00502298,0.00000000,0.43963167,0.29808277,0.18910023,SD across optimization seeds conditional on one fixed temporal split,11
