dataset,horizon_positions,rolling_origin,rolling_origin_index,method,method_role,seed,epochs_completed,best_epoch,best_validation_mse,optimizer_steps,parameter_count,fit_unique_origins,validation_unique_origins,test_unique_origins,test_target_count,mape,wape,mae,rmse,smape,runtime_s
OPSD time_series_60min_singleindex,24,2017-04-01T00:00:00Z,19673,CSA-Poincare-Shared,proposed,11,8,8,0.1333831847,136,29815,5519,975,672,4032,0.0527152394,0.0502563551,1608.8959868900,2727.0163282804,0.0509182589,1.1799
OPSD time_series_60min_singleindex,24,2017-04-01T00:00:00Z,19673,CSA-Poincare-Shared,proposed,23,8,8,0.1462575942,136,29815,5519,975,672,4032,0.0554014703,0.0527300071,1688.0869416736,2804.2069401412,0.0535403999,1.1660
OPSD time_series_60min_singleindex,24,2017-04-01T00:00:00Z,19673,CSA-Poincare-Shared,proposed,47,8,8,0.1349770129,136,29815,5519,975,672,4032,0.0522421670,0.0496184130,1588.4730469234,2726.1752528144,0.0505267042,1.1128
OPSD time_series_60min_singleindex,24,2017-04-01T00:00:00Z,19673,CSA-Poincare-Shared,proposed,59,8,8,0.1427124441,136,29815,5519,975,672,4032,0.0536708144,0.0508250929,1627.1034352136,2773.3131331815,0.0514903839,1.1299
OPSD time_series_60min_singleindex,24,2017-04-01T00:00:00Z,19673,CSA-Poincare-Shared,proposed,71,8,8,0.1339529306,136,29815,5519,975,672,4032,0.0534994942,0.0510119770,1633.0863020155,2766.7901568788,0.0517518399,1.1212
OPSD time_series_60min_singleindex,24,2017-04-01T00:00:00Z,19673,TargetSelfContext-Matched,capacity_compute_matched_control,11,8,8,0.1342440546,136,29815,5519,975,672,4032,0.0537118621,0.0513754824,1644.7234845843,2748.2644188197,0.0519313354,1.2225
OPSD time_series_60min_singleindex,24,2017-04-01T00:00:00Z,19673,TargetSelfContext-Matched,capacity_compute_matched_control,23,8,8,0.1408306211,136,29815,5519,975,672,4032,0.0553480151,0.0528720898,1692.6355462453,2822.1254186236,0.0536377143,1.1484
OPSD time_series_60min_singleindex,24,2017-04-01T00:00:00Z,19673,TargetSelfContext-Matched,capacity_compute_matched_control,47,8,8,0.1437449306,136,29815,5519,975,672,4032,0.0529776208,0.0504857629,1616.2401975601,2777.0523061124,0.0512426589,1.1602
OPSD time_series_60min_singleindex,24,2017-04-01T00:00:00Z,19673,TargetSelfContext-Matched,capacity_compute_matched_control,59,8,8,0.1425138265,136,29815,5519,975,672,4032,0.0532855438,0.0510981880,1635.8462420267,2804.4215014628,0.0515000596,1.1528
OPSD time_series_60min_singleindex,24,2017-04-01T00:00:00Z,19673,TargetSelfContext-Matched,capacity_compute_matched_control,71,8,8,0.1294109970,136,29815,5519,975,672,4032,0.0542990275,0.0519601692,1663.4415179056,2834.1941651931,0.0523747509,1.2193
OPSD time_series_60min_singleindex,24,2017-04-01T00:00:00Z,19673,UniformCrossSeries-Matched,informative_cross_series_control,11,8,8,0.1326965690,136,29815,5519,975,672,4032,0.0527232103,0.0503345127,1611.3981081039,2726.7913455984,0.0509587490,1.2193
OPSD time_series_60min_singleindex,24,2017-04-01T00:00:00Z,19673,UniformCrossSeries-Matched,informative_cross_series_control,23,8,8,0.1468309909,136,29815,5519,975,672,4032,0.0555086895,0.0528435021,1691.7203475710,2800.3199058854,0.0536589023,1.1878
OPSD time_series_60min_singleindex,24,2017-04-01T00:00:00Z,19673,UniformCrossSeries-Matched,informative_cross_series_control,47,8,8,0.1353467852,136,29815,5519,975,672,4032,0.0520445813,0.0494163842,1582.0053422716,2716.3595690976,0.0503786752,1.1343
OPSD time_series_60min_singleindex,24,2017-04-01T00:00:00Z,19673,UniformCrossSeries-Matched,informative_cross_series_control,59,8,8,0.1422937065,136,29815,5519,975,672,4032,0.0536279787,0.0508514720,1627.9479292612,2773.7875416876,0.0514913823,1.0525
OPSD time_series_60min_singleindex,24,2017-04-01T00:00:00Z,19673,UniformCrossSeries-Matched,informative_cross_series_control,71,8,8,0.1335162520,136,29815,5519,975,672,4032,0.0532345280,0.0508443302,1627.7192942301,2767.4873904859,0.0515051051,1.0883
OPSD time_series_60min_singleindex,24,2017-04-01T00:00:00Z,19673,CSA-Euclidean-Shared,weight_form_control,11,8,8,0.1327201277,136,29815,5519,975,672,4032,0.0525520874,0.0501237439,1604.6506010994,2721.5194672504,0.0507786761,0.9825
OPSD time_series_60min_singleindex,24,2017-04-01T00:00:00Z,19673,CSA-Euclidean-Shared,weight_form_control,23,8,8,0.1466092020,136,29815,5519,975,672,4032,0.0554160435,0.0528016641,1690.3809550452,2800.4716868601,0.0535777280,0.9614
OPSD time_series_60min_singleindex,24,2017-04-01T00:00:00Z,19673,CSA-Euclidean-Shared,weight_form_control,47,8,8,0.1358361989,136,29815,5519,975,672,4032,0.0522308577,0.0496157654,1588.3882879832,2723.1604318838,0.0505351473,1.0337
OPSD time_series_60min_singleindex,24,2017-04-01T00:00:00Z,19673,CSA-Euclidean-Shared,weight_form_control,59,8,8,0.1428723931,136,29815,5519,975,672,4032,0.0537511320,0.0509262164,1630.3407810756,2776.3156542929,0.0515699921,1.0418
OPSD time_series_60min_singleindex,24,2017-04-01T00:00:00Z,19673,CSA-Euclidean-Shared,weight_form_control,71,8,8,0.1337055266,136,29815,5519,975,672,4032,0.0533466505,0.0509163093,1630.0236160036,2766.4344979585,0.0516071614,0.9729
OPSD time_series_60min_singleindex,24,2017-04-01T00:00:00Z,19673,CSA-FixedScale-Shared,weight_form_control,11,8,8,0.1333292723,136,29815,5519,975,672,4032,0.0526841806,0.0502087348,1607.3714820014,2724.6405472812,0.0508948076,1.0256
OPSD time_series_60min_singleindex,24,2017-04-01T00:00:00Z,19673,CSA-FixedScale-Shared,weight_form_control,23,8,8,0.1465666741,136,29815,5519,975,672,4032,0.0554871606,0.0528112483,1690.6877790179,2807.8144561553,0.0536055208,1.0470
OPSD time_series_60min_singleindex,24,2017-04-01T00:00:00Z,19673,CSA-FixedScale-Shared,weight_form_control,47,8,8,0.1351864487,136,29815,5519,975,672,4032,0.0520036833,0.0493898424,1581.1556386796,2718.3859476032,0.0503134871,1.0611
OPSD time_series_60min_singleindex,24,2017-04-01T00:00:00Z,19673,CSA-FixedScale-Shared,weight_form_control,59,8,8,0.1428062618,136,29815,5519,975,672,4032,0.0537665688,0.0509055528,1629.6792585585,2776.4076164695,0.0515844360,1.1193
OPSD time_series_60min_singleindex,24,2017-04-01T00:00:00Z,19673,CSA-FixedScale-Shared,weight_form_control,71,8,8,0.1337675452,136,29815,5519,975,672,4032,0.0534265303,0.0509064221,1629.7070910741,2765.9197171799,0.0516799302,1.1868
OPSD time_series_60min_singleindex,24,2017-04-01T00:00:00Z,19673,CSA-Poincare-IndependentEncoder,shared_encoder_control,11,8,8,0.1698558182,136,29815,5519,975,672,4032,0.0574238912,0.0544758920,1743.9793216766,2847.8925463976,0.0556166794,1.5778
OPSD time_series_60min_singleindex,24,2017-04-01T00:00:00Z,19673,CSA-Poincare-IndependentEncoder,shared_encoder_control,23,8,8,0.1636806875,136,29815,5519,975,672,4032,0.0596955093,0.0576588080,1845.8764999632,2986.3420482164,0.0581477699,1.4955
OPSD time_series_60min_singleindex,24,2017-04-01T00:00:00Z,19673,CSA-Poincare-IndependentEncoder,shared_encoder_control,47,8,8,0.1619144529,136,29815,5519,975,672,4032,0.0577277871,0.0554616508,1775.5371880910,2947.4647463493,0.0562179771,1.4294
OPSD time_series_60min_singleindex,24,2017-04-01T00:00:00Z,19673,CSA-Poincare-IndependentEncoder,shared_encoder_control,59,8,8,0.1708064526,136,29815,5519,975,672,4032,0.0578052392,0.0553191636,1770.9756319561,2868.4105971561,0.0560980721,1.5033
OPSD time_series_60min_singleindex,24,2017-04-01T00:00:00Z,19673,CSA-Poincare-IndependentEncoder,shared_encoder_control,71,8,8,0.1698851436,136,29815,5519,975,672,4032,0.0587374956,0.0556828446,1782.6184367831,2937.0695980804,0.0569082711,1.5038
OPSD time_series_60min_singleindex,24,2017-07-01T00:00:00Z,21857,CSA-Poincare-Shared,proposed,11,8,8,0.0950068310,144,29815,6138,1084,672,4032,0.0312811668,0.0317441008,1046.0985640268,1511.1421361640,0.0311690644,1.2023
OPSD time_series_60min_singleindex,24,2017-07-01T00:00:00Z,21857,CSA-Poincare-Shared,proposed,23,8,8,0.1006554961,144,29815,6138,1084,672,4032,0.0332192331,0.0335346384,1105.1041334849,1579.0031993165,0.0331079649,1.1835
OPSD time_series_60min_singleindex,24,2017-07-01T00:00:00Z,21857,CSA-Poincare-Shared,proposed,47,8,8,0.0987437591,144,29815,6138,1084,672,4032,0.0304596850,0.0303680349,1000.7515382313,1462.3305026655,0.0302453376,1.2730
OPSD time_series_60min_singleindex,24,2017-07-01T00:00:00Z,21857,CSA-Poincare-Shared,proposed,59,8,8,0.0988645405,144,29815,6138,1084,672,4032,0.0313580277,0.0317128910,1045.0700722346,1496.3305022975,0.0314326643,1.2163
OPSD time_series_60min_singleindex,24,2017-07-01T00:00:00Z,21857,CSA-Poincare-Shared,proposed,71,8,8,0.1007180586,144,29815,6138,1084,672,4032,0.0310231000,0.0316058425,1041.5423835875,1512.0955389725,0.0310091034,1.1802
OPSD time_series_60min_singleindex,24,2017-07-01T00:00:00Z,21857,TargetSelfContext-Matched,capacity_compute_matched_control,11,8,8,0.0972018018,144,29815,6138,1084,672,4032,0.0317066206,0.0317744499,1047.0986902146,1502.3034669644,0.0314879066,1.2423
OPSD time_series_60min_singleindex,24,2017-07-01T00:00:00Z,21857,TargetSelfContext-Matched,capacity_compute_matched_control,23,8,8,0.1030055359,144,29815,6138,1084,672,4032,0.0334619530,0.0336214267,1107.9641663082,1574.8324269767,0.0332658785,1.2362
OPSD time_series_60min_singleindex,24,2017-07-01T00:00:00Z,21857,TargetSelfContext-Matched,capacity_compute_matched_control,47,8,8,0.1003893837,144,29815,6138,1084,672,4032,0.0321364121,0.0321159444,1058.3523385184,1514.3506121270,0.0321512098,1.2915
OPSD time_series_60min_singleindex,24,2017-07-01T00:00:00Z,21857,TargetSelfContext-Matched,capacity_compute_matched_control,59,8,8,0.1032790765,144,29815,6138,1084,672,4032,0.0324023965,0.0327086268,1077.8836597261,1540.1214429869,0.0325500307,1.2226
OPSD time_series_60min_singleindex,24,2017-07-01T00:00:00Z,21857,TargetSelfContext-Matched,capacity_compute_matched_control,71,8,8,0.1019143462,144,29815,6138,1084,672,4032,0.0321442864,0.0324995097,1070.9923919193,1533.8558916868,0.0321596859,1.2133
OPSD time_series_60min_singleindex,24,2017-07-01T00:00:00Z,21857,UniformCrossSeries-Matched,informative_cross_series_control,11,8,8,0.0952974409,144,29815,6138,1084,672,4032,0.0317011633,0.0321757647,1060.3236636207,1526.6097908910,0.0315766075,1.2188
OPSD time_series_60min_singleindex,24,2017-07-01T00:00:00Z,21857,UniformCrossSeries-Matched,informative_cross_series_control,23,8,8,0.1006277502,144,29815,6138,1084,672,4032,0.0335109725,0.0338305223,1114.8547259134,1594.5225441859,0.0334111870,1.1955
OPSD time_series_60min_singleindex,24,2017-07-01T00:00:00Z,21857,UniformCrossSeries-Matched,informative_cross_series_control,47,8,7,0.0988893509,144,29815,6138,1084,672,4032,0.0318807811,0.0322213820,1061.8269399007,1531.0520296051,0.0319385356,1.2207
OPSD time_series_60min_singleindex,24,2017-07-01T00:00:00Z,21857,UniformCrossSeries-Matched,informative_cross_series_control,59,8,8,0.0982348621,144,29815,6138,1084,672,4032,0.0313416497,0.0317899604,1047.6098264664,1501.0458951597,0.0314124731,1.1189
OPSD time_series_60min_singleindex,24,2017-07-01T00:00:00Z,21857,UniformCrossSeries-Matched,informative_cross_series_control,71,8,8,0.1008812413,144,29815,6138,1084,672,4032,0.0311082738,0.0316353180,1042.5137229798,1514.8478040354,0.0310438736,1.2297
OPSD time_series_60min_singleindex,24,2017-07-01T00:00:00Z,21857,CSA-Euclidean-Shared,weight_form_control,11,8,8,0.0956067219,144,29815,6138,1084,672,4032,0.0317491078,0.0321893523,1060.7714284261,1530.9606251592,0.0316019892,1.0867
OPSD time_series_60min_singleindex,24,2017-07-01T00:00:00Z,21857,CSA-Euclidean-Shared,weight_form_control,23,8,8,0.1002536491,144,29815,6138,1084,672,4032,0.0333318586,0.0336786955,1109.8514096699,1588.9780357124,0.0332354137,1.0343
OPSD time_series_60min_singleindex,24,2017-07-01T00:00:00Z,21857,CSA-Euclidean-Shared,weight_form_control,47,8,8,0.0988577232,144,29815,6138,1084,672,4032,0.0305436831,0.0304337242,1002.9162701804,1469.3074428574,0.0303103193,1.0984
OPSD time_series_60min_singleindex,24,2017-07-01T00:00:00Z,21857,CSA-Euclidean-Shared,weight_form_control,59,8,8,0.0985291153,144,29815,6138,1084,672,4032,0.0314292484,0.0318553490,1049.7646479531,1502.0280973039,0.0314997346,1.1223
OPSD time_series_60min_singleindex,24,2017-07-01T00:00:00Z,21857,CSA-Euclidean-Shared,weight_form_control,71,8,8,0.1006912589,144,29815,6138,1084,672,4032,0.0311792971,0.0317208550,1045.3325200157,1517.5847065755,0.0311191394,1.1411
OPSD time_series_60min_singleindex,24,2017-07-01T00:00:00Z,21857,CSA-FixedScale-Shared,weight_form_control,11,8,8,0.0949674770,144,29815,6138,1084,672,4032,0.0312947081,0.0317410844,1045.9991614932,1509.5118902844,0.0311892643,1.2174
OPSD time_series_60min_singleindex,24,2017-07-01T00:00:00Z,21857,CSA-FixedScale-Shared,weight_form_control,23,8,8,0.1007529125,144,29815,6138,1084,672,4032,0.0334452397,0.0337437721,1111.9959486704,1587.5851831664,0.0333228700,1.1482
OPSD time_series_60min_singleindex,24,2017-07-01T00:00:00Z,21857,CSA-FixedScale-Shared,weight_form_control,47,8,8,0.0989579409,144,29815,6138,1084,672,4032,0.0304477787,0.0303434073,999.9399564228,1462.6375952878,0.0302218873,1.1397
OPSD time_series_60min_singleindex,24,2017-07-01T00:00:00Z,21857,CSA-FixedScale-Shared,weight_form_control,59,8,8,0.0988364220,144,29815,6138,1084,672,4032,0.0313039148,0.0316557929,1043.1884540376,1494.8465922966,0.0313799187,1.1454
OPSD time_series_60min_singleindex,24,2017-07-01T00:00:00Z,21857,CSA-FixedScale-Shared,weight_form_control,71,8,8,0.1004246101,144,29815,6138,1084,672,4032,0.0308946503,0.0314626347,1036.8231000143,1506.6750662049,0.0308746284,1.1196
OPSD time_series_60min_singleindex,24,2017-07-01T00:00:00Z,21857,CSA-Poincare-IndependentEncoder,shared_encoder_control,11,8,8,0.1207717508,144,29815,6138,1084,672,4032,0.0429205492,0.0440820839,1452.6858057900,2055.6828108242,0.0432464050,1.5021
OPSD time_series_60min_singleindex,24,2017-07-01T00:00:00Z,21857,CSA-Poincare-IndependentEncoder,shared_encoder_control,23,8,8,0.1204420403,144,29815,6138,1084,672,4032,0.0422724300,0.0437295138,1441.0671725803,2074.0355796194,0.0424298002,1.4865
OPSD time_series_60min_singleindex,24,2017-07-01T00:00:00Z,21857,CSA-Poincare-IndependentEncoder,shared_encoder_control,47,8,8,0.1176637635,144,29815,6138,1084,672,4032,0.0389935767,0.0397682366,1310.5268101768,1874.2530451871,0.0392663671,1.5634
OPSD time_series_60min_singleindex,24,2017-07-01T00:00:00Z,21857,CSA-Poincare-IndependentEncoder,shared_encoder_control,59,8,8,0.1207827255,144,29815,6138,1084,672,4032,0.0429099380,0.0455664463,1501.6016463022,2135.4159523068,0.0434951122,1.5598
OPSD time_series_60min_singleindex,24,2017-07-01T00:00:00Z,21857,CSA-Poincare-IndependentEncoder,shared_encoder_control,71,8,8,0.1207452789,144,29815,6138,1084,672,4032,0.0392028429,0.0399680692,1317.1121143159,1913.8502905111,0.0394495394,1.5624
OPSD time_series_60min_singleindex,24,2017-10-01T00:00:00Z,24065,CSA-Poincare-Shared,proposed,11,8,8,0.0628322065,160,29815,6764,1194,672,4032,0.0292396897,0.0307669490,1009.6697794596,1674.5589831377,0.0293213034,1.2860
OPSD time_series_60min_singleindex,24,2017-10-01T00:00:00Z,24065,CSA-Poincare-Shared,proposed,23,8,8,0.0614501424,160,29815,6764,1194,672,4032,0.0285416200,0.0298660539,980.1053745330,1634.5900568835,0.0285932051,1.2344
OPSD time_series_60min_singleindex,24,2017-10-01T00:00:00Z,24065,CSA-Poincare-Shared,proposed,47,8,8,0.0604629815,160,29815,6764,1194,672,4032,0.0280702702,0.0292514524,959.9361797514,1606.4601944336,0.0280441059,1.2585
