method,rolling_origin,seed,forecast_target_date_utc,target_count,mape,wape,mae,rmse,smape
CSA-Poincare-Shared,2017-01-01T00:00:00Z,59,2017-01-26,144,0.0197642593,0.0221524034,962.7948676215,1463.4023034750,0.0196271212
CSA-Poincare-Shared,2017-01-01T00:00:00Z,59,2017-01-27,144,0.0298747360,0.0350959015,1481.6687350803,2306.5276538224,0.0292142328
CSA-Poincare-Shared,2017-01-01T00:00:00Z,59,2017-01-28,144,0.0438306721,0.0544877618,1979.3718532986,3123.7520456500,0.0423348476
CSA-Poincare-Shared,2017-01-01T00:00:00Z,59,2017-01-29,144,0.0327123590,0.0332762709,1120.2851494683,1612.0137099397,0.0322536832
CSA-Poincare-Shared,2017-01-01T00:00:00Z,71,2017-01-02,144,0.1286222647,0.1287818779,4804.3173285590,6413.0301794205,0.1411900572
CSA-Poincare-Shared,2017-01-01T00:00:00Z,71,2017-01-03,144,0.0458929825,0.0497511479,1997.3712293837,2957.6506328836,0.0476346132
CSA-Poincare-Shared,2017-01-01T00:00:00Z,71,2017-01-04,144,0.0295871771,0.0354842587,1436.9659559462,2269.9643916436,0.0302136089
CSA-Poincare-Shared,2017-01-01T00:00:00Z,71,2017-01-05,144,0.0264968459,0.0242857073,969.5895317925,1390.8019321316,0.0261713608
CSA-Poincare-Shared,2017-01-01T00:00:00Z,71,2017-01-06,144,0.0961143872,0.0801217911,3052.5035061306,4048.6564277130,0.0880714580
CSA-Poincare-Shared,2017-01-01T00:00:00Z,71,2017-01-07,144,0.0798297645,0.0702993174,2631.5431586372,3277.4428256244,0.0854112767
CSA-Poincare-Shared,2017-01-01T00:00:00Z,71,2017-01-08,144,0.0507835467,0.0468444284,1625.0740627713,1992.8157764768,0.0523834408
CSA-Poincare-Shared,2017-01-01T00:00:00Z,71,2017-01-09,144,0.0707475969,0.0655873609,2694.8365207248,3691.7764957348,0.0747828840
CSA-Poincare-Shared,2017-01-01T00:00:00Z,71,2017-01-10,144,0.0509738933,0.0512553891,2152.7720540365,2907.1957188783,0.0524342056
CSA-Poincare-Shared,2017-01-01T00:00:00Z,71,2017-01-11,144,0.0340000803,0.0374307226,1565.1118164062,2256.3152205524,0.0336591600
CSA-Poincare-Shared,2017-01-01T00:00:00Z,71,2017-01-12,144,0.0345093651,0.0363597238,1496.4009128147,1982.1987726369,0.0340652091
CSA-Poincare-Shared,2017-01-01T00:00:00Z,71,2017-01-13,144,0.0422201932,0.0412261625,1708.3169759115,2312.8945743343,0.0435070189
CSA-Poincare-Shared,2017-01-01T00:00:00Z,71,2017-01-14,144,0.0588625166,0.0582566008,2151.7872111003,3070.5117190539,0.0562687115
CSA-Poincare-Shared,2017-01-01T00:00:00Z,71,2017-01-15,144,0.0325315215,0.0344339468,1197.0296495226,1744.2459581103,0.0323495229
CSA-Poincare-Shared,2017-01-01T00:00:00Z,71,2017-01-16,144,0.0201874939,0.0204315731,848.2701280382,1254.9735574471,0.0203895181
CSA-Poincare-Shared,2017-01-01T00:00:00Z,71,2017-01-17,144,0.0242644977,0.0282154776,1221.4593641493,2015.4463142758,0.0246615543
CSA-Poincare-Shared,2017-01-01T00:00:00Z,71,2017-01-18,144,0.0255013442,0.0324050272,1432.4540608724,2218.6520605319,0.0257820918
CSA-Poincare-Shared,2017-01-01T00:00:00Z,71,2017-01-19,144,0.0234953271,0.0256386840,1135.0910847982,1700.3473695841,0.0233755360
CSA-Poincare-Shared,2017-01-01T00:00:00Z,71,2017-01-20,144,0.0328669515,0.0333886774,1455.5580986871,1985.3778373098,0.0322311927
CSA-Poincare-Shared,2017-01-01T00:00:00Z,71,2017-01-21,144,0.0347519573,0.0327272181,1261.4263305664,1645.0218890017,0.0339913703
CSA-Poincare-Shared,2017-01-01T00:00:00Z,71,2017-01-22,144,0.0313471056,0.0275137297,986.5053575304,1310.8068083610,0.0308167742
CSA-Poincare-Shared,2017-01-01T00:00:00Z,71,2017-01-23,144,0.0230323077,0.0224794329,957.7148166233,1394.8138094247,0.0231401980
CSA-Poincare-Shared,2017-01-01T00:00:00Z,71,2017-01-24,144,0.0229441902,0.0217575076,943.9558919271,1332.3634520814,0.0226589228
CSA-Poincare-Shared,2017-01-01T00:00:00Z,71,2017-01-25,144,0.0213296486,0.0206343816,900.6855740017,1230.4721826635,0.0210270461
CSA-Poincare-Shared,2017-01-01T00:00:00Z,71,2017-01-26,144,0.0230586025,0.0258368893,1122.9311794705,1611.6086292355,0.0228657216
CSA-Poincare-Shared,2017-01-01T00:00:00Z,71,2017-01-27,144,0.0312554305,0.0383861171,1620.5741170247,2609.6733796103,0.0304771257
CSA-Poincare-Shared,2017-01-01T00:00:00Z,71,2017-01-28,144,0.0483696015,0.0623952458,2266.6262885200,3611.8571338607,0.0465702733
CSA-Poincare-Shared,2017-01-01T00:00:00Z,71,2017-01-29,144,0.0362697331,0.0430911982,1450.7163221571,2122.5518116725,0.0353807637
TargetSelfContext-Matched,2017-01-01T00:00:00Z,11,2017-01-02,144,0.1283301928,0.1267203587,4727.4106038411,6284.0808134515,0.1407694318
TargetSelfContext-Matched,2017-01-01T00:00:00Z,11,2017-01-03,144,0.0512799795,0.0557883945,2239.7500135634,3400.3185523437,0.0536833324
TargetSelfContext-Matched,2017-01-01T00:00:00Z,11,2017-01-04,144,0.0280799520,0.0328857044,1331.7352362739,2175.1487330921,0.0287907783
TargetSelfContext-Matched,2017-01-01T00:00:00Z,11,2017-01-05,144,0.0273833532,0.0242291886,967.3330620660,1401.1301961565,0.0273390737
TargetSelfContext-Matched,2017-01-01T00:00:00Z,11,2017-01-06,144,0.0941678394,0.0777167070,2960.8739081489,3851.2242733106,0.0872137397
TargetSelfContext-Matched,2017-01-01T00:00:00Z,11,2017-01-07,144,0.0811246398,0.0693245412,2595.0539618598,3332.1429914478,0.0872045046
TargetSelfContext-Matched,2017-01-01T00:00:00Z,11,2017-01-08,144,0.0459754328,0.0415569945,1441.6483696832,1935.6002024121,0.0475781776
TargetSelfContext-Matched,2017-01-01T00:00:00Z,11,2017-01-09,144,0.0861886589,0.0819423032,3366.8241577148,4386.8433163568,0.0919893153
TargetSelfContext-Matched,2017-01-01T00:00:00Z,11,2017-01-10,144,0.0570829073,0.0566232014,2378.2249552409,3176.8821739875,0.0591408464
TargetSelfContext-Matched,2017-01-01T00:00:00Z,11,2017-01-11,144,0.0287178767,0.0314761233,1316.1288113064,1872.7879974198,0.0289305013
TargetSelfContext-Matched,2017-01-01T00:00:00Z,11,2017-01-12,144,0.0261578781,0.0258684013,1064.6257798937,1492.4239938535,0.0262372841
TargetSelfContext-Matched,2017-01-01T00:00:00Z,11,2017-01-13,144,0.0470055936,0.0450613720,1867.2392035590,2540.9004697308,0.0488114819
TargetSelfContext-Matched,2017-01-01T00:00:00Z,11,2017-01-14,144,0.0503207978,0.0496195394,1832.7655368381,2528.3816978600,0.0486855540
TargetSelfContext-Matched,2017-01-01T00:00:00Z,11,2017-01-15,144,0.0361769586,0.0405288613,1408.9075792101,2095.6176662684,0.0367645964
TargetSelfContext-Matched,2017-01-01T00:00:00Z,11,2017-01-16,144,0.0309038155,0.0357371067,1483.7193332248,2272.1843963581,0.0315959816
TargetSelfContext-Matched,2017-01-01T00:00:00Z,11,2017-01-17,144,0.0272402367,0.0320403406,1387.0392184787,2327.5380032728,0.0278856304
TargetSelfContext-Matched,2017-01-01T00:00:00Z,11,2017-01-18,144,0.0288528104,0.0342240726,1512.8643934462,2381.2084028728,0.0295430149
TargetSelfContext-Matched,2017-01-01T00:00:00Z,11,2017-01-19,144,0.0230985847,0.0237068319,1049.5629747179,1658.0871009292,0.0233204961
TargetSelfContext-Matched,2017-01-01T00:00:00Z,11,2017-01-20,144,0.0216491778,0.0249704293,1088.5699395074,1577.0882590745,0.0215126301
TargetSelfContext-Matched,2017-01-01T00:00:00Z,11,2017-01-21,144,0.0236516953,0.0220436235,849.6416354709,1158.2931581693,0.0235112994
TargetSelfContext-Matched,2017-01-01T00:00:00Z,11,2017-01-22,144,0.0263630947,0.0227888089,817.0932210286,1078.0811332167,0.0264860059
TargetSelfContext-Matched,2017-01-01T00:00:00Z,11,2017-01-23,144,0.0265069883,0.0297450395,1267.2590603299,1992.7684124263,0.0270029230
TargetSelfContext-Matched,2017-01-01T00:00:00Z,11,2017-01-24,144,0.0224377698,0.0221201892,959.6909383138,1270.4876100830,0.0224236920
TargetSelfContext-Matched,2017-01-01T00:00:00Z,11,2017-01-25,144,0.0145693679,0.0165068769,720.5210300022,1199.0262757440,0.0145997844
TargetSelfContext-Matched,2017-01-01T00:00:00Z,11,2017-01-26,144,0.0186701459,0.0205195758,891.8283894857,1364.2543429447,0.0187360949
TargetSelfContext-Matched,2017-01-01T00:00:00Z,11,2017-01-27,144,0.0208866665,0.0268761943,1134.6514892578,1885.6775905245,0.0205907600
TargetSelfContext-Matched,2017-01-01T00:00:00Z,11,2017-01-28,144,0.0310794922,0.0414701352,1506.4817437066,2624.3852010351,0.0302937927
TargetSelfContext-Matched,2017-01-01T00:00:00Z,11,2017-01-29,144,0.0264837119,0.0259948210,875.1464979384,1237.4216265821,0.0265217778
TargetSelfContext-Matched,2017-01-01T00:00:00Z,23,2017-01-02,144,0.1204810085,0.1194456018,4456.0196194119,6004.3197964791,0.1314138768
TargetSelfContext-Matched,2017-01-01T00:00:00Z,23,2017-01-03,144,0.0475316482,0.0541739588,2174.9348754883,3259.1598180151,0.0494021007
TargetSelfContext-Matched,2017-01-01T00:00:00Z,23,2017-01-04,144,0.0266922129,0.0317290915,1284.8971896701,2023.4013534208,0.0272270195
TargetSelfContext-Matched,2017-01-01T00:00:00Z,23,2017-01-05,144,0.0260286033,0.0242411743,967.8115844727,1351.8204903988,0.0259026390
TargetSelfContext-Matched,2017-01-01T00:00:00Z,23,2017-01-06,144,0.0964115669,0.0805801566,3069.9664510091,3956.4969875415,0.0894107724
TargetSelfContext-Matched,2017-01-01T00:00:00Z,23,2017-01-07,144,0.0759010796,0.0655743587,2454.6718410916,3057.5757168995,0.0810503059
TargetSelfContext-Matched,2017-01-01T00:00:00Z,23,2017-01-08,144,0.0419971347,0.0427731203,1483.8368326823,2075.5676177454,0.0432153724
TargetSelfContext-Matched,2017-01-01T00:00:00Z,23,2017-01-09,144,0.0733345647,0.0703489896,2890.4810858832,3825.6423920217,0.0776694623
TargetSelfContext-Matched,2017-01-01T00:00:00Z,23,2017-01-10,144,0.0547030135,0.0531420811,2232.0147976345,2976.6608256091,0.0564538948
TargetSelfContext-Matched,2017-01-01T00:00:00Z,23,2017-01-11,144,0.0282118301,0.0304979411,1275.2275322808,1797.3604439737,0.0282619702
TargetSelfContext-Matched,2017-01-01T00:00:00Z,23,2017-01-12,144,0.0251374433,0.0253095128,1041.6244710286,1405.4786754780,0.0250494783
TargetSelfContext-Matched,2017-01-01T00:00:00Z,23,2017-01-13,144,0.0461892496,0.0419365028,1737.7518378364,2429.2339380289,0.0481829822
TargetSelfContext-Matched,2017-01-01T00:00:00Z,23,2017-01-14,144,0.0579410991,0.0554663603,2048.7258639865,2794.0970188453,0.0557590496
TargetSelfContext-Matched,2017-01-01T00:00:00Z,23,2017-01-15,144,0.0357324455,0.0401872914,1397.0335625543,2041.3577517297,0.0360041876
