protocol,scenario,method,seed_index,scheme,reference_point,clip,hypervolume,below_zero_coordinates,above_one_coordinates,out_of_bounds_points,front_size,front_objectives_sha256
matched_evaluation,budget_constrained_selection,Pareto Local Search,1,reported_empirical_ref1p1_clipped,1.1000000000,1,0.1052483450,0,0,0,40,48964707e3a5bdc2fe78d553ea9b2621fd57aed001afaf04e57b8959a4958acd
matched_evaluation,budget_constrained_selection,Pareto Local Search,1,reported_empirical_ref1p1_unclipped,1.1000000000,0,0.1052483450,0,0,0,40,48964707e3a5bdc2fe78d553ea9b2621fd57aed001afaf04e57b8959a4958acd
matched_evaluation,budget_constrained_selection,Pareto Local Search,1,expanded_empirical_ref1p1_unclipped,1.1000000000,0,0.1494966460,0,0,0,40,48964707e3a5bdc2fe78d553ea9b2621fd57aed001afaf04e57b8959a4958acd
matched_evaluation,budget_constrained_selection,Pareto Local Search,1,analytic_ref1p05_unclipped,1.0500000000,0,0.0066428725,0,0,0,40,48964707e3a5bdc2fe78d553ea9b2621fd57aed001afaf04e57b8959a4958acd
matched_evaluation,budget_constrained_selection,Pareto Local Search,1,analytic_ref1p1_unclipped,1.1000000000,0,0.0199405775,0,0,0,40,48964707e3a5bdc2fe78d553ea9b2621fd57aed001afaf04e57b8959a4958acd
matched_evaluation,budget_constrained_selection,Pareto Local Search,1,analytic_ref1p2_unclipped,1.2000000000,0,0.0749709611,0,0,0,40,48964707e3a5bdc2fe78d553ea9b2621fd57aed001afaf04e57b8959a4958acd
matched_evaluation,budget_constrained_selection,BiLo-NSGA,1,reported_empirical_ref1p1_clipped,1.1000000000,1,0.1452033191,0,0,0,38,f1f922add39c9999f5695e80b6477f6970de4a69a0135920c45478688d125571
matched_evaluation,budget_constrained_selection,BiLo-NSGA,1,reported_empirical_ref1p1_unclipped,1.1000000000,0,0.1452033191,0,0,0,38,f1f922add39c9999f5695e80b6477f6970de4a69a0135920c45478688d125571
matched_evaluation,budget_constrained_selection,BiLo-NSGA,1,expanded_empirical_ref1p1_unclipped,1.1000000000,0,0.1883984944,0,0,0,38,f1f922add39c9999f5695e80b6477f6970de4a69a0135920c45478688d125571
matched_evaluation,budget_constrained_selection,BiLo-NSGA,1,analytic_ref1p05_unclipped,1.0500000000,0,0.0072993643,0,0,0,38,f1f922add39c9999f5695e80b6477f6970de4a69a0135920c45478688d125571
matched_evaluation,budget_constrained_selection,BiLo-NSGA,1,analytic_ref1p1_unclipped,1.1000000000,0,0.0214967733,0,0,0,38,f1f922add39c9999f5695e80b6477f6970de4a69a0135920c45478688d125571
matched_evaluation,budget_constrained_selection,BiLo-NSGA,1,analytic_ref1p2_unclipped,1.2000000000,0,0.0790913836,0,0,0,38,f1f922add39c9999f5695e80b6477f6970de4a69a0135920c45478688d125571
matched_evaluation,budget_constrained_selection,Pareto Local Search,2,reported_empirical_ref1p1_clipped,1.1000000000,1,0.0932807818,0,0,0,40,088fa952b86cb981cebdf484712400fdee27e62ed2ab392ee2aef4933e7cf880
matched_evaluation,budget_constrained_selection,Pareto Local Search,2,reported_empirical_ref1p1_unclipped,1.1000000000,0,0.0932807818,0,0,0,40,088fa952b86cb981cebdf484712400fdee27e62ed2ab392ee2aef4933e7cf880
matched_evaluation,budget_constrained_selection,Pareto Local Search,2,expanded_empirical_ref1p1_unclipped,1.1000000000,0,0.1385145935,0,0,0,40,088fa952b86cb981cebdf484712400fdee27e62ed2ab392ee2aef4933e7cf880
matched_evaluation,budget_constrained_selection,Pareto Local Search,2,analytic_ref1p05_unclipped,1.0500000000,0,0.0064411284,0,0,0,40,088fa952b86cb981cebdf484712400fdee27e62ed2ab392ee2aef4933e7cf880
matched_evaluation,budget_constrained_selection,Pareto Local Search,2,analytic_ref1p1_unclipped,1.1000000000,0,0.0195086169,0,0,0,40,088fa952b86cb981cebdf484712400fdee27e62ed2ab392ee2aef4933e7cf880
matched_evaluation,budget_constrained_selection,Pareto Local Search,2,analytic_ref1p2_unclipped,1.2000000000,0,0.0739613246,0,0,0,40,088fa952b86cb981cebdf484712400fdee27e62ed2ab392ee2aef4933e7cf880
matched_evaluation,budget_constrained_selection,BiLo-NSGA,2,reported_empirical_ref1p1_clipped,1.1000000000,1,0.1677518636,0,0,0,39,57abcb1ebedbb3a77ff50e0eb91925504dbe142b82c9f02442f5c3ebf5c006b1
matched_evaluation,budget_constrained_selection,BiLo-NSGA,2,reported_empirical_ref1p1_unclipped,1.1000000000,0,0.1677518636,0,0,0,39,57abcb1ebedbb3a77ff50e0eb91925504dbe142b82c9f02442f5c3ebf5c006b1
matched_evaluation,budget_constrained_selection,BiLo-NSGA,2,expanded_empirical_ref1p1_unclipped,1.1000000000,0,0.2119854567,0,0,0,39,57abcb1ebedbb3a77ff50e0eb91925504dbe142b82c9f02442f5c3ebf5c006b1
matched_evaluation,budget_constrained_selection,BiLo-NSGA,2,analytic_ref1p05_unclipped,1.0500000000,0,0.0077720374,0,0,0,39,57abcb1ebedbb3a77ff50e0eb91925504dbe142b82c9f02442f5c3ebf5c006b1
matched_evaluation,budget_constrained_selection,BiLo-NSGA,2,analytic_ref1p1_unclipped,1.1000000000,0,0.0227372797,0,0,0,39,57abcb1ebedbb3a77ff50e0eb91925504dbe142b82c9f02442f5c3ebf5c006b1
matched_evaluation,budget_constrained_selection,BiLo-NSGA,2,analytic_ref1p2_unclipped,1.2000000000,0,0.0829611437,0,0,0,39,57abcb1ebedbb3a77ff50e0eb91925504dbe142b82c9f02442f5c3ebf5c006b1
matched_evaluation,budget_constrained_selection,NSGA-II,2,reported_empirical_ref1p1_clipped,1.1000000000,1,0.1711454964,1,0,1,38,3acae190c53322ffb93ebc56ba27e5a27ffa17c9564d6ed4562635a0dc499a6a
matched_evaluation,budget_constrained_selection,NSGA-II,2,reported_empirical_ref1p1_unclipped,1.1000000000,0,0.1796098888,1,0,1,38,3acae190c53322ffb93ebc56ba27e5a27ffa17c9564d6ed4562635a0dc499a6a
matched_evaluation,budget_constrained_selection,NSGA-II,2,expanded_empirical_ref1p1_unclipped,1.1000000000,0,0.2263604226,0,0,0,38,3acae190c53322ffb93ebc56ba27e5a27ffa17c9564d6ed4562635a0dc499a6a
matched_evaluation,budget_constrained_selection,NSGA-II,2,analytic_ref1p05_unclipped,1.0500000000,0,0.0077833887,0,0,0,38,3acae190c53322ffb93ebc56ba27e5a27ffa17c9564d6ed4562635a0dc499a6a
matched_evaluation,budget_constrained_selection,NSGA-II,2,analytic_ref1p1_unclipped,1.1000000000,0,0.0229285333,0,0,0,38,3acae190c53322ffb93ebc56ba27e5a27ffa17c9564d6ed4562635a0dc499a6a
matched_evaluation,budget_constrained_selection,NSGA-II,2,analytic_ref1p2_unclipped,1.2000000000,0,0.0840607755,0,0,0,38,3acae190c53322ffb93ebc56ba27e5a27ffa17c9564d6ed4562635a0dc499a6a
matched_evaluation,budget_constrained_selection,BiLo-NSGA,3,reported_empirical_ref1p1_clipped,1.1000000000,1,0.1455414348,0,0,0,39,7c5927d288973cc3fa92305152e1b4158c8e42b461490282625f1be66156c4ee
matched_evaluation,budget_constrained_selection,BiLo-NSGA,3,reported_empirical_ref1p1_unclipped,1.1000000000,0,0.1455414348,0,0,0,39,7c5927d288973cc3fa92305152e1b4158c8e42b461490282625f1be66156c4ee
matched_evaluation,budget_constrained_selection,BiLo-NSGA,3,expanded_empirical_ref1p1_unclipped,1.1000000000,0,0.1898653735,0,0,0,39,7c5927d288973cc3fa92305152e1b4158c8e42b461490282625f1be66156c4ee
matched_evaluation,budget_constrained_selection,BiLo-NSGA,3,analytic_ref1p05_unclipped,1.0500000000,0,0.0072415831,0,0,0,39,7c5927d288973cc3fa92305152e1b4158c8e42b461490282625f1be66156c4ee
matched_evaluation,budget_constrained_selection,BiLo-NSGA,3,analytic_ref1p1_unclipped,1.1000000000,0,0.0215171429,0,0,0,39,7c5927d288973cc3fa92305152e1b4158c8e42b461490282625f1be66156c4ee
matched_evaluation,budget_constrained_selection,BiLo-NSGA,3,analytic_ref1p2_unclipped,1.2000000000,0,0.0799385872,0,0,0,39,7c5927d288973cc3fa92305152e1b4158c8e42b461490282625f1be66156c4ee
matched_evaluation,budget_constrained_selection,NSGA-II,3,reported_empirical_ref1p1_clipped,1.1000000000,1,0.1690049389,4,0,4,38,1485a7582a88dd03d5e0577cfcdbb2fbbf76d36995d218905ce868d68a2335aa
matched_evaluation,budget_constrained_selection,NSGA-II,3,reported_empirical_ref1p1_unclipped,1.1000000000,0,0.2068066556,4,0,4,38,1485a7582a88dd03d5e0577cfcdbb2fbbf76d36995d218905ce868d68a2335aa
matched_evaluation,budget_constrained_selection,NSGA-II,3,expanded_empirical_ref1p1_unclipped,1.1000000000,0,0.2554942769,1,0,1,38,1485a7582a88dd03d5e0577cfcdbb2fbbf76d36995d218905ce868d68a2335aa
matched_evaluation,budget_constrained_selection,NSGA-II,3,analytic_ref1p05_unclipped,1.0500000000,0,0.0084563232,0,0,0,38,1485a7582a88dd03d5e0577cfcdbb2fbbf76d36995d218905ce868d68a2335aa
matched_evaluation,budget_constrained_selection,NSGA-II,3,analytic_ref1p1_unclipped,1.1000000000,0,0.0245678671,0,0,0,38,1485a7582a88dd03d5e0577cfcdbb2fbbf76d36995d218905ce868d68a2335aa
matched_evaluation,budget_constrained_selection,NSGA-II,3,analytic_ref1p2_unclipped,1.2000000000,0,0.0885722109,0,0,0,38,1485a7582a88dd03d5e0577cfcdbb2fbbf76d36995d218905ce868d68a2335aa
matched_evaluation,budget_constrained_selection,Pareto Local Search,3,reported_empirical_ref1p1_clipped,1.1000000000,1,0.1002193138,0,0,0,40,58f23a4cfef257a0a6d3719b3c986d1acf7c8954cad145c673b771908df5a321
matched_evaluation,budget_constrained_selection,Pareto Local Search,3,reported_empirical_ref1p1_unclipped,1.1000000000,0,0.1002193138,0,0,0,40,58f23a4cfef257a0a6d3719b3c986d1acf7c8954cad145c673b771908df5a321
matched_evaluation,budget_constrained_selection,Pareto Local Search,3,expanded_empirical_ref1p1_unclipped,1.1000000000,0,0.1450682475,0,0,0,40,58f23a4cfef257a0a6d3719b3c986d1acf7c8954cad145c673b771908df5a321
matched_evaluation,budget_constrained_selection,Pareto Local Search,3,analytic_ref1p05_unclipped,1.0500000000,0,0.0065257717,0,0,0,40,58f23a4cfef257a0a6d3719b3c986d1acf7c8954cad145c673b771908df5a321
matched_evaluation,budget_constrained_selection,Pareto Local Search,3,analytic_ref1p1_unclipped,1.1000000000,0,0.0196674801,0,0,0,40,58f23a4cfef257a0a6d3719b3c986d1acf7c8954cad145c673b771908df5a321
matched_evaluation,budget_constrained_selection,Pareto Local Search,3,analytic_ref1p2_unclipped,1.2000000000,0,0.0740781378,0,0,0,40,58f23a4cfef257a0a6d3719b3c986d1acf7c8954cad145c673b771908df5a321
matched_evaluation,budget_constrained_selection,NSGA-II,4,reported_empirical_ref1p1_clipped,1.1000000000,1,0.1657525538,0,0,0,38,eedee585bc82982449b90a3b8337d425a9f9a0b4b5adf25f054c838425c68338
matched_evaluation,budget_constrained_selection,NSGA-II,4,reported_empirical_ref1p1_unclipped,1.1000000000,0,0.1657525538,0,0,0,38,eedee585bc82982449b90a3b8337d425a9f9a0b4b5adf25f054c838425c68338
matched_evaluation,budget_constrained_selection,NSGA-II,4,expanded_empirical_ref1p1_unclipped,1.1000000000,0,0.2129492684,0,0,0,38,eedee585bc82982449b90a3b8337d425a9f9a0b4b5adf25f054c838425c68338
matched_evaluation,budget_constrained_selection,NSGA-II,4,analytic_ref1p05_unclipped,1.0500000000,0,0.0076381830,0,0,0,38,eedee585bc82982449b90a3b8337d425a9f9a0b4b5adf25f054c838425c68338
matched_evaluation,budget_constrained_selection,NSGA-II,4,analytic_ref1p1_unclipped,1.1000000000,0,0.0226773538,0,0,0,38,eedee585bc82982449b90a3b8337d425a9f9a0b4b5adf25f054c838425c68338
matched_evaluation,budget_constrained_selection,NSGA-II,4,analytic_ref1p2_unclipped,1.2000000000,0,0.0834230426,0,0,0,38,eedee585bc82982449b90a3b8337d425a9f9a0b4b5adf25f054c838425c68338
matched_evaluation,budget_constrained_selection,Pareto Local Search,4,reported_empirical_ref1p1_clipped,1.1000000000,1,0.1133683541,0,0,0,40,b8ed45d47333ac1f456333c10e173cdf53d908b6421d632574d7250f14866915
matched_evaluation,budget_constrained_selection,Pareto Local Search,4,reported_empirical_ref1p1_unclipped,1.1000000000,0,0.1133683541,0,0,0,40,b8ed45d47333ac1f456333c10e173cdf53d908b6421d632574d7250f14866915
matched_evaluation,budget_constrained_selection,Pareto Local Search,4,expanded_empirical_ref1p1_unclipped,1.1000000000,0,0.1584372092,0,0,0,40,b8ed45d47333ac1f456333c10e173cdf53d908b6421d632574d7250f14866915
matched_evaluation,budget_constrained_selection,Pareto Local Search,4,analytic_ref1p05_unclipped,1.0500000000,0,0.0066399271,0,0,0,40,b8ed45d47333ac1f456333c10e173cdf53d908b6421d632574d7250f14866915
matched_evaluation,budget_constrained_selection,Pareto Local Search,4,analytic_ref1p1_unclipped,1.1000000000,0,0.0201110547,0,0,0,40,b8ed45d47333ac1f456333c10e173cdf53d908b6421d632574d7250f14866915
matched_evaluation,budget_constrained_selection,Pareto Local Search,4,analytic_ref1p2_unclipped,1.2000000000,0,0.0761065550,0,0,0,40,b8ed45d47333ac1f456333c10e173cdf53d908b6421d632574d7250f14866915
matched_evaluation,budget_constrained_selection,BiLo-NSGA,4,reported_empirical_ref1p1_clipped,1.1000000000,1,0.1441629945,0,0,0,38,7759f4d6c36bbd88d2723e6b09753a43df178b4972387b73b7621225aca57ea9
matched_evaluation,budget_constrained_selection,BiLo-NSGA,4,reported_empirical_ref1p1_unclipped,1.1000000000,0,0.1441629945,0,0,0,38,7759f4d6c36bbd88d2723e6b09753a43df178b4972387b73b7621225aca57ea9
matched_evaluation,budget_constrained_selection,BiLo-NSGA,4,expanded_empirical_ref1p1_unclipped,1.1000000000,0,0.1875455230,0,0,0,38,7759f4d6c36bbd88d2723e6b09753a43df178b4972387b73b7621225aca57ea9
matched_evaluation,budget_constrained_selection,BiLo-NSGA,4,analytic_ref1p05_unclipped,1.0500000000,0,0.0069738199,0,0,0,38,7759f4d6c36bbd88d2723e6b09753a43df178b4972387b73b7621225aca57ea9
matched_evaluation,budget_constrained_selection,BiLo-NSGA,4,analytic_ref1p1_unclipped,1.1000000000,0,0.0208268811,0,0,0,38,7759f4d6c36bbd88d2723e6b09753a43df178b4972387b73b7621225aca57ea9
matched_evaluation,budget_constrained_selection,BiLo-NSGA,4,analytic_ref1p2_unclipped,1.2000000000,0,0.0777504924,0,0,0,38,7759f4d6c36bbd88d2723e6b09753a43df178b4972387b73b7621225aca57ea9
matched_evaluation,budget_constrained_selection,Pareto Local Search,5,reported_empirical_ref1p1_clipped,1.1000000000,1,0.1120187079,0,0,0,40,cb2503a4c3311b332de558b0fb6e320ee80fe8ee268c3579a6538870633de6c3
matched_evaluation,budget_constrained_selection,Pareto Local Search,5,reported_empirical_ref1p1_unclipped,1.1000000000,0,0.1120187079,0,0,0,40,cb2503a4c3311b332de558b0fb6e320ee80fe8ee268c3579a6538870633de6c3
matched_evaluation,budget_constrained_selection,Pareto Local Search,5,expanded_empirical_ref1p1_unclipped,1.1000000000,0,0.1574075118,0,0,0,40,cb2503a4c3311b332de558b0fb6e320ee80fe8ee268c3579a6538870633de6c3
matched_evaluation,budget_constrained_selection,Pareto Local Search,5,analytic_ref1p05_unclipped,1.0500000000,0,0.0072099679,0,0,0,40,cb2503a4c3311b332de558b0fb6e320ee80fe8ee268c3579a6538870633de6c3
matched_evaluation,budget_constrained_selection,Pareto Local Search,5,analytic_ref1p1_unclipped,1.1000000000,0,0.0212348471,0,0,0,40,cb2503a4c3311b332de558b0fb6e320ee80fe8ee268c3579a6538870633de6c3
matched_evaluation,budget_constrained_selection,Pareto Local Search,5,analytic_ref1p2_unclipped,1.2000000000,0,0.0783261123,0,0,0,40,cb2503a4c3311b332de558b0fb6e320ee80fe8ee268c3579a6538870633de6c3
matched_evaluation,budget_constrained_selection,BiLo-NSGA,5,reported_empirical_ref1p1_clipped,1.1000000000,1,0.1479754643,0,0,0,38,1e0cf3b64cce40cfeca389440dc99a11b322228a7d5595cf705ffe1d6b759fde
matched_evaluation,budget_constrained_selection,BiLo-NSGA,5,reported_empirical_ref1p1_unclipped,1.1000000000,0,0.1479754643,0,0,0,38,1e0cf3b64cce40cfeca389440dc99a11b322228a7d5595cf705ffe1d6b759fde
matched_evaluation,budget_constrained_selection,BiLo-NSGA,5,expanded_empirical_ref1p1_unclipped,1.1000000000,0,0.1916683741,0,0,0,38,1e0cf3b64cce40cfeca389440dc99a11b322228a7d5595cf705ffe1d6b759fde
matched_evaluation,budget_constrained_selection,BiLo-NSGA,5,analytic_ref1p05_unclipped,1.0500000000,0,0.0076402002,0,0,0,38,1e0cf3b64cce40cfeca389440dc99a11b322228a7d5595cf705ffe1d6b759fde
matched_evaluation,budget_constrained_selection,BiLo-NSGA,5,analytic_ref1p1_unclipped,1.1000000000,0,0.0222857685,0,0,0,38,1e0cf3b64cce40cfeca389440dc99a11b322228a7d5595cf705ffe1d6b759fde
matched_evaluation,budget_constrained_selection,BiLo-NSGA,5,analytic_ref1p2_unclipped,1.2000000000,0,0.0810794266,0,0,0,38,1e0cf3b64cce40cfeca389440dc99a11b322228a7d5595cf705ffe1d6b759fde
matched_evaluation,budget_constrained_selection,NSGA-II,5,reported_empirical_ref1p1_clipped,1.1000000000,1,0.1685805562,5,0,5,38,3b610766e9fe4da12856e01b9196bec665156fd6a0f1670740096e67e97a591b
matched_evaluation,budget_constrained_selection,NSGA-II,5,reported_empirical_ref1p1_unclipped,1.1000000000,0,0.2084800601,5,0,5,38,3b610766e9fe4da12856e01b9196bec665156fd6a0f1670740096e67e97a591b
matched_evaluation,budget_constrained_selection,NSGA-II,5,expanded_empirical_ref1p1_unclipped,1.1000000000,0,0.2581425699,2,0,2,38,3b610766e9fe4da12856e01b9196bec665156fd6a0f1670740096e67e97a591b
matched_evaluation,budget_constrained_selection,NSGA-II,5,analytic_ref1p05_unclipped,1.0500000000,0,0.0079695894,0,0,0,38,3b610766e9fe4da12856e01b9196bec665156fd6a0f1670740096e67e97a591b
matched_evaluation,budget_constrained_selection,NSGA-II,5,analytic_ref1p1_unclipped,1.1000000000,0,0.0232308070,0,0,0,38,3b610766e9fe4da12856e01b9196bec665156fd6a0f1670740096e67e97a591b
matched_evaluation,budget_constrained_selection,NSGA-II,5,analytic_ref1p2_unclipped,1.2000000000,0,0.0843086745,0,0,0,38,3b610766e9fe4da12856e01b9196bec665156fd6a0f1670740096e67e97a591b
matched_evaluation,budget_constrained_selection,BiLo-NSGA,6,reported_empirical_ref1p1_clipped,1.1000000000,1,0.1384520913,0,0,0,39,f3ded10479956cb816fd2853a6d644c8862900f653f37defd8c13b8b7b267959
matched_evaluation,budget_constrained_selection,BiLo-NSGA,6,reported_empirical_ref1p1_unclipped,1.1000000000,0,0.1384520913,0,0,0,39,f3ded10479956cb816fd2853a6d644c8862900f653f37defd8c13b8b7b267959
matched_evaluation,budget_constrained_selection,BiLo-NSGA,6,expanded_empirical_ref1p1_unclipped,1.1000000000,0,0.1827450608,0,0,0,39,f3ded10479956cb816fd2853a6d644c8862900f653f37defd8c13b8b7b267959
matched_evaluation,budget_constrained_selection,BiLo-NSGA,6,analytic_ref1p05_unclipped,1.0500000000,0,0.0074303030,0,0,0,39,f3ded10479956cb816fd2853a6d644c8862900f653f37defd8c13b8b7b267959
matched_evaluation,budget_constrained_selection,BiLo-NSGA,6,analytic_ref1p1_unclipped,1.1000000000,0,0.0218967881,0,0,0,39,f3ded10479956cb816fd2853a6d644c8862900f653f37defd8c13b8b7b267959
matched_evaluation,budget_constrained_selection,BiLo-NSGA,6,analytic_ref1p2_unclipped,1.2000000000,0,0.0804500051,0,0,0,39,f3ded10479956cb816fd2853a6d644c8862900f653f37defd8c13b8b7b267959
matched_evaluation,budget_constrained_selection,NSGA-II,6,reported_empirical_ref1p1_clipped,1.1000000000,1,0.1701392717,2,0,2,37,f3ce0cfd3210a25f9748fbac38db5af36501f85571d559413f9f7b478111dae7
matched_evaluation,budget_constrained_selection,NSGA-II,6,reported_empirical_ref1p1_unclipped,1.1000000000,0,0.1724966735,2,0,2,37,f3ce0cfd3210a25f9748fbac38db5af36501f85571d559413f9f7b478111dae7
matched_evaluation,budget_constrained_selection,NSGA-II,6,expanded_empirical_ref1p1_unclipped,1.1000000000,0,0.2194468785,0,0,0,37,f3ce0cfd3210a25f9748fbac38db5af36501f85571d559413f9f7b478111dae7
matched_evaluation,budget_constrained_selection,NSGA-II,6,analytic_ref1p05_unclipped,1.0500000000,0,0.0080790853,0,0,0,37,f3ce0cfd3210a25f9748fbac38db5af36501f85571d559413f9f7b478111dae7
matched_evaluation,budget_constrained_selection,NSGA-II,6,analytic_ref1p1_unclipped,1.1000000000,0,0.0234923234,0,0,0,37,f3ce0cfd3210a25f9748fbac38db5af36501f85571d559413f9f7b478111dae7
matched_evaluation,budget_constrained_selection,NSGA-II,6,analytic_ref1p2_unclipped,1.2000000000,0,0.0850016239,0,0,0,37,f3ce0cfd3210a25f9748fbac38db5af36501f85571d559413f9f7b478111dae7
matched_evaluation,budget_constrained_selection,Pareto Local Search,6,reported_empirical_ref1p1_clipped,1.1000000000,1,0.1059639824,0,0,0,40,65830d8935d78f4ac330288e99cc2fabc8feeb465934dcc07ebeba0ce16ad1ec
matched_evaluation,budget_constrained_selection,Pareto Local Search,6,reported_empirical_ref1p1_unclipped,1.1000000000,0,0.1059639824,0,0,0,40,65830d8935d78f4ac330288e99cc2fabc8feeb465934dcc07ebeba0ce16ad1ec
matched_evaluation,budget_constrained_selection,Pareto Local Search,6,expanded_empirical_ref1p1_unclipped,1.1000000000,0,0.1510568981,0,0,0,40,65830d8935d78f4ac330288e99cc2fabc8feeb465934dcc07ebeba0ce16ad1ec
matched_evaluation,budget_constrained_selection,Pareto Local Search,6,analytic_ref1p05_unclipped,1.0500000000,0,0.0065733450,0,0,0,40,65830d8935d78f4ac330288e99cc2fabc8feeb465934dcc07ebeba0ce16ad1ec
matched_evaluation,budget_constrained_selection,Pareto Local Search,6,analytic_ref1p1_unclipped,1.1000000000,0,0.0198604995,0,0,0,40,65830d8935d78f4ac330288e99cc2fabc8feeb465934dcc07ebeba0ce16ad1ec
