protocol,scenario,method,seed_index,seed_value,execution_order_within_seed,candidate_pool_size,budget,hypervolume,search_runtime_s,total_run_runtime_s,target_search_runtime_s,deadline_overshoot_s,population_objective_evaluations,local_proposal_evaluations,total_evaluation_units,accepted_local_moves,repair_drops,generations_or_steps,final_population_size,final_population_feasibility_rate,feasible_front_nonempty,feasible_front_size,front_objectives_sha256
matched_evaluation,budget_constrained_selection,BiLo-NSGA,5,941878,1,120,897.6000000000,0.1479754643,0.1221810001,0.1236803000,nan,nan,960,2240,3200,1770,641,23,40,1.0000000000,1,38,1e0cf3b64cce40cfeca389440dc99a11b322228a7d5595cf705ffe1d6b759fde
matched_evaluation,budget_constrained_selection,NSGA-II,5,941878,2,120,897.6000000000,0.1685805562,0.2024766000,0.2039482000,nan,nan,3200,0,3200,0,0,79,40,1.0000000000,1,38,3b610766e9fe4da12856e01b9196bec665156fd6a0f1670740096e67e97a591b
matched_evaluation,budget_constrained_selection,BiLo-NSGA,6,949797,0,120,897.6000000000,0.1384520913,0.1222413001,0.1239209000,nan,nan,920,2280,3200,1809,783,22,40,1.0000000000,1,39,f3ded10479956cb816fd2853a6d644c8862900f653f37defd8c13b8b7b267959
matched_evaluation,budget_constrained_selection,NSGA-II,6,949797,1,120,897.6000000000,0.1701392717,0.1967571001,0.1982032000,nan,nan,3200,0,3200,0,0,79,40,1.0000000000,1,37,f3ce0cfd3210a25f9748fbac38db5af36501f85571d559413f9f7b478111dae7
matched_evaluation,budget_constrained_selection,Pareto Local Search,6,949797,2,120,897.6000000000,0.1059639824,0.2641288999,0.2657848999,nan,nan,40,3160,3200,0,263,3160,40,1.0000000000,1,40,65830d8935d78f4ac330288e99cc2fabc8feeb465934dcc07ebeba0ce16ad1ec
matched_evaluation,budget_constrained_selection,NSGA-II,7,957716,0,120,897.6000000000,0.1707520751,0.2114128000,0.2130018000,nan,nan,3200,0,3200,0,0,79,40,1.0000000000,1,38,6a02981f5258af4cbf77334ee4b1b166c2ab38ab19ba2a3602f6ed00c188229c
matched_evaluation,budget_constrained_selection,Pareto Local Search,7,957716,1,120,897.6000000000,0.1013307195,0.2637580000,0.2652090000,nan,nan,40,3160,3200,0,217,3160,40,1.0000000000,1,40,3857a59f0bcfa6c0596613eba9887a17978e8ab6d123c4c89045f9558a359f11
matched_evaluation,budget_constrained_selection,BiLo-NSGA,7,957716,2,120,897.6000000000,0.1509340175,0.1206008000,0.1220760001,nan,nan,960,2240,3200,1731,757,23,40,1.0000000000,1,38,fb44d4a67c80fdf9c27fe6b0195f5fbf2cf47919cc268bf2f6b1e403b4adef7f
matched_evaluation,budget_constrained_selection,Pareto Local Search,8,965635,0,120,897.6000000000,0.1035251492,0.2594502000,0.2611354000,nan,nan,40,3160,3200,0,233,3160,40,1.0000000000,1,40,c1ddd4f305cb095e55614a2685c7888d8cca2edcadde16979639d1ebec038867
matched_evaluation,budget_constrained_selection,BiLo-NSGA,8,965635,1,120,897.6000000000,0.1369812471,0.1217569000,0.1232752000,nan,nan,915,2285,3200,1805,625,22,40,1.0000000000,1,38,c85c2c69051682b831273b387a9fdcc8ac62247d1eb25c70f694414e28e76522
matched_evaluation,budget_constrained_selection,NSGA-II,8,965635,2,120,897.6000000000,0.1689861074,0.1927442000,0.1941405999,nan,nan,3200,0,3200,0,0,79,40,1.0000000000,1,37,fec18c87b21c9ea364071bb11c2c54d9eb93dc6aa52024af850b4945b73d0f35
matched_evaluation,budget_constrained_selection,BiLo-NSGA,9,973554,0,120,897.6000000000,0.1585700519,0.1182039999,0.1197207000,nan,nan,951,2249,3200,1779,899,23,40,1.0000000000,1,39,9aeade7e06c9165ce3e157e72d929fcc00a3e7487b47e6fcd181e7e1412545c5
matched_evaluation,budget_constrained_selection,NSGA-II,9,973554,1,120,897.6000000000,0.1691587804,0.1929311000,0.1944782001,nan,nan,3200,0,3200,0,0,79,40,1.0000000000,1,38,99f928364b8005764141b3c4b5f7f37d8df957464c5dc30f20a13ae94774dc14
matched_evaluation,budget_constrained_selection,Pareto Local Search,9,973554,2,120,897.6000000000,0.1172537455,0.2572328000,0.2588667000,nan,nan,40,3160,3200,0,264,3160,40,1.0000000000,1,40,c04fe4e7f9d92091e71bd4a8a0c0ea2966b93ce7fb22cdc5dfaf3bb7cac56424
matched_evaluation,budget_constrained_selection,NSGA-II,10,981473,0,120,897.6000000000,0.1692456368,0.1949733001,0.1964896000,nan,nan,3200,0,3200,0,0,79,40,1.0000000000,1,39,80ed0bf57273e7f78b428cc0b992992e95b4146f027905830e1382d00beac701
matched_evaluation,budget_constrained_selection,Pareto Local Search,10,981473,1,120,897.6000000000,0.1034567380,0.2588324000,0.2604873000,nan,nan,40,3160,3200,0,187,3160,40,1.0000000000,1,40,02f05bf7669445a0ad03cacdab81cb9e25ba8bdae468a51988b5827da40fe6c6
matched_evaluation,budget_constrained_selection,BiLo-NSGA,10,981473,2,120,897.6000000000,0.1641534320,0.1228159000,0.1245439000,nan,nan,979,2221,3200,1711,701,24,40,1.0000000000,1,39,d3e972ce93af3f6edfa55945cb9d6e87e736ac07d41e75aadced31e4a52fb9b7
matched_evaluation,budget_constrained_selection,Pareto Local Search,11,989392,0,120,897.6000000000,0.1193100288,0.2592423001,0.2611398001,nan,nan,40,3160,3200,0,177,3160,40,1.0000000000,1,40,34ecb126faa0059b9b6acaede9fd3a9c9c06fb28e755508075569c85650f78ec
matched_evaluation,budget_constrained_selection,BiLo-NSGA,11,989392,1,120,897.6000000000,0.1628712074,0.1195344001,0.1214055000,nan,nan,960,2240,3200,1723,760,23,40,1.0000000000,1,39,bb2b24cee9bf5aa27fb9ea0dcbaa100fb691b13eeacbbde7bdfd5a0b5e3cd0e5
matched_evaluation,budget_constrained_selection,NSGA-II,11,989392,2,120,897.6000000000,0.1703991870,0.1930531999,0.1946666000,nan,nan,3200,0,3200,0,0,79,40,1.0000000000,1,39,c6c53da43ce0a2aaa056969ae5d8bbc4dc2f3186d0605761eae6125984f8b5fd
matched_evaluation,budget_constrained_selection,BiLo-NSGA,12,997311,0,120,897.6000000000,0.1463931309,0.1192103000,0.1209538000,nan,nan,880,2320,3200,1894,669,21,40,1.0000000000,1,38,36420af2fe023f23b637b7a4b5d78c4610c12c357d159d2dafdf57b436c950b4
matched_evaluation,budget_constrained_selection,NSGA-II,12,997311,1,120,897.6000000000,0.1656726905,0.1992853000,0.2011938000,nan,nan,3200,0,3200,0,0,79,40,1.0000000000,1,39,91277ac4d7ffa868ac77ff6aad5033dd25407285f4982255ea2b62b599a23338
matched_evaluation,budget_constrained_selection,Pareto Local Search,12,997311,2,120,897.6000000000,0.0825946225,0.2613890000,0.2631311000,nan,nan,40,3160,3200,0,201,3160,40,1.0000000000,1,40,4d29e9150717538bbc1e4244a6063da013db588c42d04ca488532c890f7fdfb9
matched_evaluation,budget_constrained_selection,NSGA-II,13,1005230,0,120,897.6000000000,0.1711169370,0.1963468000,0.1978309000,nan,nan,3200,0,3200,0,0,79,40,1.0000000000,1,38,efd82db2d243863370e4ef911d25601563796efc801806f5224dcfb91cadab80
matched_evaluation,budget_constrained_selection,Pareto Local Search,13,1005230,1,120,897.6000000000,0.1096035781,0.2582329999,0.2598140000,nan,nan,40,3160,3200,0,223,3160,40,1.0000000000,1,40,3d9ebc5754da8b07777a95ebe8dcd07f9f69e5eb073bee2101473242f432f8df
matched_evaluation,budget_constrained_selection,BiLo-NSGA,13,1005230,2,120,897.6000000000,0.1606316458,0.1253679000,0.1268348000,nan,nan,920,2280,3200,1795,683,22,40,1.0000000000,1,39,c782d292ac0f698bb605fbd6835d7029758369c8bc346cf8e78f1ef70c6b0c2e
matched_evaluation,budget_constrained_selection,Pareto Local Search,14,1013149,0,120,897.6000000000,0.1045119902,0.2631626001,0.2647949001,nan,nan,40,3160,3200,0,233,3160,40,1.0000000000,1,40,c15374a8390aa2ce19fe6acf8bfc8f743541157fd566034df08e453656901cdf
matched_evaluation,budget_constrained_selection,BiLo-NSGA,14,1013149,1,120,897.6000000000,0.1471589428,0.1185935000,0.1205852999,nan,nan,880,2320,3200,1874,655,21,40,1.0000000000,1,39,e6695046c9df335e5d05a772120368dbb33957ab938493fbe1082d83888f8f5e
matched_evaluation,budget_constrained_selection,NSGA-II,14,1013149,2,120,897.6000000000,0.1716309696,0.1961264000,0.1976435001,nan,nan,3200,0,3200,0,0,79,40,1.0000000000,1,38,516a34d866b57ff23598800f18debe9d7019b9dd0762f70c00a7e7093d64b9b8
matched_evaluation,budget_constrained_selection,BiLo-NSGA,15,1021068,0,120,897.6000000000,0.1613150650,0.1201528000,0.1218172000,nan,nan,960,2240,3200,1729,736,23,40,1.0000000000,1,39,63b19c50e7e8f6818f87bae75c1abe1e1147471970141e74785b97dee7f07952
matched_evaluation,budget_constrained_selection,NSGA-II,15,1021068,1,120,897.6000000000,0.1712276985,0.1965289999,0.1983001999,nan,nan,3200,0,3200,0,0,79,40,1.0000000000,1,36,85bedc7bfcd0d7e2876c3f03ec448202ca20dc93b2c5271e1aedbb10a2f73951
matched_evaluation,budget_constrained_selection,Pareto Local Search,15,1021068,2,120,897.6000000000,0.0943993818,0.2593754000,0.2613150999,nan,nan,40,3160,3200,0,187,3160,40,1.0000000000,1,40,dddd2fbbeb2ea3c38ddf45ac5ae9a34f4c2c190ab40375c2ccfe34d42d8b0e0a
matched_evaluation,budget_constrained_selection,NSGA-II,16,1028987,0,120,897.6000000000,0.1693306386,0.2052538000,0.2069593001,nan,nan,3200,0,3200,0,0,79,40,1.0000000000,1,39,5d2252fe2f8ca5562f23e41280f2fc0a182ed41ed880f1982b87b6f7230417b7
matched_evaluation,budget_constrained_selection,Pareto Local Search,16,1028987,1,120,897.6000000000,0.0935456979,0.2691402000,0.2708070000,nan,nan,40,3160,3200,0,243,3160,40,1.0000000000,1,40,dff19d1c7c0ebce6ab8612097623ddc4f797ea962e8bb75b2378b9c7bab58f76
matched_evaluation,budget_constrained_selection,BiLo-NSGA,16,1028987,2,120,897.6000000000,0.1441702413,0.1215911000,0.1242802000,nan,nan,920,2280,3200,1787,712,22,40,1.0000000000,1,39,3215a08fa5e1de0b0b631ce507cdf88d916c8379db0eae0ae1f9cd5fef9c1d76
matched_evaluation,budget_constrained_selection,Pareto Local Search,17,1036906,0,120,897.6000000000,0.1002933314,0.2619407000,0.2635146000,nan,nan,40,3160,3200,0,222,3160,40,1.0000000000,1,40,74acf4d84154ecfcca873726e40d40d46b80a16182b0666be245503414200583
matched_evaluation,budget_constrained_selection,BiLo-NSGA,17,1036906,1,120,897.6000000000,0.1329085021,0.1205611000,0.1222506000,nan,nan,920,2280,3200,1829,754,22,40,1.0000000000,1,39,e47a15e78c3b3695a0d005b841fb6ace2f087bd52f447d4d0075934386c31543
matched_evaluation,budget_constrained_selection,NSGA-II,17,1036906,2,120,897.6000000000,0.1702527761,0.1966874000,0.1981287000,nan,nan,3200,0,3200,0,0,79,40,1.0000000000,1,38,e091278742f8c519c00e6ca9c89eaa563f8c681234032c6fbcfb1be8bd148e62
matched_evaluation,budget_constrained_selection,BiLo-NSGA,18,1044825,0,120,897.6000000000,0.1480305840,0.1185861999,0.1201824000,nan,nan,939,2261,3200,1778,709,23,40,1.0000000000,1,39,51df446bead5d605e9fc3ce0eed62b5ea266cd130be064ebb3bdff496b2797ba
matched_evaluation,budget_constrained_selection,NSGA-II,18,1044825,1,120,897.6000000000,0.1701139463,0.2014210001,0.2030942000,nan,nan,3200,0,3200,0,0,79,40,1.0000000000,1,39,d5c96281663977c1fd425e8e4e7ba410ff18133556d9c224eb77a33265091528
matched_evaluation,budget_constrained_selection,Pareto Local Search,18,1044825,2,120,897.6000000000,0.0996092185,0.2767947000,0.2784998000,nan,nan,40,3160,3200,0,239,3160,40,1.0000000000,1,40,1215e56269825ccc9c1d969d85e37f32547ff676f7557cb679f920eb6ea3a934
matched_evaluation,budget_constrained_selection,NSGA-II,19,1052744,0,120,897.6000000000,0.1694195135,0.2021386001,0.2038410000,nan,nan,3200,0,3200,0,0,79,40,1.0000000000,1,39,d5e8c7be4282295933febcd5f9d2fb20665bea0c8e450fc2b6dfb95d838f4f1f
matched_evaluation,budget_constrained_selection,Pareto Local Search,19,1052744,1,120,897.6000000000,0.1172159513,0.2618019000,0.2633848001,nan,nan,40,3160,3200,0,208,3160,40,1.0000000000,1,40,f6c909fb0290295e6b81c7944b017c39035b9e199cb6d4f70908236f5913717f
matched_evaluation,budget_constrained_selection,BiLo-NSGA,19,1052744,2,120,897.6000000000,0.1437051749,0.1180420000,0.1197820000,nan,nan,920,2280,3200,1817,727,22,40,1.0000000000,1,39,03d56c3427d5882086ecd2619e8097e21ef2948652a9f2d456a57ff70e2b6697
matched_evaluation,budget_constrained_selection,Pareto Local Search,20,1060663,0,120,897.6000000000,0.1208355167,0.2623193001,0.2639969001,nan,nan,40,3160,3200,0,188,3160,40,1.0000000000,1,40,0a0b4cb3fcada5794608b6ace6990b9b0c74d032375d0f7a145d41527869e7fb
matched_evaluation,budget_constrained_selection,BiLo-NSGA,20,1060663,1,120,897.6000000000,0.1570553100,0.1198604000,0.1215866000,nan,nan,920,2280,3200,1783,723,22,40,1.0000000000,1,38,f731d8d196b2daf35cbb06ac02d6f9c5c75eadcb57c0068c602987de4f485447
matched_evaluation,budget_constrained_selection,NSGA-II,20,1060663,2,120,897.6000000000,0.1703317320,0.1955619000,0.1971610001,nan,nan,3200,0,3200,0,0,79,40,1.0000000000,1,39,1ebfc714d3d552723d2a5225b54400d2e4f7977ed6f4fee6b099dd83bc83af68
matched_evaluation,budget_constrained_selection,BiLo-NSGA,21,1068582,0,120,897.6000000000,0.1441386958,0.1200122000,0.1217854000,nan,nan,920,2280,3200,1812,719,22,40,1.0000000000,1,38,9a76701cfad438e6ea878a2c31254ff4c88425ce61493bf45d8bcbcd577bf520
matched_evaluation,budget_constrained_selection,NSGA-II,21,1068582,1,120,897.6000000000,0.1701521773,0.2027982001,0.2043472000,nan,nan,3200,0,3200,0,0,79,40,1.0000000000,1,39,081cb3a09b16b5078c8fb34da30807e1b8f56562d8ebdbe9b4681db54cecb8a9
matched_evaluation,budget_constrained_selection,Pareto Local Search,21,1068582,2,120,897.6000000000,0.1035343215,0.2591496999,0.2608549000,nan,nan,40,3160,3200,0,238,3160,40,1.0000000000,1,40,f4209e7021880166cce47ce798f2ee46c9f12d2dbd0501bdadc87ec4df2f28a2
matched_evaluation,budget_constrained_selection,NSGA-II,22,1076501,0,120,897.6000000000,0.1701334578,0.1942901000,0.1957743000,nan,nan,3200,0,3200,0,0,79,40,1.0000000000,1,38,d4ff8338ee77b7f0f88922e6e6330cbb5be980410bb658ed62d53963a4e49401
matched_evaluation,budget_constrained_selection,Pareto Local Search,22,1076501,1,120,897.6000000000,0.0965949314,0.2611715000,0.2628049001,nan,nan,40,3160,3200,0,183,3160,40,1.0000000000,1,40,1ea76a331a4c6049a0aff5eaca427b71e9ee30a6e01d6781830c583eaef06f80
matched_evaluation,budget_constrained_selection,BiLo-NSGA,22,1076501,2,120,897.6000000000,0.1449633996,0.1241165000,0.1257331000,nan,nan,920,2280,3200,1809,612,22,40,1.0000000000,1,38,16f7e106d82184f2dff87c046464454431908337eed7b663f1e5afe8d94c57bc
matched_evaluation,budget_constrained_selection,Pareto Local Search,23,1084420,0,120,897.6000000000,0.1186300244,0.2636673000,0.2652223000,nan,nan,40,3160,3200,0,162,3160,40,1.0000000000,1,40,d1be10a98ec5e5130675be3de1056dbd92baa178ae831919bdf3bb433cb1e0b9
matched_evaluation,budget_constrained_selection,BiLo-NSGA,23,1084420,1,120,897.6000000000,0.1422791830,0.1184702000,0.1202942000,nan,nan,920,2280,3200,1799,557,22,40,1.0000000000,1,39,7b80c426d392a9b105d26f7476b41c8a10c7b6d563b9e9c61a8d44205728ebfb
matched_evaluation,budget_constrained_selection,NSGA-II,23,1084420,2,120,897.6000000000,0.1717514140,0.1937177000,0.1954169000,nan,nan,3200,0,3200,0,0,79,40,1.0000000000,1,38,b22e72f58400896223dc5f6754b04d9891e2fb5006ddefee95728fea5fe1b55c
matched_evaluation,budget_constrained_selection,BiLo-NSGA,24,1092339,0,120,897.6000000000,0.1501663598,0.1184796001,0.1203349000,nan,nan,880,2320,3200,1864,769,21,40,1.0000000000,1,38,e741c135507dfd34f56f3d10331b01a3e293cf2e2de97fd7b5dfc721b4c9303c
matched_evaluation,budget_constrained_selection,NSGA-II,24,1092339,1,120,897.6000000000,0.1707593262,0.1962482000,0.1978851000,nan,nan,3200,0,3200,0,0,79,40,1.0000000000,1,39,f5be2b838d4b57d521119ab8ce16d2c5cd8204099e85234da5f1b0856b50987a
matched_evaluation,budget_constrained_selection,Pareto Local Search,24,1092339,2,120,897.6000000000,0.1048357320,0.2637579000,0.2655100001,nan,nan,40,3160,3200,0,243,3160,40,1.0000000000,1,40,5eb305c0e2e61fbbcb468273ac32298cb36d630bd535f98093a1ea2168d3b17a
matched_evaluation,budget_constrained_selection,NSGA-II,25,1100258,0,120,897.6000000000,0.1714759877,0.1976010001,0.1991528000,nan,nan,3200,0,3200,0,0,79,40,1.0000000000,1,39,b5b5b165fcf5bca377554b6de822911b7a29325cf9f9ede020a5aeff58a2f08e
matched_evaluation,budget_constrained_selection,Pareto Local Search,25,1100258,1,120,897.6000000000,0.1023839025,0.2668598000,0.2685582000,nan,nan,40,3160,3200,0,220,3160,40,1.0000000000,1,40,284e90d59cf6abec284ac7373a4638982a4129181bdf24ef49830df49d3abd07
matched_evaluation,budget_constrained_selection,BiLo-NSGA,25,1100258,2,120,897.6000000000,0.1343288680,0.1207653000,0.1225566000,nan,nan,975,2225,3200,1754,764,24,40,1.0000000000,1,39,cb0866ed75c646799e29e93dc026471462172f2aa9a170efbee3f19cfa2e17d6
matched_evaluation,budget_constrained_selection,Pareto Local Search,26,1108177,0,120,897.6000000000,0.1016826310,0.2579636000,0.2596356000,nan,nan,40,3160,3200,0,172,3160,40,1.0000000000,1,40,a1a9eb2486fdeee4cdea7df95ff165cab2345bbeeff780c615d9eb1d9141ab74
matched_evaluation,budget_constrained_selection,BiLo-NSGA,26,1108177,1,120,897.6000000000,0.1627073612,0.1198988999,0.1214422999,nan,nan,959,2241,3200,1759,647,23,40,1.0000000000,1,39,19aaad9e0d6f6ab6eef1204f6e8c184c50b87179e708f5192f58b273fcd0e80f
matched_evaluation,budget_constrained_selection,NSGA-II,26,1108177,2,120,897.6000000000,0.1691026247,0.1934806000,0.1950476001,nan,nan,3200,0,3200,0,0,79,40,1.0000000000,1,38,d569db6581d9117fbb5293364983423cc3bd51c47c2ef4307da8bb81a19fc5a5
matched_evaluation,budget_constrained_selection,BiLo-NSGA,27,1116096,0,120,897.6000000000,0.1326444045,0.1181570000,0.1197314000,nan,nan,880,2320,3200,1867,650,21,40,1.0000000000,1,38,251b33cb4ba5afd0f7300f8de136761a5fc409a84e7457d243e113690699180c
matched_evaluation,budget_constrained_selection,NSGA-II,27,1116096,1,120,897.6000000000,0.1700281548,0.1989687000,0.2007819001,nan,nan,3200,0,3200,0,0,79,40,1.0000000000,1,39,82d46e649f432fb6c8fb79aa39db9a8e0a6818c8e57686271fa0d78cde9613ad
matched_evaluation,budget_constrained_selection,Pareto Local Search,27,1116096,2,120,897.6000000000,0.1079984988,0.2598247001,0.2615283000,nan,nan,40,3160,3200,0,252,3160,40,1.0000000000,1,40,617d286f4dd374d04350a1e8133978cbd7f6bf40c8659174d2669ec9e702414a
matched_evaluation,budget_constrained_selection,NSGA-II,28,1124015,0,120,897.6000000000,0.1676269443,0.1975207001,0.1990529001,nan,nan,3200,0,3200,0,0,79,40,1.0000000000,1,38,d8ef28f616a6d3e32f49ad80f66a63d7aa68a497942d52aaa803c2bbb85bf1d9
matched_evaluation,budget_constrained_selection,Pareto Local Search,28,1124015,1,120,897.6000000000,0.1048859303,0.2622087001,0.2640773001,nan,nan,40,3160,3200,0,164,3160,40,1.0000000000,1,40,6dd49a1e5c3ef9c4984ce481cbccb3d7b7365e27ab32a9e023ac3328579f4718
matched_evaluation,budget_constrained_selection,BiLo-NSGA,28,1124015,2,120,897.6000000000,0.1621118571,0.1229661000,0.1244324000,nan,nan,928,2272,3200,1766,697,23,40,1.0000000000,1,38,ed1732b1eca2dbb597921912d05367ab68e59eef6b8bb80a8c46e6338127c037
matched_evaluation,budget_constrained_selection,Pareto Local Search,29,1131934,0,120,897.6000000000,0.1095738414,0.2614514000,0.2631621000,nan,nan,40,3160,3200,0,207,3160,40,1.0000000000,1,40,74eeb68ba6fd4f925a2d052127af5eed082f9880c272fbb7136396443bbcdba6
matched_evaluation,budget_constrained_selection,BiLo-NSGA,29,1131934,1,120,897.6000000000,0.1470081781,0.1214474000,0.1232178999,nan,nan,920,2280,3200,1808,717,22,40,1.0000000000,1,39,929247383dd78839826a8f75e18e53764ee007248cd937099927c9fdfd433d32
matched_evaluation,budget_constrained_selection,NSGA-II,29,1131934,2,120,897.6000000000,0.1712022184,0.2022087999,0.2039202000,nan,nan,3200,0,3200,0,0,79,40,1.0000000000,1,39,de4cfe119ace83ffce0ce1b16ed447043dc14d2fd84571fac5f6c129556a2d69
matched_evaluation,reliability_prioritized_review,BiLo-NSGA,0,900374,0,80,1020.0000000000,0.1705758712,0.1148095999,0.1163504000,nan,nan,1024,2176,3200,1624,491,25,40,1.0000000000,1,39,932a7bd4a8b5af086567d4b5ae93a5ff914a94130ba5853d865b9e7f16c8deaf
matched_evaluation,reliability_prioritized_review,NSGA-II,0,900374,1,80,1020.0000000000,0.1691170274,0.1942109000,0.1956187000,nan,nan,3200,0,3200,0,0,79,40,1.0000000000,1,38,5d771527fa1fd234e4f12017aa214eac2cc0d1f8c5657e54466f8d02fc077721
matched_evaluation,reliability_prioritized_review,Pareto Local Search,0,900374,2,80,1020.0000000000,0.1186930595,0.2536756999,0.2553621000,nan,nan,40,3160,3200,0,60,3160,40,1.0000000000,1,40,abbb2a247e2bab18b541be6b0cee8251eb344e6c67f218834603a11712ad7160
matched_evaluation,reliability_prioritized_review,NSGA-II,1,908293,0,80,1020.0000000000,0.1700827322,0.1946494000,0.1960837999,nan,nan,3200,0,3200,0,0,79,40,1.0000000000,1,37,1bd6e3ee4651a93319689f1da228fdf3f500f36e5a0ee47e1551f27b8c6fc635
matched_evaluation,reliability_prioritized_review,Pareto Local Search,1,908293,1,80,1020.0000000000,0.1039973644,0.2614528000,0.2632747000,nan,nan,40,3160,3200,0,98,3160,40,1.0000000000,1,40,b0362c4deb53599503d879671debd09482b2cebe9c8c4248aa8e927524424711
matched_evaluation,reliability_prioritized_review,BiLo-NSGA,1,908293,2,80,1020.0000000000,0.1497386186,0.1149515000,0.1171672000,nan,nan,989,2211,3200,1708,517,24,40,1.0000000000,1,39,4f2d6137e9ea84eb973b5d6e2228ef7c8e7cc784422b69e2e8ee0ce2f2ab71fe
