paper,experiment_id,comparison,opponent_role,n_per_group,mean_proposed,mean_opponent,mean_diff,u_statistic,p_value,p_holm,significant_005_holm
p6,project_pool_scalability,BiLo-NSGA vs MOEA/D,baseline,30,0.18305815,0.03510778,0.14795037,900.00,2.81094e-11,3.37313e-10,True
p6,project_pool_scalability,BiLo-NSGA vs NSGA-II,baseline,30,0.18305815,0.17703361,0.00602454,900.00,3.01986e-11,3.37313e-10,True
p6,project_pool_scalability,BiLo-NSGA vs NSGA-III,baseline,30,0.18305815,0.17130047,0.01175768,900.00,3.01986e-11,3.37313e-10,True
p6,project_pool_scalability,BiLo-NSGA vs Random Feasible,baseline,30,0.18305815,0.07280886,0.11024929,900.00,3.01986e-11,3.37313e-10,True
p6,ranking_robustness,BiLo-NSGA vs AHP-TOPSIS,baseline,30,0.17700167,0.13872715,0.03827452,900.00,1.21178e-12,1.81767e-11,True
p6,ranking_robustness,BiLo-NSGA vs Ablation-LooseBudget,ablation,30,0.17700167,0.16831959,0.00868208,832.00,1.69795e-08,1.52816e-07,True
p6,ranking_robustness,BiLo-NSGA vs Ablation-LowDependencyDensity,ablation,30,0.17700167,0.17532014,0.00168153,509.00,0.3871,1,False
p6,ranking_robustness,BiLo-NSGA vs Ablation-NoBackwardSearch,ablation,30,0.17700167,0.17685980,0.00014188,491.00,0.549327,1,False
p6,ranking_robustness,BiLo-NSGA vs Ablation-NoDependencyMoves,ablation,30,0.17700167,0.17576014,0.00124153,536.00,0.206205,1,False
p6,ranking_robustness,BiLo-NSGA vs Ablation-NoFeasibilityRecovery,ablation,30,0.17700167,0.17608076,0.00092091,469.00,0.78446,1,False
p6,ranking_robustness,BiLo-NSGA vs Ablation-NoForwardSearch,ablation,30,0.17700167,0.17461295,0.00238872,798.00,2.78287e-07,1.94801e-06,True
p6,ranking_robustness,BiLo-NSGA vs Ablation-RandomMutationOnly,ablation,30,0.17700167,0.17509407,0.00190760,788.00,6.04595e-07,3.62757e-06,True
p6,ranking_robustness,BiLo-NSGA vs Ablation-ShallowLocalSearch,ablation,30,0.17700167,0.17589394,0.00110773,530.00,0.23985,1,False
p6,ranking_robustness,BiLo-NSGA vs Ablation-WeightedRankingOnly,ablation,30,0.17700167,0.03649441,0.14050726,900.00,1.21178e-12,1.81767e-11,True
p6,ranking_robustness,BiLo-NSGA vs Greedy BCR,baseline,30,0.17700167,0.04164481,0.13535686,900.00,1.21178e-12,1.81767e-11,True
p6,ranking_robustness,BiLo-NSGA vs MOEA/D,baseline,30,0.17700167,0.03375609,0.14324558,900.00,2.92655e-11,3.51186e-10,True
p6,ranking_robustness,BiLo-NSGA vs NSGA-II,baseline,30,0.17700167,0.17328443,0.00371724,814.00,7.69496e-08,6.15597e-07,True
p6,ranking_robustness,BiLo-NSGA vs NSGA-III,baseline,30,0.17700167,0.16539526,0.01160641,851.00,3.19674e-09,3.19674e-08,True
p6,ranking_robustness,BiLo-NSGA vs Random Feasible,baseline,30,0.17700167,0.06044814,0.11655353,900.00,3.01986e-11,3.51186e-10,True
p6,reliability_prioritized_review,BiLo-NSGA vs AHP-TOPSIS,baseline,30,0.17272693,0.13974487,0.03298206,900.00,1.21178e-12,1.81767e-11,True
p6,reliability_prioritized_review,BiLo-NSGA vs Ablation-LooseBudget,ablation,30,0.17272693,0.16529657,0.00743036,891.00,7.38908e-11,7.38908e-10,True
p6,reliability_prioritized_review,BiLo-NSGA vs Ablation-LowDependencyDensity,ablation,30,0.17272693,0.17232286,0.00040407,519.00,0.311188,0.554378,False
p6,reliability_prioritized_review,BiLo-NSGA vs Ablation-NoBackwardSearch,ablation,30,0.17272693,0.17210518,0.00062175,572.00,0.0724456,0.289782,False
p6,reliability_prioritized_review,BiLo-NSGA vs Ablation-NoDependencyMoves,ablation,30,0.17272693,0.17257037,0.00015656,376.00,0.277189,0.554378,False
p6,reliability_prioritized_review,BiLo-NSGA vs Ablation-NoFeasibilityRecovery,ablation,30,0.17272693,0.17155210,0.00117483,548.00,0.149449,0.448346,False
p6,reliability_prioritized_review,BiLo-NSGA vs Ablation-NoForwardSearch,ablation,30,0.17272693,0.17087175,0.00185518,811.00,9.83289e-08,6.88302e-07,True
p6,reliability_prioritized_review,BiLo-NSGA vs Ablation-RandomMutationOnly,ablation,30,0.17272693,0.17182327,0.00090366,615.00,0.0150141,0.0750707,False
p6,reliability_prioritized_review,BiLo-NSGA vs Ablation-ShallowLocalSearch,ablation,30,0.17272693,0.17121521,0.00151172,643.00,0.00442719,0.0265632,True
p6,reliability_prioritized_review,BiLo-NSGA vs Ablation-WeightedRankingOnly,ablation,30,0.17272693,0.03231690,0.14041003,900.00,1.21178e-12,1.81767e-11,True
p6,reliability_prioritized_review,BiLo-NSGA vs Greedy BCR,baseline,30,0.17272693,0.03242843,0.14029850,900.00,1.21178e-12,1.81767e-11,True
p6,reliability_prioritized_review,BiLo-NSGA vs MOEA/D,baseline,30,0.17272693,0.00324524,0.16948169,900.00,1.21178e-12,1.81767e-11,True
p6,reliability_prioritized_review,BiLo-NSGA vs NSGA-II,baseline,30,0.17272693,0.17047431,0.00225262,816.00,6.52774e-08,5.22219e-07,True
p6,reliability_prioritized_review,BiLo-NSGA vs NSGA-III,baseline,30,0.17272693,0.16579191,0.00693502,869.00,6.12104e-10,5.50894e-09,True
p6,reliability_prioritized_review,BiLo-NSGA vs Random Feasible,baseline,30,0.17272693,0.06855025,0.10417668,900.00,3.01986e-11,3.32185e-10,True
p6,renewable_accommodation_review,BiLo-NSGA vs AHP-TOPSIS,baseline,30,0.17422169,0.14098635,0.03323534,900.00,1.21178e-12,1.81767e-11,True
p6,renewable_accommodation_review,BiLo-NSGA vs Ablation-LooseBudget,ablation,30,0.17422169,0.15585156,0.01837013,842.00,7.11859e-09,7.11859e-08,True
p6,renewable_accommodation_review,BiLo-NSGA vs Ablation-LowDependencyDensity,ablation,30,0.17422169,0.17453474,-0.00031305,445.00,0.946956,1,False
p6,renewable_accommodation_review,BiLo-NSGA vs Ablation-NoBackwardSearch,ablation,30,0.17422169,0.17394368,0.00027801,468.00,0.795846,1,False
p6,renewable_accommodation_review,BiLo-NSGA vs Ablation-NoDependencyMoves,ablation,30,0.17422169,0.17371095,0.00051074,506.00,0.411911,1,False
p6,renewable_accommodation_review,BiLo-NSGA vs Ablation-NoFeasibilityRecovery,ablation,30,0.17422169,0.17309088,0.00113081,495.00,0.510598,1,False
p6,renewable_accommodation_review,BiLo-NSGA vs Ablation-NoForwardSearch,ablation,30,0.17422169,0.17517880,-0.00095712,425.00,0.717189,1,False
p6,renewable_accommodation_review,BiLo-NSGA vs Ablation-RandomMutationOnly,ablation,30,0.17422169,0.17545856,-0.00123687,482.00,0.641424,1,False
p6,renewable_accommodation_review,BiLo-NSGA vs Ablation-ShallowLocalSearch,ablation,30,0.17422169,0.17510271,-0.00088102,407.00,0.529782,1,False
p6,renewable_accommodation_review,BiLo-NSGA vs Ablation-WeightedRankingOnly,ablation,30,0.17422169,0.05730922,0.11691247,900.00,1.21178e-12,1.81767e-11,True
p6,renewable_accommodation_review,BiLo-NSGA vs Greedy BCR,baseline,30,0.17422169,0.05730922,0.11691247,900.00,1.21178e-12,1.81767e-11,True
p6,renewable_accommodation_review,BiLo-NSGA vs MOEA/D,baseline,30,0.17422169,0.03664081,0.13758088,900.00,2.9991e-11,3.59892e-10,True
p6,renewable_accommodation_review,BiLo-NSGA vs NSGA-II,baseline,30,0.17422169,0.17490115,-0.00067946,482.00,0.641424,1,False
p6,renewable_accommodation_review,BiLo-NSGA vs NSGA-III,baseline,30,0.17422169,0.17282468,0.00139701,623.00,0.0107626,0.0968635,False
p6,renewable_accommodation_review,BiLo-NSGA vs Random Feasible,baseline,30,0.17422169,0.10246676,0.07175493,900.00,3.01986e-11,3.59892e-10,True
