run_namespace,cap,horizon_hours,architecture,seed_index,seed,parameter_count,epochs,batch_size,checkpoint_epochs,execution_status,failure_code,sanitized_exception_class,training_runtime_s
p1_ieee_access_upgrade_v2,0.70,24,LSTM,4,71,10993,20,256,5|10|15|20,completed,,,0.6103002
p1_ieee_access_upgrade_v2,0.70,24,DLinear,4,71,106,20,256,5|10|15|20,completed,,,0.4712076
p1_ieee_access_upgrade_v2,0.70,24,TCN,4,71,28273,20,256,5|10|15|20,completed,,,1.0153663
p1_ieee_access_upgrade_v2,0.70,24,GRU,5,83,8257,20,256,5|10|15|20,completed,,,0.5295111
p1_ieee_access_upgrade_v2,0.70,24,LSTM,5,83,10993,20,256,5|10|15|20,completed,,,0.4916075
p1_ieee_access_upgrade_v2,0.70,24,DLinear,5,83,106,20,256,5|10|15|20,completed,,,0.3955121
p1_ieee_access_upgrade_v2,0.70,24,TCN,5,83,28273,20,256,5|10|15|20,completed,,,0.8133233
p1_ieee_access_upgrade_v2,0.70,24,GRU,6,97,8257,20,256,5|10|15|20,completed,,,0.5143848
p1_ieee_access_upgrade_v2,0.70,24,LSTM,6,97,10993,20,256,5|10|15|20,completed,,,0.5068103
p1_ieee_access_upgrade_v2,0.70,24,DLinear,6,97,106,20,256,5|10|15|20,completed,,,0.3823445
p1_ieee_access_upgrade_v2,0.70,24,TCN,6,97,28273,20,256,5|10|15|20,completed,,,0.8196288
p1_ieee_access_upgrade_v2,0.70,24,GRU,7,109,8257,20,256,5|10|15|20,completed,,,0.5132603
p1_ieee_access_upgrade_v2,0.70,24,LSTM,7,109,10993,20,256,5|10|15|20,completed,,,0.5202282
p1_ieee_access_upgrade_v2,0.70,24,DLinear,7,109,106,20,256,5|10|15|20,completed,,,0.3763306
p1_ieee_access_upgrade_v2,0.70,24,TCN,7,109,28273,20,256,5|10|15|20,completed,,,0.8180225
p1_ieee_access_upgrade_v2,0.70,24,GRU,8,127,8257,20,256,5|10|15|20,completed,,,0.5345261
p1_ieee_access_upgrade_v2,0.70,24,LSTM,8,127,10993,20,256,5|10|15|20,completed,,,0.6566699
p1_ieee_access_upgrade_v2,0.70,24,DLinear,8,127,106,20,256,5|10|15|20,completed,,,0.483517
p1_ieee_access_upgrade_v2,0.70,24,TCN,8,127,28273,20,256,5|10|15|20,completed,,,0.9647598
p1_ieee_access_upgrade_v2,0.70,24,GRU,9,139,8257,20,256,5|10|15|20,completed,,,0.631947
p1_ieee_access_upgrade_v2,0.70,24,LSTM,9,139,10993,20,256,5|10|15|20,completed,,,0.6224853
p1_ieee_access_upgrade_v2,0.70,24,DLinear,9,139,106,20,256,5|10|15|20,completed,,,0.4476117
p1_ieee_access_upgrade_v2,0.70,24,TCN,9,139,28273,20,256,5|10|15|20,completed,,,1.022832
p1_ieee_access_upgrade_v2,0.60,1,GRU,0,11,8257,20,256,5|10|15|20,completed,,,0.6025188
p1_ieee_access_upgrade_v2,0.60,1,LSTM,0,11,10993,20,256,5|10|15|20,completed,,,0.6545739
p1_ieee_access_upgrade_v2,0.60,1,DLinear,0,11,106,20,256,5|10|15|20,completed,,,0.5356039
p1_ieee_access_upgrade_v2,0.60,1,TCN,0,11,28273,20,256,5|10|15|20,completed,,,1.0116043
p1_ieee_access_upgrade_v2,0.60,1,GRU,1,23,8257,20,256,5|10|15|20,completed,,,0.6219505
p1_ieee_access_upgrade_v2,0.60,1,LSTM,1,23,10993,20,256,5|10|15|20,completed,,,0.564756
p1_ieee_access_upgrade_v2,0.60,1,DLinear,1,23,106,20,256,5|10|15|20,completed,,,0.3835861
p1_ieee_access_upgrade_v2,0.60,1,TCN,1,23,28273,20,256,5|10|15|20,completed,,,0.82327
p1_ieee_access_upgrade_v2,0.60,1,GRU,2,47,8257,20,256,5|10|15|20,completed,,,0.5151643
p1_ieee_access_upgrade_v2,0.60,1,LSTM,2,47,10993,20,256,5|10|15|20,completed,,,0.4982358
p1_ieee_access_upgrade_v2,0.60,1,DLinear,2,47,106,20,256,5|10|15|20,completed,,,0.443765
p1_ieee_access_upgrade_v2,0.60,1,TCN,2,47,28273,20,256,5|10|15|20,completed,,,0.9987424
p1_ieee_access_upgrade_v2,0.60,1,GRU,3,59,8257,20,256,5|10|15|20,completed,,,0.5522776
p1_ieee_access_upgrade_v2,0.60,1,LSTM,3,59,10993,20,256,5|10|15|20,completed,,,0.5376907
p1_ieee_access_upgrade_v2,0.60,1,DLinear,3,59,106,20,256,5|10|15|20,completed,,,0.4085006
p1_ieee_access_upgrade_v2,0.60,1,TCN,3,59,28273,20,256,5|10|15|20,completed,,,0.9064854
p1_ieee_access_upgrade_v2,0.60,1,GRU,4,71,8257,20,256,5|10|15|20,completed,,,0.5594548
p1_ieee_access_upgrade_v2,0.60,1,LSTM,4,71,10993,20,256,5|10|15|20,completed,,,0.5362293
p1_ieee_access_upgrade_v2,0.60,1,DLinear,4,71,106,20,256,5|10|15|20,completed,,,0.4057013
p1_ieee_access_upgrade_v2,0.60,1,TCN,4,71,28273,20,256,5|10|15|20,completed,,,1.033503
p1_ieee_access_upgrade_v2,0.60,1,GRU,5,83,8257,20,256,5|10|15|20,completed,,,0.6060117
p1_ieee_access_upgrade_v2,0.60,1,LSTM,5,83,10993,20,256,5|10|15|20,completed,,,0.6218029
