subset,method,method_role,mean_dispatch_cost_index,mean_constraint_violation_rate,mean_renewable_curtailment_rate,mean_topology_risk_proxy,mean_retrieval_hit_rate,composite_dispatch_score,runs
high_renewable,Ablation-NoRetrievalBank,ablation,0.20940129,0.00034171,0.02250316,0.34366222,0.00000000,0.32093101,121
high_renewable,GRU-Direct Proxy,baseline,0.21805194,0.00034171,0.03227034,0.34625742,0.00000000,0.33652877,121
high_renewable,PSO Dispatch Proxy,baseline,0.23843247,0.00000000,0.05559828,0.35134646,0.00000000,0.37337059,121
high_renewable,Ablation-SingleObjective,ablation,0.23843247,0.00000000,0.05559828,0.35134646,0.83161157,0.37337059,121
high_renewable,GA Dispatch Proxy,baseline,0.25113428,0.00000000,0.07046899,0.35515700,0.00000000,0.39731046,121
high_renewable,Reserve-Aware ED,baseline,0.28200166,0.00000000,0.10745269,0.36441721,0.00000000,0.45736233,121
high_renewable,Merit-Order ED,baseline,0.30017748,0.00000000,0.12972513,0.36986996,0.00000000,0.49397583,121
high_topology,DSTAR-GRU,proposed,0.57290590,0.00034171,0.00000000,0.36150843,0.32541322,0.88435443,121
high_topology,Renewable-First ED,baseline,0.57290590,0.00034171,0.00000000,0.36150843,0.00000000,0.88435443,121
high_topology,GRU-Direct Proxy,baseline,0.57290590,0.00034171,0.00000000,0.36150843,0.00000000,0.88435443,121
high_topology,CNN-LSTM Proxy,baseline,0.57290590,0.00034171,0.00000000,0.36150843,0.00000000,0.88435443,121
high_topology,Ablation-NoSiamese,ablation,0.57290590,0.00034171,0.00000000,0.36150843,0.00000000,0.88435443,121
high_topology,Ablation-LSTMEncoder,ablation,0.57290590,0.00034171,0.00000000,0.36150843,0.32541322,0.88435443,121
high_topology,Ablation-NoRetrievalBank,ablation,0.57290590,0.00034171,0.00000000,0.36150843,0.00000000,0.88435443,121
high_topology,Ablation-NoTopology,ablation,0.57290590,0.00034171,0.00000000,0.36150843,0.32541322,0.88435443,121
high_topology,Ablation-SmallBank,ablation,0.57290590,0.00034171,0.00000000,0.36150843,0.03822314,0.88435443,121
high_topology,PSO Dispatch Proxy,baseline,0.57402475,0.00000000,0.00138550,0.36081896,0.00000000,0.88525999,121
high_topology,Ablation-SingleObjective,ablation,0.57402475,0.00000000,0.00138550,0.36081896,0.32541322,0.88525999,121
high_topology,GA Dispatch Proxy,baseline,0.57543703,0.00000000,0.00316257,0.36124264,0.00000000,0.88851952,121
high_topology,Reserve-Aware ED,baseline,0.57889342,0.00000000,0.00755714,0.36227956,0.00000000,0.89653765,121
high_topology,Merit-Order ED,baseline,0.58123312,0.00000000,0.01059765,0.36298147,0.00000000,0.90201019,121
ramp_stress,DSTAR-GRU,proposed,0.55365780,0.00034171,0.00000000,0.36064339,0.33161157,0.85392410,121
ramp_stress,Renewable-First ED,baseline,0.55365780,0.00034171,0.00000000,0.36064339,0.00000000,0.85392410,121
ramp_stress,Ablation-NoTopology,ablation,0.55375549,0.00034171,0.00010713,0.36067269,0.33161157,0.85414063,121
ramp_stress,Ablation-SmallBank,ablation,0.55404145,0.00034171,0.00042329,0.36075848,0.04235537,0.85477562,121
ramp_stress,Ablation-LSTMEncoder,ablation,0.55420674,0.00034171,0.00060631,0.36080807,0.33161157,0.85514285,121
ramp_stress,Ablation-NoSiamese,ablation,0.55437203,0.00034171,0.00078933,0.36085765,0.00000000,0.85551015,121
ramp_stress,CNN-LSTM Proxy,baseline,0.55470261,0.00034171,0.00115537,0.36095683,0.00000000,0.85624495,121
ramp_stress,Ablation-NoRetrievalBank,ablation,0.55470261,0.00034171,0.00115537,0.36095683,0.00000000,0.85624495,121
ramp_stress,GRU-Direct Proxy,baseline,0.55503318,0.00034171,0.00152141,0.36105600,0.00000000,0.85698001,121
ramp_stress,PSO Dispatch Proxy,baseline,0.55671417,0.00000000,0.00351394,0.36053517,0.00000000,0.85915611,121
ramp_stress,Ablation-SingleObjective,ablation,0.55671417,0.00000000,0.00351394,0.36053517,0.33161157,0.85915611,121
ramp_stress,GA Dispatch Proxy,baseline,0.55829174,0.00000000,0.00544835,0.36100844,0.00000000,0.86274302,121
ramp_stress,Reserve-Aware ED,baseline,0.56224302,0.00000000,0.01037966,0.36219383,0.00000000,0.87178956,121
ramp_stress,Merit-Order ED,baseline,0.56499072,0.00000000,0.01391078,0.36301814,0.00000000,0.87814517,121
renewable_ramp_stress,DSTAR-GRU,proposed,0.23143582,0.00206733,0.00000000,0.36413735,0.43750000,0.35976128,20
renewable_ramp_stress,Renewable-First ED,baseline,0.23143582,0.00206733,0.00000000,0.36413735,0.00000000,0.35976128,20
renewable_ramp_stress,Ablation-NoTopology,ablation,0.23202683,0.00206733,0.00064816,0.36431465,0.43750000,0.36084696,20
renewable_ramp_stress,Ablation-SmallBank,ablation,0.23375688,0.00206733,0.00256093,0.36483367,0.05625000,0.36403250,20
renewable_ramp_stress,Ablation-LSTMEncoder,ablation,0.23475688,0.00206733,0.00366819,0.36513367,0.43750000,0.36587741,20
renewable_ramp_stress,Ablation-NoSiamese,ablation,0.23575688,0.00206733,0.00477545,0.36543367,0.00000000,0.36772477,20
renewable_ramp_stress,CNN-LSTM Proxy,baseline,0.23775688,0.00206733,0.00698998,0.36603367,0.00000000,0.37142684,20
renewable_ramp_stress,Ablation-NoRetrievalBank,ablation,0.23775688,0.00206733,0.00698998,0.36603367,0.00000000,0.37142684,20
renewable_ramp_stress,GRU-Direct Proxy,baseline,0.23975688,0.00206733,0.00920450,0.36663367,0.00000000,0.37513871,20
renewable_ramp_stress,PSO Dispatch Proxy,baseline,0.24992683,0.00000000,0.02125934,0.36348267,0.00000000,0.38991223,20
renewable_ramp_stress,Ablation-SingleObjective,ablation,0.24992683,0.00000000,0.02125934,0.36348267,0.43750000,0.38991223,20
renewable_ramp_stress,GA Dispatch Proxy,baseline,0.25947112,0.00000000,0.03296254,0.36634595,0.00000000,0.40804239,20
renewable_ramp_stress,Reserve-Aware ED,baseline,0.28337636,0.00000000,0.06279693,0.37351752,0.00000000,0.45460202,20
renewable_ramp_stress,Merit-Order ED,baseline,0.30000000,0.00000000,0.08416024,0.37850462,0.00000000,0.48800073,20
