horizon_hours,metric,comparison,opponent_role,n,mean_proposed,mean_opponent,proposed_better,u_statistic,p_value,p_holm,significant_005_holm,mean_difference,mean_diff_ci_low,mean_diff_ci_high,rank_biserial_proposed_greater,ci_scope
1,onset_f1,DSTAR-GRU vs Ablation-SmallBank,ablation,10,0.1761139,0.042458,True,100.0,6.38644e-05,0.00172434,True,0.1336559,0.128903005,0.138295995,1.0,pointwise_multiplicity_unadjusted
1,onset_f1,DSTAR-GRU vs DLinear,baseline,10,0.1761139,0.122143,True,100.0,0.000182672,0.00401878,True,0.05397089999999999,0.04122638750000002,0.0667345375,1.0,pointwise_multiplicity_unadjusted
1,onset_f1,DSTAR-GRU vs LSTM,baseline,10,0.1761139,0.1735141,True,62.5,0.364166,1.0,False,0.0025997999999999855,-0.0033657424999999725,0.008413652500000018,0.25,pointwise_multiplicity_unadjusted
1,onset_f1,DSTAR-GRU vs MLP,baseline,10,0.1761139,0.1623016,True,77.0,0.0451546,0.361237,False,0.0138123,0.0027311175000000166,0.027643097499999963,0.54,pointwise_multiplicity_unadjusted
1,onset_f1,DSTAR-GRU vs TCN,baseline,10,0.1761139,0.1651694,True,56.0,0.677585,1.0,False,0.010944499999999996,-0.0036309750000000037,0.029162279999999964,0.1200000000000001,pointwise_multiplicity_unadjusted
24,curtailment_mae,DSTAR-GRU vs Ablation-LSTMEncoder,ablation,10,0.02054281,0.02032465,False,67.0,0.212294,1.0,False,0.00021815899999999902,-9.562982499999975e-05,0.0005337333500000061,0.3400000000000001,pointwise_multiplicity_unadjusted
24,curtailment_mae,DSTAR-GRU vs Ablation-NoRetrievalBank,ablation,10,0.02054281,0.02195273,True,0.0,0.000182672,0.00383611,True,-0.0014099189999999956,-0.0021403558249999985,-0.0008788508249999959,-1.0,pointwise_multiplicity_unadjusted
24,curtailment_mae,DSTAR-GRU vs Ablation-NoSiamese,ablation,10,0.02054281,0.01946336,False,100.0,6.38644e-05,0.00172434,True,0.001079452000000005,0.0009191100750000061,0.0012259725000000048,1.0,pointwise_multiplicity_unadjusted
24,curtailment_mae,DSTAR-GRU vs Ablation-NoTopology,ablation,10,0.02054281,0.02034663,False,68.0,0.185877,1.0,False,0.00019618300000000255,-4.248307499999555e-05,0.0004547751500000032,0.3600000000000001,pointwise_multiplicity_unadjusted
24,curtailment_mae,DSTAR-GRU vs Ablation-SmallBank,ablation,10,0.02054281,0.01534389,False,100.0,6.38644e-05,0.00172434,True,0.005198921999999998,0.00504427205,0.0053445111250000005,1.0,pointwise_multiplicity_unadjusted
24,curtailment_mae,DSTAR-GRU vs DLinear,baseline,10,0.02054281,0.0282276,True,0.0,0.000182672,0.00383611,True,-0.007684787999999998,-0.008906342675,-0.0063583833249999935,-1.0,pointwise_multiplicity_unadjusted
24,curtailment_mae,DSTAR-GRU vs LSTM,baseline,10,0.02054281,0.02196195,True,6.0,0.00100798,0.0141117,True,-0.0014191399999999993,-0.001947866950000004,-0.000867774175,-0.88,pointwise_multiplicity_unadjusted
24,curtailment_mae,DSTAR-GRU vs MLP,baseline,10,0.02054281,0.02664181,True,0.0,0.000182672,0.00383611,True,-0.006098996999999998,-0.007657297850000001,-0.004712346175000002,-1.0,pointwise_multiplicity_unadjusted
24,curtailment_mae,DSTAR-GRU vs TCN,baseline,10,0.02054281,0.0221986,True,25.0,0.0640221,0.768265,False,-0.0016557849999999964,-0.002980962299999999,-0.0003011219999999994,-0.5,pointwise_multiplicity_unadjusted
24,onset_mae,DSTAR-GRU vs Ablation-LSTMEncoder,ablation,10,0.11082187,0.11111369,True,38.0,0.384673,1.0,False,-0.0002918199999999843,-0.0015994874249999902,0.0012603079000000196,-0.24,pointwise_multiplicity_unadjusted
24,onset_mae,DSTAR-GRU vs Ablation-NoRetrievalBank,ablation,10,0.11082187,0.10981972,False,62.0,0.384673,1.0,False,0.0010021490000000216,-0.0003993312499999915,0.0026613090999999946,0.24,pointwise_multiplicity_unadjusted
24,onset_mae,DSTAR-GRU vs Ablation-NoSiamese,ablation,10,0.11082187,0.10675782,False,100.0,6.38644e-05,0.00172434,True,0.0040640500000000135,0.003516136675000008,0.004546489949999996,1.0,pointwise_multiplicity_unadjusted
24,onset_mae,DSTAR-GRU vs Ablation-NoTopology,ablation,10,0.11082187,0.11088351,True,57.0,0.623176,1.0,False,-6.164099999998729e-05,-0.0009277217499999945,0.0007015045249999954,0.1399999999999999,pointwise_multiplicity_unadjusted
24,onset_mae,DSTAR-GRU vs Ablation-SmallBank,ablation,10,0.11082187,0.13239732,True,0.0,6.38644e-05,0.00172434,True,-0.021575449999999968,-0.022124331499999993,-0.021068013349999987,-1.0,pointwise_multiplicity_unadjusted
