paper,experiment_id,method,method_role,repeat,hypervolume_proxy,constraint_violation_rate,investment_cost_index,loss_index,voltage_risk,hosting_capacity,der_readiness,flexibility_ratio,subnet_coverage,kind_diversity,reliability_proxy,survivability_rate,expected_loss_index,portfolio_size,runtime_s,source_status
p3,der_siting_sizing,Standard DE,baseline,3,0.60069424,0.05986254,0.96335045,0.12043589,0.18417377,0.00517290,0.82437276,0.44444444,1.00000000,0.75000000,0.80325643,0.91178576,0.12362314,9,0.00011130,public_simbench_der_storage_stress_v5
p3,der_siting_sizing,PSO,baseline,1,0.40808112,0.11572354,0.79275112,0.11904988,0.18514451,0.00000000,0.35282258,0.00000000,1.00000000,0.50000000,0.95584519,1.00000000,0.11904988,8,0.00011630,public_simbench_der_storage_stress_v5
p3,der_siting_sizing,PSO,baseline,2,0.54367619,0.06216723,0.89079845,0.12171061,0.18312738,0.00331119,0.57347670,0.22222222,1.00000000,0.75000000,0.93926763,1.00000000,0.12171061,9,0.00010780,public_simbench_der_storage_stress_v5
p3,der_siting_sizing,PSO,baseline,3,0.53507136,0.06642695,0.73828408,0.12223604,0.18742067,0.00332985,0.78341014,0.42857143,1.00000000,0.75000000,0.71881566,0.82209648,0.12875990,7,0.00012590,public_simbench_der_storage_stress_v5
p3,der_siting_sizing,GA,baseline,1,0.49977092,0.06416595,0.88533880,0.12135856,0.18448908,0.00295730,0.56451613,0.25000000,1.00000000,0.50000000,0.86896511,0.97122092,0.12240634,8,0.00013730,public_simbench_der_storage_stress_v5
p3,der_siting_sizing,GA,baseline,2,0.50112280,0.06784840,0.93294524,0.11718185,0.18550571,0.00147628,0.59475806,0.25000000,1.00000000,0.75000000,0.82701690,0.94870891,0.11898497,8,0.00011820,public_simbench_der_storage_stress_v5
p3,der_siting_sizing,GA,baseline,3,0.51748629,0.06424310,0.74876915,0.12256254,0.18589702,0.00369662,0.64516129,0.25000000,1.00000000,0.50000000,0.85044186,0.94528837,0.12457422,8,0.00011750,public_simbench_der_storage_stress_v5
p3,der_siting_sizing,Weighted Sum,baseline,1,0.45136867,0.07733066,0.40383498,0.12599887,0.19240373,0.00004059,1.00000000,1.00000000,1.00000000,0.25000000,0.40454356,0.50908782,0.14455519,7,0.00007620,public_simbench_der_storage_stress_v5
p3,der_siting_sizing,Weighted Sum,baseline,2,0.45136867,0.07733066,0.40383498,0.12599887,0.19240373,0.00004059,1.00000000,1.00000000,1.00000000,0.25000000,0.40454356,0.50908782,0.14455519,7,0.00007430,public_simbench_der_storage_stress_v5
p3,der_siting_sizing,Weighted Sum,baseline,3,0.45136867,0.07733066,0.40383498,0.12599887,0.19240373,0.00004059,1.00000000,1.00000000,1.00000000,0.25000000,0.40454356,0.50908782,0.14455519,7,0.00007370,public_simbench_der_storage_stress_v5
p3,der_siting_sizing,Ablation-NoRepair,ablation,1,0.53256641,0.24289685,1.18778483,0.11826260,0.18208908,0.00665392,0.77419355,0.40000000,1.00000000,0.75000000,0.87954983,0.98850929,0.11867028,10,0.00007330,public_simbench_der_storage_stress_v5
p3,der_siting_sizing,Ablation-NoRepair,ablation,2,0.53256641,0.24289685,1.18778483,0.11826260,0.18208908,0.00665392,0.77419355,0.40000000,1.00000000,0.75000000,0.87954983,0.98850929,0.11867028,10,0.00007350,public_simbench_der_storage_stress_v5
p3,der_siting_sizing,Ablation-NoRepair,ablation,3,0.53256641,0.24289685,1.18778483,0.11826260,0.18208908,0.00665392,0.77419355,0.40000000,1.00000000,0.75000000,0.87954983,0.98850929,0.11867028,10,0.00007280,public_simbench_der_storage_stress_v5
p3,der_siting_sizing,Ablation-FixedDE,ablation,1,0.56332113,0.06136538,0.96462327,0.11903848,0.18834244,0.00665392,0.96774194,0.57142857,0.83333333,0.75000000,0.63462126,0.73450929,0.12851956,7,0.00010330,public_simbench_der_storage_stress_v5
p3,der_siting_sizing,Ablation-FixedDE,ablation,2,0.56332113,0.06136538,0.96462327,0.11903848,0.18834244,0.00665392,0.96774194,0.57142857,0.83333333,0.75000000,0.63462126,0.73450929,0.12851956,7,0.00010230,public_simbench_der_storage_stress_v5
