paper,experiment_id,method,method_role,repeat,hypervolume_proxy,constraint_violation_rate,investment_cost_index,loss_index,voltage_risk,hosting_capacity,reliability_proxy,survivability_rate,expected_loss_index,portfolio_size,runtime_s,source_status
p3,der_siting_sizing,Weighted Sum,baseline,3,0.35893919,0.03240373,0.40383498,0.12599887,0.19240373,0.00000722,0.40454356,0.50908782,0.14455519,7,0.00007840,public_simbench_planning_v1
p3,der_siting_sizing,Ablation-NoRepair,ablation,1,0.46967798,0.20987391,1.18778483,0.11826260,0.18208908,0.00118292,0.87954983,0.98850929,0.11867028,10,0.00006740,public_simbench_planning_v1
p3,der_siting_sizing,Ablation-NoRepair,ablation,2,0.46967798,0.20987391,1.18778483,0.11826260,0.18208908,0.00118292,0.87954983,0.98850929,0.11867028,10,0.00006800,public_simbench_planning_v1
p3,der_siting_sizing,Ablation-NoRepair,ablation,3,0.46967798,0.20987391,1.18778483,0.11826260,0.18208908,0.00118292,0.87954983,0.98850929,0.11867028,10,0.00006980,public_simbench_planning_v1
p3,der_siting_sizing,Ablation-FixedDE,ablation,1,0.45401196,0.02834244,0.96462327,0.11903848,0.18834244,0.00118292,0.63462126,0.73450929,0.12851956,7,0.00008800,public_simbench_planning_v1
p3,der_siting_sizing,Ablation-FixedDE,ablation,2,0.45401196,0.02834244,0.96462327,0.11903848,0.18834244,0.00118292,0.63462126,0.73450929,0.12851956,7,0.00008860,public_simbench_planning_v1
p3,der_siting_sizing,Ablation-FixedDE,ablation,3,0.45401196,0.02834244,0.96462327,0.11903848,0.18834244,0.00118292,0.63462126,0.73450929,0.12851956,7,0.00008840,public_simbench_planning_v1
p3,der_siting_sizing,Ablation-NoDiversity,ablation,1,0.45401196,0.02834244,0.96462327,0.11903848,0.18834244,0.00118292,0.63462126,0.73450929,0.12851956,7,0.00007620,public_simbench_planning_v1
p3,der_siting_sizing,Ablation-NoDiversity,ablation,2,0.45401196,0.02834244,0.96462327,0.11903848,0.18834244,0.00118292,0.63462126,0.73450929,0.12851956,7,0.00006810,public_simbench_planning_v1
p3,der_siting_sizing,Ablation-NoDiversity,ablation,3,0.45401196,0.02834244,0.96462327,0.11903848,0.18834244,0.00118292,0.63462126,0.73450929,0.12851956,7,0.00006710,public_simbench_planning_v1
p3,der_siting_sizing,Ablation-NoDER,ablation,1,0.59998676,0.01995922,0.74387187,0.12462400,0.17995922,0.00000000,1.00000000,1.00000000,0.12462400,10,0.00004730,public_simbench_planning_v1
p3,der_siting_sizing,Ablation-NoDER,ablation,2,0.59998676,0.01995922,0.74387187,0.12462400,0.17995922,0.00000000,1.00000000,1.00000000,0.12462400,10,0.00004790,public_simbench_planning_v1
p3,der_siting_sizing,Ablation-NoDER,ablation,3,0.59998676,0.01995922,0.74387187,0.12462400,0.17995922,0.00000000,1.00000000,1.00000000,0.12462400,10,0.00004660,public_simbench_planning_v1
p3,storage_allocation,CARS-MODE,proposed,1,0.51724387,0.02537353,0.96242183,0.12006557,0.18537353,0.00085589,0.79316894,0.89610384,0.12380788,8,0.00005330,public_simbench_planning_v1
p3,storage_allocation,CARS-MODE,proposed,2,0.51724387,0.02537353,0.96242183,0.12006557,0.18537353,0.00085589,0.79316894,0.89610384,0.12380788,8,0.00004820,public_simbench_planning_v1
p3,storage_allocation,CARS-MODE,proposed,3,0.51724387,0.02537353,0.96242183,0.12006557,0.18537353,0.00085589,0.79316894,0.89610384,0.12380788,8,0.00004870,public_simbench_planning_v1
p3,storage_allocation,NSGA-II,baseline,1,0.48361591,0.02694318,0.87758884,0.12075172,0.18694318,0.00092233,0.71102645,0.81255581,0.12754198,8,0.00008270,public_simbench_planning_v1
p3,storage_allocation,NSGA-II,baseline,2,0.47926288,0.02814318,0.81989813,0.12092478,0.18814318,0.00092129,0.70323452,0.79982898,0.12818647,7,0.00008900,public_simbench_planning_v1
p3,storage_allocation,NSGA-II,baseline,3,0.45401196,0.02834244,0.96462327,0.11903848,0.18834244,0.00118292,0.63462126,0.73450929,0.12851956,7,0.00008840,public_simbench_planning_v1
p3,storage_allocation,MOEA/D,baseline,1,0.45401196,0.02834244,0.96462327,0.11903848,0.18834244,0.00118292,0.63462126,0.73450929,0.12851956,7,0.00013160,public_simbench_planning_v1
p3,storage_allocation,MOEA/D,baseline,2,0.45401196,0.02834244,0.96462327,0.11903848,0.18834244,0.00118292,0.63462126,0.73450929,0.12851956,7,0.00010320,public_simbench_planning_v1
p3,storage_allocation,MOEA/D,baseline,3,0.47926288,0.02814318,0.81989813,0.12092478,0.18814318,0.00092129,0.70323452,0.79982898,0.12818647,7,0.00008680,public_simbench_planning_v1
p3,storage_allocation,Standard DE,baseline,1,0.58063069,0.02240463,0.95972599,0.12109994,0.18240463,0.00052574,0.95060797,1.00000000,0.12109994,9,0.00010500,public_simbench_planning_v1
p3,storage_allocation,Standard DE,baseline,2,0.52234790,0.02417377,0.96335045,0.12043589,0.18417377,0.00091963,0.80325643,0.91178576,0.12362314,9,0.00010310,public_simbench_planning_v1
p3,storage_allocation,Standard DE,baseline,3,0.56160250,0.02410645,0.93969030,0.11751654,0.18410645,0.00033097,0.90147684,1.00000000,0.11751654,9,0.00012030,public_simbench_planning_v1
p3,storage_allocation,PSO,baseline,1,0.53194040,0.02499091,0.92299383,0.11760211,0.18499091,0.00033200,0.82762592,0.95163834,0.11930834,9,0.00011220,public_simbench_planning_v1
p3,storage_allocation,PSO,baseline,2,0.57542869,0.02312738,0.89129285,0.12170334,0.18312738,0.00059177,0.94037628,1.00000000,0.12170334,9,0.00010430,public_simbench_planning_v1
p3,storage_allocation,PSO,baseline,3,0.57499264,0.02312738,0.89079845,0.12171061,0.18312738,0.00058866,0.93926763,1.00000000,0.12171061,9,0.00010340,public_simbench_planning_v1
p3,storage_allocation,GA,baseline,1,0.42639152,0.02970438,0.80862203,0.12060836,0.18970438,0.00085360,0.56855955,0.67211013,0.13247224,6,0.00014150,public_simbench_planning_v1
p3,storage_allocation,GA,baseline,2,0.55712229,0.02256658,0.95519496,0.12111821,0.18256658,0.00052657,0.89039294,1.00000000,0.12111821,9,0.00010470,public_simbench_planning_v1
p3,storage_allocation,GA,baseline,3,0.51792601,0.02537377,0.81237463,0.12198024,0.18537377,0.00059260,0.79851839,0.90404697,0.12549155,8,0.00011950,public_simbench_planning_v1
p3,storage_allocation,Weighted Sum,baseline,1,0.35893919,0.03240373,0.40383498,0.12599887,0.19240373,0.00000722,0.40454356,0.50908782,0.14455519,7,0.00007280,public_simbench_planning_v1
p3,storage_allocation,Weighted Sum,baseline,2,0.35893919,0.03240373,0.40383498,0.12599887,0.19240373,0.00000722,0.40454356,0.50908782,0.14455519,7,0.00006960,public_simbench_planning_v1
p3,storage_allocation,Weighted Sum,baseline,3,0.35893919,0.03240373,0.40383498,0.12599887,0.19240373,0.00000722,0.40454356,0.50908782,0.14455519,7,0.00006990,public_simbench_planning_v1
p3,storage_allocation,Ablation-NoRepair,ablation,1,0.46967798,0.20987391,1.18778483,0.11826260,0.18208908,0.00118292,0.87954983,0.98850929,0.11867028,10,0.00006970,public_simbench_planning_v1
p3,storage_allocation,Ablation-NoRepair,ablation,2,0.46967798,0.20987391,1.18778483,0.11826260,0.18208908,0.00118292,0.87954983,0.98850929,0.11867028,10,0.00008800,public_simbench_planning_v1
p3,storage_allocation,Ablation-NoRepair,ablation,3,0.46967798,0.20987391,1.18778483,0.11826260,0.18208908,0.00118292,0.87954983,0.98850929,0.11867028,10,0.00006940,public_simbench_planning_v1
p3,storage_allocation,Ablation-FixedDE,ablation,1,0.51298607,0.02605873,0.89428531,0.12066615,0.18605873,0.00092129,0.78487737,0.88449565,0.12484739,8,0.00007980,public_simbench_planning_v1
p3,storage_allocation,Ablation-FixedDE,ablation,2,0.51176391,0.02609628,0.89349429,0.12067625,0.18609628,0.00091880,0.78182860,0.87996868,0.12502172,8,0.00007890,public_simbench_planning_v1
p3,storage_allocation,Ablation-FixedDE,ablation,3,0.47926288,0.02814318,0.81989813,0.12092478,0.18814318,0.00092129,0.70323452,0.79982898,0.12818647,7,0.00008720,public_simbench_planning_v1
p3,storage_allocation,Ablation-NoDiversity,ablation,1,0.45401196,0.02834244,0.96462327,0.11903848,0.18834244,0.00118292,0.63462126,0.73450929,0.12851956,7,0.00006940,public_simbench_planning_v1
p3,storage_allocation,Ablation-NoDiversity,ablation,2,0.45401196,0.02834244,0.96462327,0.11903848,0.18834244,0.00118292,0.63462126,0.73450929,0.12851956,7,0.00006970,public_simbench_planning_v1
p3,storage_allocation,Ablation-NoDiversity,ablation,3,0.45401196,0.02834244,0.96462327,0.11903848,0.18834244,0.00118292,0.63462126,0.73450929,0.12851956,7,0.00006860,public_simbench_planning_v1
p3,storage_allocation,Ablation-NoDER,ablation,1,0.59998676,0.01995922,0.74387187,0.12462400,0.17995922,0.00000000,1.00000000,1.00000000,0.12462400,10,0.00004810,public_simbench_planning_v1
p3,storage_allocation,Ablation-NoDER,ablation,2,0.59998676,0.01995922,0.74387187,0.12462400,0.17995922,0.00000000,1.00000000,1.00000000,0.12462400,10,0.00004830,public_simbench_planning_v1
p3,storage_allocation,Ablation-NoDER,ablation,3,0.59998676,0.01995922,0.74387187,0.12462400,0.17995922,0.00000000,1.00000000,1.00000000,0.12462400,10,0.00004930,public_simbench_planning_v1
p3,load_growth_expansion,CARS-MODE,proposed,1,0.51724387,0.02537353,0.96242183,0.12006557,0.18537353,0.00085589,0.79316894,0.89610384,0.12380788,8,0.00006000,public_simbench_planning_v1
