actual_words,budget_utilization,condition,doc_id,estimated_total_seconds,preprocess_seconds_shared,python_peak_memory_mb,redundancy,report_series_id,role_coverage,rouge1_f1,rouge2_f1,rougeL_f1,selected_units,selection_and_scoring_seconds,status,typed_edge_coverage,word_budget
257,0.9884615384615385,RP-10,nerc_017_august_2017_hurricane_harvey_event_analysi,0.3560004999744706,0.04614709998713806,1.5686683654785156,0.07136083063657447,series_hurricane,1.0,0.3350253807106599,0.08341810783316378,0.12385786802030457,8,0.3098533999873325,PASS,1.0,260
260,1.0,RP-01,nerc_017_august_2017_hurricane_harvey_event_analysi,0.34906400000909343,0.04614709998713806,1.5733518600463867,0.04899960186373074,series_hurricane,0.6666666666666666,0.3184584178498986,0.08536585365853659,0.12778904665314403,5,0.30291690002195537,PASS,1.0,260
257,0.9884615384615385,RP-11,nerc_017_august_2017_hurricane_harvey_event_analysi,0.36173399997642264,0.04614709998713806,1.586197853088379,0.06451992072595239,series_hurricane,1.0,0.3016194331983805,0.07302231237322515,0.11336032388663968,8,0.3155868999892846,PASS,1.0,260
256,0.9846153846153847,G-U,nerc_017_august_2017_hurricane_harvey_event_analysi,0.3425697999773547,0.06098739994922653,1.568221092224121,0.04390483874287978,series_hurricane,1.0,0.28223350253807106,0.059003051881993895,0.10761421319796954,4,0.2815824000281282,PASS,1.0,260
257,0.9884615384615385,G-T,nerc_017_august_2017_hurricane_harvey_event_analysi,0.3558828000095673,0.04614709998713806,1.5678138732910156,0.07136083063657447,series_hurricane,1.0,0.3350253807106599,0.08341810783316378,0.12385786802030457,8,0.30973570002242923,PASS,1.0,260
104,0.9454545454545454,AB-0,nerc_018_900_mw_solar_photovoltaic_resource_interru,0.3943169999984093,0.03585370001383126,1.9600591659545898,0.0898962148962149,series_solar_pv,0.3333333333333333,0.08329297820823245,0.033931168201648085,0.049394673123486686,3,0.35846329998457804,PASS,1.0,110
109,0.990909090909091,AB-1,nerc_018_900_mw_solar_photovoltaic_resource_interru,0.4090008999919519,0.03585370001383126,1.9589385986328125,0.09722222222222221,series_solar_pv,0.6666666666666666,0.08888888888888889,0.031914893617021274,0.05120772946859903,3,0.3731471999781206,PASS,1.0,110
109,0.990909090909091,AB-2,nerc_018_900_mw_solar_photovoltaic_resource_interru,0.40378530003363267,0.03585370001383126,1.942901611328125,0.08637854799600626,series_solar_pv,1.0,0.08699855002416627,0.029995162070633772,0.05026582890285162,3,0.3679316000198014,PASS,1.0,110
109,0.990909090909091,AB-3,nerc_018_900_mw_solar_photovoltaic_resource_interru,0.39978869998594746,0.03585370001383126,1.9428482055664062,0.08637854799600626,series_solar_pv,1.0,0.08699855002416627,0.029995162070633772,0.05026582890285162,3,0.3639349999721162,PASS,1.0,110
108,0.9818181818181818,AB-4,nerc_018_900_mw_solar_photovoltaic_resource_interru,0.40637170005356893,0.03585370001383126,1.9720497131347656,0.05704582773548291,series_solar_pv,1.0,0.09464027040077257,0.04349927501208313,0.05601158860453887,3,0.37051800003973767,PASS,1.0,110
108,0.9818181818181818,AB-5,nerc_018_900_mw_solar_photovoltaic_resource_interru,0.40408050001133233,0.03585370001383126,1.9721565246582031,0.05704582773548291,series_solar_pv,1.0,0.09464027040077257,0.04349927501208313,0.05601158860453887,3,0.3682267999975011,PASS,1.0,110
109,0.990909090909091,AB-6,nerc_018_900_mw_solar_photovoltaic_resource_interru,0.4006137000396848,0.03585370001383126,1.9427413940429688,0.08637854799600626,series_solar_pv,1.0,0.08699855002416627,0.029995162070633772,0.05026582890285162,3,0.3647600000258535,PASS,1.0,110
108,0.9818181818181818,RP-00,nerc_018_900_mw_solar_photovoltaic_resource_interru,0.4079526999848895,0.03585370001383126,1.958449363708496,0.06996658312447786,series_solar_pv,0.3333333333333333,0.09371980676328502,0.041586073500967116,0.05217391304347826,3,0.3720989999710582,PASS,1.0,110
109,0.990909090909091,RP-10,nerc_018_900_mw_solar_photovoltaic_resource_interru,0.39961169997695833,0.03585370001383126,1.9427947998046875,0.08637854799600626,series_solar_pv,1.0,0.08699855002416627,0.029995162070633772,0.05026582890285162,3,0.3637579999631271,PASS,1.0,110
