paper,experiment_id,comparison,opponent_role,n_per_group,mean_proposed,mean_opponent,mean_diff,u_statistic,p_value,p_holm,significant_005_holm
p3,runtime_scalability,CARS-MODE vs GA,baseline,30,0.04873464,0.03174156,0.01699308,900.00,5.20387e-12,5.72426e-11,True
p3,runtime_scalability,CARS-MODE vs GDE3,baseline,30,0.04873464,0.04464550,0.00408913,892.00,6.69552e-11,4.68686e-10,True
p3,runtime_scalability,CARS-MODE vs MOEA/D,baseline,30,0.04873464,0.00047204,0.04826260,900.00,1.21178e-12,1.57531e-11,True
p3,runtime_scalability,CARS-MODE vs NSDE,baseline,30,0.04873464,0.04525462,0.00348002,861.00,1.28704e-09,4.69494e-09,True
p3,runtime_scalability,CARS-MODE vs NSGA-II,baseline,30,0.04873464,0.04481119,0.00392345,883.00,1.61323e-10,8.06613e-10,True
p3,runtime_scalability,CARS-MODE vs NSGA-II+Repair,baseline,30,0.04873464,0.04457433,0.00416031,890.00,8.15274e-11,4.89165e-10,True
p3,runtime_scalability,CARS-MODE vs PSO,baseline,30,0.04873464,0.02482656,0.02390808,900.00,3.01797e-11,2.96169e-10,True
p3,runtime_scalability,CARS-MODE vs Standard DE,baseline,30,0.04873464,0.03173216,0.01700248,900.00,2.96169e-11,2.96169e-10,True
p3,runtime_scalability,CARS-MODE vs Weighted Sum,baseline,30,0.04873464,0.00883427,0.03990037,900.00,1.21178e-12,1.57531e-11,True
p3,storage_allocation,CARS-MODE vs Ablation-FixedDE,ablation,30,0.04362091,0.04407588,-0.00045496,366.00,0.217017,0.217017,False
p3,storage_allocation,CARS-MODE vs Ablation-NoDER,ablation,30,0.04362091,0.04442875,-0.00080784,294.00,0.0215062,0.0576487,False
p3,storage_allocation,CARS-MODE vs Ablation-NoDiversity,ablation,30,0.04362091,0.02844607,0.01517484,900.00,3.0123e-11,2.69581e-10,True
p3,storage_allocation,CARS-MODE vs Ablation-NoRepair,ablation,30,0.04362091,0.04277092,0.00084999,611.00,0.017649,0.0576487,False
p3,storage_allocation,CARS-MODE vs GA,baseline,30,0.04362091,0.03062227,0.01299864,900.00,2.41667e-11,2.41667e-10,True
p3,storage_allocation,CARS-MODE vs GDE3,baseline,30,0.04362091,0.04255833,0.00106259,647.00,0.00367089,0.0220254,True
p3,storage_allocation,CARS-MODE vs MOEA/D,baseline,30,0.04362091,0.00047204,0.04314887,900.00,1.21178e-12,1.57531e-11,True
p3,storage_allocation,CARS-MODE vs NSDE,baseline,30,0.04362091,0.04238657,0.00123434,688.00,0.000445919,0.00312143,True
p3,storage_allocation,CARS-MODE vs NSGA-II,baseline,30,0.04362091,0.04281990,0.00080101,629.00,0.00831461,0.041573,True
p3,storage_allocation,CARS-MODE vs NSGA-II+Repair,baseline,30,0.04362091,0.04277583,0.00084508,616.00,0.0144122,0.0576487,False
p3,storage_allocation,CARS-MODE vs PSO,baseline,30,0.04362091,0.02598945,0.01763146,900.00,2.99534e-11,2.69581e-10,True
p3,storage_allocation,CARS-MODE vs Standard DE,baseline,30,0.04362091,0.03037508,0.01324583,900.00,1.73622e-11,1.90985e-10,True
p3,storage_allocation,CARS-MODE vs Weighted Sum,baseline,30,0.04362091,0.01084504,0.03277587,900.00,1.21178e-12,1.57531e-11,True
