paper,experiment_id,method,method_role,reinforcement,storage,der,automation,source_status
p3,der_siting_sizing,NSDE,baseline,8,0,2,1,public_simbench_planning_v7_direct_moea_de_controls
p3,der_siting_sizing,Standard DE,baseline,11,0,3,0,public_simbench_planning_v7_direct_moea_de_controls
p3,der_siting_sizing,PSO,baseline,4,0,4,1,public_simbench_planning_v7_direct_moea_de_controls
p3,der_siting_sizing,GA,baseline,11,0,3,0,public_simbench_planning_v7_direct_moea_de_controls
p3,der_siting_sizing,Weighted Sum,baseline,0,0,1,3,public_simbench_planning_v7_direct_moea_de_controls
p3,der_siting_sizing,Ablation-NoRepair,ablation,8,0,5,0,public_simbench_planning_v7_direct_moea_de_controls
p3,der_siting_sizing,Ablation-FixedDE,ablation,12,0,0,0,public_simbench_planning_v7_direct_moea_de_controls
p3,der_siting_sizing,Ablation-NoDiversity,ablation,6,0,0,2,public_simbench_planning_v7_direct_moea_de_controls
p3,der_siting_sizing,Ablation-NoDER,ablation,13,0,0,0,public_simbench_planning_v7_direct_moea_de_controls
p3,storage_allocation,CARS-MODE,proposed,8,5,0,0,public_simbench_planning_v7_direct_moea_de_controls
p3,storage_allocation,NSGA-II,baseline,8,5,0,0,public_simbench_planning_v7_direct_moea_de_controls
p3,storage_allocation,NSGA-II+Repair,baseline,8,5,0,0,public_simbench_planning_v7_direct_moea_de_controls
p3,storage_allocation,MOEA/D,baseline,0,0,0,0,public_simbench_planning_v7_direct_moea_de_controls
p3,storage_allocation,GDE3,baseline,9,4,0,0,public_simbench_planning_v7_direct_moea_de_controls
p3,storage_allocation,NSDE,baseline,6,7,0,0,public_simbench_planning_v7_direct_moea_de_controls
p3,storage_allocation,Standard DE,baseline,11,2,0,0,public_simbench_planning_v7_direct_moea_de_controls
p3,storage_allocation,PSO,baseline,3,3,0,2,public_simbench_planning_v7_direct_moea_de_controls
p3,storage_allocation,GA,baseline,13,0,0,0,public_simbench_planning_v7_direct_moea_de_controls
p3,storage_allocation,Weighted Sum,baseline,2,0,0,3,public_simbench_planning_v7_direct_moea_de_controls
p3,storage_allocation,Ablation-NoRepair,ablation,7,5,0,0,public_simbench_planning_v7_direct_moea_de_controls
p3,storage_allocation,Ablation-FixedDE,ablation,10,3,0,0,public_simbench_planning_v7_direct_moea_de_controls
p3,storage_allocation,Ablation-NoDiversity,ablation,7,0,0,1,public_simbench_planning_v7_direct_moea_de_controls
p3,storage_allocation,Ablation-NoDER,ablation,11,0,0,0,public_simbench_planning_v7_direct_moea_de_controls
p3,load_growth_expansion,CARS-MODE,proposed,6,5,3,0,public_simbench_planning_v7_direct_moea_de_controls
p3,load_growth_expansion,NSGA-II,baseline,8,4,2,0,public_simbench_planning_v7_direct_moea_de_controls
p3,load_growth_expansion,NSGA-II+Repair,baseline,7,3,4,0,public_simbench_planning_v7_direct_moea_de_controls
p3,load_growth_expansion,MOEA/D,baseline,0,0,0,0,public_simbench_planning_v7_direct_moea_de_controls
p3,load_growth_expansion,GDE3,baseline,8,4,2,0,public_simbench_planning_v7_direct_moea_de_controls
p3,load_growth_expansion,NSDE,baseline,9,3,1,0,public_simbench_planning_v7_direct_moea_de_controls
p3,load_growth_expansion,Standard DE,baseline,7,6,1,0,public_simbench_planning_v7_direct_moea_de_controls
p3,load_growth_expansion,PSO,baseline,3,2,1,1,public_simbench_planning_v7_direct_moea_de_controls
p3,load_growth_expansion,GA,baseline,10,2,2,0,public_simbench_planning_v7_direct_moea_de_controls
p3,load_growth_expansion,Weighted Sum,baseline,0,0,1,3,public_simbench_planning_v7_direct_moea_de_controls
p3,load_growth_expansion,Ablation-NoRepair,ablation,6,5,3,0,public_simbench_planning_v7_direct_moea_de_controls
p3,load_growth_expansion,Ablation-FixedDE,ablation,7,5,2,0,public_simbench_planning_v7_direct_moea_de_controls
p3,load_growth_expansion,Ablation-NoDiversity,ablation,8,0,0,1,public_simbench_planning_v7_direct_moea_de_controls
p3,load_growth_expansion,Ablation-NoDER,ablation,9,0,0,1,public_simbench_planning_v7_direct_moea_de_controls
p3,pareto_quality,CARS-MODE,proposed,4,8,2,0,public_simbench_planning_v7_direct_moea_de_controls
p3,pareto_quality,NSGA-II,baseline,6,5,2,0,public_simbench_planning_v7_direct_moea_de_controls
p3,pareto_quality,NSGA-II+Repair,baseline,6,4,4,0,public_simbench_planning_v7_direct_moea_de_controls
p3,pareto_quality,MOEA/D,baseline,0,0,0,0,public_simbench_planning_v7_direct_moea_de_controls
p3,pareto_quality,GDE3,baseline,4,6,3,0,public_simbench_planning_v7_direct_moea_de_controls
p3,pareto_quality,NSDE,baseline,7,6,1,0,public_simbench_planning_v7_direct_moea_de_controls
p3,pareto_quality,Standard DE,baseline,6,7,1,0,public_simbench_planning_v7_direct_moea_de_controls
p3,pareto_quality,PSO,baseline,3,3,4,1,public_simbench_planning_v7_direct_moea_de_controls
p3,pareto_quality,GA,baseline,7,6,1,0,public_simbench_planning_v7_direct_moea_de_controls
p3,pareto_quality,Weighted Sum,baseline,0,0,1,3,public_simbench_planning_v7_direct_moea_de_controls
p3,pareto_quality,Ablation-NoRepair,ablation,7,2,2,0,public_simbench_planning_v7_direct_moea_de_controls
p3,pareto_quality,Ablation-FixedDE,ablation,7,6,1,0,public_simbench_planning_v7_direct_moea_de_controls
p3,pareto_quality,Ablation-NoDiversity,ablation,5,0,1,1,public_simbench_planning_v7_direct_moea_de_controls
p3,pareto_quality,Ablation-NoDER,ablation,12,0,0,0,public_simbench_planning_v7_direct_moea_de_controls
p3,constraint_repair,CARS-MODE,proposed,11,0,0,0,public_simbench_planning_v7_direct_moea_de_controls
p3,constraint_repair,NSGA-II,baseline,7,3,1,0,public_simbench_planning_v7_direct_moea_de_controls
p3,constraint_repair,NSGA-II+Repair,baseline,7,0,3,0,public_simbench_planning_v7_direct_moea_de_controls
p3,constraint_repair,MOEA/D,baseline,0,0,0,0,public_simbench_planning_v7_direct_moea_de_controls
p3,constraint_repair,GDE3,baseline,7,0,4,0,public_simbench_planning_v7_direct_moea_de_controls
p3,constraint_repair,NSDE,baseline,5,4,2,0,public_simbench_planning_v7_direct_moea_de_controls
p3,constraint_repair,Standard DE,baseline,6,5,0,0,public_simbench_planning_v7_direct_moea_de_controls
p3,constraint_repair,PSO,baseline,2,1,3,1,public_simbench_planning_v7_direct_moea_de_controls
p3,constraint_repair,GA,baseline,11,0,0,0,public_simbench_planning_v7_direct_moea_de_controls
p3,constraint_repair,Weighted Sum,baseline,0,0,0,3,public_simbench_planning_v7_direct_moea_de_controls
p3,constraint_repair,Ablation-NoRepair,ablation,7,3,0,0,public_simbench_planning_v7_direct_moea_de_controls
p3,constraint_repair,Ablation-FixedDE,ablation,9,2,0,0,public_simbench_planning_v7_direct_moea_de_controls
p3,constraint_repair,Ablation-NoDiversity,ablation,8,0,0,0,public_simbench_planning_v7_direct_moea_de_controls
p3,constraint_repair,Ablation-NoDER,ablation,11,0,0,0,public_simbench_planning_v7_direct_moea_de_controls
p3,runtime_scalability,CARS-MODE,proposed,8,5,4,0,public_simbench_planning_v7_direct_moea_de_controls
p3,runtime_scalability,NSGA-II,baseline,7,5,5,0,public_simbench_planning_v7_direct_moea_de_controls
p3,runtime_scalability,NSGA-II+Repair,baseline,6,6,5,0,public_simbench_planning_v7_direct_moea_de_controls
p3,runtime_scalability,MOEA/D,baseline,0,0,0,0,public_simbench_planning_v7_direct_moea_de_controls
p3,runtime_scalability,GDE3,baseline,6,5,5,0,public_simbench_planning_v7_direct_moea_de_controls
p3,runtime_scalability,NSDE,baseline,9,4,4,0,public_simbench_planning_v7_direct_moea_de_controls
p3,runtime_scalability,Standard DE,baseline,11,3,2,0,public_simbench_planning_v7_direct_moea_de_controls
p3,runtime_scalability,PSO,baseline,6,2,2,1,public_simbench_planning_v7_direct_moea_de_controls
p3,runtime_scalability,GA,baseline,8,7,2,0,public_simbench_planning_v7_direct_moea_de_controls
p3,runtime_scalability,Weighted Sum,baseline,1,0,0,4,public_simbench_planning_v7_direct_moea_de_controls
p3,runtime_scalability,Ablation-NoRepair,ablation,10,3,2,0,public_simbench_planning_v7_direct_moea_de_controls
p3,runtime_scalability,Ablation-FixedDE,ablation,9,7,0,0,public_simbench_planning_v7_direct_moea_de_controls
p3,runtime_scalability,Ablation-NoDiversity,ablation,8,0,1,1,public_simbench_planning_v7_direct_moea_de_controls
p3,runtime_scalability,Ablation-NoDER,ablation,14,0,0,0,public_simbench_planning_v7_direct_moea_de_controls
