paper,ref_id,doi,status,crossref_title,crossref_year,title_token_coverage,year_in_reference,url,reference
mintou_p1_dstar_gru_dispatch,11,10.1016/j.rser.2022.112212,VERIFIED,C-E (curtailment – Energy share) map: An objective and quantitative measure to evaluate wind and solar curtailment,2022,1.000,True,https://api.crossref.org/works/10.1016%2Fj.rser.2022.112212,"[11] Y. Yasuda et al., ""C-E (curtailment – Energy share) map: An objective and quantitative measure to evaluate wind and solar curtailment,"" *Renewable and Sustainable Energy Reviews*, vol. 160, Art. no. 112212, 2022, doi: 10.1016/j.rser.2022.112212."
mintou_p1_dstar_gru_dispatch,12,10.1016/j.enpol.2021.112513,VERIFIED,"National Energy and Climate Plans for the island of Ireland: wind curtailment, interconnectors and storage",2021,1.000,True,https://api.crossref.org/works/10.1016%2Fj.enpol.2021.112513,"[12] D. Newbery, ""National Energy and Climate Plans for the island of Ireland: wind curtailment, interconnectors and storage,"" *Energy Policy*, vol. 158, Art. no. 112513, 2021, doi: 10.1016/j.enpol.2021.112513."
mintou_p1_dstar_gru_dispatch,13,10.11159/ehst23.120,VERIFIED,Deep Learning-Based Models for Wind and Solar Curtailment Forecasting,2023,1.000,True,https://api.crossref.org/works/10.11159%2Fehst23.120,"[13] H. Hadian and F. Naderkhani, ""Deep learning-based models for wind and solar curtailment forecasting,"" in *Proc. 7th Int. Conf. Energy Harvesting, Storage, and Transfer (EHST)*, 2023, paper 120, doi: 10.11159/ehst23.120."
mintou_p1_dstar_gru_dispatch,14,10.1016/j.energy.2016.08.067,VERIFIED,Net load forecasting for high renewable energy penetration grids,2016,1.000,True,https://api.crossref.org/works/10.1016%2Fj.energy.2016.08.067,"[14] A. Kaur, L. Nonnenmacher, and C. F. M. Coimbra, ""Net load forecasting for high renewable energy penetration grids,"" *Energy*, vol. 114, pp. 1073–1084, 2016, doi: 10.1016/j.energy.2016.08.067."
mintou_p1_dstar_gru_dispatch,15,10.1109/59.192889,VERIFIED,An expert system based algorithm for short term load forecast,1988,1.000,True,https://api.crossref.org/works/10.1109%2F59.192889,"[15] S. Rahman and R. Bhatnagar, ""An expert system based algorithm for short term load forecast,"" *IEEE Transactions on Power Systems*, vol. 3, no. 2, pp. 392–399, 1988, doi: 10.1109/59.192889."
mintou_p1_dstar_gru_dispatch,16,10.1016/j.ijepes.2005.12.007,VERIFIED,A neural network based several-hour-ahead electric load forecasting using similar days approach,2006,1.000,True,https://api.crossref.org/works/10.1016%2Fj.ijepes.2005.12.007,"[16] P. Mandal, T. Senjyu, N. Urasaki, and T. Funabashi, ""A neural network based several-hour-ahead electric load forecasting using similar days approach,"" *International Journal of Electrical Power & Energy Systems*, vol. 28, no. 6, pp. 367–373, 2006, doi: 10.1016/j.ijepes.2005.12.007."
mintou_p1_dstar_gru_dispatch,17,10.1109/TPWRS.2007.901670,VERIFIED,Electricity Market Price Forecasting Based on Weighted Nearest Neighbors Techniques,2007,1.000,True,https://api.crossref.org/works/10.1109%2FTPWRS.2007.901670,"[17] A. T. Lora, J. M. R. Santos, A. G. Exposito, J. L. M. Ramos, and J. C. R. Santos, ""Electricity market price forecasting based on weighted nearest neighbors techniques,"" *IEEE Transactions on Power Systems*, vol. 22, no. 3, pp. 1294–1301, 2007, doi: 10.1109/TPWRS.2007.901670."
mintou_p1_dstar_gru_dispatch,18,10.1016/j.renene.2014.11.061,VERIFIED,A novel application of an analog ensemble for short-term wind power forecasting,2015,1.000,True,https://api.crossref.org/works/10.1016%2Fj.renene.2014.11.061,"[18] S. Alessandrini, L. Delle Monache, S. Sperati, and J. N. Nissen, ""A novel application of an analog ensemble for short-term wind power forecasting,"" *Renewable Energy*, vol. 76, pp. 768–781, 2015, doi: 10.1016/j.renene.2014.11.061."
mintou_p1_dstar_gru_dispatch,19,10.1016/j.apenergy.2015.08.011,VERIFIED,An analog ensemble for short-term probabilistic solar power forecast,2015,1.000,True,https://api.crossref.org/works/10.1016%2Fj.apenergy.2015.08.011,"[19] S. Alessandrini, L. Delle Monache, S. Sperati, and G. Cervone, ""An analog ensemble for short-term probabilistic solar power forecast,"" *Applied Energy*, vol. 157, pp. 95–110, 2015, doi: 10.1016/j.apenergy.2015.08.011."
mintou_p1_dstar_gru_dispatch,20,10.1016/j.ijepes.2018.07.026,VERIFIED,Detection of unidentified appliances in non-intrusive load monitoring using siamese neural networks,2019,1.000,True,https://api.crossref.org/works/10.1016%2Fj.ijepes.2018.07.026,"[20] L. De Baets, C. Develder, T. Dhaene, and D. Deschrijver, ""Detection of unidentified appliances in non-intrusive load monitoring using siamese neural networks,"" *International Journal of Electrical Power & Energy Systems*, vol. 104, pp. 645–653, 2019, doi: 10.1016/j.ijepes.2018.07.026."
mintou_p1_dstar_gru_dispatch,21,10.3390/en12244732,VERIFIED,Power Quality Disturbances Classification via Fully-Convolutional Siamese Network and k-Nearest Neighbor,2019,1.000,True,https://api.crossref.org/works/10.3390%2Fen12244732,"[21] R. Zhu, X. Gong, S. Hu, and Y. Wang, ""Power quality disturbances classification via fully-convolutional Siamese network and k-nearest neighbor,"" *Energies*, vol. 12, no. 24, Art. no. 4732, 2019, doi: 10.3390/en12244732."
mintou_p1_dstar_gru_dispatch,22,10.1016/S0169-2070(00)00057-1,VERIFIED,"The M3-Competition: results, conclusions and implications",2000,1.000,True,https://api.crossref.org/works/10.1016%2FS0169-2070%2800%2900057-1,"[22] S. Makridakis and M. Hibon, ""The M3-Competition: results, conclusions and implications,"" *International Journal of Forecasting*, vol. 16, no. 4, pp. 451–476, 2000, doi: 10.1016/S0169-2070(00)00057-1."
mintou_p1_dstar_gru_dispatch,23,10.1016/j.ijforecast.2006.03.001,VERIFIED,Another look at measures of forecast accuracy,2006,1.000,True,https://api.crossref.org/works/10.1016%2Fj.ijforecast.2006.03.001,"[23] R. J. Hyndman and A. B. Koehler, ""Another look at measures of forecast accuracy,"" *International Journal of Forecasting*, vol. 22, no. 4, pp. 679–688, 2006, doi: 10.1016/j.ijforecast.2006.03.001."
mintou_p1_dstar_gru_dispatch,24,10.1016/j.ijforecast.2019.04.014,VERIFIED,"The M4 Competition: 100,000 time series and 61 forecasting methods",2020,1.000,True,https://api.crossref.org/works/10.1016%2Fj.ijforecast.2019.04.014,"[24] S. Makridakis, E. Spiliotis, and V. Assimakopoulos, ""The M4 Competition: 100,000 time series and 61 forecasting methods,"" *International Journal of Forecasting*, vol. 36, no. 1, pp. 54–74, 2020, doi: 10.1016/j.ijforecast.2019.04.014."
mintou_p1_dstar_gru_dispatch,25,10.1016/j.ijforecast.2021.11.013,VERIFIED,"M5 accuracy competition: Results, findings, and conclusions",2022,1.000,True,https://api.crossref.org/works/10.1016%2Fj.ijforecast.2021.11.013,"[25] S. Makridakis, E. Spiliotis, and V. Assimakopoulos, ""M5 accuracy competition: Results, findings, and conclusions,"" *International Journal of Forecasting*, vol. 38, no. 4, pp. 1346–1364, 2022, doi: 10.1016/j.ijforecast.2021.11.013."
mintou_p1_dstar_gru_dispatch,26,10.1016/j.ijforecast.2016.02.001,VERIFIED,Probabilistic energy forecasting: Global Energy Forecasting Competition 2014 and beyond,2016,1.000,True,https://api.crossref.org/works/10.1016%2Fj.ijforecast.2016.02.001,"[26] T. Hong, P. Pinson, S. Fan, H. Zareipour, A. Troccoli, and R. J. Hyndman, ""Probabilistic energy forecasting: Global Energy Forecasting Competition 2014 and beyond,"" *International Journal of Forecasting*, vol. 32, no. 3, pp. 896–913, 2016, doi: 10.1016/j.ijforecast.2016.02.001."
mintou_p1_dstar_gru_dispatch,27,10.1016/j.solener.2020.04.019,VERIFIED,Verification of deterministic solar forecasts,2020,1.000,True,https://api.crossref.org/works/10.1016%2Fj.solener.2020.04.019,"[27] D. Yang et al., ""Verification of deterministic solar forecasts,"" *Solar Energy*, vol. 210, pp. 20–37, 2020, doi: 10.1016/j.solener.2020.04.019."
mintou_p1_dstar_gru_dispatch,28,10.1007/s10618-022-00894-5,VERIFIED,Forecast evaluation for data scientists: common pitfalls and best practices,2022;2023,1.000,True,https://api.crossref.org/works/10.1007%2Fs10618-022-00894-5,"[28] H. Hewamalage, K. Ackermann, and C. Bergmeir, ""Forecast evaluation for data scientists: common pitfalls and best practices,"" *Data Mining and Knowledge Discovery*, vol. 37, no. 2, pp. 788–832, 2023, doi: 10.1007/s10618-022-00894-5."
mintou_p1_dstar_gru_dispatch,29,10.1109/ACCESS.2024.3514174,VERIFIED,LoadSeer: Exploiting Tensor Graph Convolutional Network for Power Load Forecasting With Spatio-Temporal Characteristics,2024,1.000,True,https://api.crossref.org/works/10.1109%2FACCESS.2024.3514174,"[29] J. Zhang, B. Yu, H. Lai, L. Liu, J. Zhou, F. Lou, Y. Ni, Y. Peng, and Z. Yu, ""LoadSeer: Exploiting Tensor Graph Convolutional Network for Power Load Forecasting With Spatio-Temporal Characteristics,"" *IEEE Access*, vol. 12, pp. 190337–190346, 2024, doi: 10.1109/ACCESS.2024.3514174."
mintou_p1_dstar_gru_dispatch,30,10.1109/ACCESS.2024.3383912,VERIFIED,Enhancing Short-Term Power Load Forecasting With a TimesNet-Crossformer-LSTM Approach,2024,1.000,True,https://api.crossref.org/works/10.1109%2FACCESS.2024.3383912,"[30] J. He, K. Yuan, Z. Zhong, and Y. Sun, ""Enhancing Short-Term Power Load Forecasting With a TimesNet-Crossformer-LSTM Approach,"" *IEEE Access*, vol. 12, pp. 56774–56788, 2024, doi: 10.1109/ACCESS.2024.3383912."
mintou_p2_hygraph_load_forecasting,1,10.3390/electronics14163332,VERIFIED,Bayesian-Optimized GCN-BiLSTM-Adaboost Model for Power-Load Forecasting,2025,1.000,True,https://api.crossref.org/works/10.3390%2Felectronics14163332,"1. Li, J.; Li, J.; Li, J.; Zhang, G. Bayesian-Optimized GCN-BiLSTM-Adaboost Model for Power-Load Forecasting. *Electronics* **2025**, *14*(16), 3332. https://doi.org/10.3390/electronics14163332"
mintou_p2_hygraph_load_forecasting,2,10.3390/en18174466,VERIFIED,Short-Term Multi-Energy Load Forecasting Method Based on Transformer Spatio-Temporal Graph Neural Network,2025,1.000,True,https://api.crossref.org/works/10.3390%2Fen18174466,"2. Zhou, H.; Ai, Q.; Li, R. Short-Term Multi-Energy Load Forecasting Method Based on Transformer Spatio-Temporal Graph Neural Network. *Energies* **2025**, *18*(17), 4466. https://doi.org/10.3390/en18174466"
mintou_p2_hygraph_load_forecasting,3,10.3390/app15137003,VERIFIED,Short-Term Power Load Forecasting Using an Improved Model Integrating GCN and Transformer,2025,1.000,True,https://api.crossref.org/works/10.3390%2Fapp15137003,"3. Wu, M.; Feng, W.; Li, X.; Liu, Y.; Cao, C. Short-Term Power Load Forecasting Using an Improved Model Integrating GCN and Transformer. *Applied Sciences* **2025**, *15*(13), 7003. https://doi.org/10.3390/app15137003"
mintou_p2_hygraph_load_forecasting,4,10.1109/ACCESS.2024.3514174,VERIFIED,LoadSeer: Exploiting Tensor Graph Convolutional Network for Power Load Forecasting With Spatio-Temporal Characteristics,2024,1.000,True,https://api.crossref.org/works/10.1109%2FACCESS.2024.3514174,"4. Zhang, J.; Yu, B.; Lai, H.; Liu, L.; Zhou, J.; Lou, F.; Ni, Y.; Peng, Y.; Yu, Z. LoadSeer: Exploiting Tensor Graph Convolutional Network for Power Load Forecasting With Spatio-Temporal Characteristics. *IEEE Access* **2024**, *12*, 190337–190346. https://doi.org/10.1109/ACCESS.2024.3514174"
mintou_p2_hygraph_load_forecasting,5,10.1609/aaai.v37i9.26317,VERIFIED,Are Transformers Effective for Time Series Forecasting?,2023,1.000,True,https://api.crossref.org/works/10.1609%2Faaai.v37i9.26317,"5. Zeng, A.; Chen, M.; Zhang, L.; Xu, Q. Are Transformers Effective for Time Series Forecasting? *Proceedings of the AAAI Conference on Artificial Intelligence* **2023**, *37*(9), 11121–11128. https://doi.org/10.1609/aaai.v37i9.26317"
mintou_p2_hygraph_load_forecasting,6,10.1371/journal.pone.0194889,VERIFIED,Statistical and Machine Learning forecasting methods: Concerns and ways forward,2018,1.000,True,https://api.crossref.org/works/10.1371%2Fjournal.pone.0194889,"6. Makridakis, S.; Spiliotis, E.; Assimakopoulos, V. Statistical and Machine Learning forecasting methods: Concerns and ways forward. *PLOS ONE* **2018**, *13*(3), e0194889. https://doi.org/10.1371/journal.pone.0194889"
mintou_p2_hygraph_load_forecasting,7,10.1016/j.ijforecast.2019.04.014,VERIFIED,"The M4 Competition: 100,000 time series and 61 forecasting methods",2020,1.000,True,https://api.crossref.org/works/10.1016%2Fj.ijforecast.2019.04.014,"7. Makridakis, S.; Spiliotis, E.; Assimakopoulos, V. The M4 Competition: 100,000 time series and 61 forecasting methods. *International Journal of Forecasting* **2020**, *36*(1), 54–74. https://doi.org/10.1016/j.ijforecast.2019.04.014"
mintou_p2_hygraph_load_forecasting,8,10.1007/s10618-022-00894-5,VERIFIED,Forecast evaluation for data scientists: common pitfalls and best practices,2022;2023,1.000,True,https://api.crossref.org/works/10.1007%2Fs10618-022-00894-5,"8. Hewamalage, H.; Ackermann, K.; Bergmeir, C. Forecast evaluation for data scientists: common pitfalls and best practices. *Data Mining and Knowledge Discovery* **2023**, *37*(2), 788–832. https://doi.org/10.1007/s10618-022-00894-5"
mintou_p2_hygraph_load_forecasting,9,10.1162/neco.1997.9.8.1735,VERIFIED,Long Short-Term Memory,1997,1.000,True,https://api.crossref.org/works/10.1162%2Fneco.1997.9.8.1735,"9. Hochreiter, S.; Schmidhuber, J. Long Short-Term Memory. *Neural Computation* **1997**, *9*(8), 1735–1780. https://doi.org/10.1162/neco.1997.9.8.1735"
mintou_p2_hygraph_load_forecasting,10,10.1109/TSG.2017.2753802,VERIFIED,Short-Term Residential Load Forecasting Based on LSTM Recurrent Neural Network,2019,1.000,True,https://api.crossref.org/works/10.1109%2FTSG.2017.2753802,"10. Kong, W.; Dong, Z.Y.; Jia, Y.; Hill, D.J.; Xu, Y.; Zhang, Y. Short-Term Residential Load Forecasting Based on LSTM Recurrent Neural Network. *IEEE Transactions on Smart Grid* **2019**, *10*(1), 841–851. https://doi.org/10.1109/TSG.2017.2753802"
mintou_p2_hygraph_load_forecasting,11,10.1016/j.ijforecast.2019.07.001,VERIFIED,DeepAR: Probabilistic forecasting with autoregressive recurrent networks,2020,1.000,True,https://api.crossref.org/works/10.1016%2Fj.ijforecast.2019.07.001,"11. Salinas, D.; Flunkert, V.; Gasthaus, J.; Januschowski, T. DeepAR: Probabilistic forecasting with autoregressive recurrent networks. *International Journal of Forecasting* **2020**, *36*(3), 1181–1191. https://doi.org/10.1016/j.ijforecast.2019.07.001"
mintou_p2_hygraph_load_forecasting,12,10.3390/app10072322,VERIFIED,Temporal Convolutional Networks Applied to Energy-Related Time Series Forecasting,2020,1.000,True,https://api.crossref.org/works/10.3390%2Fapp10072322,"12. Lara-Benítez, P.; Carranza-García, M.; Luna-Romera, J.M.; Riquelme, J.C. Temporal Convolutional Networks Applied to Energy-Related Time Series Forecasting. *Applied Sciences* **2020**, *10*(7), 2322. https://doi.org/10.3390/app10072322"
mintou_p2_hygraph_load_forecasting,13,10.1016/j.ijforecast.2021.03.012,VERIFIED,Temporal Fusion Transformers for interpretable multi-horizon time series forecasting,2021,1.000,True,https://api.crossref.org/works/10.1016%2Fj.ijforecast.2021.03.012,"13. Lim, B.; Arık, S.Ö.; Loeff, N.; Pfister, T. Temporal Fusion Transformers for interpretable multi-horizon time series forecasting. *International Journal of Forecasting* **2021**, *37*(4), 1748–1764. https://doi.org/10.1016/j.ijforecast.2021.03.012"
mintou_p2_hygraph_load_forecasting,14,10.1609/aaai.v35i12.17325,VERIFIED,Informer: Beyond Efficient Transformer for Long Sequence Time-Series Forecasting,2021,1.000,True,https://api.crossref.org/works/10.1609%2Faaai.v35i12.17325,"14. Zhou, H.; Zhang, S.; Peng, J.; Zhang, S.; Li, J.; Xiong, H.; Zhang, W. Informer: Beyond Efficient Transformer for Long Sequence Time-Series Forecasting. *Proceedings of the AAAI Conference on Artificial Intelligence* **2021**, *35*(12), 11106–11115. https://doi.org/10.1609/aaai.v35i12.17325"
mintou_p2_hygraph_load_forecasting,15,10.3390/electronics14112262,VERIFIED,Research on a Short-Term Power Load Forecasting Method Based on a Three-Channel LSTM-CNN,2025,1.000,True,https://api.crossref.org/works/10.3390%2Felectronics14112262,"15. Zhao, X.; Peng, H.; Zhang, L.; Ma, H. Research on a Short-Term Power Load Forecasting Method Based on a Three-Channel LSTM-CNN. *Electronics* **2025**, *14*(11), 2262. https://doi.org/10.3390/electronics14112262"
mintou_p2_hygraph_load_forecasting,16,10.3390/en19061473,VERIFIED,Research on BiLSTM–Transformer Power Load Forecasting Method Based on Dynamic Adaptive Fusion,2026,1.000,True,https://api.crossref.org/works/10.3390%2Fen19061473,"16. Xu, J.; Zhang, L.; Zhang, Z. Research on BiLSTM–Transformer Power Load Forecasting Method Based on Dynamic Adaptive Fusion. *Energies* **2026**, *19*(6), 1473. https://doi.org/10.3390/en19061473"
mintou_p2_hygraph_load_forecasting,17,10.3390/electronics13173441,VERIFIED,A Short-Term Power Load Forecasting Method Based on SBOA–SVMD-TCN–BiLSTM,2024,1.000,True,https://api.crossref.org/works/10.3390%2Felectronics13173441,"17. Yang, M.; Chen, Y.; Fang, G.; Ma, C.; Liu, Y.; Wang, J. A Short-Term Power Load Forecasting Method Based on SBOA–SVMD-TCN–BiLSTM. *Electronics* **2024**, *13*(17), 3441. https://doi.org/10.3390/electronics13173441"
mintou_p2_hygraph_load_forecasting,18,10.3390/en18112842,VERIFIED,"Optimizing Smart Grid Load Forecasting via a Hybrid Long Short-Term Memory-XGBoost Framework: Enhancing Accuracy, Robustness, and Energy Management",2025,1.000,True,https://api.crossref.org/works/10.3390%2Fen18112842,"18. Dakheel, F.; Çevik, M. Optimizing Smart Grid Load Forecasting via a Hybrid Long Short-Term Memory-XGBoost Framework: Enhancing Accuracy, Robustness, and Energy Management. *Energies* **2025**, *18*(11), 2842. https://doi.org/10.3390/en18112842"
mintou_p2_hygraph_load_forecasting,19,10.1145/3209978.3210006,VERIFIED,Modeling Long- and Short-Term Temporal Patterns with Deep Neural Networks,2018,1.000,True,https://api.crossref.org/works/10.1145%2F3209978.3210006,"19. Lai, G.; Chang, W.-C.; Yang, Y.; Liu, H. Modeling Long- and Short-Term Temporal Patterns with Deep Neural Networks. In Proceedings of the 41st International ACM SIGIR Conference on Research & Development in Information Retrieval, 2018; pp. 95–104. https://doi.org/10.1145/3209978.3210006"
mintou_p2_hygraph_load_forecasting,20,10.24963/ijcai.2018/505,VERIFIED,Spatio-Temporal Graph Convolutional Networks: A Deep Learning Framework for Traffic Forecasting,2018,1.000,True,https://api.crossref.org/works/10.24963%2Fijcai.2018%2F505,"20. Yu, B.; Yin, H.; Zhu, Z. Spatio-Temporal Graph Convolutional Networks: A Deep Learning Framework for Traffic Forecasting. In Proceedings of the Twenty-Seventh International Joint Conference on Artificial Intelligence (IJCAI-18), 2018; pp. 3634–3640. https://doi.org/10.24963/ijcai.2018/505"
mintou_p2_hygraph_load_forecasting,21,10.1145/3394486.3403118,VERIFIED,Connecting the Dots: Multivariate Time Series Forecasting with Graph Neural Networks,2020,1.000,True,https://api.crossref.org/works/10.1145%2F3394486.3403118,"21. Wu, Z.; Pan, S.; Long, G.; Jiang, J.; Chang, X.; Zhang, C. Connecting the Dots: Multivariate Time Series Forecasting with Graph Neural Networks. In Proceedings of the 26th ACM SIGKDD International Conference on Knowledge Discovery & Data Mining, 2020; pp. 753–763. https://doi.org/10.1145/3394486.3403118"
mintou_p2_hygraph_load_forecasting,22,10.1016/j.csda.2011.03.006,VERIFIED,Optimal combination forecasts for hierarchical time series,2011,1.000,True,https://api.crossref.org/works/10.1016%2Fj.csda.2011.03.006,"22. Hyndman, R.J.; Ahmed, R.A.; Athanasopoulos, G.; Shang, H.L. Optimal combination forecasts for hierarchical time series. *Computational Statistics & Data Analysis* **2011**, *55*(9), 2579–2589. https://doi.org/10.1016/j.csda.2011.03.006"
mintou_p2_hygraph_load_forecasting,23,10.1080/01621459.2018.1448825,VERIFIED,Optimal Forecast Reconciliation for Hierarchical and Grouped Time Series Through Trace Minimization,2018;2019,1.000,True,https://api.crossref.org/works/10.1080%2F01621459.2018.1448825,"23. Wickramasuriya, S.L.; Athanasopoulos, G.; Hyndman, R.J. Optimal Forecast Reconciliation for Hierarchical and Grouped Time Series Through Trace Minimization. *Journal of the American Statistical Association* **2019**, *114*(526), 804–819. https://doi.org/10.1080/01621459.2018.1448825"
mintou_p2_hygraph_load_forecasting,24,10.1080/14786451.2015.1100196,VERIFIED,Residential load and rooftop PV generation: an Australian distribution network dataset,2015;2017,1.000,True,https://api.crossref.org/works/10.1080%2F14786451.2015.1100196,"24. Ratnam, E.L.; Weller, S.R.; Kellett, C.M.; Murray, A.T. Residential load and rooftop PV generation: an Australian distribution network dataset. *International Journal of Sustainable Energy* **2017**, *36*(8), 787–806. https://doi.org/10.1080/14786451.2015.1100196"
mintou_p2_hygraph_load_forecasting,25,10.1016/S0169-2070(00)00065-0,VERIFIED,Out-of-sample tests of forecasting accuracy: an analysis and review,2000,1.000,True,https://api.crossref.org/works/10.1016%2FS0169-2070%2800%2900065-0,"25. Tashman, L.J. Out-of-sample tests of forecasting accuracy: an analysis and review. *International Journal of Forecasting* **2000**, *16*(4), 437–450. https://doi.org/10.1016/S0169-2070(00)00065-0"
mintou_p2_hygraph_load_forecasting,26,10.1016/j.ins.2011.12.028,VERIFIED,On the use of cross-validation for time series predictor evaluation,2012,1.000,True,https://api.crossref.org/works/10.1016%2Fj.ins.2011.12.028,"26. Bergmeir, C.; Benítez, J.M. On the use of cross-validation for time series predictor evaluation. *Information Sciences* **2012**, *191*, 192–213. https://doi.org/10.1016/j.ins.2011.12.028"
mintou_p2_hygraph_load_forecasting,27,10.1016/j.ijforecast.2006.03.001,VERIFIED,Another look at measures of forecast accuracy,2006,1.000,True,https://api.crossref.org/works/10.1016%2Fj.ijforecast.2006.03.001,"27. Hyndman, R.J.; Koehler, A.B. Another look at measures of forecast accuracy. *International Journal of Forecasting* **2006**, *22*(4), 679–688. https://doi.org/10.1016/j.ijforecast.2006.03.001"
mintou_p2_hygraph_load_forecasting,28,10.1080/07350015.1995.10524599,VERIFIED,Comparing Predictive Accuracy,1995,1.000,True,https://api.crossref.org/works/10.1080%2F07350015.1995.10524599,"28. Diebold, F.X.; Mariano, R.S. Comparing Predictive Accuracy. *Journal of Business & Economic Statistics* **1995**, *13*(3), 253–263. https://doi.org/10.1080/07350015.1995.10524599"
