doc_id,report_series_id,variant,budget,selected_sentence_ids,selection_overlap_with_production,rouge1_f1,rouge2_f1,rougeL_f1,redundancy
nerc_012_january_11_oscillation_event_report,nerc_012_january_11_oscillation_event_report,extended_512,5,s00001|s00024|s00054|s00109|s00121,1.0,0.1396957123098202,0.038781163434903045,0.07883817427385893,0.0482438755712413
nerc_012_january_11_oscillation_event_report,nerc_012_january_11_oscillation_event_report,extended_512,10,s00001|s00007|s00024|s00054|s00090|s00095|s00109|s00115|s00121|s00135,1.0,0.25863151286880104,0.06913890634820867,0.11173885750156938,0.050711839263227525
nerc_012_january_11_oscillation_event_report,nerc_012_january_11_oscillation_event_report,chunk_mean_254,5,s00001|s00024|s00054|s00109|s00121,1.0,0.1396957123098202,0.038781163434903045,0.07883817427385893,0.0482438755712413
nerc_012_january_11_oscillation_event_report,nerc_012_january_11_oscillation_event_report,chunk_mean_254,10,s00001|s00007|s00024|s00054|s00090|s00095|s00109|s00115|s00121|s00135,1.0,0.25863151286880104,0.06913890634820867,0.11173885750156938,0.050711839263227525
nerc_015_polar_vortex_review,nerc_015_polar_vortex_review,production_256,5,s00050|s00101|s00109|s00275|s00327,1.0,0.31027253668763105,0.08193277310924368,0.12368972746331236,0.042840945406157474
nerc_015_polar_vortex_review,nerc_015_polar_vortex_review,production_256,10,s00035|s00050|s00069|s00073|s00101|s00109|s00151|s00190|s00275|s00327,1.0,0.4354986276303751,0.11182401466544455,0.15553522415370538,0.04778405374313443
nerc_015_polar_vortex_review,nerc_015_polar_vortex_review,extended_512,5,s00050|s00101|s00109|s00275|s00327,1.0,0.31027253668763105,0.08193277310924368,0.12368972746331236,0.042840945406157474
nerc_015_polar_vortex_review,nerc_015_polar_vortex_review,extended_512,10,s00035|s00050|s00069|s00073|s00101|s00109|s00151|s00190|s00275|s00327,1.0,0.4354986276303751,0.11182401466544455,0.15553522415370538,0.04778405374313443
nerc_015_polar_vortex_review,nerc_015_polar_vortex_review,chunk_mean_254,5,s00050|s00101|s00109|s00275|s00327,1.0,0.31027253668763105,0.08193277310924368,0.12368972746331236,0.042840945406157474
nerc_015_polar_vortex_review,nerc_015_polar_vortex_review,chunk_mean_254,10,s00035|s00050|s00069|s00073|s00101|s00109|s00151|s00190|s00275|s00327,1.0,0.4354986276303751,0.11182401466544455,0.15553522415370538,0.04778405374313443
nerc_030_winter_storm_elliott_recommendation_3_blac,series_winter_storm_elliott,production_256,5,s00021|s00199|s00226|s00277|s00390,1.0,0.17632241813602015,0.058007566204287514,0.08438287153652393,0.04899622935070942
nerc_030_winter_storm_elliott_recommendation_3_blac,series_winter_storm_elliott,production_256,10,s00007|s00021|s00126|s00152|s00199|s00226|s00259|s00277|s00388|s00390,1.0,0.32156862745098036,0.11104879416713405,0.13109243697478992,0.06797474159090652
nerc_030_winter_storm_elliott_recommendation_3_blac,series_winter_storm_elliott,extended_512,5,s00021|s00199|s00226|s00277|s00390,1.0,0.17632241813602015,0.058007566204287514,0.08438287153652393,0.04899622935070942
nerc_030_winter_storm_elliott_recommendation_3_blac,series_winter_storm_elliott,extended_512,10,s00007|s00021|s00126|s00152|s00199|s00226|s00259|s00277|s00388|s00390,1.0,0.32156862745098036,0.11104879416713405,0.13109243697478992,0.06797474159090652
nerc_030_winter_storm_elliott_recommendation_3_blac,series_winter_storm_elliott,chunk_mean_254,5,s00021|s00199|s00226|s00277|s00390,1.0,0.17632241813602015,0.058007566204287514,0.08438287153652393,0.04899622935070942
nerc_030_winter_storm_elliott_recommendation_3_blac,series_winter_storm_elliott,chunk_mean_254,10,s00007|s00021|s00126|s00152|s00199|s00226|s00259|s00277|s00388|s00390,1.0,0.32156862745098036,0.11104879416713405,0.13109243697478992,0.06797474159090652
