doc_id,report_series_id,condition,word_budget,selected_sentence_count,used_words,unused_words,selected_sentence_ids,rouge1_f1,rouge2_f1,rougeL_f1
nerc_011_san_fernando_disturbance_report,nerc_011_san_fernando_disturbance_report,graph_no_cf_strict,260,4,252,8,s00001|s00177|s00208|s00231,0.10652741514360314,0.0464994775339603,0.05796344647519583
nerc_011_san_fernando_disturbance_report,nerc_011_san_fernando_disturbance_report,c2ges_full,110,2,93,17,s00208|s00231,0.044129664941432854,0.019078768056691196,0.028330155271043315
nerc_011_san_fernando_disturbance_report,nerc_011_san_fernando_disturbance_report,c2ges_full,260,5,243,17,s00072|s00177|s00208|s00217|s00231,0.11253598534415075,0.045561665357423405,0.06019366657942946
nerc_012_january_11_oscillation_event_report,nerc_012_january_11_oscillation_event_report,lead,110,4,109,1,s00001|s00002|s00003|s00004,0.11508771929824561,0.04356992269852424,0.0631578947368421
nerc_012_january_11_oscillation_event_report,nerc_012_january_11_oscillation_event_report,lead,260,7,259,1,s00001|s00002|s00003|s00004|s00005|s00006|s00007,0.24,0.08518753973299428,0.11047619047619048
nerc_012_january_11_oscillation_event_report,nerc_012_january_11_oscillation_event_report,centroid,110,3,97,13,s00093|s00112|s00129,0.10191082802547773,0.03827072997873848,0.06794055201698512
nerc_012_january_11_oscillation_event_report,nerc_012_january_11_oscillation_event_report,centroid,260,6,249,11,s00005|s00093|s00097|s00112|s00120|s00129,0.19552715654952077,0.07421625079974407,0.10862619808306709
nerc_012_january_11_oscillation_event_report,nerc_012_january_11_oscillation_event_report,textrank,110,3,97,13,s00093|s00112|s00129,0.10191082802547773,0.03827072997873848,0.06794055201698512
nerc_012_january_11_oscillation_event_report,nerc_012_january_11_oscillation_event_report,textrank,260,7,238,22,s00089|s00090|s00093|s00097|s00112|s00120|s00129,0.18661518661518658,0.07087628865979381,0.10939510939510941
nerc_012_january_11_oscillation_event_report,nerc_012_january_11_oscillation_event_report,semantic_mmr,110,4,102,8,s00001|s00024|s00109|s00121,0.11142454160789844,0.031073446327683614,0.06629055007052186
nerc_012_january_11_oscillation_event_report,nerc_012_january_11_oscillation_event_report,semantic_mmr,260,9,208,52,s00001|s00024|s00054|s00090|s00095|s00109|s00115|s00121|s00135,0.19685039370078738,0.052562417871222074,0.09842519685039369
nerc_012_january_11_oscillation_event_report,nerc_012_january_11_oscillation_event_report,role,110,3,93,17,s00001|s00009|s00017,0.1107168204400284,0.03980099502487562,0.07097232079488998
nerc_012_january_11_oscillation_event_report,nerc_012_january_11_oscillation_event_report,role,260,7,220,40,s00001|s00009|s00016|s00017|s00019|s00054|s00111,0.23697916666666666,0.09647979139504563,0.11718749999999999
nerc_012_january_11_oscillation_event_report,nerc_012_january_11_oscillation_event_report,graph_no_cf_strict,110,2,102,8,s00093|s00113,0.10296191819464035,0.03954802259887006,0.06488011283497884
nerc_012_january_11_oscillation_event_report,nerc_012_january_11_oscillation_event_report,graph_no_cf_strict,260,5,241,19,s00001|s00019|s00062|s00093|s00113,0.24277456647398846,0.08745980707395498,0.11303789338471418
nerc_012_january_11_oscillation_event_report,nerc_012_january_11_oscillation_event_report,c2ges_full,110,2,102,8,s00043|s00055,0.11988716502115657,0.0480225988700565,0.0691114245416079
nerc_012_january_11_oscillation_event_report,nerc_012_january_11_oscillation_event_report,c2ges_full,260,5,246,14,s00001|s00043|s00055|s00093|s00113,0.2445582586427657,0.09871794871794873,0.11267605633802816
nerc_015_polar_vortex_review,nerc_015_polar_vortex_review,lead,110,4,110,0,s00001|s00002|s00003|s00004,0.19458128078817735,0.05185185185185186,0.09852216748768473
nerc_015_polar_vortex_review,nerc_015_polar_vortex_review,lead,260,10,258,2,s00001|s00002|s00003|s00004|s00005|s00006|s00007|s00008|s00009|s00010,0.3333333333333333,0.0709812108559499,0.1375
nerc_015_polar_vortex_review,nerc_015_polar_vortex_review,centroid,110,3,90,20,s00326|s00327|s00331,0.11868686868686872,0.010126582278481013,0.07323232323232323
nerc_015_polar_vortex_review,nerc_015_polar_vortex_review,centroid,260,8,236,24,s00316|s00326|s00327|s00328|s00330|s00331|s00356|s00357,0.19402985074626866,0.010683760683760684,0.11727078891257994
