paper,experiment_id,method,method_role,seed,hypervolume,feasible_front_size,compromise_cost_index,compromise_reliability,compromise_renewable,compromise_risk,portfolio_size,local_move_count,trace_event_count,decision_coverage,preference_achievement_distance,runtime_s,source_status
p6,budget_constrained_selection,NSGA-II,baseline,5,0.17011949,40,0.99601410,23.63443236,2.75914528,0.26643795,13,0,0,0.00000000,nan,0.080229,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p6,budget_constrained_selection,NSGA-II,baseline,6,0.17151347,40,0.88370524,26.66894247,1.97933520,0.33013559,11,0,0,0.00000000,nan,0.083060,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p6,budget_constrained_selection,NSGA-II,baseline,7,0.15291005,40,0.86071019,20.62596773,15.72498717,0.27443585,11,0,0,0.00000000,nan,0.083897,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p6,budget_constrained_selection,NSGA-II,baseline,8,0.17110615,40,0.92417940,26.23307955,1.23755593,0.29598271,12,0,0,0.00000000,nan,0.080966,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p6,budget_constrained_selection,NSGA-II,baseline,9,0.16626937,40,0.93759387,23.06231871,15.68917897,0.28294112,12,0,0,0.00000000,nan,0.082012,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p6,budget_constrained_selection,NSGA-II,baseline,10,0.16299854,40,0.99724404,22.57418671,35.52525897,0.29030778,12,0,0,0.00000000,nan,0.081350,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p6,budget_constrained_selection,NSGA-II,baseline,11,0.16838053,40,0.86040889,27.15290086,20.60000988,0.32793559,11,0,0,0.00000000,nan,0.081819,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p6,budget_constrained_selection,NSGA-II,baseline,12,0.15643428,40,0.96812596,21.47794176,46.95045697,0.28557445,12,0,0,0.00000000,nan,0.081016,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p6,budget_constrained_selection,NSGA-II,baseline,13,0.16211874,40,0.94506357,22.39355647,22.33320113,0.28092445,12,0,0,0.00000000,nan,0.080055,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p6,budget_constrained_selection,NSGA-II,baseline,14,0.17041409,40,0.99624270,24.08339076,2.46168313,0.26829949,13,0,0,0.00000000,nan,0.079741,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p6,budget_constrained_selection,NSGA-II,baseline,15,0.14236061,40,0.80474051,18.83751091,38.09162517,0.29019943,10,0,0,0.00000000,nan,0.082946,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p6,budget_constrained_selection,NSGA-II,baseline,16,0.15803471,40,0.96962329,21.47794176,50.03181697,0.28557445,12,0,0,0.00000000,nan,0.080106,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p6,budget_constrained_selection,NSGA-II,baseline,17,0.17119273,40,0.93777210,25.55079300,18.76059493,0.29729937,12,0,0,0.00000000,nan,0.082964,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p6,budget_constrained_selection,NSGA-II,baseline,18,0.16974592,40,0.93552076,25.99975139,12.91385277,0.29931604,12,0,0,0.00000000,nan,0.085395,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p6,budget_constrained_selection,NSGA-II,baseline,19,0.17025102,40,0.86151096,25.12690928,20.75555493,0.31083568,11,0,0,0.00000000,nan,0.083437,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p6,budget_constrained_selection,NSGA-II,baseline,20,0.13913883,40,0.97924631,18.30657331,20.85199437,0.25360794,12,0,0,0.00000000,nan,0.079621,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p6,budget_constrained_selection,NSGA-II,baseline,21,0.17049203,40,0.87532068,23.94309067,38.23883293,0.31370841,11,0,0,0.00000000,nan,0.083700,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p6,budget_constrained_selection,NSGA-II,baseline,22,0.16207749,40,0.98709565,22.84536649,1.07746856,0.29700934,10,0,0,0.00000000,nan,0.079542,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p6,budget_constrained_selection,NSGA-II,baseline,23,0.14525463,40,0.91033453,19.67535302,20.11802617,0.28390858,11,0,0,0.00000000,nan,0.083051,public_rts_simbench_nerc_project_review_v3_direct_family_controls
