paper,experiment_id,method,method_role,seed,hypervolume,feasible_front_size,compromise_cost_index,compromise_reliability,compromise_renewable,compromise_risk,portfolio_size,local_move_count,trace_event_count,decision_coverage,runtime_s,source_status
p6,budget_constrained_selection,MOEA/D,baseline,15,0.03964704,4,0.16930702,3.08938924,20.40888964,0.27454953,2,0,0,0.00000000,0.301921,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,MOEA/D,baseline,16,0.03747004,4,0.18528075,0.38111111,40.80987368,0.18840000,2,0,0,0.00000000,0.321791,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,MOEA/D,baseline,17,0.03747004,4,0.18528075,0.38111111,40.80987368,0.18840000,2,0,0,0.00000000,0.302911,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,MOEA/D,baseline,18,0.03964704,4,0.16930702,3.08938924,20.40888964,0.27454953,2,0,0,0.00000000,0.303713,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,MOEA/D,baseline,19,0.02534382,4,0.07118984,0.32526118,0.44520000,0.14840000,1,0,0,0.00000000,0.306639,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,MOEA/D,baseline,20,0.02604686,6,0.07118984,0.32526118,0.44520000,0.14840000,1,0,0,0.00000000,0.304217,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,MOEA/D,baseline,21,0.03742334,5,0.18400178,0.38111111,38.08747368,0.18840000,2,0,0,0.00000000,0.303126,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,MOEA/D,baseline,22,0.02534382,3,0.07118984,0.32526118,0.44520000,0.14840000,1,0,0,0.00000000,0.306650,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,MOEA/D,baseline,23,0.02534382,4,0.07118984,0.32526118,0.44520000,0.14840000,1,0,0,0.00000000,0.302299,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,MOEA/D,baseline,24,0.02534382,3,0.07118984,0.32526118,0.44520000,0.14840000,1,0,0,0.00000000,0.300895,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,MOEA/D,baseline,25,0.02517992,3,0.07118984,0.32526118,0.44520000,0.14840000,1,0,0,0.00000000,0.304476,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,MOEA/D,baseline,26,0.02600015,4,0.07118984,0.32526118,0.44520000,0.14840000,1,0,0,0.00000000,0.302719,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,MOEA/D,baseline,27,0.03689548,4,0.09264037,0.19055556,20.40493684,0.18840000,1,0,0,0.00000000,0.304324,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,MOEA/D,baseline,28,0.02534382,4,0.07118984,0.32526118,0.44520000,0.14840000,1,0,0,0.00000000,0.303855,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,MOEA/D,baseline,29,0.02604686,6,0.07118984,0.32526118,0.44520000,0.14840000,1,0,0,0.00000000,0.320286,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,Greedy BCR,baseline,0,0.03910305,1,0.99936052,2.09611111,182.55590526,0.18840000,11,0,0,0.00000000,0.000403,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,Greedy BCR,baseline,1,0.03910305,1,0.99936052,2.09611111,182.55590526,0.18840000,11,0,0,0.00000000,0.000360,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,Greedy BCR,baseline,2,0.03910305,1,0.99936052,2.09611111,182.55590526,0.18840000,11,0,0,0.00000000,0.000340,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,Greedy BCR,baseline,3,0.03910305,1,0.99936052,2.09611111,182.55590526,0.18840000,11,0,0,0.00000000,0.000394,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,Greedy BCR,baseline,4,0.03910305,1,0.99936052,2.09611111,182.55590526,0.18840000,11,0,0,0.00000000,0.000335,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,Greedy BCR,baseline,5,0.03910305,1,0.99936052,2.09611111,182.55590526,0.18840000,11,0,0,0.00000000,0.000321,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,Greedy BCR,baseline,6,0.03910305,1,0.99936052,2.09611111,182.55590526,0.18840000,11,0,0,0.00000000,0.000338,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,Greedy BCR,baseline,7,0.03910305,1,0.99936052,2.09611111,182.55590526,0.18840000,11,0,0,0.00000000,0.000332,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,Greedy BCR,baseline,8,0.03910305,1,0.99936052,2.09611111,182.55590526,0.18840000,11,0,0,0.00000000,0.000318,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,Greedy BCR,baseline,9,0.03910305,1,0.99936052,2.09611111,182.55590526,0.18840000,11,0,0,0.00000000,0.000574,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,Greedy BCR,baseline,10,0.03910305,1,0.99936052,2.09611111,182.55590526,0.18840000,11,0,0,0.00000000,0.000432,public_rts_simbench_nerc_project_review_v2_real_algorithms
