doc_id,report_series_id,budget,variant,selected_sentence_ids,rouge1_f1,rouge2_f1,rougeL_f1,redundancy,overlap_with_full,overlap_with_historical_strict,normalized_vs_strict_changed
nerc_012_january_11_oscillation_event_report,nerc_012_january_11_oscillation_event_report,5,full,s00001|s00043|s00055|s00093|s00113,0.2445582586427657,0.09871794871794873,0.11267605633802816,0.06082943353776199,1.0,0.8,0
nerc_012_january_11_oscillation_event_report,nerc_012_january_11_oscillation_event_report,5,historical_strict_no_path,s00001|s00055|s00062|s00093|s00113,0.28589108910891087,0.10161090458488228,0.12623762376237624,0.06447827093959109,0.8,1.0,0
nerc_012_january_11_oscillation_event_report,nerc_012_january_11_oscillation_event_report,5,normalized_no_path,s00001|s00055|s00062|s00093|s00113,0.28589108910891087,0.10161090458488228,0.12623762376237624,0.06447827093959109,0.8,1.0,0
nerc_012_january_11_oscillation_event_report,nerc_012_january_11_oscillation_event_report,10,full,s00001|s00019|s00043|s00046|s00054|s00055|s00071|s00093|s00094|s00113,0.39204545454545453,0.14334470989761092,0.14545454545454545,0.04717199303373917,1.0,0.7,0
nerc_012_january_11_oscillation_event_report,nerc_012_january_11_oscillation_event_report,10,historical_strict_no_path,s00001|s00017|s00019|s00055|s00062|s00071|s00093|s00094|s00113|s00120,0.4215740231150248,0.14765840220385676,0.15520088057237202,0.06915125504722722,0.7,1.0,0
nerc_012_january_11_oscillation_event_report,nerc_012_january_11_oscillation_event_report,10,normalized_no_path,s00001|s00017|s00019|s00055|s00062|s00071|s00093|s00094|s00113|s00120,0.4215740231150248,0.14765840220385676,0.15520088057237202,0.06915125504722722,0.7,1.0,0
nerc_015_polar_vortex_review,nerc_015_polar_vortex_review,5,full,s00101|s00173|s00204|s00284|s00287,0.3162393162393163,0.08351177730192719,0.1282051282051282,0.03463307240929204,1.0,0.6,0
nerc_015_polar_vortex_review,nerc_015_polar_vortex_review,5,historical_strict_no_path,s00101|s00173|s00204|s00211|s00272,0.39401496259351626,0.09825145711906744,0.17290108063175394,0.06138585077447316,0.6,1.0,0
nerc_015_polar_vortex_review,nerc_015_polar_vortex_review,5,normalized_no_path,s00101|s00173|s00204|s00211|s00272,0.39401496259351626,0.09825145711906744,0.17290108063175394,0.06138585077447316,0.6,1.0,0
nerc_015_polar_vortex_review,nerc_015_polar_vortex_review,10,full,s00101|s00173|s00198|s00199|s00204|s00211|s00216|s00284|s00287|s00400,0.3699102829537612,0.07463718037318591,0.14078674948240166,0.03932394304317812,1.0,0.7,0
