paper,experiment_id,method,method_role,reinforcement,storage,der,automation,source_status
p4,pareto_quality,Weighted Sum,baseline,1,0,0,3,public_simbench_planning_v2_real_moea
p4,pareto_quality,Deterministic Planning,baseline,0,1,15,0,public_simbench_planning_v2_real_moea
p4,pareto_quality,Ablation-NoScenarioScreen,ablation,7,5,1,0,public_simbench_planning_v2_real_moea
p4,pareto_quality,Ablation-NoRepair,ablation,7,4,2,0,public_simbench_planning_v2_real_moea
p4,pareto_quality,Ablation-NoResilienceObj,ablation,8,4,1,0,public_simbench_planning_v2_real_moea
p4,pareto_quality,Ablation-NoOutage,ablation,5,7,1,0,public_simbench_planning_v2_real_moea
p4,unseen_stress_generalization,SHIELD-MOEA,proposed,8,4,1,0,public_simbench_planning_v2_real_moea
p4,unseen_stress_generalization,NSGA-II,baseline,7,3,3,0,public_simbench_planning_v2_real_moea
p4,unseen_stress_generalization,NSGA-II+Repair,baseline,9,2,2,0,public_simbench_planning_v2_real_moea
p4,unseen_stress_generalization,MOEA/D,baseline,0,0,0,0,public_simbench_planning_v2_real_moea
p4,unseen_stress_generalization,GA,baseline,7,5,0,0,public_simbench_planning_v2_real_moea
p4,unseen_stress_generalization,Weighted Sum,baseline,1,0,0,3,public_simbench_planning_v2_real_moea
p4,unseen_stress_generalization,Deterministic Planning,baseline,0,1,15,0,public_simbench_planning_v2_real_moea
p4,unseen_stress_generalization,Ablation-NoScenarioScreen,ablation,12,0,0,0,public_simbench_planning_v2_real_moea
p4,unseen_stress_generalization,Ablation-NoRepair,ablation,7,5,1,0,public_simbench_planning_v2_real_moea
p4,unseen_stress_generalization,Ablation-NoResilienceObj,ablation,5,7,1,0,public_simbench_planning_v2_real_moea
p4,unseen_stress_generalization,Ablation-NoOutage,ablation,9,3,1,0,public_simbench_planning_v2_real_moea
