cap,horizon_hours,method,method_role,selection_objective,blend_mode,n_seeds,mean_alpha_head,mean_checkpoint_epoch,mean_ridge_lambda,mean_curtailment_mae,std_curtailment_mae,mean_curtailment_rmse,std_curtailment_rmse,mean_event_f1,std_event_f1,mean_onset_f1,std_onset_f1,mean_onset_mae,std_onset_mae,mean_stress_subset_mae,std_stress_subset_mae
0.70,1,Ridge,baseline,onset_f1,not_applicable,1,NA,NA,1e-06,0.0203672887,0.0000000000,0.0511172398,0.0000000000,0.4644549763,0.0000000000,0.1116279070,0.0000000000,0.0448051373,0.0000000000,0.0587984631,0.0000000000
0.70,24,GRU-LSR,proposed,mae,selected,10,0.00000000,13.5000,NA,0.0207685688,0.0002313779,0.0511149769,0.0003461273,0.0303816027,0.0146014713,0.2230165518,0.0104231180,0.1103513663,0.0010175866,0.0529236958,0.0004327143
0.70,24,GRU-LSR-Fixed0,mechanism_control,mae,fixed_0,10,0.00000000,13.5000,NA,0.0207685688,0.0002313779,0.0511149769,0.0003461273,0.0303816027,0.0146014713,0.2230165518,0.0104231180,0.1103513663,0.0010175866,0.0529236958,0.0004327143
0.70,24,GRU-LSR-Fixed0.5,mechanism_control,mae,fixed_0.5,10,0.50000000,13.5000,NA,0.0217429152,0.0005897340,0.0494416203,0.0003980788,0.0000000000,0.0000000000,0.2320694168,0.0120002009,0.1091213012,0.0016507558,0.0530198587,0.0003702135
0.70,24,GRU-LSR-Fixed1,mechanism_control,mae,fixed_1,10,1.00000000,13.5000,NA,0.0229691227,0.0011731849,0.0494688312,0.0005611957,0.0000000000,0.0000000000,0.2184576818,0.0084851553,0.1092603028,0.0028477757,0.0538749850,0.0004927364
0.70,24,Ridge,baseline,mae,not_applicable,1,NA,NA,1,0.0226168227,0.0000000000,0.0493340383,0.0000000000,0.0000000000,0.0000000000,0.2322880372,0.0000000000,0.1071575464,0.0000000000,0.0542486800,0.0000000000
0.70,24,DirectPolicyTransform-Privileged,privileged_control,not_applicable,not_applicable,1,NA,NA,NA,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.7527352298,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.70,24,Persistence,baseline,not_applicable,not_applicable,1,NA,NA,NA,0.0205465079,0.0000000000,0.0596139704,0.0000000000,0.3400000000,0.0000000000,0.0000000000,0.0000000000,0.1322832706,0.0000000000,0.0551652764,0.0000000000
0.70,24,Seasonal-24h,baseline,not_applicable,not_applicable,1,NA,NA,NA,0.0205465079,0.0000000000,0.0596139704,0.0000000000,0.3400000000,0.0000000000,0.0000000000,0.0000000000,0.1322832706,0.0000000000,0.0551652764,0.0000000000
0.70,24,GRU-LSR,proposed,onset_f1,selected,10,1.00000000,5.0000,NA,0.0226467489,0.0008669970,0.0487266027,0.0003483587,0.0000000000,0.0000000000,0.2186885631,0.0084188437,0.1099815459,0.0020725632,0.0537593151,0.0007376550
0.70,24,GRU-LSR-Fixed0,mechanism_control,onset_f1,fixed_0,10,0.00000000,5.0000,NA,0.0208030330,0.0002177109,0.0510095811,0.0004262131,0.0295797458,0.0147384799,0.2207682850,0.0065908589,0.1102689199,0.0012315825,0.0531019552,0.0004756939
0.70,24,GRU-LSR-Fixed0.5,mechanism_control,onset_f1,fixed_0.5,10,0.50000000,5.0000,NA,0.0216040743,0.0004222859,0.0490136027,0.0002449283,0.0000000000,0.0000000000,0.2203229564,0.0088196652,0.1095333868,0.0011514823,0.0530511228,0.0005063296
0.70,24,GRU-LSR-Fixed1,mechanism_control,onset_f1,fixed_1,10,1.00000000,5.0000,NA,0.0226467489,0.0008669970,0.0487266027,0.0003483587,0.0000000000,0.0000000000,0.2186885631,0.0084188437,0.1099815459,0.0020725632,0.0537593151,0.0007376550
0.70,24,Ridge,baseline,onset_f1,not_applicable,1,NA,NA,1e-06,0.0254937101,0.0000000000,0.0519513315,0.0000000000,0.0251572327,0.0000000000,0.2178828366,0.0000000000,0.1059656980,0.0000000000,0.0579013407,0.0000000000
0.80,1,GRU-LSR,proposed,mae,selected,10,0.00000000,17.0000,NA,0.0035605614,0.0000861388,0.0170151439,0.0004489366,0.7340445543,0.0235970615,0.1246927137,0.0146142682,0.0484792678,0.0008081907,0.0127637280,0.0003126246
0.80,1,GRU-LSR-Fixed0,mechanism_control,mae,fixed_0,10,0.00000000,17.0000,NA,0.0035605614,0.0000861388,0.0170151439,0.0004489366,0.7340445543,0.0235970615,0.1246927137,0.0146142682,0.0484792678,0.0008081907,0.0127637280,0.0003126246
0.80,1,GRU-LSR-Fixed0.5,mechanism_control,mae,fixed_0.5,10,0.50000000,17.0000,NA,0.0052651375,0.0003113103,0.0180731598,0.0004267838,0.7335686840,0.0310201939,0.1384975972,0.0120874103,0.0412784002,0.0013749497,0.0170895376,0.0009778858
0.80,1,GRU-LSR-Fixed1,mechanism_control,mae,fixed_1,10,1.00000000,17.0000,NA,0.0070979718,0.0005654193,0.0204096133,0.0006614801,0.5631927803,0.1044776961,0.1405312802,0.0094436950,0.0355156435,0.0023461592,0.0218739514,0.0017667834
0.80,1,Ridge,baseline,mae,not_applicable,1,NA,NA,1e-06,0.0093962032,0.0000000000,0.0363178538,0.0000000000,0.5192307692,0.0000000000,0.1413427562,0.0000000000,0.0463915506,0.0000000000,0.0280042495,0.0000000000
0.80,1,DirectPolicyTransform-Privileged,privileged_control,not_applicable,not_applicable,1,NA,NA,NA,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.3924050633,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.80,1,Persistence,baseline,not_applicable,not_applicable,1,NA,NA,NA,0.0028058103,0.0000000000,0.0147866816,0.0000000000,0.7301587302,0.0000000000,0.0000000000,0.0000000000,0.0613896163,0.0000000000,0.0100694860,0.0000000000
0.80,1,Seasonal-24h,baseline,not_applicable,not_applicable,1,NA,NA,NA,0.0079742550,0.0000000000,0.0339935864,0.0000000000,0.1746031746,0.0000000000,0.1139240506,0.0000000000,0.0714762886,0.0000000000,0.0235254030,0.0000000000
0.80,1,GRU-LSR,proposed,onset_f1,selected,10,1.00000000,5.0000,NA,0.0079546881,0.0005283913,0.0225842620,0.0005023188,0.0881669048,0.1050041187,0.1266609926,0.0158631707,0.0385354014,0.0031000382,0.0232546750,0.0009948402
0.80,1,GRU-LSR-Fixed0,mechanism_control,onset_f1,fixed_0,10,0.00000000,5.0000,NA,0.0035815705,0.0000798734,0.0171434912,0.0005053415,0.7276878335,0.0189428000,0.1243592027,0.0092264181,0.0483788212,0.0007786105,0.0128316231,0.0002841954
0.80,1,GRU-LSR-Fixed0.5,mechanism_control,onset_f1,fixed_0.5,10,0.50000000,5.0000,NA,0.0056938210,0.0002670112,0.0190765464,0.0004348140,0.6636592183,0.0649013747,0.1403135340,0.0138228428,0.0427346346,0.0018280784,0.0177770456,0.0004575485
0.80,1,GRU-LSR-Fixed1,mechanism_control,onset_f1,fixed_1,10,1.00000000,5.0000,NA,0.0079546881,0.0005283913,0.0225842620,0.0005023188,0.0881669048,0.1050041187,0.1266609926,0.0158631707,0.0385354014,0.0031000382,0.0232546750,0.0009948402
