protocol_sha256,role,mode,k,n_seeds,n_documents,mean_precision,seed_sd_precision,doc_ci_low_precision,doc_ci_high_precision,seed_min_precision,seed_max_precision,mean_recall,seed_sd_recall,doc_ci_low_recall,doc_ci_high_recall,seed_min_recall,seed_max_recall,mean_f1,seed_sd_f1,doc_ci_low_f1,doc_ci_high_f1,seed_min_f1,seed_max_f1
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,label_blind,no_role,1,5,145,0.7793333333333333,0.0,0.7325658467479295,0.8201545013599936,0.7793333333333333,0.7793333333333333,0.6424291849762447,0.0,0.6018975619594044,0.682510604573129,0.6424291849762447,0.6424291849762447,0.6721703030085368,0.0,0.6297357945588994,0.7126039449362359,0.6721703030085368,0.6721703030085368
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,label_blind,no_role,3,5,145,0.38611111111110913,0.0,0.3685074451269643,0.4041554063588478,0.38611111111110913,0.38611111111110913,0.8275180929092689,0.0,0.7918972648477585,0.8605632541039171,0.8275180929092689,0.8275180929092689,0.48404085869983604,6.206335383118183e-17,0.462697178837817,0.503773485650745,0.484040858699836,0.484040858699836
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,label_blind,no_role,5,5,145,0.3037555555555503,0.0,0.2854441041113349,0.3227363172797886,0.3037555555555503,0.3037555555555503,0.8973581607934549,0.0,0.8723484535293973,0.9195614703872657,0.8973581607934549,0.8973581607934549,0.4124698094933378,0.0,0.39180264987544977,0.4331828748319967,0.4124698094933378,0.4124698094933378
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,label_blind,no_role,10,5,145,0.2491708994709007,0.0,0.225654226111409,0.27247453601981025,0.2491708994709007,0.2491708994709007,0.9664678052883936,0.0,0.9538006309669937,0.9781092136000135,0.9664678052883936,0.9664678052883936,0.35624390526544836,0.0,0.32877775476216703,0.38413609474241767,0.35624390526544836,0.35624390526544836
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,label_blind,query_only,1,5,145,0.778,0.0,0.7337125952895664,0.8190081351689612,0.778,0.778,0.6410672802143399,0.0,0.6014099831130604,0.6792357994248187,0.6410672802143399,0.6410672802143399,0.6707915151297489,0.0,0.6304920615143664,0.7129623610259009,0.6707915151297489,0.6707915151297489
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,label_blind,query_only,3,5,145,0.3841111111111089,0.0,0.36546148670449263,0.4027233250019376,0.3841111111111089,0.3841111111111089,0.825250632591809,1.2412670766236366e-16,0.7916147779740322,0.8582947068495164,0.8252506325918089,0.8252506325918089,0.4823640910230683,6.206335383118183e-17,0.4616243887255508,0.501637893520702,0.48236409102306826,0.48236409102306826
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,label_blind,query_only,5,5,145,0.303222222222217,0.0,0.28548487769140807,0.3228535545254997,0.303222222222217,0.303222222222217,0.8951927928280871,0.0,0.8686913710689005,0.9188918592897297,0.8951927928280871,0.8951927928280871,0.41154590801355395,0.0,0.39113840707823194,0.43368051444622024,0.41154590801355395,0.41154590801355395
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,label_blind,query_only,10,5,145,0.24923756613756726,3.1031676915590914e-17,0.22594209135820348,0.27458510799254493,0.24923756613756723,0.24923756613756723,0.9662135317841202,0.0,0.9536997018360985,0.9774648449498734,0.9662135317841202,0.9662135317841202,0.35623669516476003,0.0,0.32917920504993814,0.3850385778430617,0.35623669516476003,0.35623669516476003
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,label_blind,sbert,1,5,145,0.706,0.0,0.6497842158827513,0.7565340165159246,0.706,0.706,0.5735279029249624,0.0,0.5227967473888934,0.6240084212222442,0.5735279029249624,0.5735279029249624,0.6020525781408123,0.0,0.5479024728868885,0.6504629882579825,0.6020525781408123,0.6020525781408123
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,label_blind,sbert,3,5,145,0.37699999999999795,0.0,0.3566394033032003,0.39673903674106886,0.37699999999999795,0.37699999999999795,0.7958964238376001,0.0,0.7534889753018498,0.8347445348722144,0.7958964238376001,0.7958964238376001,0.4689059861649635,6.206335383118183e-17,0.4448752914668279,0.4916707504014418,0.46890598616496343,0.46890598616496343
