paper,source,category,words,paragraphs,mean_paragraph_words,subsections,comparator_mean_words,ratio_words,comparator_mean_paragraphs,ratio_paragraphs,comparator_mean_mean_paragraph_words,ratio_mean_paragraph_words,comparator_mean_subsections,ratio_subsections
P4,manuscript,introduction,669,7,95.57142857142857,1,1201.9,0.557,14.2,0.493,98.274,0.973,5.6,0.179
P4,manuscript,related_work,855,13,65.76923076923077,5,0.0,,0.0,,0.0,,0.0,
P4,manuscript,problem_data,413,10,41.3,4,603.8,0.684,10.0,1.0,16.923,2.44,3.4,1.176
P4,manuscript,method,835,18,46.388888888888886,8,2214.5,0.377,35.2,0.511,68.74,0.675,14.3,0.559
P4,manuscript,experimental_setup,431,12,35.916666666666664,3,114.8,3.754,1.8,6.667,6.378,5.632,0.4,7.5
P4,manuscript,results,1990,39,51.02564102564103,7,1150.9,1.729,16.2,2.407,58.186,0.877,8.5,0.824
P4,manuscript,discussion,307,4,76.75,1,123.2,2.492,1.5,2.667,24.987,3.072,0.8,1.25
P4,manuscript,limitations,355,8,44.375,1,0.0,,0.0,,0.0,,0.0,
P4,manuscript,conclusion,482,8,60.25,5,498.7,0.967,7.9,1.013,56.197,1.072,1.8,2.778
P5,manuscript,abstract,185,2,92.5,1,101.6,1.821,0.6,3.333,94.95,0.974,0.8,1.25
P5,manuscript,introduction,649,11,59.0,1,1466.6,0.443,15.0,0.733,108.533,0.544,3.7,0.27
P5,manuscript,related_work,776,10,77.6,5,148.6,5.222,1.2,8.333,12.383,6.266,0.1,50.0
P5,manuscript,problem_data,485,10,48.5,4,0.0,,0.0,,0.0,,0.0,
P5,manuscript,method,865,19,45.526315789473685,6,2404.8,0.36,43.0,0.442,57.14,0.797,11.3,0.531
P5,manuscript,experimental_setup,466,10,46.6,2,0.0,,0.0,,0.0,,0.0,
P5,manuscript,results,2000,35,57.142857142857146,6,1571.7,1.273,19.8,1.768,81.592,0.7,10.0,0.6
P5,manuscript,discussion,431,6,71.83333333333333,1,444.2,0.97,5.4,1.111,34.223,2.099,3.6,0.278
P5,manuscript,limitations,413,8,51.625,1,52.4,7.882,1.0,8.0,5.24,9.852,0.3,3.333
P5,manuscript,conclusion,507,9,56.333333333333336,5,603.1,0.841,8.7,1.034,79.468,0.709,3.4,1.471
P6,manuscript,abstract,186,2,93.0,1,54.7,3.4,0.3,6.667,54.7,1.7,0.0,
P6,manuscript,introduction,646,7,92.28571428571429,1,1681.5,0.384,15.2,0.461,146.89,0.628,3.8,0.263
P6,manuscript,related_work,587,10,58.7,5,403.5,1.455,5.0,2.0,41.738,1.406,1.3,3.846
P6,manuscript,problem_data,500,10,50.0,4,173.7,2.879,3.9,2.564,8.5,5.883,0.8,5.0
P6,manuscript,method,672,16,42.0,8,1731.3,0.388,26.5,0.604,68.857,0.61,7.5,1.067
P6,manuscript,experimental_setup,340,7,48.57142857142857,3,0.0,,0.0,,0.0,,0.0,
P6,manuscript,results,2155,40,53.875,10,1609.9,1.339,21.8,1.835,62.487,0.862,14.0,0.714
P6,manuscript,discussion,627,9,69.66666666666667,2,104.7,5.989,1.6,5.625,14.075,4.95,0.5,4.0
P6,manuscript,limitations,266,6,44.333333333333336,1,0.0,,0.0,,0.0,,0.0,
P6,manuscript,conclusion,446,7,63.714285714285715,5,598.6,0.745,9.7,0.722,85.319,0.747,2.1,2.381
