scenario,method,method_type,seed_index,front_points,hv_reported_empirical_ref1p1_clipped,hv_reported_empirical_ref1p1_unclipped,hv_expanded_empirical_ref1p1_unclipped,hv_analytic_ref1p1_unclipped,hv_analytic_ref1p2_unclipped,reported_below_zero_coordinates,reported_above_one_coordinates,reported_clipped_points,expanded_below_zero_coordinates,expanded_above_one_coordinates,expanded_clipped_points,analytic_below_zero_coordinates,analytic_above_one_coordinates,analytic_clipped_points
distribution_project_review,TRACE-MOEA,shared_custom_moea,9,38,0.1583887800,0.1583887800,0.1822808322,0.0305280852,0.1143866382,0,0,0,0,0,0,0,0,0
distribution_project_review,TRACE-MOEA,shared_custom_moea,10,38,0.1643131525,0.2020553851,0.2224731950,0.0339987524,0.1250729421,7,0,7,2,0,2,0,0,0
distribution_project_review,TRACE-MOEA,shared_custom_moea,11,38,0.1642545225,0.1709806508,0.1940423337,0.0307456447,0.1155632619,1,0,1,0,0,0,0,0,0
distribution_project_review,TRACE-MOEA,shared_custom_moea,12,39,0.1645119676,0.1834047464,0.2053337327,0.0313495904,0.1183464387,3,0,3,0,0,0,0,0,0
distribution_project_review,TRACE-MOEA,shared_custom_moea,13,39,0.1661936530,0.1905959210,0.2113846332,0.0320906477,0.1205226191,5,0,5,0,0,0,0,0,0
distribution_project_review,TRACE-MOEA,shared_custom_moea,14,39,0.1661578197,0.1752774709,0.1975488412,0.0317845618,0.1191626553,2,0,2,0,0,0,0,0,0
distribution_project_review,TRACE-MOEA,shared_custom_moea,15,38,0.1656487038,0.1938686342,0.2145174311,0.0320255815,0.1199728065,7,0,7,0,0,0,0,0,0
distribution_project_review,TRACE-MOEA,shared_custom_moea,16,38,0.1644590447,0.2018430065,0.2221512789,0.0325695844,0.1222993731,6,0,6,2,0,2,0,0,0
distribution_project_review,TRACE-MOEA,shared_custom_moea,17,39,0.1652285116,0.2022989068,0.2225636173,0.0338529921,0.1251842320,4,0,4,2,0,2,0,0,0
distribution_project_review,TRACE-MOEA,shared_custom_moea,18,37,0.1654976304,0.1760728945,0.1983887746,0.0323924934,0.1206103136,2,0,2,0,0,0,0,0,0
distribution_project_review,TRACE-MOEA,shared_custom_moea,19,38,0.1660486603,0.1762764564,0.1984265511,0.0307678658,0.1165974130,2,0,2,0,0,0,0,0,0
distribution_project_review,TRACE-MOEA,shared_custom_moea,20,39,0.1658673263,0.1850307536,0.2064027818,0.0319563989,0.1199724116,5,0,5,0,0,0,0,0,0
distribution_project_review,TRACE-MOEA,shared_custom_moea,21,38,0.1642031741,0.1831343906,0.2051357207,0.0312125181,0.1180556566,3,0,3,0,0,0,0,0,0
distribution_project_review,TRACE-MOEA,shared_custom_moea,22,37,0.1664077296,0.1866363322,0.2077775509,0.0306179349,0.1167361574,4,0,4,0,0,0,0,0,0
distribution_project_review,TRACE-MOEA,shared_custom_moea,23,39,0.1656078123,0.1933446798,0.2141472406,0.0311949771,0.1178453892,4,0,4,0,0,0,0,0,0
distribution_project_review,TRACE-MOEA,shared_custom_moea,24,37,0.1644773334,0.2009712126,0.2215099198,0.0325794352,0.1222410907,7,0,7,1,0,1,0,0,0
distribution_project_review,TRACE-MOEA,shared_custom_moea,25,39,0.1640297599,0.1840603847,0.2060454253,0.0322645765,0.1206294674,4,0,4,0,0,0,0,0,0
distribution_project_review,TRACE-MOEA,shared_custom_moea,26,37,0.1653299033,0.1935047449,0.2142501245,0.0314753771,0.1187030351,6,0,6,0,0,0,0,0,0
distribution_project_review,TRACE-MOEA,shared_custom_moea,27,37,0.1658948591,0.1765872277,0.1987675646,0.0296426970,0.1139153331,2,0,2,0,0,0,0,0,0
distribution_project_review,TRACE-MOEA,shared_custom_moea,28,38,0.1657220111,0.1938997013,0.2146195884,0.0323741516,0.1214296878,5,0,5,0,0,0,0,0,0
distribution_project_review,TRACE-MOEA,shared_custom_moea,29,39,0.1623765901,0.1916336931,0.2119503001,0.0324061135,0.1199699012,6,0,6,0,0,0,0,0,0
distribution_project_review,Ablation-NoPreferenceRanking,shared_custom_moea,0,37,0.1647444580,0.1895491668,0.2110522108,0.0340628473,0.1254276319,5,0,5,0,0,0,0,0,0
distribution_project_review,Ablation-NoPreferenceRanking,shared_custom_moea,1,39,0.1653453278,0.1815297726,0.2034108071,0.0320595499,0.1200092040,4,0,4,0,0,0,0,0,0
distribution_project_review,Ablation-NoPreferenceRanking,shared_custom_moea,2,39,0.1660613342,0.1723099642,0.1948708399,0.0304685115,0.1149858569,2,0,2,0,0,0,0,0,0
distribution_project_review,Ablation-NoPreferenceRanking,shared_custom_moea,3,38,0.1663434954,0.1770366626,0.1991084199,0.0319569294,0.1190882480,3,0,3,0,0,0,0,0,0
distribution_project_review,Ablation-NoPreferenceRanking,shared_custom_moea,4,38,0.1657448421,0.1709182610,0.1937834480,0.0293564604,0.1123183880,1,0,1,0,0,0,0,0,0
distribution_project_review,Ablation-NoPreferenceRanking,shared_custom_moea,5,38,0.1654421699,0.1897861588,0.2109034370,0.0318940107,0.1199827733,5,0,5,0,0,0,0,0,0
distribution_project_review,Ablation-NoPreferenceRanking,shared_custom_moea,6,38,0.1659681059,0.1788499777,0.2007122055,0.0315314994,0.1185729955,4,0,4,0,0,0,0,0,0
distribution_project_review,Ablation-NoPreferenceRanking,shared_custom_moea,7,39,0.1655376143,0.1933194539,0.2142179585,0.0340867502,0.1252590746,6,0,6,0,0,0,0,0,0
distribution_project_review,Ablation-NoPreferenceRanking,shared_custom_moea,8,39,0.1650926253,0.1669271259,0.1901407598,0.0315535176,0.1180151854,2,0,2,0,0,0,0,0,0
distribution_project_review,Ablation-NoPreferenceRanking,shared_custom_moea,9,37,0.1646696684,0.1928324911,0.2139620264,0.0314419710,0.1190211998,4,0,4,0,0,0,0,0,0
distribution_project_review,Ablation-NoPreferenceRanking,shared_custom_moea,10,38,0.1654333624,0.1807994995,0.2027576796,0.0312679807,0.1180557987,2,0,2,0,0,0,0,0,0
distribution_project_review,Ablation-NoPreferenceRanking,shared_custom_moea,11,38,0.1670263786,0.1824078890,0.2038757047,0.0328138027,0.1219542410,3,0,3,0,0,0,0,0,0
distribution_project_review,Ablation-NoPreferenceRanking,shared_custom_moea,12,38,0.1655665927,0.1763590337,0.1986587481,0.0317342803,0.1189559776,2,0,2,0,0,0,0,0,0
distribution_project_review,Ablation-NoPreferenceRanking,shared_custom_moea,13,38,0.1658374827,0.2023641647,0.2225273952,0.0312534090,0.1185411630,5,0,5,1,0,1,0,0,0
distribution_project_review,Ablation-NoPreferenceRanking,shared_custom_moea,14,38,0.1660255570,0.1767165407,0.1989531188,0.0309016220,0.1168821804,2,0,2,0,0,0,0,0,0
distribution_project_review,Ablation-NoPreferenceRanking,shared_custom_moea,15,38,0.1666643542,0.2036217829,0.2231994881,0.0325790559,0.1221278217,6,0,6,1,0,1,0,0,0
distribution_project_review,Ablation-NoPreferenceRanking,shared_custom_moea,16,38,0.1661919474,0.1957448340,0.2161181918,0.0316144759,0.1196799615,5,0,5,0,0,0,0,0,0
distribution_project_review,Ablation-NoPreferenceRanking,shared_custom_moea,17,38,0.1657122441,0.1938618132,0.2145730155,0.0329506481,0.1228251583,3,0,3,0,0,0,0,0,0
distribution_project_review,Ablation-NoPreferenceRanking,shared_custom_moea,18,38,0.1664493839,0.1953187482,0.2156773272,0.0320500403,0.1206598379,5,0,5,0,0,0,0,0,0
distribution_project_review,Ablation-NoPreferenceRanking,shared_custom_moea,19,38,0.1645696989,0.2017748411,0.2220723670,0.0322773199,0.1215706302,6,0,6,1,0,1,0,0,0
distribution_project_review,Ablation-NoPreferenceRanking,shared_custom_moea,20,39,0.1670480423,0.1738095431,0.1960026771,0.0313471391,0.1178481296,2,0,2,0,0,0,0,0,0
distribution_project_review,Ablation-NoPreferenceRanking,shared_custom_moea,21,38,0.1655480841,0.2111689776,0.2305735506,0.0340649404,0.1263758982,6,0,6,2,0,2,0,0,0
distribution_project_review,Ablation-NoPreferenceRanking,shared_custom_moea,22,38,0.1660658550,0.1677740911,0.1907535170,0.0308440058,0.1160950425,1,0,1,0,0,0,0,0,0
distribution_project_review,Ablation-NoPreferenceRanking,shared_custom_moea,23,39,0.1654876605,0.1845732013,0.2061413743,0.0317166686,0.1192990123,3,0,3,0,0,0,0,0,0
distribution_project_review,Ablation-NoPreferenceRanking,shared_custom_moea,24,38,0.1664487528,0.1905122125,0.2114745913,0.0300387125,0.1154882035,3,0,3,0,0,0,0,0,0
distribution_project_review,Ablation-NoPreferenceRanking,shared_custom_moea,25,38,0.1645529982,0.1825432810,0.2046027923,0.0328471231,0.1215582866,4,0,4,0,0,0,0,0,0
distribution_project_review,Ablation-NoPreferenceRanking,shared_custom_moea,26,37,0.1646541479,0.1846524492,0.2064225723,0.0320894936,0.1197170584,3,0,3,0,0,0,0,0,0
distribution_project_review,Ablation-NoPreferenceRanking,shared_custom_moea,27,38,0.1656480080,0.1935119442,0.2144236388,0.0322202899,0.1210030885,4,0,4,0,0,0,0,0,0
distribution_project_review,Ablation-NoPreferenceRanking,shared_custom_moea,28,39,0.1657307611,0.1748350850,0.1973576327,0.0311741371,0.1174975981,3,0,3,0,0,0,0,0,0
distribution_project_review,Ablation-NoPreferenceRanking,shared_custom_moea,29,39,0.1641883208,0.1970350579,0.2178190780,0.0339384711,0.1253956582,6,0,6,1,0,1,0,0,0
distribution_project_review,AHP-TOPSIS,deterministic,unique,1,0.1338178615,0.1797397036,0.2003958396,0.0041276904,0.0244364695,1,0,1,1,0,1,0,0,0
distribution_project_review,Weighted Sum,deterministic,unique,1,0.0819286753,0.0819286753,0.1106239651,0.0028608235,0.0178067496,0,0,0,0,0,0,0,0,0
distribution_project_review,Greedy BCR,deterministic,unique,1,0.1330997299,0.1765886628,0.1971494130,0.0060796506,0.0300310876,1,0,1,1,0,1,0,0,0
reliability_driven_review,TRACE-MOEA,shared_custom_moea,0,39,0.1713609349,0.1988424933,0.2146512381,0.0305229597,0.1149086359,5,0,5,0,0,0,0,0,0
reliability_driven_review,TRACE-MOEA,shared_custom_moea,1,39,0.1750353968,0.2162484869,0.2292447632,0.0299242266,0.1135515882,4,0,4,1,0,1,0,0,0
reliability_driven_review,TRACE-MOEA,shared_custom_moea,2,39,0.1722679020,0.2195584603,0.2327254846,0.0302162537,0.1150343259,5,0,5,1,0,1,0,0,0
reliability_driven_review,TRACE-MOEA,shared_custom_moea,3,39,0.1699714061,0.2145066508,0.2290607389,0.0299244185,0.1140665305,5,0,5,1,0,1,0,0,0
reliability_driven_review,TRACE-MOEA,shared_custom_moea,4,39,0.1722345750,0.2031653118,0.2181073460,0.0306369923,0.1153439871,4,0,4,0,0,0,0,0,0
reliability_driven_review,TRACE-MOEA,shared_custom_moea,5,39,0.1715121692,0.2174938741,0.2308605982,0.0313961952,0.1178580829,8,0,8,3,0,3,0,0,0
reliability_driven_review,TRACE-MOEA,shared_custom_moea,6,38,0.1763981903,0.1879250980,0.2033526420,0.0294127737,0.1118299997,4,0,4,0,0,0,0,0,0
reliability_driven_review,TRACE-MOEA,shared_custom_moea,7,39,0.1709635172,0.2002822711,0.2158391844,0.0303688604,0.1140632219,4,0,4,0,0,0,0,0,0
reliability_driven_review,TRACE-MOEA,shared_custom_moea,8,40,0.1717141102,0.1874842369,0.2034228517,0.0294031704,0.1106713049,3,0,3,0,0,0,0,0,0
reliability_driven_review,TRACE-MOEA,shared_custom_moea,9,39,0.1706543503,0.2150952688,0.2296304718,0.0315603913,0.1181489514,6,0,6,3,0,3,0,0,0
reliability_driven_review,TRACE-MOEA,shared_custom_moea,10,38,0.1727417745,0.1963203383,0.2125337818,0.0310609680,0.1158123875,3,0,3,0,0,0,0,0,0
