scenario,candidate_count,budget,scheme,objective,lower_bound,upper_bound
reliability_driven_review,80,1160.0000000000,expanded_empirical,risk,-0.1604350000,1.2846350000
reliability_driven_review,80,1160.0000000000,expanded_empirical,negative_quality,-1.1925000000,0.2925000000
reliability_driven_review,80,1160.0000000000,analytic,cost,0.0000000000,1160.0000000000
reliability_driven_review,80,1160.0000000000,analytic,negative_reliability,-104.9793748940,0.0000000000
reliability_driven_review,80,1160.0000000000,analytic,negative_renewable,-1834.2673725285,0.0000000000
reliability_driven_review,80,1160.0000000000,analytic,risk,0.1242000000,1.0000000000
reliability_driven_review,80,1160.0000000000,analytic,negative_quality,-0.9000000000,0.0000000000
renewable_accommodation_review,40,1160.0000000000,reported_empirical,cost,-202.6320908333,4255.2739074984
renewable_accommodation_review,40,1160.0000000000,reported_empirical,negative_reliability,-8.7830842279,0.4182421061
renewable_accommodation_review,40,1160.0000000000,reported_empirical,negative_renewable,-9308.7669859980,443.2746183809
renewable_accommodation_review,40,1160.0000000000,reported_empirical,risk,0.1312300000,1.0413700000
renewable_accommodation_review,40,1160.0000000000,reported_empirical,negative_quality,-0.8610000000,0.0410000000
renewable_accommodation_review,40,1160.0000000000,expanded_empirical,cost,-1317.1085904162,5369.7504070814
renewable_accommodation_review,40,1160.0000000000,expanded_empirical,negative_reliability,-11.0834158114,2.7185736896
renewable_accommodation_review,40,1160.0000000000,expanded_empirical,negative_renewable,-11746.7773870927,2881.2850194756
renewable_accommodation_review,40,1160.0000000000,expanded_empirical,risk,-0.0963050000,1.2689050000
renewable_accommodation_review,40,1160.0000000000,expanded_empirical,negative_quality,-1.0865000000,0.2665000000
renewable_accommodation_review,40,1160.0000000000,analytic,cost,0.0000000000,1160.0000000000
renewable_accommodation_review,40,1160.0000000000,analytic,negative_reliability,-19.4597010195,0.0000000000
renewable_accommodation_review,40,1160.0000000000,analytic,negative_renewable,-9168.2539974592,0.0000000000
renewable_accommodation_review,40,1160.0000000000,analytic,risk,0.1726000000,1.0000000000
renewable_accommodation_review,40,1160.0000000000,analytic,negative_quality,-0.8200000000,0.0000000000
budget_ranking_stability,120,1020.8000000000,reported_empirical,cost,-36881.6777732500,774515.2332382501
budget_ranking_stability,120,1020.8000000000,reported_empirical,negative_reliability,-22.6338555296,1.0778026443
budget_ranking_stability,120,1020.8000000000,reported_empirical,negative_renewable,-9308.7669859980,443.2746183809
budget_ranking_stability,120,1020.8000000000,reported_empirical,risk,0.0804100000,1.0437900000
budget_ranking_stability,120,1020.8000000000,reported_empirical,negative_quality,-0.9450000000,0.0450000000
budget_ranking_stability,120,1020.8000000000,expanded_empirical,cost,-239730.9055261250,977364.4609911252
budget_ranking_stability,120,1020.8000000000,expanded_empirical,negative_reliability,-28.5617700731,7.0057171877
budget_ranking_stability,120,1020.8000000000,expanded_empirical,negative_renewable,-11746.7773870927,2881.2850194756
budget_ranking_stability,120,1020.8000000000,expanded_empirical,risk,-0.1604350000,1.2846350000
budget_ranking_stability,120,1020.8000000000,expanded_empirical,negative_quality,-1.1925000000,0.2925000000
budget_ranking_stability,120,1020.8000000000,analytic,cost,0.0000000000,1020.8000000000
budget_ranking_stability,120,1020.8000000000,analytic,negative_reliability,-124.4390759135,0.0000000000
budget_ranking_stability,120,1020.8000000000,analytic,negative_renewable,-11002.5213699877,0.0000000000
budget_ranking_stability,120,1020.8000000000,analytic,risk,0.1242000000,1.0000000000
budget_ranking_stability,120,1020.8000000000,analytic,negative_quality,-0.9000000000,0.0000000000
preference_aware_support,120,1160.0000000000,reported_empirical,cost,-36881.6777732500,774515.2332382501
preference_aware_support,120,1160.0000000000,reported_empirical,negative_reliability,-22.6338555296,1.0778026443
preference_aware_support,120,1160.0000000000,reported_empirical,negative_renewable,-9308.7669859980,443.2746183809
preference_aware_support,120,1160.0000000000,reported_empirical,risk,0.0804100000,1.0437900000
preference_aware_support,120,1160.0000000000,reported_empirical,negative_quality,-0.9450000000,0.0450000000
preference_aware_support,120,1160.0000000000,expanded_empirical,cost,-239730.9055261250,977364.4609911252
preference_aware_support,120,1160.0000000000,expanded_empirical,negative_reliability,-28.5617700731,7.0057171877
preference_aware_support,120,1160.0000000000,expanded_empirical,negative_renewable,-11746.7773870927,2881.2850194756
preference_aware_support,120,1160.0000000000,expanded_empirical,risk,-0.1604350000,1.2846350000
preference_aware_support,120,1160.0000000000,expanded_empirical,negative_quality,-1.1925000000,0.2925000000
preference_aware_support,120,1160.0000000000,analytic,cost,0.0000000000,1160.0000000000
preference_aware_support,120,1160.0000000000,analytic,negative_reliability,-124.4390759135,0.0000000000
preference_aware_support,120,1160.0000000000,analytic,negative_renewable,-11002.5213699877,0.0000000000
preference_aware_support,120,1160.0000000000,analytic,risk,0.1242000000,1.0000000000
preference_aware_support,120,1160.0000000000,analytic,negative_quality,-0.9000000000,0.0000000000
traceability_evaluation,120,1160.0000000000,reported_empirical,cost,-36881.6777732500,774515.2332382501
traceability_evaluation,120,1160.0000000000,reported_empirical,negative_reliability,-22.6338555296,1.0778026443
traceability_evaluation,120,1160.0000000000,reported_empirical,negative_renewable,-9308.7669859980,443.2746183809
traceability_evaluation,120,1160.0000000000,reported_empirical,risk,0.0804100000,1.0437900000
traceability_evaluation,120,1160.0000000000,reported_empirical,negative_quality,-0.9450000000,0.0450000000
traceability_evaluation,120,1160.0000000000,expanded_empirical,cost,-239730.9055261250,977364.4609911252
traceability_evaluation,120,1160.0000000000,expanded_empirical,negative_reliability,-28.5617700731,7.0057171877
traceability_evaluation,120,1160.0000000000,expanded_empirical,negative_renewable,-11746.7773870927,2881.2850194756
traceability_evaluation,120,1160.0000000000,expanded_empirical,risk,-0.1604350000,1.2846350000
traceability_evaluation,120,1160.0000000000,expanded_empirical,negative_quality,-1.1925000000,0.2925000000
traceability_evaluation,120,1160.0000000000,analytic,cost,0.0000000000,1160.0000000000
traceability_evaluation,120,1160.0000000000,analytic,negative_reliability,-124.4390759135,0.0000000000
traceability_evaluation,120,1160.0000000000,analytic,negative_renewable,-11002.5213699877,0.0000000000
traceability_evaluation,120,1160.0000000000,analytic,risk,0.1242000000,1.0000000000
traceability_evaluation,120,1160.0000000000,analytic,negative_quality,-0.9000000000,0.0000000000
