paper,experiment_id,method,method_role,seed,hypervolume,hypervolume_worst_case,feasible_front_size,compromise_cost_index,compromise_loss_index,compromise_voltage_risk,compromise_hosting_capacity,compromise_reliability,compromise_survivability,portfolio_size,hosting_shortfall,der_readiness_shortfall,runtime_s,run_status
p4,deterministic_vs_scenario,Control-DEOnly,mechanism_control,6,0.26349872,0.25350761,38,nan,nan,nan,nan,nan,nan,0,nan,nan,0.085843,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-DEOnly,mechanism_control,7,0.27610353,0.26640331,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.087019,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-DEOnly,mechanism_control,8,0.27126603,0.26171594,38,nan,nan,nan,nan,nan,nan,0,nan,nan,0.086753,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-DEOnly,mechanism_control,9,0.27254123,0.26400543,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.087501,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-DEOnly,mechanism_control,10,0.27217717,0.26281445,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.087015,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-DEOnly,mechanism_control,11,0.26292710,0.25435621,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.085403,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-DEOnly,mechanism_control,12,0.28361023,0.27363375,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.088727,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-DEOnly,mechanism_control,13,0.26841609,0.26038816,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.088718,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-DEOnly,mechanism_control,14,0.27082731,0.26237473,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.085990,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-DEOnly,mechanism_control,15,0.26805034,0.26007594,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.086523,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-DEOnly,mechanism_control,16,0.26575713,0.25674260,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.084031,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-DEOnly,mechanism_control,17,0.25629887,0.24756409,38,nan,nan,nan,nan,nan,nan,0,nan,nan,0.085580,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-DEOnly,mechanism_control,18,0.27105001,0.26171703,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.087390,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-DEOnly,mechanism_control,19,0.26124743,0.25237287,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.085921,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-DEOnly,mechanism_control,20,0.27089539,0.26199764,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.085597,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-DEOnly,mechanism_control,21,0.27327028,0.26378651,37,nan,nan,nan,nan,nan,nan,0,nan,nan,0.087005,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-DEOnly,mechanism_control,22,0.24955922,0.24113967,38,nan,nan,nan,nan,nan,nan,0,nan,nan,0.086530,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-DEOnly,mechanism_control,23,0.26797753,0.25762423,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.085438,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-DEOnly,mechanism_control,24,0.26296943,0.25432931,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.086808,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-DEOnly,mechanism_control,25,0.27659085,0.26723579,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.086488,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-DEOnly,mechanism_control,26,0.27994388,0.27034641,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.086315,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-DEOnly,mechanism_control,27,0.27025375,0.26172621,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.086698,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-DEOnly,mechanism_control,28,0.26435577,0.25558571,38,nan,nan,nan,nan,nan,nan,0,nan,nan,0.085256,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-DEOnly,mechanism_control,29,0.25858806,0.24968698,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.087689,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-FixedWorstK,mechanism_control,0,0.26357202,0.25511900,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.068489,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-FixedWorstK,mechanism_control,1,0.27018353,0.26159805,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.068165,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-FixedWorstK,mechanism_control,2,0.26394524,0.25580538,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.067017,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-FixedWorstK,mechanism_control,3,0.25301586,0.24533329,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.068091,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-FixedWorstK,mechanism_control,4,0.27583085,0.26649586,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.067477,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-FixedWorstK,mechanism_control,5,0.26583192,0.25726188,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.067333,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-FixedWorstK,mechanism_control,6,0.25980771,0.25135189,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.067483,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-FixedWorstK,mechanism_control,7,0.27519005,0.26611284,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.067668,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-FixedWorstK,mechanism_control,8,0.26388059,0.25519555,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.067999,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-FixedWorstK,mechanism_control,9,0.26420010,0.25579639,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.067972,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-FixedWorstK,mechanism_control,10,0.27559686,0.26612200,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.066897,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-FixedWorstK,mechanism_control,11,0.26770698,0.25881383,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.068086,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-FixedWorstK,mechanism_control,12,0.24631971,0.23803133,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.067995,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-FixedWorstK,mechanism_control,13,0.27052953,0.26112996,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.065405,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-FixedWorstK,mechanism_control,14,0.27855145,0.26919303,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.069179,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-FixedWorstK,mechanism_control,15,0.26616507,0.25643394,38,nan,nan,nan,nan,nan,nan,0,nan,nan,0.065561,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-FixedWorstK,mechanism_control,16,0.25484847,0.24427614,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.067091,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-FixedWorstK,mechanism_control,17,0.25771889,0.24952065,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.066929,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-FixedWorstK,mechanism_control,18,0.26342960,0.25519159,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.067927,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-FixedWorstK,mechanism_control,19,0.26951656,0.25997157,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.069054,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-FixedWorstK,mechanism_control,20,0.26617973,0.25697932,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.066809,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-FixedWorstK,mechanism_control,21,0.26121008,0.25197688,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.067254,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-FixedWorstK,mechanism_control,22,0.27431843,0.26535751,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.070585,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-FixedWorstK,mechanism_control,23,0.26011898,0.25202523,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.068779,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-FixedWorstK,mechanism_control,24,0.26843523,0.25909996,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.068818,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-FixedWorstK,mechanism_control,25,0.27775536,0.26842716,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.069432,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-FixedWorstK,mechanism_control,26,0.26862639,0.25819114,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.068443,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-FixedWorstK,mechanism_control,27,0.25459171,0.24536396,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.067209,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-FixedWorstK,mechanism_control,28,0.27324421,0.26401512,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.067694,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-FixedWorstK,mechanism_control,29,0.27482185,0.26597652,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.069990,real_shield_mechanism_controls_20260810
p4,der_uncertainty,Control-GAOnly,mechanism_control,0,0.26315462,0.25497972,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.091082,real_shield_mechanism_controls_20260810
p4,der_uncertainty,Control-GAOnly,mechanism_control,1,0.24746911,0.23943882,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.061167,real_shield_mechanism_controls_20260810
p4,der_uncertainty,Control-GAOnly,mechanism_control,2,0.25456771,0.24529295,38,nan,nan,nan,nan,nan,nan,0,nan,nan,0.062104,real_shield_mechanism_controls_20260810
p4,der_uncertainty,Control-GAOnly,mechanism_control,3,0.26837859,0.25912383,40,nan,nan,nan,nan,nan,nan,0,nan,nan,0.062203,real_shield_mechanism_controls_20260810
p4,der_uncertainty,Control-GAOnly,mechanism_control,4,0.27604101,0.26699429,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.062410,real_shield_mechanism_controls_20260810
p4,der_uncertainty,Control-GAOnly,mechanism_control,5,0.27669204,0.26724027,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.063436,real_shield_mechanism_controls_20260810
p4,der_uncertainty,Control-GAOnly,mechanism_control,6,0.27949979,0.26996421,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.063015,real_shield_mechanism_controls_20260810
p4,der_uncertainty,Control-GAOnly,mechanism_control,7,0.26820422,0.25887025,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.061493,real_shield_mechanism_controls_20260810
p4,der_uncertainty,Control-GAOnly,mechanism_control,8,0.24112700,0.23263435,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.062511,real_shield_mechanism_controls_20260810
p4,der_uncertainty,Control-GAOnly,mechanism_control,9,0.27833876,0.26843917,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.064058,real_shield_mechanism_controls_20260810
p4,der_uncertainty,Control-GAOnly,mechanism_control,10,0.26695839,0.25837375,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.061368,real_shield_mechanism_controls_20260810
p4,der_uncertainty,Control-GAOnly,mechanism_control,11,0.26955863,0.26002541,38,nan,nan,nan,nan,nan,nan,0,nan,nan,0.062059,real_shield_mechanism_controls_20260810
p4,der_uncertainty,Control-GAOnly,mechanism_control,12,0.25341501,0.24464474,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.062023,real_shield_mechanism_controls_20260810
p4,der_uncertainty,Control-GAOnly,mechanism_control,13,0.26357454,0.25478497,38,nan,nan,nan,nan,nan,nan,0,nan,nan,0.062929,real_shield_mechanism_controls_20260810
p4,der_uncertainty,Control-GAOnly,mechanism_control,14,0.27251351,0.26372032,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.062658,real_shield_mechanism_controls_20260810
p4,der_uncertainty,Control-GAOnly,mechanism_control,15,0.27246561,0.26361358,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.062279,real_shield_mechanism_controls_20260810
p4,der_uncertainty,Control-GAOnly,mechanism_control,16,0.26925422,0.25945640,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.063025,real_shield_mechanism_controls_20260810
p4,der_uncertainty,Control-GAOnly,mechanism_control,17,0.26558059,0.25584766,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.061756,real_shield_mechanism_controls_20260810
p4,der_uncertainty,Control-GAOnly,mechanism_control,18,0.26103780,0.25165379,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.061145,real_shield_mechanism_controls_20260810
p4,der_uncertainty,Control-GAOnly,mechanism_control,19,0.26844972,0.25885162,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.064169,real_shield_mechanism_controls_20260810
p4,der_uncertainty,Control-GAOnly,mechanism_control,20,0.26331319,0.25555324,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.063226,real_shield_mechanism_controls_20260810
p4,der_uncertainty,Control-GAOnly,mechanism_control,21,0.26543103,0.25582114,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.063238,real_shield_mechanism_controls_20260810
p4,der_uncertainty,Control-GAOnly,mechanism_control,22,0.28015953,0.27050317,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.063453,real_shield_mechanism_controls_20260810
