paper,experiment_id,method,method_role,repeat,hypervolume_proxy,constraint_violation_rate,investment_cost_index,loss_index,voltage_risk,hosting_capacity,reliability_proxy,survivability_rate,expected_loss_index,portfolio_size,runtime_s,source_status
p4,der_uncertainty,Ablation-NoResilienceObj,ablation,1,0.58193454,0.03022763,0.79413122,0.12118340,0.19022763,0.00092129,0.62159166,0.71516231,0.13153868,6,0.00007280,public_simbench_planning_v1
p4,der_uncertainty,Ablation-NoResilienceObj,ablation,2,0.57985563,0.03026518,0.79328861,0.12119349,0.19026518,0.00091880,0.61854288,0.71063535,0.13171423,6,0.00007720,public_simbench_planning_v1
p4,der_uncertainty,Ablation-NoResilienceObj,ablation,3,0.58193454,0.03022763,0.79413122,0.12118340,0.19022763,0.00092129,0.62159166,0.71516231,0.13153868,6,0.00007250,public_simbench_planning_v1
p4,der_uncertainty,Ablation-NoOutage,ablation,1,0.58193454,0.03022763,0.79413122,0.12118340,0.19022763,0.00092129,0.62159166,0.71516231,0.13153868,6,0.00006790,public_simbench_planning_v1
p4,der_uncertainty,Ablation-NoOutage,ablation,2,0.57985563,0.03026518,0.79328861,0.12119349,0.19026518,0.00091880,0.61854288,0.71063535,0.13171423,6,0.00006690,public_simbench_planning_v1
p4,der_uncertainty,Ablation-NoOutage,ablation,3,0.58193454,0.03022763,0.79413122,0.12118340,0.19022763,0.00092129,0.62159166,0.71516231,0.13153868,6,0.00006620,public_simbench_planning_v1
p4,load_uncertainty,SHIELD-MOEA,proposed,1,0.79741262,0.01787477,0.87162378,0.12436538,0.17787477,0.00000000,1.00000000,1.00000000,0.12436538,11,0.00006600,public_simbench_planning_v1
p4,load_uncertainty,SHIELD-MOEA,proposed,2,0.79751684,0.01875922,0.95373395,0.12307239,0.17875922,0.00033015,1.00000000,1.00000000,0.12307239,11,0.00006560,public_simbench_planning_v1
p4,load_uncertainty,SHIELD-MOEA,proposed,3,0.79741262,0.01787477,0.87162378,0.12436538,0.17787477,0.00000000,1.00000000,1.00000000,0.12436538,11,0.00006500,public_simbench_planning_v1
p4,load_uncertainty,NSGA-II,baseline,1,0.79362310,0.02084367,0.87396879,0.12333828,0.18084367,0.00032703,1.00000000,1.00000000,0.12333828,10,0.00005690,public_simbench_planning_v1
p4,load_uncertainty,NSGA-II,baseline,2,0.79353087,0.01995922,0.79238525,0.12462400,0.17995922,0.00000000,1.00000000,1.00000000,0.12462400,10,0.00005590,public_simbench_planning_v1
p4,load_uncertainty,NSGA-II,baseline,3,0.79363417,0.02084367,0.87449543,0.12333102,0.18084367,0.00033015,1.00000000,1.00000000,0.12333102,10,0.00005690,public_simbench_planning_v1
p4,load_uncertainty,MOEA/D,baseline,1,0.79372408,0.02172812,0.95607897,0.12204530,0.18172812,0.00065718,1.00000000,1.00000000,0.12204530,10,0.00005700,public_simbench_planning_v1
