paper,experiment_id,method,method_role,seed,hypervolume,hypervolume_worst_case,feasible_front_size,compromise_cost_index,compromise_loss_index,compromise_voltage_risk,compromise_hosting_capacity,compromise_reliability,compromise_survivability,portfolio_size,hosting_shortfall,der_readiness_shortfall,runtime_s,source_status
p4,deterministic_vs_scenario,SHIELD-MOEA,proposed,11,0.26695558,0.25679598,39,0.98487702,0.14193628,0.20402329,0.00000384,1.00000000,1.00000000,13,0.01799616,0.00000000,0.080381,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,SHIELD-MOEA,proposed,12,0.27763360,0.26835502,39,0.99783586,0.14186898,0.20330078,0.00000362,1.00000000,1.00000000,13,0.01799638,0.00000000,0.083179,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,SHIELD-MOEA,proposed,13,0.27401314,0.26478932,39,0.98818280,0.14190552,0.20362467,0.00000533,1.00000000,1.00000000,13,0.01799467,0.00000000,0.090004,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,SHIELD-MOEA,proposed,14,0.26901942,0.26033029,38,0.98335627,0.14192379,0.20378661,0.00000618,0.97621604,1.00000000,13,0.01799382,0.00000000,0.107854,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,SHIELD-MOEA,proposed,15,0.26869708,0.26005816,39,0.98335627,0.14192379,0.20378661,0.00000618,0.97621604,1.00000000,13,0.01799382,0.00000000,0.092819,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,SHIELD-MOEA,proposed,16,0.26673844,0.25756399,38,0.92672965,0.14207857,0.20482467,0.00000426,1.00000000,1.00000000,12,0.01799574,0.00000000,0.080100,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,SHIELD-MOEA,proposed,17,0.27032262,0.26099342,39,0.93638271,0.14204203,0.20450078,0.00000256,1.00000000,1.00000000,12,0.01799744,0.00000000,0.082727,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,SHIELD-MOEA,proposed,18,0.27974640,0.27015369,39,0.99300933,0.14188725,0.20346272,0.00000447,1.00000000,1.00000000,13,0.01799553,0.00000000,0.079353,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,SHIELD-MOEA,proposed,19,0.27632814,0.26721228,39,0.99631512,0.14185649,0.20306410,0.00000597,0.98985193,1.00000000,13,0.01799403,0.00000000,0.078603,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,SHIELD-MOEA,proposed,20,0.26965117,0.26006853,38,0.98818280,0.14190552,0.20362467,0.00000533,1.00000000,1.00000000,13,0.01799467,0.00000000,0.083242,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,SHIELD-MOEA,proposed,21,0.26906568,0.25940779,39,0.94120924,0.14202376,0.20433884,0.00000170,1.00000000,1.00000000,12,0.01799830,0.00000000,0.077220,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,SHIELD-MOEA,proposed,22,0.27194175,0.26334318,39,0.99300933,0.14188725,0.20346272,0.00000447,1.00000000,1.00000000,13,0.01799553,0.00000000,0.089104,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,SHIELD-MOEA,proposed,23,0.27323994,0.26381661,39,0.99148859,0.14187477,0.20322604,0.00000682,0.92963690,1.00000000,13,0.01799318,0.00000000,0.086560,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,SHIELD-MOEA,proposed,24,0.26342201,0.25485902,39,0.93155618,0.14206030,0.20466272,0.00000341,1.00000000,1.00000000,12,0.01799659,0.00000000,0.083034,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,SHIELD-MOEA,proposed,25,0.27065494,0.26139088,39,0.97522396,0.14197282,0.20434717,0.00000554,1.00000000,1.00000000,13,0.01799446,0.00000000,0.082434,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,SHIELD-MOEA,proposed,26,0.26408953,0.25471353,39,0.98335627,0.14192379,0.20378661,0.00000618,0.97621604,1.00000000,13,0.01799382,0.00000000,0.087934,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,SHIELD-MOEA,proposed,27,0.26981350,0.26052971,39,0.99783586,0.14186898,0.20330078,0.00000362,1.00000000,1.00000000,13,0.01799638,0.00000000,0.081886,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,SHIELD-MOEA,proposed,28,0.26789048,0.25924639,39,0.98487702,0.14193628,0.20402329,0.00000384,1.00000000,1.00000000,13,0.01799616,0.00000000,0.085147,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,SHIELD-MOEA,proposed,29,0.27549851,0.26614374,39,0.99300933,0.14188725,0.20346272,0.00000447,1.00000000,1.00000000,13,0.01799553,0.00000000,0.080670,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,NSGA-II,baseline,0,0.25415469,0.24497536,40,0.99327628,0.13644963,0.20952413,0.00000170,0.99870084,1.00000000,10,0.01799830,0.00000000,0.086194,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,NSGA-II,baseline,1,0.27047215,0.26093857,40,0.98005049,0.14195455,0.20418523,0.00000469,1.00000000,1.00000000,13,0.01799531,0.00000000,0.089883,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,NSGA-II,baseline,2,0.25883030,0.25122633,40,0.99300933,0.14188725,0.20346272,0.00000447,1.00000000,1.00000000,13,0.01799553,0.00000000,0.087216,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,NSGA-II,baseline,3,0.25079912,0.24340311,40,0.99300933,0.14188725,0.20346272,0.00000447,1.00000000,1.00000000,13,0.01799553,0.00000000,0.089816,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,NSGA-II,baseline,4,0.26253498,0.25363743,40,0.98818280,0.14190552,0.20362467,0.00000533,1.00000000,1.00000000,13,0.01799467,0.00000000,0.088254,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,NSGA-II,baseline,5,0.25908929,0.25112013,40,0.99300933,0.14188725,0.20346272,0.00000447,1.00000000,1.00000000,13,0.01799553,0.00000000,0.086148,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,NSGA-II,baseline,6,0.24336037,0.23686336,40,0.99300933,0.14188725,0.20346272,0.00000447,1.00000000,1.00000000,13,0.01799553,0.00000000,0.095533,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,NSGA-II,baseline,7,0.25260376,0.24425085,40,0.98005049,0.14195455,0.20418523,0.00000469,1.00000000,1.00000000,13,0.01799531,0.00000000,0.087383,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,NSGA-II,baseline,8,0.25634884,0.24785872,40,0.98818280,0.14190552,0.20362467,0.00000533,1.00000000,1.00000000,13,0.01799467,0.00000000,0.110122,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,NSGA-II,baseline,9,0.27539088,0.26627434,40,0.99300933,0.14188725,0.20346272,0.00000447,1.00000000,1.00000000,13,0.01799553,0.00000000,0.105479,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,NSGA-II,baseline,10,0.24508506,0.23747263,40,0.97522396,0.14197282,0.20434717,0.00000554,1.00000000,1.00000000,13,0.01799446,0.00000000,0.113400,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,NSGA-II,baseline,11,0.25084797,0.24274064,40,0.98005049,0.14195455,0.20418523,0.00000469,1.00000000,1.00000000,13,0.01799531,0.00000000,0.099064,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,NSGA-II,baseline,12,0.25697547,0.24810747,40,0.96709164,0.14202185,0.20490774,0.00000490,1.00000000,1.00000000,13,0.01799510,0.00000000,0.100651,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,NSGA-II,baseline,13,0.24777336,0.24033814,40,0.96226511,0.14204012,0.20506968,0.00000575,1.00000000,1.00000000,13,0.01799425,0.00000000,0.080408,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,NSGA-II,baseline,14,0.23831420,0.23154535,40,0.96226511,0.14204012,0.20506968,0.00000575,1.00000000,1.00000000,13,0.01799425,0.00000000,0.087871,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,NSGA-II,baseline,15,0.24003764,0.23384830,40,0.98005049,0.14195455,0.20418523,0.00000469,1.00000000,1.00000000,13,0.01799531,0.00000000,0.097394,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,NSGA-II,baseline,16,0.25504497,0.24709337,40,0.99300933,0.14188725,0.20346272,0.00000447,1.00000000,1.00000000,13,0.01799553,0.00000000,0.082590,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,NSGA-II,baseline,17,0.25857356,0.24975098,40,0.98818280,0.14190552,0.20362467,0.00000533,1.00000000,1.00000000,13,0.01799467,0.00000000,0.099481,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,NSGA-II,baseline,18,0.25146226,0.24409317,40,0.98818280,0.14190552,0.20362467,0.00000533,1.00000000,1.00000000,13,0.01799467,0.00000000,0.097652,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,NSGA-II,baseline,19,0.24971972,0.24244807,40,0.98818280,0.14190552,0.20362467,0.00000533,1.00000000,1.00000000,13,0.01799467,0.00000000,0.094217,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,NSGA-II,baseline,20,0.25314601,0.24461010,40,0.97522396,0.14197282,0.20434717,0.00000554,1.00000000,1.00000000,13,0.01799446,0.00000000,0.085014,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,NSGA-II,baseline,21,0.26792695,0.25926793,40,0.99783586,0.14186898,0.20330078,0.00000362,1.00000000,1.00000000,13,0.01799638,0.00000000,0.087860,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,NSGA-II,baseline,22,0.23617732,0.22983086,40,0.97522396,0.14197282,0.20434717,0.00000554,1.00000000,1.00000000,13,0.01799446,0.00000000,0.082165,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,NSGA-II,baseline,23,0.27061645,0.26189352,40,0.98818280,0.14190552,0.20362467,0.00000533,1.00000000,1.00000000,13,0.01799467,0.00000000,0.083987,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,NSGA-II,baseline,24,0.25660151,0.24832291,40,0.98005049,0.14195455,0.20418523,0.00000469,1.00000000,1.00000000,13,0.01799531,0.00000000,0.092060,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,NSGA-II,baseline,25,0.26251431,0.25473840,40,0.99783586,0.14186898,0.20330078,0.00000362,1.00000000,1.00000000,13,0.01799638,0.00000000,0.130985,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,NSGA-II,baseline,26,0.25794980,0.24967292,40,0.92342387,0.14210933,0.20522329,0.00000277,1.00000000,1.00000000,12,0.01799723,0.00000000,0.093337,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,NSGA-II,baseline,27,0.23829821,0.23033658,40,0.95743858,0.14205839,0.20523163,0.00000661,0.94894426,1.00000000,13,0.01799339,0.00000000,0.092542,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,NSGA-II,baseline,28,0.26098653,0.25135442,40,0.96709164,0.14202185,0.20490774,0.00000490,1.00000000,1.00000000,13,0.01799510,0.00000000,0.102272,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,NSGA-II,baseline,29,0.25145789,0.24309829,40,0.98005049,0.14195455,0.20418523,0.00000469,1.00000000,1.00000000,13,0.01799531,0.00000000,0.101386,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,NSGA-II+Repair,baseline,0,0.23849514,0.23110236,40,0.96226511,0.14204012,0.20506968,0.00000575,1.00000000,1.00000000,13,0.01799425,0.00000000,0.094859,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,NSGA-II+Repair,baseline,1,0.26423638,0.25531622,40,0.99300933,0.14188725,0.20346272,0.00000447,1.00000000,1.00000000,13,0.01799553,0.00000000,0.083678,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,NSGA-II+Repair,baseline,2,0.25180429,0.24340691,40,0.98005049,0.14195455,0.20418523,0.00000469,1.00000000,1.00000000,13,0.01799531,0.00000000,0.097011,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,NSGA-II+Repair,baseline,3,0.24227688,0.23438507,40,0.96226511,0.14204012,0.20506968,0.00000575,1.00000000,1.00000000,13,0.01799425,0.00000000,0.082642,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,NSGA-II+Repair,baseline,4,0.25270078,0.24383871,40,0.91377081,0.14214587,0.20554717,0.00000447,1.00000000,1.00000000,12,0.01799553,0.00000000,0.091176,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,NSGA-II+Repair,baseline,5,0.24861614,0.24081867,40,0.97522396,0.14197282,0.20434717,0.00000554,1.00000000,1.00000000,13,0.01799446,0.00000000,0.085979,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,NSGA-II+Repair,baseline,6,0.24987822,0.24175044,40,0.98005049,0.14195455,0.20418523,0.00000469,1.00000000,1.00000000,13,0.01799531,0.00000000,0.088489,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,NSGA-II+Repair,baseline,7,0.26073233,0.25279198,40,0.99783586,0.14186898,0.20330078,0.00000362,1.00000000,1.00000000,13,0.01799638,0.00000000,0.088895,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,NSGA-II+Repair,baseline,8,0.23786879,0.23056667,40,0.96226511,0.14204012,0.20506968,0.00000575,1.00000000,1.00000000,13,0.01799425,0.00000000,0.095253,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,NSGA-II+Repair,baseline,9,0.26150392,0.25289274,40,0.98818280,0.14190552,0.20362467,0.00000533,1.00000000,1.00000000,13,0.01799467,0.00000000,0.099598,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,NSGA-II+Repair,baseline,10,0.25308837,0.24487275,40,0.97522396,0.14197282,0.20434717,0.00000554,1.00000000,1.00000000,13,0.01799446,0.00000000,0.098516,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,NSGA-II+Repair,baseline,11,0.24263419,0.23586667,40,0.98335627,0.14192379,0.20378661,0.00000618,0.97621604,1.00000000,13,0.01799382,0.00000000,0.083676,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,NSGA-II+Repair,baseline,12,0.24275544,0.23549191,40,0.97191817,0.14200357,0.20474580,0.00000405,1.00000000,1.00000000,13,0.01799595,0.00000000,0.085900,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,NSGA-II+Repair,baseline,13,0.25520792,0.24673528,40,0.98005049,0.14195455,0.20418523,0.00000469,1.00000000,1.00000000,13,0.01799531,0.00000000,0.102510,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,NSGA-II+Repair,baseline,14,0.24748522,0.24085119,40,0.99783586,0.14186898,0.20330078,0.00000362,1.00000000,1.00000000,13,0.01799638,0.00000000,0.087812,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,NSGA-II+Repair,baseline,15,0.26372498,0.25566124,40,0.99300933,0.14188725,0.20346272,0.00000447,1.00000000,1.00000000,13,0.01799553,0.00000000,0.088003,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,NSGA-II+Repair,baseline,16,0.25878762,0.25037735,40,0.98487702,0.14193628,0.20402329,0.00000384,1.00000000,1.00000000,13,0.01799616,0.00000000,0.092243,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,NSGA-II+Repair,baseline,17,0.25518648,0.24630927,40,0.98005049,0.14195455,0.20418523,0.00000469,1.00000000,1.00000000,13,0.01799531,0.00000000,0.090931,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,NSGA-II+Repair,baseline,18,0.26408830,0.25498677,40,0.95743858,0.14205839,0.20523163,0.00000661,0.94894426,1.00000000,13,0.01799339,0.00000000,0.092938,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,NSGA-II+Repair,baseline,19,0.24262416,0.23535871,40,0.97522396,0.14197282,0.20434717,0.00000554,1.00000000,1.00000000,13,0.01799446,0.00000000,0.086927,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,NSGA-II+Repair,baseline,20,0.25327214,0.24486570,40,0.98487702,0.14193628,0.20402329,0.00000384,1.00000000,1.00000000,13,0.01799616,0.00000000,0.094817,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,NSGA-II+Repair,baseline,21,0.25091172,0.24269307,40,0.98005049,0.14195455,0.20418523,0.00000469,1.00000000,1.00000000,13,0.01799531,0.00000000,0.103780,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,NSGA-II+Repair,baseline,22,0.26539504,0.25687247,40,0.98005049,0.14195455,0.20418523,0.00000469,1.00000000,1.00000000,13,0.01799531,0.00000000,0.107784,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,NSGA-II+Repair,baseline,23,0.24756838,0.23962582,40,0.97522396,0.14197282,0.20434717,0.00000554,1.00000000,1.00000000,13,0.01799446,0.00000000,0.104527,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,NSGA-II+Repair,baseline,24,0.25734564,0.24861429,40,0.98487702,0.14193628,0.20402329,0.00000384,1.00000000,1.00000000,13,0.01799616,0.00000000,0.098375,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,NSGA-II+Repair,baseline,25,0.26590302,0.25783254,40,0.99300933,0.14188725,0.20346272,0.00000447,1.00000000,1.00000000,13,0.01799553,0.00000000,0.093923,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,NSGA-II+Repair,baseline,26,0.26107997,0.25186202,40,0.98005049,0.14195455,0.20418523,0.00000469,1.00000000,1.00000000,13,0.01799531,0.00000000,0.092512,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,NSGA-II+Repair,baseline,27,0.26190839,0.25260366,40,0.98487702,0.14193628,0.20402329,0.00000384,1.00000000,1.00000000,13,0.01799616,0.00000000,0.099834,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,NSGA-II+Repair,baseline,28,0.24819212,0.24101008,40,0.99300933,0.14188725,0.20346272,0.00000447,1.00000000,1.00000000,13,0.01799553,0.00000000,0.085956,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,NSGA-II+Repair,baseline,29,0.25144729,0.24316795,40,0.98005049,0.14195455,0.20418523,0.00000469,1.00000000,1.00000000,13,0.01799531,0.00000000,0.096468,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,MOEA/D,baseline,0,0.00047204,0.00047204,1,0.00000000,0.14509070,0.22902836,0.00000000,0.35000000,0.37228260,0,0.01800000,0.48000000,0.438028,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,MOEA/D,baseline,1,0.00047204,0.00047204,1,0.00000000,0.14509070,0.22902836,0.00000000,0.35000000,0.37228260,0,0.01800000,0.48000000,0.431556,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,MOEA/D,baseline,2,0.00047204,0.00047204,1,0.00000000,0.14509070,0.22902836,0.00000000,0.35000000,0.37228260,0,0.01800000,0.48000000,0.476819,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,MOEA/D,baseline,3,0.00047204,0.00047204,1,0.00000000,0.14509070,0.22902836,0.00000000,0.35000000,0.37228260,0,0.01800000,0.48000000,0.441649,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,MOEA/D,baseline,4,0.00047204,0.00047204,1,0.00000000,0.14509070,0.22902836,0.00000000,0.35000000,0.37228260,0,0.01800000,0.48000000,0.457695,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,MOEA/D,baseline,5,0.00047204,0.00047204,1,0.00000000,0.14509070,0.22902836,0.00000000,0.35000000,0.37228260,0,0.01800000,0.48000000,0.457651,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,MOEA/D,baseline,6,0.00047204,0.00047204,1,0.00000000,0.14509070,0.22902836,0.00000000,0.35000000,0.37228260,0,0.01800000,0.48000000,0.478908,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,MOEA/D,baseline,7,0.00047204,0.00047204,1,0.00000000,0.14509070,0.22902836,0.00000000,0.35000000,0.37228260,0,0.01800000,0.48000000,0.453743,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,MOEA/D,baseline,8,0.00047204,0.00047204,1,0.00000000,0.14509070,0.22902836,0.00000000,0.35000000,0.37228260,0,0.01800000,0.48000000,0.471638,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,MOEA/D,baseline,9,0.00047204,0.00047204,1,0.00000000,0.14509070,0.22902836,0.00000000,0.35000000,0.37228260,0,0.01800000,0.48000000,0.420997,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,MOEA/D,baseline,10,0.00047204,0.00047204,1,0.00000000,0.14509070,0.22902836,0.00000000,0.35000000,0.37228260,0,0.01800000,0.48000000,0.460321,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,MOEA/D,baseline,11,0.00047204,0.00047204,1,0.00000000,0.14509070,0.22902836,0.00000000,0.35000000,0.37228260,0,0.01800000,0.48000000,0.444162,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,MOEA/D,baseline,12,0.00047204,0.00047204,1,0.00000000,0.14509070,0.22902836,0.00000000,0.35000000,0.37228260,0,0.01800000,0.48000000,0.452786,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,MOEA/D,baseline,13,0.00047204,0.00047204,1,0.00000000,0.14509070,0.22902836,0.00000000,0.35000000,0.37228260,0,0.01800000,0.48000000,0.427708,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,MOEA/D,baseline,14,0.00047204,0.00047204,1,0.00000000,0.14509070,0.22902836,0.00000000,0.35000000,0.37228260,0,0.01800000,0.48000000,0.438560,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,MOEA/D,baseline,15,0.00047204,0.00047204,1,0.00000000,0.14509070,0.22902836,0.00000000,0.35000000,0.37228260,0,0.01800000,0.48000000,0.463625,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,MOEA/D,baseline,16,0.00047204,0.00047204,1,0.00000000,0.14509070,0.22902836,0.00000000,0.35000000,0.37228260,0,0.01800000,0.48000000,0.447815,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,MOEA/D,baseline,17,0.00047204,0.00047204,1,0.00000000,0.14509070,0.22902836,0.00000000,0.35000000,0.37228260,0,0.01800000,0.48000000,0.440411,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,MOEA/D,baseline,18,0.00047204,0.00047204,1,0.00000000,0.14509070,0.22902836,0.00000000,0.35000000,0.37228260,0,0.01800000,0.48000000,0.422358,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,MOEA/D,baseline,19,0.00047204,0.00047204,1,0.00000000,0.14509070,0.22902836,0.00000000,0.35000000,0.37228260,0,0.01800000,0.48000000,0.435110,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,MOEA/D,baseline,20,0.00047204,0.00047204,1,0.00000000,0.14509070,0.22902836,0.00000000,0.35000000,0.37228260,0,0.01800000,0.48000000,0.457450,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,MOEA/D,baseline,21,0.00047204,0.00047204,1,0.00000000,0.14509070,0.22902836,0.00000000,0.35000000,0.37228260,0,0.01800000,0.48000000,0.433978,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,MOEA/D,baseline,22,0.00047204,0.00047204,1,0.00000000,0.14509070,0.22902836,0.00000000,0.35000000,0.37228260,0,0.01800000,0.48000000,0.457969,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,MOEA/D,baseline,23,0.00047204,0.00047204,1,0.00000000,0.14509070,0.22902836,0.00000000,0.35000000,0.37228260,0,0.01800000,0.48000000,0.442219,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,MOEA/D,baseline,24,0.00047204,0.00047204,1,0.00000000,0.14509070,0.22902836,0.00000000,0.35000000,0.37228260,0,0.01800000,0.48000000,0.445856,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,MOEA/D,baseline,25,0.00047204,0.00047204,1,0.00000000,0.14509070,0.22902836,0.00000000,0.35000000,0.37228260,0,0.01800000,0.48000000,0.432940,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,MOEA/D,baseline,26,0.00075272,0.00074681,1,0.06145315,0.14491765,0.22782836,0.00000107,0.35779194,0.38500943,1,0.01799893,0.00000000,0.442913,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,MOEA/D,baseline,27,0.00047204,0.00047204,1,0.00000000,0.14509070,0.22902836,0.00000000,0.35000000,0.37228260,0,0.01800000,0.48000000,0.457868,public_simbench_planning_v2_real_moea
