dataset,horizon_hours,method,method_role,seed,reconciliation,hierarchy_weighted_smape,leaf_smape,region_smape,system_smape,leaf_mae,region_mae,system_mae,coherence_violation,runtime_s,train_samples,test_samples,source_status
Ausgrid exact 12-leaf/4-region/system hierarchy,24,HyG-LoadFormer (neural),proposed,83,Bottom-Up,0.29439670,0.42022622,0.28092322,0.18204067,0.52140338,1.07050535,2.81778644,0.00000000,3.2476,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,HyG-LoadFormer (neural),proposed,83,Top-Down,0.36502675,0.56497453,0.34948028,0.18062543,0.70618665,1.33389180,2.76398127,0.00000000,3.2476,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,HyG-LoadFormer (neural),proposed,83,OLS-Reconciled,0.29264947,0.41794384,0.27990118,0.18010338,0.51739026,1.06009955,2.76132022,0.00000000,3.2476,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,HyG-LoadFormer (neural),proposed,97,Base,0.28487508,0.40715952,0.27251392,0.17495181,0.50896444,1.04188461,2.70280726,0.04433118,2.5687,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,HyG-LoadFormer (neural),proposed,97,Bottom-Up,0.28585166,0.40715952,0.27329538,0.17710009,0.50896444,1.04541136,2.74397647,0.00000000,2.5687,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,HyG-LoadFormer (neural),proposed,97,Top-Down,0.35954671,0.55958947,0.34409886,0.17495181,0.69911617,1.31641080,2.70280726,0.00000000,2.5687,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,HyG-LoadFormer (neural),proposed,97,OLS-Reconciled,0.28375868,0.40486721,0.27221778,0.17419107,0.50795643,1.03915124,2.69543644,0.00000000,2.5687,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,HyG-LoadFormer (neural),proposed,109,Base,0.28916388,0.41589631,0.27520656,0.17638878,0.51689352,1.05249150,2.72865592,0.04250796,2.6414,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,HyG-LoadFormer (neural),proposed,109,Bottom-Up,0.29183556,0.41589631,0.27836460,0.18124578,0.51689352,1.06521002,2.81825341,0.00000000,2.6414,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,HyG-LoadFormer (neural),proposed,109,Top-Down,0.36072111,0.56093495,0.34483961,0.17638878,0.70244766,1.32286689,2.72865592,0.00000000,2.6414,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,HyG-LoadFormer (neural),proposed,109,OLS-Reconciled,0.28640057,0.40907099,0.27377310,0.17635761,0.50985155,1.04582119,2.73178334,0.00000000,2.6414,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,HyG-LoadFormer (neural),proposed,127,Base,0.29200633,0.41639933,0.27956079,0.18005885,0.51776494,1.06243218,2.75858171,0.04824707,3.2145,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,HyG-LoadFormer (neural),proposed,127,Bottom-Up,0.29125061,0.41639933,0.27833698,0.17901551,0.51776494,1.05970962,2.76410602,0.00000000,3.2145,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,HyG-LoadFormer (neural),proposed,127,Top-Down,0.36428631,0.56378328,0.34901681,0.18005885,0.70448224,1.33144688,2.75858171,0.00000000,3.2145,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,HyG-LoadFormer (neural),proposed,127,OLS-Reconciled,0.29238289,0.41783325,0.28050731,0.17880811,0.51875351,1.06243113,2.74429333,0.00000000,3.2145,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,HyG-LoadFormer (neural),proposed,139,Base,0.29429580,0.42018375,0.28222511,0.18047854,0.52346388,1.07013383,2.76223209,0.04064661,3.0923,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,HyG-LoadFormer (neural),proposed,139,Bottom-Up,0.29515143,0.42018375,0.28260504,0.18266550,0.52346388,1.07600323,2.82382131,0.00000000,3.0923,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,HyG-LoadFormer (neural),proposed,139,Top-Down,0.36496724,0.56502462,0.34939857,0.18047854,0.70585963,1.33305332,2.76223209,0.00000000,3.0923,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,HyG-LoadFormer (neural),proposed,139,OLS-Reconciled,0.29321834,0.41796455,0.28138518,0.18030530,0.51914078,1.06573498,2.76300035,0.00000000,3.0923,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-EuclideanGraph (neural),ablation,11,Base,0.28515190,0.40953737,0.27206723,0.17385111,0.50823346,1.04023361,2.68909554,0.04509560,2.1413,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-EuclideanGraph (neural),ablation,11,Bottom-Up,0.28582191,0.40953737,0.27268696,0.17524141,0.50823346,1.04143177,2.70895728,0.00000000,2.1413,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
