dataset,horizon_hours,method,method_role,seed,mae,rmse,mape,smape,normalized_mae,peak_load_error,runtime_s,train_samples,test_samples,source_status
OPSD time_series_60min_singleindex,1,Ablation-NoCalendar (neural),ablation,127,385.58977336,629.41013071,0.01103430,0.01106845,0.00450850,767.60371714,6.3314,48664,62994,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,1,Ablation-NoCalendar (neural),ablation,139,363.75423114,597.74036557,0.01058557,0.01059851,0.00425319,649.99019593,5.5703,48664,62994,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,1,Ablation-EqualNeighbors (neural),ablation,59,346.44166369,577.03987638,0.01011801,0.01011567,0.00405076,591.44404452,4.5305,48664,62994,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,1,Ablation-EqualNeighbors (neural),ablation,71,383.04572352,620.40774821,0.01117560,0.01120856,0.00447876,672.50420015,4.5528,48664,62994,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,1,Ablation-EqualNeighbors (neural),ablation,83,352.04739768,573.90954670,0.01033161,0.01031603,0.00411631,598.04217200,4.6271,48664,62994,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,1,Ablation-EqualNeighbors (neural),ablation,97,364.66972829,604.99924086,0.01055600,0.01054428,0.00426390,658.57159102,4.4715,48664,62994,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,1,Ablation-EqualNeighbors (neural),ablation,109,371.47924190,605.39946539,0.01077649,0.01077069,0.00434352,684.92373760,4.6604,48664,62994,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,1,Ablation-EqualNeighbors (neural),ablation,127,367.92287752,607.87159193,0.01070475,0.01070575,0.00430193,637.36487723,4.4839,48664,62994,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,1,Ablation-EqualNeighbors (neural),ablation,139,370.37784056,607.40621582,0.01073089,0.01075634,0.00433064,694.68163938,4.5717,48664,62994,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,1,MLP,baseline,59,343.80400456,565.18560151,0.01000179,0.00999430,0.00401992,575.15639137,1.6653,48664,62994,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,1,MLP,baseline,71,357.36636748,590.59315813,0.01037629,0.01038136,0.00417850,627.01597408,1.6990,48664,62994,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,1,MLP,baseline,83,347.69892923,579.51757017,0.01016186,0.01015173,0.00406547,592.30078435,1.6208,48664,62994,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,1,MLP,baseline,97,377.95981553,617.65166137,0.01086546,0.01089469,0.00441929,736.65435950,1.6454,48664,62994,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,1,MLP,baseline,109,336.40644536,555.73232704,0.00976488,0.00976320,0.00393343,575.56032118,1.5974,48664,62994,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,1,MLP,baseline,127,339.23584647,562.57429446,0.00986740,0.00987571,0.00396651,572.35786582,1.7003,48664,62994,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,1,MLP,baseline,139,355.44902390,588.17178677,0.01035317,0.01037786,0.00415608,633.23699405,1.6300,48664,62994,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,24,HyG-LoadFormer (neural),proposed,59,1114.91987668,1950.27622044,0.03226584,0.03176795,0.01303619,2079.32879044,5.0894,48664,62856,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,24,HyG-LoadFormer (neural),proposed,71,1081.98684929,1901.56021910,0.03146230,0.03093038,0.01265112,1999.60478965,5.1321,48664,62856,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,24,HyG-LoadFormer (neural),proposed,83,1124.03600137,1933.30462603,0.03266435,0.03232150,0.01314278,2072.22397967,5.1124,48664,62856,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,24,HyG-LoadFormer (neural),proposed,97,1117.20374339,1918.57331197,0.03214933,0.03184757,0.01306289,2118.24264044,5.1398,48664,62856,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,24,HyG-LoadFormer (neural),proposed,109,1112.07726908,1923.48488594,0.03213645,0.03165010,0.01300295,2071.00628281,5.1795,48664,62856,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,24,HyG-LoadFormer (neural),proposed,127,1140.25209620,1942.74597191,0.03306577,0.03282028,0.01333238,2145.71363217,5.1923,48664,62856,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,24,HyG-LoadFormer (neural),proposed,139,1115.14406100,1952.07943276,0.03240528,0.03172051,0.01303881,1929.33761072,5.2260,48664,62856,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,24,Ablation-EuclideanGraph (neural),ablation,59,1119.53429891,1950.16424257,0.03240582,0.03189016,0.01309014,2067.09075896,4.8763,48664,62856,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,24,Ablation-EuclideanGraph (neural),ablation,71,1070.93325601,1889.22054025,0.03114576,0.03063634,0.01252187,2000.11922792,4.9742,48664,62856,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,24,Ablation-EuclideanGraph (neural),ablation,83,1132.81213865,1954.81848172,0.03273402,0.03226587,0.01324539,2047.08660791,4.9165,48664,62856,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,24,Ablation-EuclideanGraph (neural),ablation,97,1135.84389245,1934.15043814,0.03253805,0.03231022,0.01328084,2210.19110491,4.8146,48664,62856,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,24,Ablation-EuclideanGraph (neural),ablation,109,1105.27428215,1909.07093291,0.03192325,0.03144809,0.01292341,2056.33832213,4.8650,48664,62856,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,24,Ablation-EuclideanGraph (neural),ablation,127,1117.90716266,1936.64897703,0.03234022,0.03198192,0.01307112,2131.71247092,4.7699,48664,62856,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,24,Ablation-EuclideanGraph (neural),ablation,139,1126.79568383,1966.18148912,0.03264515,0.03204640,0.01317504,1966.11326882,4.8378,48664,62856,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,24,Ablation-FixedCurvature (neural),ablation,59,1113.33005035,1944.82363023,0.03230564,0.03183422,0.01301760,2081.88384700,4.9308,48664,62856,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,24,Ablation-FixedCurvature (neural),ablation,71,1087.42185778,1900.95440466,0.03169494,0.03114569,0.01271467,1990.09909275,5.0160,48664,62856,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,24,Ablation-FixedCurvature (neural),ablation,83,1123.86431985,1928.65528937,0.03266999,0.03236218,0.01314077,2080.79886261,4.9237,48664,62856,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,24,Ablation-FixedCurvature (neural),ablation,97,1133.04983221,1935.77058362,0.03251164,0.03225004,0.01324817,2169.61494080,4.9097,48664,62856,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,24,Ablation-FixedCurvature (neural),ablation,109,1101.79047415,1909.55800881,0.03181340,0.03133927,0.01288267,2043.71366448,4.8237,48664,62856,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,24,Ablation-FixedCurvature (neural),ablation,127,1135.79147964,1939.97185030,0.03291192,0.03268340,0.01328023,2157.71687485,5.0067,48664,62856,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,24,Ablation-FixedCurvature (neural),ablation,139,1114.76197982,1956.56442547,0.03240781,0.03174350,0.01303434,1923.38799122,4.9034,48664,62856,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,24,Ablation-TemporalOnly (neural),ablation,59,1184.48291271,2054.40180644,0.03415404,0.03361958,0.01384955,2186.45328406,3.5785,48664,62856,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,24,Ablation-TemporalOnly (neural),ablation,71,1209.10187270,2091.17795214,0.03479176,0.03428925,0.01413741,2281.45857648,3.4396,48664,62856,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,24,Ablation-TemporalOnly (neural),ablation,83,1184.85587603,2043.17191533,0.03435020,0.03393093,0.01385391,2179.25414235,3.5302,48664,62856,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,24,Ablation-TemporalOnly (neural),ablation,97,1202.79188721,2094.47524617,0.03457842,0.03392390,0.01406363,2167.90359882,3.4554,48664,62856,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,24,Ablation-TemporalOnly (neural),ablation,109,1196.06884214,2070.14860707,0.03453879,0.03407260,0.01398502,2178.38196440,3.5247,48664,62856,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,24,Ablation-TemporalOnly (neural),ablation,127,1215.82618970,2108.93650225,0.03490789,0.03439317,0.01421603,2247.18266860,3.4736,48664,62856,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,24,Ablation-TemporalOnly (neural),ablation,139,1213.30810285,2116.13555298,0.03488150,0.03440383,0.01418659,2228.54370688,3.4973,48664,62856,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,24,Ablation-NoCalendar (neural),ablation,59,1101.17259668,1913.59074647,0.03180959,0.03146427,0.01287545,2083.22344968,5.0654,48664,62856,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,24,Ablation-NoCalendar (neural),ablation,71,1105.29144437,1953.80114055,0.03221543,0.03168528,0.01292361,2035.64950245,4.8796,48664,62856,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,24,Ablation-NoCalendar (neural),ablation,83,1078.36626103,1912.39608881,0.03124874,0.03090425,0.01260878,2047.97968340,4.9641,48664,62856,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,24,Ablation-NoCalendar (neural),ablation,97,1079.75133300,1902.49991938,0.03138029,0.03094814,0.01262498,2025.78315684,5.0338,48664,62856,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,24,Ablation-NoCalendar (neural),ablation,109,1083.76725927,1918.21018813,0.03136086,0.03087899,0.01267194,1968.83427422,5.0921,48664,62856,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,24,Ablation-NoCalendar (neural),ablation,127,1100.82007563,1932.84743805,0.03214091,0.03174505,0.01287133,2079.24808198,5.0916,48664,62856,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,24,Ablation-NoCalendar (neural),ablation,139,1122.92082069,1978.11183129,0.03248279,0.03209875,0.01312974,2158.47198398,5.1660,48664,62856,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,24,Ablation-EqualNeighbors (neural),ablation,59,1136.95677886,1972.61957750,0.03298452,0.03246445,0.01329385,2091.14813740,4.6212,48664,62856,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,24,Ablation-EqualNeighbors (neural),ablation,71,1115.50583718,1961.89182900,0.03224179,0.03159829,0.01304304,2052.21201363,4.6961,48664,62856,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,24,Ablation-EqualNeighbors (neural),ablation,83,1129.72941107,1949.89995642,0.03268760,0.03220699,0.01320935,2059.85811558,4.5969,48664,62856,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,24,Ablation-EqualNeighbors (neural),ablation,97,1144.40241283,1954.11751524,0.03289135,0.03263498,0.01338091,2210.74849081,4.5628,48664,62856,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,24,Ablation-EqualNeighbors (neural),ablation,109,1111.75385113,1925.20672159,0.03210099,0.03165653,0.01299917,2096.95181898,4.5337,48664,62856,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,24,Ablation-EqualNeighbors (neural),ablation,127,1123.55614159,1946.77319436,0.03249202,0.03207966,0.01313717,2124.59699268,4.5998,48664,62856,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,24,Ablation-EqualNeighbors (neural),ablation,139,1117.42254478,1945.19387749,0.03240265,0.03175680,0.01306545,1958.72748392,4.6238,48664,62856,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,24,MLP,baseline,59,1185.40956688,2050.59674269,0.03408929,0.03377512,0.01386039,2243.12013754,1.6885,48664,62856,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,24,MLP,baseline,71,1154.21929849,2017.45932637,0.03322100,0.03269341,0.01349569,2145.12245817,1.6282,48664,62856,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,24,MLP,baseline,83,1180.31952022,2044.23034735,0.03403992,0.03370072,0.01380087,2245.64650084,1.7221,48664,62856,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,24,MLP,baseline,97,1159.65541722,2036.80099738,0.03327247,0.03280915,0.01355926,2218.06695239,1.5176,48664,62856,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,24,MLP,baseline,109,1213.70788779,2097.18208024,0.03464755,0.03434799,0.01419126,2375.97644631,1.5247,48664,62856,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,24,MLP,baseline,127,1165.49531826,2039.26823503,0.03345863,0.03295211,0.01362754,2143.77422223,1.5312,48664,62856,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,24,MLP,baseline,139,1144.36436213,1999.35783248,0.03286191,0.03245998,0.01338047,2167.07402552,1.5435,48664,62856,public_data_benchmark_v7_seed_significance_ausgrid
