dataset,split_id,train_ratio,train_end_index,train_end_timestamp,horizon_hours,method,method_role,mae,rmse,mape,smape,normalized_mae,peak_load_error,runtime_s,train_samples,test_samples,source_status
simbench,rolling_2,0.65,5694,25.08.2016 07:45,1,Ablation-FixedCurvature,ablation,0.04141047,0.06826923,0.22719358,0.22523707,0.04557915,0.04605963,0.288337,11052,6130,public_data_benchmark_v3_short_horizon_gated_simbench_profiles_rolling
simbench,rolling_2,0.65,5694,25.08.2016 07:45,1,Ablation-NoCalendar,ablation,0.03989087,0.07078026,0.18363422,0.17353874,0.04390657,0.04597502,0.187683,11052,6130,public_data_benchmark_v3_short_horizon_gated_simbench_profiles_rolling
simbench,rolling_2,0.65,5694,25.08.2016 07:45,24,Persistence,baseline,0.07526108,0.14886191,0.47646636,0.25645825,0.08498589,0.11348692,0.000657,11052,6084,public_data_benchmark_v3_short_horizon_gated_simbench_profiles_rolling
simbench,rolling_2,0.65,5694,25.08.2016 07:45,24,Weekly-168h,baseline,0.08302238,0.16670146,0.39055844,0.24460536,0.09375006,0.20807605,0.001041,11052,6084,public_data_benchmark_v3_short_horizon_gated_simbench_profiles_rolling
simbench,rolling_2,0.65,5694,25.08.2016 07:45,24,AR-Calendar Ridge,baseline,0.09062532,0.13344222,0.71813885,0.42422634,0.10233541,0.15546365,0.151868,11052,6084,public_data_benchmark_v3_short_horizon_gated_simbench_profiles_rolling
simbench,rolling_2,0.65,5694,25.08.2016 07:45,24,Euclidean-GCN Ridge,baseline,0.09022770,0.13171217,0.71057920,0.42064551,0.10188641,0.14787858,0.276460,11052,6084,public_data_benchmark_v3_short_horizon_gated_simbench_profiles_rolling
simbench,rolling_2,0.65,5694,25.08.2016 07:45,24,HyG-LoadFormer,proposed,0.07085297,0.11647491,0.47214585,0.36128431,0.08000818,0.13475301,0.577997,11052,6084,public_data_benchmark_v3_short_horizon_gated_simbench_profiles_rolling
simbench,rolling_2,0.65,5694,25.08.2016 07:45,24,Ablation-FixedCurvature,ablation,0.09055815,0.13205606,0.71692527,0.42259514,0.10225956,0.15099407,0.278676,11052,6084,public_data_benchmark_v3_short_horizon_gated_simbench_profiles_rolling
simbench,rolling_2,0.65,5694,25.08.2016 07:45,24,Ablation-NoCalendar,ablation,0.08876265,0.13833302,0.71603187,0.38061888,0.10023206,0.15416370,0.186362,11052,6084,public_data_benchmark_v3_short_horizon_gated_simbench_profiles_rolling
simbench,rolling_3,0.75,6570,30.09.2016 19:45,1,Persistence,baseline,0.03894465,0.07776608,0.13450403,0.13144490,0.04286511,0.04501305,0.000697,12804,4378,public_data_benchmark_v3_short_horizon_gated_simbench_profiles_rolling
simbench,rolling_3,0.75,6570,30.09.2016 19:45,1,Weekly-168h,baseline,0.08560182,0.17236144,0.45001575,0.26050199,0.09421913,0.22496674,0.000998,12804,4378,public_data_benchmark_v3_short_horizon_gated_simbench_profiles_rolling
simbench,rolling_3,0.75,6570,30.09.2016 19:45,1,AR-Calendar Ridge,baseline,0.04061558,0.06913038,0.22824571,0.22628954,0.04470424,0.05000079,0.169711,12804,4378,public_data_benchmark_v3_short_horizon_gated_simbench_profiles_rolling
simbench,rolling_3,0.75,6570,30.09.2016 19:45,1,Euclidean-GCN Ridge,baseline,0.04065160,0.06908059,0.22794225,0.22695722,0.04474388,0.05051098,0.303835,12804,4378,public_data_benchmark_v3_short_horizon_gated_simbench_profiles_rolling
simbench,rolling_3,0.75,6570,30.09.2016 19:45,1,HyG-LoadFormer,proposed,0.03802252,0.07610844,0.13441068,0.13142947,0.04185015,0.04412614,0.781422,12804,4378,public_data_benchmark_v3_short_horizon_gated_simbench_profiles_rolling
simbench,rolling_3,0.75,6570,30.09.2016 19:45,1,Ablation-FixedCurvature,ablation,0.04057557,0.06909289,0.22688743,0.22572525,0.04466021,0.05047006,0.302481,12804,4378,public_data_benchmark_v3_short_horizon_gated_simbench_profiles_rolling
simbench,rolling_3,0.75,6570,30.09.2016 19:45,1,Ablation-NoCalendar,ablation,0.03836485,0.07140028,0.17474383,0.16930047,0.04222694,0.05070783,0.237341,12804,4378,public_data_benchmark_v3_short_horizon_gated_simbench_profiles_rolling
simbench,rolling_3,0.75,6570,30.09.2016 19:45,24,Persistence,baseline,0.07450111,0.14855423,0.46255565,0.25893566,0.08412772,0.13472115,0.000477,12804,4332,public_data_benchmark_v3_short_horizon_gated_simbench_profiles_rolling
simbench,rolling_3,0.75,6570,30.09.2016 19:45,24,Weekly-168h,baseline,0.08463970,0.17161446,0.43748704,0.25857903,0.09557636,0.22608917,0.001145,12804,4332,public_data_benchmark_v3_short_horizon_gated_simbench_profiles_rolling
simbench,rolling_3,0.75,6570,30.09.2016 19:45,24,AR-Calendar Ridge,baseline,0.08966216,0.13317301,0.70666343,0.42101432,0.10124779,0.17023673,0.190418,12804,4332,public_data_benchmark_v3_short_horizon_gated_simbench_profiles_rolling
simbench,rolling_3,0.75,6570,30.09.2016 19:45,24,Euclidean-GCN Ridge,baseline,0.09026569,0.13154411,0.72369134,0.42416835,0.10192931,0.15905840,0.316973,12804,4332,public_data_benchmark_v3_short_horizon_gated_simbench_profiles_rolling
simbench,rolling_3,0.75,6570,30.09.2016 19:45,24,HyG-LoadFormer,proposed,0.07268752,0.12070713,0.50389587,0.37490952,0.08207979,0.14750308,0.625447,12804,4332,public_data_benchmark_v3_short_horizon_gated_simbench_profiles_rolling
simbench,rolling_3,0.75,6570,30.09.2016 19:45,24,Ablation-FixedCurvature,ablation,0.09103595,0.13225447,0.73343361,0.42655037,0.10279910,0.16280490,0.317657,12804,4332,public_data_benchmark_v3_short_horizon_gated_simbench_profiles_rolling
simbench,rolling_3,0.75,6570,30.09.2016 19:45,24,Ablation-NoCalendar,ablation,0.08804582,0.13798268,0.70557413,0.38434647,0.09942260,0.17323356,0.201640,12804,4332,public_data_benchmark_v3_short_horizon_gated_simbench_profiles_rolling
