corpus,slug,doi,year,category,section_index,section_title,normalized_role,paragraphs,words
C2GES,applsci-13-07753,10.3390/app13137753,2023,kg-summarization,4,4. Model Formulation,Methods and Setup,13,708
C2GES,applsci-13-07753,10.3390/app13137753,2023,kg-summarization,5,5. Dataset: Wiki-Sum,Methods and Setup,17,1130
C2GES,applsci-13-07753,10.3390/app13137753,2023,kg-summarization,6,6. Experiments,Results and Analysis,7,617
C2GES,applsci-13-07753,10.3390/app13137753,2023,kg-summarization,7,7. Results,Results and Analysis,5,371
C2GES,applsci-13-07753,10.3390/app13137753,2023,kg-summarization,8,8. Conclusions,Conclusions,6,610
C2GES,applsci-14-01880,10.3390/app14051880,2024,multi-document-summary,1,1. Introduction,Introduction,8,737
C2GES,applsci-14-01880,10.3390/app14051880,2024,multi-document-summary,2,2. Literature Review,Related Work/Background,8,1046
C2GES,applsci-14-01880,10.3390/app14051880,2024,multi-document-summary,3,3. Topic-Oriented Multi-Document Summarization (TOMDS) Model,Methods and Setup,44,3873
C2GES,applsci-14-01880,10.3390/app14051880,2024,multi-document-summary,4,4. Experiments,Results and Analysis,27,1816
C2GES,applsci-14-01880,10.3390/app14051880,2024,multi-document-summary,5,5. Conclusions and Future Work,Conclusions,2,479
C2GES,applsci-15-02119,10.3390/app15042119,2025,relation-extraction-recent,1,1. Introduction,Introduction,8,821
C2GES,applsci-15-02119,10.3390/app15042119,2025,relation-extraction-recent,2,2. Literature Review,Related Work/Background,5,1265
C2GES,applsci-15-02119,10.3390/app15042119,2025,relation-extraction-recent,3,3. Methodology,Methods and Setup,20,1830
C2GES,applsci-15-02119,10.3390/app15042119,2025,relation-extraction-recent,4,4. Results,Results and Analysis,16,1651
C2GES,applsci-15-02119,10.3390/app15042119,2025,relation-extraction-recent,5,5. Conclusions,Conclusions,2,464
C2GES,applsci-15-07435,10.3390/app15137435,2025,cross-document-recent,1,1. Introduction,Introduction,10,1143
C2GES,applsci-15-07435,10.3390/app15137435,2025,cross-document-recent,2,2. Related Work,Related Work/Background,12,1041
C2GES,applsci-15-07435,10.3390/app15137435,2025,cross-document-recent,3,3. Framework,Methods and Setup,93,4273
C2GES,applsci-15-07435,10.3390/app15137435,2025,cross-document-recent,4,4. Experimental Settings,Methods and Setup,14,965
C2GES,applsci-15-07435,10.3390/app15137435,2025,cross-document-recent,5,5. Results and Analyses,Results and Analysis,48,3468
C2GES,applsci-15-07435,10.3390/app15137435,2025,cross-document-recent,6,6. Conclusions,Conclusions,1,321
MA_SQLGrid,applsci-15-11121,10.3390/app152011121,2025,direct-text-to-sql,1,1. Introduction,Introduction,16,1490
MA_SQLGrid,applsci-15-11121,10.3390/app152011121,2025,direct-text-to-sql,2,2. Related Works,Related Work/Background,3,486
MA_SQLGrid,applsci-15-11121,10.3390/app152011121,2025,direct-text-to-sql,3,3. Task Formulation,Methods and Setup,4,423
