scenario,method,seed_index,legacy_hypervolume,rerun_hypervolume,exact_at_archived_precision
renewable_accommodation_review,TRACE-MOEA,3,0.18697695,0.18697695,True
renewable_accommodation_review,TRACE-MOEA,4,0.18735501,0.18735501,True
renewable_accommodation_review,TRACE-MOEA,5,0.18784511,0.18784511,True
renewable_accommodation_review,TRACE-MOEA,6,0.18728600,0.18728600,True
renewable_accommodation_review,TRACE-MOEA,7,0.18217924,0.18217924,True
renewable_accommodation_review,TRACE-MOEA,8,0.18861534,0.18861534,True
renewable_accommodation_review,TRACE-MOEA,9,0.18437370,0.18437370,True
renewable_accommodation_review,TRACE-MOEA,10,0.18523165,0.18523165,True
renewable_accommodation_review,TRACE-MOEA,11,0.18677134,0.18677134,True
renewable_accommodation_review,TRACE-MOEA,12,0.18851685,0.18851685,True
renewable_accommodation_review,TRACE-MOEA,13,0.18693883,0.18693883,True
renewable_accommodation_review,TRACE-MOEA,14,0.18544689,0.18544689,True
renewable_accommodation_review,TRACE-MOEA,15,0.18988401,0.18988401,True
renewable_accommodation_review,TRACE-MOEA,16,0.18879984,0.18879984,True
renewable_accommodation_review,TRACE-MOEA,17,0.18803679,0.18803679,True
renewable_accommodation_review,TRACE-MOEA,18,0.18900474,0.18900474,True
renewable_accommodation_review,TRACE-MOEA,19,0.18542524,0.18542524,True
renewable_accommodation_review,TRACE-MOEA,20,0.18832739,0.18832739,True
renewable_accommodation_review,TRACE-MOEA,21,0.18747406,0.18747406,True
renewable_accommodation_review,TRACE-MOEA,22,0.18566604,0.18566604,True
renewable_accommodation_review,TRACE-MOEA,23,0.18578670,0.18578670,True
renewable_accommodation_review,TRACE-MOEA,24,0.18551886,0.18551886,True
renewable_accommodation_review,TRACE-MOEA,25,0.18599106,0.18599106,True
renewable_accommodation_review,TRACE-MOEA,26,0.18438946,0.18438946,True
renewable_accommodation_review,TRACE-MOEA,27,0.18663734,0.18663734,True
renewable_accommodation_review,TRACE-MOEA,28,0.18674525,0.18674525,True
renewable_accommodation_review,TRACE-MOEA,29,0.18085410,0.18085410,True
renewable_accommodation_review,Ablation-NoPreferenceRanking,0,0.18516644,0.18516644,True
renewable_accommodation_review,Ablation-NoPreferenceRanking,1,0.18681896,0.18681896,True
renewable_accommodation_review,Ablation-NoPreferenceRanking,2,0.18668793,0.18668793,True
renewable_accommodation_review,Ablation-NoPreferenceRanking,3,0.18665269,0.18665269,True
renewable_accommodation_review,Ablation-NoPreferenceRanking,4,0.18187104,0.18187104,True
renewable_accommodation_review,Ablation-NoPreferenceRanking,5,0.18747329,0.18747329,True
renewable_accommodation_review,Ablation-NoPreferenceRanking,6,0.18352328,0.18352328,True
renewable_accommodation_review,Ablation-NoPreferenceRanking,7,0.18416380,0.18416380,True
renewable_accommodation_review,Ablation-NoPreferenceRanking,8,0.18431789,0.18431789,True
