cell_id,factor,method,risk_aggregation,quality_compliance_share,n_preferences,preference_profile,seed_index,seed_value,hv_reported_empirical_ref1p1_clipped,hv_analytic_ref1p2,matched_single_hv_analytic_ref1p2,compromise_max_score,full_front_size,portfolio_size,trace_event_count
quality_compliance_025,formulation,TRACE-MOEA,mean,0.2500000000,8,balanced,1,707919,0.1781541583,0.1055927558,0.0151373361,0.9841137394,39,13,1147
quality_compliance_025,formulation,TRACE-MOEA,mean,0.2500000000,8,balanced,2,715838,0.1783355998,0.1060843926,0.0137330354,0.9845841967,40,13,1167
quality_compliance_025,formulation,TRACE-MOEA,mean,0.2500000000,8,balanced,3,723757,0.1786312851,0.1067495162,0.0155542149,0.9850676132,39,12,1201
quality_compliance_025,formulation,TRACE-MOEA,mean,0.2500000000,8,balanced,4,731676,0.1803566572,0.1081860966,0.0130147725,0.9812417982,39,14,1276
quality_compliance_025,formulation,TRACE-MOEA,mean,0.2500000000,8,balanced,5,739595,0.1786966551,0.1078849655,0.0213913882,0.9881803070,39,11,999
quality_compliance_025,formulation,TRACE-MOEA,mean,0.2500000000,8,balanced,6,747514,0.1788677580,0.1072751690,0.0131189859,0.9818513312,37,14,1215
quality_compliance_025,formulation,TRACE-MOEA,mean,0.2500000000,8,balanced,7,755433,0.1793943903,0.1048683547,0.0151336233,0.9849179529,39,14,1273
quality_compliance_025,formulation,TRACE-MOEA,mean,0.2500000000,8,balanced,8,763352,0.1839443081,0.1019389746,0.0157567998,0.9847197656,38,13,1290
quality_compliance_025,formulation,TRACE-MOEA,mean,0.2500000000,8,balanced,9,771271,0.1801817535,0.1039348119,0.0150941353,0.9838361303,39,13,1047
quality_compliance_025,formulation,TRACE-MOEA,mean,0.2500000000,8,balanced,10,779190,0.1787501447,0.1067314486,0.0142368585,0.9853278808,39,13,1099
quality_compliance_025,formulation,TRACE-MOEA,mean,0.2500000000,8,balanced,11,787109,0.1795149262,0.1106829307,0.0139694395,0.9842199311,39,13,1085
quality_compliance_025,formulation,TRACE-MOEA,mean,0.2500000000,8,balanced,12,795028,0.1757381028,0.1017654796,0.0147279322,0.9844543397,39,14,1174
quality_compliance_025,formulation,TRACE-MOEA,mean,0.2500000000,8,balanced,13,802947,0.1794618333,0.1058861558,0.0183446647,0.9850482487,38,14,1201
quality_compliance_025,formulation,TRACE-MOEA,mean,0.2500000000,8,balanced,14,810866,0.1795445362,0.1113928192,0.0156908838,0.9842787613,39,13,1202
quality_compliance_025,formulation,TRACE-MOEA,mean,0.2500000000,8,balanced,15,818785,0.1812160790,0.1085006506,0.0136598993,0.9821521402,38,14,1285
quality_compliance_025,formulation,TRACE-MOEA,mean,0.2500000000,8,balanced,16,826704,0.1778904510,0.0971574376,0.0128955054,0.9848629204,38,14,1190
quality_compliance_025,formulation,TRACE-MOEA,mean,0.2500000000,8,balanced,17,834623,0.1758432400,0.1103015735,0.0142828142,0.9854033159,39,13,1006
quality_compliance_025,formulation,TRACE-MOEA,mean,0.2500000000,8,balanced,18,842542,0.1784863149,0.1076307206,0.0170727565,0.9863126548,38,14,1138
quality_compliance_025,formulation,TRACE-MOEA,mean,0.2500000000,8,balanced,19,850461,0.1787663050,0.1086374741,0.0220582330,0.9859634057,40,12,1172
quality_compliance_025,formulation,TRACE-MOEA,mean,0.2500000000,8,balanced,20,858380,0.1770182506,0.1050957154,0.0276124124,0.9866413740,39,10,1240
quality_compliance_025,formulation,TRACE-MOEA,mean,0.2500000000,8,balanced,21,866299,0.1805969479,0.1074647152,0.0132405053,0.9844761342,38,14,1178
quality_compliance_025,formulation,TRACE-MOEA,mean,0.2500000000,8,balanced,22,874218,0.1762986409,0.1044183434,0.0198971123,0.9852698349,37,13,1218
quality_compliance_025,formulation,TRACE-MOEA,mean,0.2500000000,8,balanced,23,882137,0.1759032828,0.1048105909,0.0153193650,0.9837185063,38,13,1082
quality_compliance_025,formulation,TRACE-MOEA,mean,0.2500000000,8,balanced,24,890056,0.1775505959,0.1082875567,0.0148495907,0.9861091802,38,14,943
quality_compliance_025,formulation,TRACE-MOEA,mean,0.2500000000,8,balanced,25,897975,0.1797180657,0.1092501802,0.0163506019,0.9856023167,38,14,1199
quality_compliance_025,formulation,TRACE-MOEA,mean,0.2500000000,8,balanced,26,905894,0.1793287675,0.1095360171,0.0123878030,0.9858022936,38,13,1149
quality_compliance_025,formulation,TRACE-MOEA,mean,0.2500000000,8,balanced,27,913813,0.1811927030,0.1091809752,0.0152218019,0.9841103708,39,14,1197
quality_compliance_025,formulation,TRACE-MOEA,mean,0.2500000000,8,balanced,28,921732,0.1778037563,0.1117547540,0.0168652863,0.9829062655,37,13,1104
quality_compliance_025,formulation,TRACE-MOEA,mean,0.2500000000,8,balanced,29,929651,0.1787852171,0.1069498307,0.0147069251,0.9845027484,39,12,1142
quality_compliance_075,formulation,TRACE-MOEA,mean,0.7500000000,8,balanced,0,700000,0.1709082378,0.1037156684,0.0164869144,0.9873529059,38,15,1112
quality_compliance_075,formulation,TRACE-MOEA,mean,0.7500000000,8,balanced,1,707919,0.1687993781,0.1022038042,0.0151861462,0.9874267452,39,14,1127
quality_compliance_075,formulation,TRACE-MOEA,mean,0.7500000000,8,balanced,2,715838,0.1701556716,0.0955040638,0.0267892004,0.9859262288,37,10,1256
quality_compliance_075,formulation,TRACE-MOEA,mean,0.7500000000,8,balanced,3,723757,0.1701114180,0.0998357221,0.0133695025,0.9825112215,39,14,1111
quality_compliance_075,formulation,TRACE-MOEA,mean,0.7500000000,8,balanced,4,731676,0.1737360841,0.1019450485,0.0160126807,0.9842863702,39,14,1127
quality_compliance_075,formulation,TRACE-MOEA,mean,0.7500000000,8,balanced,5,739595,0.1723219851,0.1059214924,0.0166175143,0.9844121647,39,14,1072
quality_compliance_075,formulation,TRACE-MOEA,mean,0.7500000000,8,balanced,6,747514,0.1729988748,0.0960450586,0.0141641040,0.9837574283,39,12,1192
quality_compliance_075,formulation,TRACE-MOEA,mean,0.7500000000,8,balanced,7,755433,0.1727258298,0.1063318454,0.0159328540,0.9851073413,39,14,1218
quality_compliance_075,formulation,TRACE-MOEA,mean,0.7500000000,8,balanced,8,763352,0.1728049673,0.1054039913,0.0133858196,0.9862719750,38,14,1304
quality_compliance_075,formulation,TRACE-MOEA,mean,0.7500000000,8,balanced,9,771271,0.1744049882,0.1044171564,0.0209431666,0.9859289786,39,13,1198
quality_compliance_075,formulation,TRACE-MOEA,mean,0.7500000000,8,balanced,10,779190,0.1725883961,0.1035282239,0.0146584523,0.9858343312,40,14,1090
quality_compliance_075,formulation,TRACE-MOEA,mean,0.7500000000,8,balanced,11,787109,0.1713160496,0.1023975648,0.0154756523,0.9850635268,39,13,1147
quality_compliance_075,formulation,TRACE-MOEA,mean,0.7500000000,8,balanced,12,795028,0.1691785402,0.1048833737,0.0135534444,0.9836639246,38,14,1208
quality_compliance_075,formulation,TRACE-MOEA,mean,0.7500000000,8,balanced,13,802947,0.1715107546,0.1030305376,0.0138458652,0.9858319202,39,14,1152
quality_compliance_075,formulation,TRACE-MOEA,mean,0.7500000000,8,balanced,14,810866,0.1706598998,0.1046679194,0.0169462777,0.9881994080,40,15,1122
quality_compliance_075,formulation,TRACE-MOEA,mean,0.7500000000,8,balanced,15,818785,0.1710002218,0.1003531758,0.0157631156,0.9848873097,39,14,1251
quality_compliance_075,formulation,TRACE-MOEA,mean,0.7500000000,8,balanced,16,826704,0.1705130968,0.1048787094,0.0147989729,0.9841591980,39,13,1081
quality_compliance_075,formulation,TRACE-MOEA,mean,0.7500000000,8,balanced,17,834623,0.1712033884,0.0993065322,0.0157919007,0.9849956194,39,14,1064
quality_compliance_075,formulation,TRACE-MOEA,mean,0.7500000000,8,balanced,18,842542,0.1729260490,0.1003095816,0.0140337645,0.9834582460,40,14,1179
quality_compliance_075,formulation,TRACE-MOEA,mean,0.7500000000,8,balanced,19,850461,0.1724606107,0.1018015606,0.0167214111,0.9864887215,38,14,1129
quality_compliance_075,formulation,TRACE-MOEA,mean,0.7500000000,8,balanced,20,858380,0.1706437680,0.1029819002,0.0124285469,0.9845734304,38,14,1215
quality_compliance_075,formulation,TRACE-MOEA,mean,0.7500000000,8,balanced,21,866299,0.1698863958,0.0999926686,0.0132622728,0.9848648421,39,14,1265
quality_compliance_075,formulation,TRACE-MOEA,mean,0.7500000000,8,balanced,22,874218,0.1727849234,0.1058915978,0.0138246701,0.9850465179,39,14,1216
quality_compliance_075,formulation,TRACE-MOEA,mean,0.7500000000,8,balanced,23,882137,0.1718910823,0.1056098798,0.0174841627,0.9843994883,39,14,1223
quality_compliance_075,formulation,TRACE-MOEA,mean,0.7500000000,8,balanced,24,890056,0.1707004501,0.1042735741,0.0136964111,0.9845420142,38,14,1057
quality_compliance_075,formulation,TRACE-MOEA,mean,0.7500000000,8,balanced,25,897975,0.1686246080,0.1029706790,0.0123800822,0.9851635839,38,14,1105
quality_compliance_075,formulation,TRACE-MOEA,mean,0.7500000000,8,balanced,26,905894,0.1739265675,0.1062371475,0.0124091789,0.9834965517,38,14,1054
quality_compliance_075,formulation,TRACE-MOEA,mean,0.7500000000,8,balanced,27,913813,0.1706648938,0.1001000990,0.0124693655,0.9838350448,37,14,1157
quality_compliance_075,formulation,TRACE-MOEA,mean,0.7500000000,8,balanced,28,921732,0.1717165027,0.1074165529,0.0154676632,0.9865307876,39,14,1146
quality_compliance_075,formulation,TRACE-MOEA,mean,0.7500000000,8,balanced,29,929651,0.1749996536,0.1084202259,0.0157913947,0.9843020568,38,14,1142
preferences_k4,preference,TRACE-MOEA,mean,0.5000000000,4,balanced,0,700000,0.1757337777,0.1042150137,0.0126631050,0.9870242462,38,13,1119
preferences_k4,preference,TRACE-MOEA,mean,0.5000000000,4,balanced,1,707919,0.1739130886,0.0990915494,0.0156934592,0.9868939271,39,14,947
preferences_k4,preference,TRACE-MOEA,mean,0.5000000000,4,balanced,2,715838,0.1729628707,0.1058093516,0.0134552532,0.9842039929,39,13,969
preferences_k4,preference,TRACE-MOEA,mean,0.5000000000,4,balanced,3,723757,0.1761521753,0.1090019182,0.0142430852,0.9844414928,38,13,1136
preferences_k4,preference,TRACE-MOEA,mean,0.5000000000,4,balanced,4,731676,0.1751932346,0.1008844221,0.0158335080,0.9839511388,38,14,1023
preferences_k4,preference,TRACE-MOEA,mean,0.5000000000,4,balanced,5,739595,0.1695978251,0.1018312024,0.0186319497,0.9858954056,39,13,950
preferences_k4,preference,TRACE-MOEA,mean,0.5000000000,4,balanced,6,747514,0.1751866399,0.1064879784,0.0144932120,0.9857624772,39,13,987
preferences_k4,preference,TRACE-MOEA,mean,0.5000000000,4,balanced,7,755433,0.1748283577,0.1117199505,0.0149988794,0.9851009604,39,13,1088
preferences_k4,preference,TRACE-MOEA,mean,0.5000000000,4,balanced,8,763352,0.1762268160,0.1027366580,0.0145036812,0.9867701394,37,15,1012
preferences_k4,preference,TRACE-MOEA,mean,0.5000000000,4,balanced,9,771271,0.1738785724,0.1053801682,0.0132667328,0.9842301243,39,14,1013
preferences_k4,preference,TRACE-MOEA,mean,0.5000000000,4,balanced,10,779190,0.1732146169,0.1096285711,0.0152948775,0.9839701620,39,14,963
preferences_k4,preference,TRACE-MOEA,mean,0.5000000000,4,balanced,11,787109,0.1727963718,0.1048279227,0.0173781631,0.9867354303,39,13,941
preferences_k4,preference,TRACE-MOEA,mean,0.5000000000,4,balanced,12,795028,0.1775864078,0.1088497708,0.0137106517,0.9826051075,38,14,962
preferences_k4,preference,TRACE-MOEA,mean,0.5000000000,4,balanced,13,802947,0.1732227527,0.1030399159,0.0142976181,0.9840049788,39,14,961
preferences_k4,preference,TRACE-MOEA,mean,0.5000000000,4,balanced,14,810866,0.1788977843,0.1064853235,0.0153608518,0.9843206199,39,14,924
preferences_k4,preference,TRACE-MOEA,mean,0.5000000000,4,balanced,15,818785,0.1729989141,0.1066601070,0.0126306600,0.9857101817,39,13,919
preferences_k4,preference,TRACE-MOEA,mean,0.5000000000,4,balanced,16,826704,0.1777187225,0.1074103773,0.0129317378,0.9817879640,40,14,1023
preferences_k4,preference,TRACE-MOEA,mean,0.5000000000,4,balanced,17,834623,0.1722277073,0.1056075489,0.0179899460,0.9850693711,39,14,971
