cap,horizon_hours,selection_objective,condition_id,method_role,architecture,retrieval_space,k_neighbors,rank_eligible,run_namespace,n_expected_rows,n_completed_rows,aggregation_status,primary_cap,primary_k,scope,mean_curtailment_mae,sample_sd_curtailment_mae,mean_curtailment_rmse,sample_sd_curtailment_rmse,mean_event_f1,sample_sd_event_f1,mean_event_precision,sample_sd_event_precision,mean_event_recall,sample_sd_event_recall,mean_onset_f1,sample_sd_onset_f1,mean_onset_precision,sample_sd_onset_precision,mean_onset_recall,sample_sd_onset_recall,mean_onset_mae,sample_sd_onset_mae,mean_stress_subset_mae,sample_sd_stress_subset_mae
0.60,1,onset_f1,gru_learned_k16_retrieval,retrieval_only,GRU,learned,16,True,p1_ieee_access_upgrade_v2,10,10,complete,False,False,descriptive_sensitivity,0.0137785856838,0.000258103159328,0.0354602475493,0.000468447330045,0.804876033035,0.00978823762691,0.884868716525,0.00729033778013,0.73828125,0.0151847705595,0.127289307944,0.00365394008661,0.0709963532555,0.00205241083034,0.614705882353,0.0180775381512,0.0692815349764,0.000927765384161,0.0469451240823,0.00083474838501
0.60,1,onset_f1,gru_learned_k32_retrieval,retrieval_only,GRU,learned,32,True,p1_ieee_access_upgrade_v2,10,10,complete,False,False,descriptive_sensitivity,0.0143305926384,0.000312205874203,0.0364247395124,0.000564967100759,0.803896102343,0.0137814072976,0.900793934024,0.0080016674006,0.726171875,0.0229587976832,0.129790652916,0.00529346297751,0.0722797696117,0.00295389769671,0.635294117647,0.0266695500167,0.0694625089583,0.000837316810302,0.0486787770545,0.00102193049473
0.60,1,onset_f1,gru_learned_k4_retrieval,retrieval_only,GRU,learned,4,True,p1_ieee_access_upgrade_v2,10,10,complete,False,False,descriptive_sensitivity,0.013656257229,0.000242360461668,0.0366161507494,0.000525059201487,0.782270721458,0.00592976905838,0.850646580712,0.0114186283549,0.72421875,0.00977863716433,0.113361960225,0.00510435238216,0.0635211194521,0.0028620208765,0.526470588235,0.0248021777269,0.0716840076933,0.00242706033245,0.0467709942957,0.000809229464335
0.60,1,onset_f1,gru_learned_k8_fixed_0_5,mechanism_control,GRU,learned,8,True,p1_ieee_access_upgrade_v2,10,10,complete,False,True,descriptive_sensitivity,0.016800064887,0.00065246213809,0.0360450004956,0.00102893944868,0.76223052956,0.0284356514951,0.917553728275,0.0143247275862,0.653515625,0.0449190442949,0.147739796333,0.00523000403738,0.0806769570983,0.00294579536223,0.876470588235,0.0354842373936,0.0594458354595,0.00190995845043,0.0503859252527,0.00195932486315
0.60,1,onset_f1,gru_learned_k8_fixed_1,mechanism_control,GRU,learned,8,True,p1_ieee_access_upgrade_v2,10,10,complete,False,True,descriptive_sensitivity,0.0214510578767,0.00153285310028,0.0412005819491,0.00275555480904,0.690407561886,0.0763622707365,0.933959986855,0.026785149734,0.554296875,0.0923368978352,0.127585260418,0.00446119449245,0.0685236273589,0.00251345393118,0.925,0.0263523138348,0.0534671633602,0.00237604538023,0.0595660840124,0.00469450622789
0.60,1,onset_f1,gru_learned_k8_retrieval,retrieval_only,GRU,learned,8,True,p1_ieee_access_upgrade_v2,10,10,complete,False,True,descriptive_sensitivity,0.0135202949363,0.000145528303622,0.0354345204773,0.000337462551134,0.795891514251,0.00763843503888,0.871125983248,0.01118688298,0.7328125,0.0133042080984,0.124149459628,0.00379021857632,0.0692980912885,0.00214382228501,0.595588235294,0.0173310485586,0.071122569513,0.00125166803352,0.0460576069088,0.000572111170495
0.60,1,onset_f1,gru_learned_k8_selected_blend,selected_blend,GRU,learned,8,True,p1_ieee_access_upgrade_v2,10,10,complete,False,True,descriptive_sensitivity,0.0214510578767,0.00153285310028,0.0412005819491,0.00275555480904,0.690407561886,0.0763622707365,0.933959986855,0.026785149734,0.554296875,0.0923368978352,0.127585260418,0.00446119449245,0.0685236273589,0.00251345393118,0.925,0.0263523138348,0.0534671633602,0.00237604538023,0.0595660840124,0.00469450622789
0.60,1,onset_f1,gru_randomized_k16_retrieval,attribution_control,GRU-untrained,randomized,16,True,p1_ieee_access_upgrade_v2,10,10,complete,False,False,descriptive_sensitivity,0.0140664917299,0.000335259982972,0.0360681479146,0.000617751397655,0.794207275213,0.00629860928273,0.882268713068,0.00787848638179,0.722265625,0.0117115139697,0.125363661025,0.00422111185893,0.0698589336309,0.00236543703319,0.610294117647,0.0221945714167,0.0697861297146,0.0011013863942,0.0478863828236,0.0010809030326
0.60,1,onset_f1,gru_randomized_k32_retrieval,attribution_control,GRU-untrained,randomized,32,True,p1_ieee_access_upgrade_v2,10,10,complete,False,False,descriptive_sensitivity,0.0146196285222,0.000381785843056,0.0369495111541,0.000657538446873,0.803173998089,0.00938722690374,0.90337702695,0.0128594908425,0.7234375,0.020154971428,0.12795543554,0.00265650350491,0.0712183263068,0.00149428975598,0.629411764706,0.0151881699847,0.0698677655598,0.00100363734405,0.0495860363522,0.00118918864317
0.60,1,onset_f1,gru_randomized_k4_retrieval,attribution_control,GRU-untrained,randomized,4,True,p1_ieee_access_upgrade_v2,10,10,complete,False,False,descriptive_sensitivity,0.01391337904,0.000277855989219,0.0372508019704,0.00056959982264,0.771707790078,0.0110414970114,0.841868780042,0.0138024649481,0.7125,0.0142873611712,0.112092667649,0.00882174295148,0.0628091746109,0.00487008509752,0.520588235294,0.0460888598964,0.0729054780458,0.00216026776826,0.0475401136949,0.000878948064653
0.60,1,onset_f1,gru_randomized_k8_retrieval,attribution_control,GRU-untrained,randomized,8,True,p1_ieee_access_upgrade_v2,10,10,complete,False,True,descriptive_sensitivity,0.0137580226355,0.000255666830255,0.0359358408451,0.000488623009436,0.779588163031,0.00724117992855,0.860198226116,0.0126968917748,0.712890625,0.00828640759203,0.125252399119,0.00508375708367,0.0698473188638,0.0028811430152,0.605882352941,0.0227822549777,0.0714667628938,0.000826804170878,0.0468427962288,0.000840291602641
0.60,1,onset_f1,lstm_head,architecture_head,LSTM,,,True,p1_ieee_access_upgrade_v2,10,10,complete,False,True,descriptive_sensitivity,0.0192597972741,0.000994206771052,0.0364720075047,0.00116816047091,0.789477146811,0.0112391080663,0.916251910665,0.0174860439768,0.69375,0.014754391119,0.125935283271,0.00557988644064,0.0677074902522,0.00318038459164,0.901470588235,0.0302574497292,0.0548430261196,0.00234851183974,0.0507323060972,0.00201587361552
0.60,1,onset_f1,raw_k16_retrieval,attribution_control,none,raw,16,True,p1_ieee_access_upgrade_v2,10,10,complete,False,False,descriptive_sensitivity,0.0247276576437,0,0.0554642436629,0,0.517333333333,0,0.81512605042,0,0.37890625,0,0.120576671035,0,0.0661870503597,1.46284727857e-17,0.676470588235,1.17027782286e-16,0.0534988644112,0,0.0741919737255,0
0.60,1,onset_f1,raw_k32_retrieval,attribution_control,none,raw,32,True,p1_ieee_access_upgrade_v2,10,10,complete,False,False,descriptive_sensitivity,0.0261556336145,0,0.0571364359447,7.31423639287e-18,0.506963788301,1.17027782286e-16,0.883495145631,0,0.35546875,0,0.11013767209,0,0.0601915184679,7.31423639287e-18,0.647058823529,0,0.0501812627513,7.31423639287e-18,0.0767098857205,0
0.60,1,onset_f1,raw_k4_retrieval,attribution_control,none,raw,4,True,p1_ieee_access_upgrade_v2,10,10,complete,False,False,descriptive_sensitivity,0.0238836608924,3.65711819643e-18,0.0563009522861,7.31423639287e-18,0.586797066015,1.17027782286e-16,0.78431372549,1.17027782286e-16,0.46875,0,0.128935532234,0,0.0717863105175,1.46284727857e-17,0.632352941176,0,0.0563971306621,7.31423639287e-18,0.0748527691105,0
0.60,1,onset_f1,raw_k8_retrieval,attribution_control,none,raw,8,True,p1_ieee_access_upgrade_v2,10,10,complete,False,True,descriptive_sensitivity,0.0238095585962,3.65711819643e-18,0.0549911799809,7.31423639287e-18,0.545454545455,1.17027782286e-16,0.771428571429,1.17027782286e-16,0.421875,0,0.118644067797,1.46284727857e-17,0.065625,1.46284727857e-17,0.617647058824,0,0.0533170148383,0,0.0730902463631,0
0.60,1,onset_f1,tcn_head,architecture_head,TCN,,,True,p1_ieee_access_upgrade_v2,10,10,complete,False,True,descriptive_sensitivity,0.0177111677324,0.0024029159716,0.035673751125,0.00310505786175,0.784365593712,0.0286140879601,0.89270980898,0.036259934229,0.702734375,0.0551336587154,0.13548254807,0.0124427992722,0.0738457585442,0.0073050830393,0.829411764706,0.0510369219012,0.0587652175665,0.00412179867681,0.0488958268732,0.00461996498142
0.60,24,mae,Ridge,trained_baseline,linear,,,True,p1_ieee_access_upgrade_v2,1,1,complete,False,True,descriptive_sensitivity,0.0443623375708,0,0.0792487150482,0,0,0,0,0,0,0,0.23143812709,0,0.140422077922,0,0.657794676806,0,0.120414195451,0,0.103665424435,0
0.60,24,mae,dlinear_head,architecture_head,DLinear,,,True,p1_ieee_access_upgrade_v2,10,10,complete,False,True,descriptive_sensitivity,0.0505357563603,0.00185319883313,0.0845052801759,0.00231204159002,0.00375939849624,0.0118882618803,0.05,0.158113883008,0.001953125,0.00617632355502,0.214606846707,0.0100741577024,0.125575730854,0.00532747626784,0.74030418251,0.0681600106349,0.121911195349,0.00323851463658,0.109580339916,0.00283379875424
0.60,24,mae,gru_head,architecture_head,GRU,,,True,p1_ieee_access_upgrade_v2,10,10,complete,False,True,descriptive_sensitivity,0.0457349554979,0.00148806215594,0.0799591636016,0.00110754727655,0.00153256704981,0.00323093502955,0.04,0.0843274042712,0.00078125,0.00164701961467,0.253682199388,0.00814827401898,0.153388321041,0.00471334366602,0.737642585551,0.0666816042482,0.122198455321,0.00428352818823,0.104097256684,0.00225986519297
0.60,24,mae,gru_learned_k16_retrieval,retrieval_only,GRU,learned,16,True,p1_ieee_access_upgrade_v2,10,10,complete,False,False,descriptive_sensitivity,0.0435347067832,0.000280320071455,0.0817714278972,0.000355422757968,0.0181827907522,0.0112060162002,0.140801820728,0.0658999428795,0.009765625,0.00617632355502,0.226082964059,0.00611279105621,0.143125569598,0.00399691182933,0.538022813688,0.0170279199526,0.131569419105,0.000574728829999,0.10607952422,0.000739128661266
0.60,24,mae,gru_learned_k32_retrieval,retrieval_only,GRU,learned,32,True,p1_ieee_access_upgrade_v2,10,10,complete,False,False,descriptive_sensitivity,0.0434166683271,0.000252183516657,0.0805810640948,0.000302577230497,0.0125927882142,0.0158756039739,0.134089769879,0.146709434657,0.006640625,0.00844850426954,0.233290502574,0.0074266853561,0.146419512394,0.00441971624131,0.573764258555,0.0235380019219,0.129451209127,0.000911256077877,0.104974858932,0.00044934368011
0.60,24,mae,gru_learned_k4_retrieval,retrieval_only,GRU,learned,4,True,p1_ieee_access_upgrade_v2,10,10,complete,False,False,descriptive_sensitivity,0.0448520459428,0.000495789671466,0.0885455202502,0.00061636568087,0.0849830029955,0.0264879827775,0.207405075119,0.0522411983702,0.053515625,0.0175708897147,0.195622866798,0.00508292599337,0.131577140053,0.00347910690999,0.381368821293,0.013419174583,0.13582223289,0.00147319847146,0.110718286467,0.00119934544832
0.60,24,mae,gru_learned_k8_fixed_0_5,mechanism_control,GRU,learned,8,True,p1_ieee_access_upgrade_v2,10,10,complete,False,True,descriptive_sensitivity,0.0445864987848,0.000715825697155,0.0804695310911,0.000728086935192,0.00520804532157,0.00786629638298,0.0603174603176,0.0870366349842,0.002734375,0.00413808556825,0.242337931189,0.0082590384708,0.151009377526,0.00506131806871,0.613688212928,0.0290238043832,0.127211973137,0.00241034569394,0.105209572298,0.00134724683835
0.60,24,mae,gru_learned_k8_fixed_1,mechanism_control,GRU,learned,8,True,p1_ieee_access_upgrade_v2,10,10,complete,False,True,descriptive_sensitivity,0.0457349554979,0.00148806215594,0.0799591636016,0.00110754727655,0.00153256704981,0.00323093502955,0.04,0.0843274042712,0.00078125,0.00164701961467,0.253682199388,0.00814827401898,0.153388321041,0.00471334366602,0.737642585551,0.0666816042482,0.122198455321,0.00428352818823,0.104097256684,0.00225986519297
0.60,24,mae,gru_learned_k8_retrieval,retrieval_only,GRU,learned,8,True,p1_ieee_access_upgrade_v2,10,10,complete,False,True,descriptive_sensitivity,0.0438427457439,0.000393878598277,0.0839168832918,0.000573278582838,0.0670941221523,0.0102501381235,0.240035840212,0.0248441060826,0.0390625,0.0063788795385,0.210871385309,0.00593991526969,0.136666881903,0.00348231224994,0.461596958175,0.0195693374558,0.133112477379,0.00111603217813,0.107476383967,0.000813982982338
0.60,24,mae,gru_learned_k8_selected_blend,selected_blend,GRU,learned,8,True,p1_ieee_access_upgrade_v2,10,10,complete,False,True,descriptive_sensitivity,0.0438427457439,0.000393878598277,0.0839168832918,0.000573278582838,0.0670941221523,0.0102501381235,0.240035840212,0.0248441060826,0.0390625,0.0063788795385,0.210871385309,0.00593991526969,0.136666881903,0.00348231224994,0.461596958175,0.0195693374558,0.133112477379,0.00111603217813,0.107476383967,0.000813982982338
0.60,24,mae,gru_randomized_k16_retrieval,attribution_control,GRU-untrained,randomized,16,True,p1_ieee_access_upgrade_v2,10,10,complete,False,False,descriptive_sensitivity,0.0435971426041,0.000186911694499,0.0815124400908,0.00025782275481,0.0155702392442,0.00731470768335,0.156216308202,0.06948690854,0.008203125,0.00388448799223,0.22545910635,0.00664804824494,0.142063847071,0.00404589191878,0.546007604563,0.0191545099997,0.131326985552,0.000965317853186,0.105904688498,0.000470588192228
0.60,24,mae,gru_randomized_k32_retrieval,attribution_control,GRU-untrained,randomized,32,True,p1_ieee_access_upgrade_v2,10,10,complete,False,False,descriptive_sensitivity,0.0435742002913,0.000205550297114,0.0805109910784,0.000222062485102,0.00597121240726,0.00765602197335,0.0743055555556,0.0888147115265,0.003125,0.0040343576523,0.236285832143,0.00819174578074,0.148083945918,0.00490101861494,0.584410646388,0.0247748774915,0.12968418434,0.000969528949971,0.105146566776,0.000438331405028
0.60,24,mae,gru_randomized_k4_retrieval,attribution_control,GRU-untrained,randomized,4,True,p1_ieee_access_upgrade_v2,10,10,complete,False,False,descriptive_sensitivity,0.0449745223875,0.000395589972561,0.0884179312082,0.000451376210628,0.0815062036546,0.0157124861829,0.213690148982,0.0408903441834,0.050390625,0.00982188654461,0.198790211924,0.0109789775759,0.133075269919,0.00738063782595,0.392775665399,0.0219561401603,0.136482138921,0.00143453172382,0.111161672482,0.000808728436426
0.60,24,mae,gru_randomized_k8_retrieval,attribution_control,GRU-untrained,randomized,8,True,p1_ieee_access_upgrade_v2,10,10,complete,False,True,descriptive_sensitivity,0.0439140204228,0.000319649534126,0.0836239438197,0.000386690906581,0.070293158253,0.0149920091037,0.264010776504,0.0410770528885,0.040625,0.00924387466109,0.212990676503,0.00743102610617,0.137544258954,0.00470272742532,0.471863117871,0.0190071816174,0.133039769024,0.000700976548687,0.107235270517,0.000439196220956
0.60,24,mae,lstm_head,architecture_head,LSTM,,,True,p1_ieee_access_upgrade_v2,10,10,complete,False,True,descriptive_sensitivity,0.0438913199469,0.00103734005146,0.0801227765505,0.00194199373121,0.0706848620383,0.092809263189,0.305148683946,0.2389992005,0.04296875,0.060121856149,0.26789101138,0.00968612636143,0.16554480546,0.00695490082022,0.704182509506,0.0399511042938,0.120879651775,0.00348660390494,0.101805159049,0.00428713706761
0.60,24,mae,raw_k16_retrieval,attribution_control,none,raw,16,True,p1_ieee_access_upgrade_v2,10,10,complete,False,False,descriptive_sensitivity,0.0405875554687,7.31423639287e-18,0.0773609704248,1.46284727857e-17,0.132867132867,2.92569455715e-17,0.633333333333,0,0.07421875,0,0.264860797592,0,0.165103189493,0,0.669201520913,0,0.116537419511,1.46284727857e-17,0.096687167452,0
