dataset,horizon_hours,method,method_role,seed,curtailment_mae,curtailment_rmse,event_recall,event_precision,event_f1,onset_f1,onset_precision,onset_recall,onset_mae,cessation_f1,detection_threshold,n_onsets_test,stress_subset_mae,n_test,n_events,runtime_s,source_status
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,DLinear,baseline,1,0.02305454,0.04207339,0.282895,0.754386,0.411483,0.128603,0.073604,0.508772,0.04243558,0.023570,0.060149,57,0.05269641,2628,152,0.3413,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,DLinear,baseline,2,0.02106090,0.04182543,0.157895,0.888889,0.268156,0.122186,0.074803,0.333333,0.04218229,0.031263,0.060236,57,0.04898208,2628,152,0.3543,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,DLinear,baseline,3,0.02177785,0.04107131,0.157895,0.750000,0.260870,0.124675,0.073171,0.421053,0.04227384,0.021213,0.057251,57,0.04891169,2628,152,0.3377,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,DLinear,baseline,4,0.02322555,0.04367765,0.078947,0.631579,0.140351,0.080321,0.052083,0.175439,0.04015307,0.032090,0.070641,57,0.05092234,2628,152,0.3522,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,DLinear,baseline,5,0.01987928,0.03978173,0.105263,0.800000,0.186047,0.155136,0.088095,0.649123,0.03744761,0.020309,0.047446,57,0.04740069,2628,152,0.3406,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,DLinear,baseline,6,0.02335204,0.04326284,0.210526,0.640000,0.316832,0.125984,0.070953,0.561404,0.04303451,0.025067,0.054185,57,0.05056191,2628,152,0.3430,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,DLinear,baseline,7,0.01975014,0.04088785,0.085526,0.866667,0.155689,0.119874,0.073077,0.333333,0.03866965,0.028041,0.053033,57,0.04634658,2628,152,0.3539,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,DLinear,baseline,8,0.02304072,0.04181529,0.105263,0.842105,0.187135,0.112745,0.065527,0.403509,0.03773043,0.023993,0.058297,57,0.05181902,2628,152,0.3359,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,DLinear,baseline,9,0.02271702,0.04263119,0.151316,0.793103,0.254144,0.106312,0.058716,0.561404,0.04398381,0.022430,0.042786,57,0.05022672,2628,152,0.3495,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,TCN,baseline,0,0.00803333,0.02279279,0.631579,0.761905,0.690647,0.176611,0.102210,0.649123,0.04864837,0.012914,0.019768,57,0.02177275,2628,152,2.5273,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,TCN,baseline,1,0.00708542,0.02278219,0.598684,0.819820,0.692015,0.181347,0.106383,0.614035,0.05175880,0.022071,0.014593,57,0.02030633,2628,152,2.5149,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,TCN,baseline,2,0.00810442,0.02273897,0.677632,0.786260,0.727915,0.171021,0.098901,0.631579,0.04974360,0.010340,0.015173,57,0.02095614,2628,152,2.5314,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,TCN,baseline,3,0.00849818,0.02568028,0.493421,0.872093,0.630252,0.108883,0.065068,0.333333,0.05705509,0.025909,0.014776,57,0.02297694,2628,152,2.5280,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,TCN,baseline,4,0.00831480,0.02230018,0.703947,0.786765,0.743056,0.174334,0.101124,0.631579,0.04532223,0.014599,0.026541,57,0.02193847,2628,152,2.5342,public_rts_curtailment_v6_modern_temporal_controls
