dataset,horizon_hours,method,method_role,seed,curtailment_mae,curtailment_rmse,event_recall,event_precision,event_f1,onset_f1,onset_precision,onset_recall,onset_mae,cessation_f1,detection_threshold,n_onsets_test,stress_subset_mae,n_test,n_events,runtime_s,source_status
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,Ablation-SmallBank,ablation,2,0.01534389,0.05431868,0.000000,0.000000,0.000000,0.122857,0.065449,1.000000,0.13239732,0.000000,0.000000,172,0.04431182,2628,150,5.6696,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,Ablation-SmallBank,ablation,3,0.01534389,0.05431868,0.000000,0.000000,0.000000,0.122857,0.065449,1.000000,0.13239732,0.000000,0.000000,172,0.04431182,2628,150,5.7418,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,Ablation-SmallBank,ablation,4,0.01534389,0.05431868,0.000000,0.000000,0.000000,0.122857,0.065449,1.000000,0.13239732,0.000000,0.000000,172,0.04431182,2628,150,5.6907,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,Ablation-SmallBank,ablation,5,0.01534389,0.05431868,0.000000,0.000000,0.000000,0.122857,0.065449,1.000000,0.13239732,0.000000,0.000000,172,0.04431182,2628,150,5.6283,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,Ablation-SmallBank,ablation,6,0.01534389,0.05431868,0.000000,0.000000,0.000000,0.122857,0.065449,1.000000,0.13239732,0.000000,0.000000,172,0.04431182,2628,150,5.7548,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,Ablation-SmallBank,ablation,7,0.01534389,0.05431868,0.000000,0.000000,0.000000,0.122857,0.065449,1.000000,0.13239732,0.000000,0.000000,172,0.04431182,2628,150,5.7342,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,Ablation-SmallBank,ablation,8,0.01534389,0.05431868,0.000000,0.000000,0.000000,0.122857,0.065449,1.000000,0.13239732,0.000000,0.000000,172,0.04431182,2628,150,5.6980,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,Ablation-SmallBank,ablation,9,0.01534389,0.05431868,0.000000,0.000000,0.000000,0.122857,0.065449,1.000000,0.13239732,0.000000,0.000000,172,0.04431182,2628,150,5.7782,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,Ablation-LSTMEncoder,ablation,0,0.02036830,0.05033502,0.033333,0.263158,0.059172,0.164557,0.129139,0.226744,0.11184441,0.064956,0.036909,172,0.04644896,2628,150,3.9597,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,Ablation-LSTMEncoder,ablation,1,0.01948564,0.04983654,0.106667,0.432432,0.171123,0.187617,0.138504,0.290698,0.11155807,0.070637,0.029087,172,0.04375054,2628,150,3.9168,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,Ablation-LSTMEncoder,ablation,2,0.02058093,0.05093648,0.033333,0.263158,0.059172,0.163866,0.128289,0.226744,0.11080501,0.064205,0.034940,172,0.04635114,2628,150,3.9444,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,Ablation-LSTMEncoder,ablation,3,0.02038951,0.05061033,0.006667,0.066667,0.012121,0.175732,0.137255,0.244186,0.11051012,0.061847,0.035494,172,0.04619303,2628,150,3.9474,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,Ablation-LSTMEncoder,ablation,4,0.02033142,0.05027698,0.013333,0.133333,0.024242,0.157447,0.124161,0.215116,0.11130156,0.065653,0.036925,172,0.04626651,2628,150,3.9217,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,Ablation-LSTMEncoder,ablation,5,0.01952633,0.04997536,0.086667,0.371429,0.140541,0.179104,0.156522,0.209302,0.10583168,0.085737,0.044166,172,0.04367650,2628,150,3.9242,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,Ablation-LSTMEncoder,ablation,6,0.02047171,0.05171520,0.020000,0.142857,0.035088,0.137615,0.113636,0.174419,0.11472142,0.077409,0.036969,172,0.04580672,2628,150,3.8974,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,Ablation-LSTMEncoder,ablation,7,0.02104580,0.05143287,0.006667,0.058824,0.011976,0.171756,0.127841,0.261628,0.11145776,0.061375,0.030939,172,0.04725339,2628,150,3.9506,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,Ablation-LSTMEncoder,ablation,8,0.02045003,0.05148400,0.086667,0.325000,0.136842,0.171908,0.134426,0.238372,0.11082010,0.069049,0.037587,172,0.04536870,2628,150,3.9493,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,Ablation-LSTMEncoder,ablation,9,0.02059686,0.05131589,0.020000,0.111111,0.033898,0.177866,0.134731,0.261628,0.11228677,0.068237,0.031515,172,0.04561372,2628,150,3.9670,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,Ablation-NoTopology,ablation,0,0.01963585,0.04956573,0.053333,0.333333,0.091954,0.169697,0.130031,0.244186,0.11090979,0.063890,0.030550,172,0.04458017,2628,150,6.6122,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,Ablation-NoTopology,ablation,1,0.02057334,0.05042086,0.020000,0.157895,0.035503,0.191235,0.145455,0.279070,0.11035364,0.060827,0.036285,172,0.04613447,2628,150,6.6210,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,Ablation-NoTopology,ablation,2,0.02060726,0.05089988,0.020000,0.150000,0.035294,0.179389,0.133523,0.273256,0.11179472,0.056465,0.030414,172,0.04647286,2628,150,6.5555,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,Ablation-NoTopology,ablation,3,0.02071744,0.05038366,0.020000,0.150000,0.035294,0.186047,0.139535,0.279070,0.10953535,0.058728,0.031976,172,0.04648724,2628,150,6.5822,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,Ablation-NoTopology,ablation,4,0.02044506,0.05034848,0.026667,0.166667,0.045977,0.174081,0.130435,0.261628,0.11038077,0.061200,0.030939,172,0.04595563,2628,150,6.6108,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,Ablation-NoTopology,ablation,5,0.02033361,0.05010879,0.040000,0.285714,0.070175,0.172131,0.132911,0.244186,0.11083824,0.062903,0.036254,172,0.04573747,2628,150,6.6839,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,Ablation-NoTopology,ablation,6,0.02032822,0.05062821,0.033333,0.208333,0.057471,0.155606,0.128302,0.197674,0.11335715,0.078230,0.040354,172,0.04549453,2628,150,6.6316,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,Ablation-NoTopology,ablation,7,0.02055008,0.05031464,0.046667,0.291667,0.080460,0.179775,0.132597,0.279070,0.11088025,0.057518,0.031896,172,0.04618226,2628,150,6.6407,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,Ablation-NoTopology,ablation,8,0.02039567,0.05001787,0.046667,0.333333,0.081871,0.170778,0.126761,0.261628,0.11012707,0.059812,0.031950,172,0.04583561,2628,150,6.6406,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,Ablation-NoTopology,ablation,9,0.01987976,0.04971422,0.046667,0.350000,0.082353,0.173729,0.136667,0.238372,0.11065813,0.068109,0.036248,172,0.04507152,2628,150,6.5896,public_rts_curtailment_v6_modern_temporal_controls
