upstream_seed,downstream_seed,mode,k,n,mean_f1
3104,2026,full,3,1500,0.49056572642470475
3104,2026,full,5,1500,0.4151944557621029
3104,2026,full,10,1500,0.35649761491092247
3104,2026,no_role,1,1500,0.6721703030085384
3104,2026,no_role,3,1500,0.484040858699837
3104,2026,no_role,5,1500,0.4124698094933389
3104,2026,no_role,10,1500,0.35624390526544814
3104,2027,bm25,1,1500,0.6993632563514915
3104,2027,bm25,3,1500,0.4864023951739122
3104,2027,bm25,5,1500,0.4109063483357601
3104,2027,bm25,10,1500,0.3529582574411935
3104,2027,full,1,1500,0.6774328330710684
3104,2027,full,3,1500,0.4939708342798126
3104,2027,full,5,1500,0.41512508994273706
3104,2027,full,10,1500,0.35598315782804435
3104,2027,no_role,1,1500,0.6721703030085384
3104,2027,no_role,3,1500,0.484040858699837
3104,2027,no_role,5,1500,0.4124698094933389
3104,2027,no_role,10,1500,0.35624390526544814
3104,2028,bm25,1,1500,0.6993632563514915
3104,2028,bm25,3,1500,0.4864023951739122
3104,2028,bm25,5,1500,0.4109063483357601
3104,2028,bm25,10,1500,0.3529582574411935
3104,2028,full,1,1500,0.6648893987276341
3104,2028,full,3,1500,0.49091924197233794
3104,2028,full,5,1500,0.41530790973732157
3104,2028,full,10,1500,0.3559654866103731
3104,2028,no_role,1,1500,0.6721703030085384
3104,2028,no_role,3,1500,0.484040858699837
3104,2028,no_role,5,1500,0.4124698094933389
3104,2028,no_role,10,1500,0.35624390526544814
3104,2029,bm25,1,1500,0.6993632563514915
3104,2029,bm25,3,1500,0.4864023951739122
3104,2029,bm25,5,1500,0.4109063483357601
3104,2029,bm25,10,1500,0.3529582574411935
3104,2029,full,1,1500,0.6694449542831896
3104,2029,full,3,1500,0.49027442883340716
3104,2029,full,5,1500,0.41396681804034746
3104,2029,full,10,1500,0.35597466853955506
3104,2029,no_role,1,1500,0.6721703030085384
3104,2029,no_role,3,1500,0.484040858699837
3104,2029,no_role,5,1500,0.4124698094933389
3104,2029,no_role,10,1500,0.35624390526544814
3104,2030,bm25,1,1500,0.6993632563514915
3104,2030,bm25,3,1500,0.4864023951739122
3104,2030,bm25,5,1500,0.4109063483357601
3104,2030,bm25,10,1500,0.3529582574411935
3104,2030,full,1,1500,0.6752050552932906
3104,2030,full,3,1500,0.4906075919665703
3104,2030,full,5,1500,0.4166309150544445
3104,2030,full,10,1500,0.3566977747307619
3104,2030,no_role,1,1500,0.6721703030085384
3104,2030,no_role,3,1500,0.484040858699837
3104,2030,no_role,5,1500,0.4124698094933389
3104,2030,no_role,10,1500,0.35624390526544814
3105,2026,bm25,1,1500,0.6993632563514915
3105,2026,bm25,3,1500,0.4864023951739122
3105,2026,bm25,5,1500,0.4109063483357601
3105,2026,bm25,10,1500,0.3529582574411935
3105,2026,full,1,1500,0.6781190283572636
3105,2026,full,3,1500,0.4922987674577458
3105,2026,full,5,1500,0.4146099772776244
3105,2026,full,10,1500,0.35607145563045983
3105,2026,no_role,1,1500,0.6721703030085384
3105,2026,no_role,3,1500,0.484040858699837
3105,2026,no_role,5,1500,0.4124698094933389
3105,2026,no_role,10,1500,0.35624390526544814
3105,2027,bm25,1,1500,0.6993632563514915
3105,2027,bm25,3,1500,0.4864023951739122
3105,2027,bm25,5,1500,0.4109063483357601
3105,2027,bm25,10,1500,0.3529582574411935
3105,2027,full,1,1500,0.6655282876165229
3105,2027,full,3,1500,0.4914626813216596
3105,2027,full,5,1500,0.41501525348290064
3105,2027,full,10,1500,0.35599120786767335
3105,2027,no_role,1,1500,0.6721703030085384
3105,2027,no_role,3,1500,0.484040858699837
3105,2027,no_role,5,1500,0.4124698094933389
3105,2027,no_role,10,1500,0.35624390526544814
3105,2028,bm25,1,1500,0.6993632563514915
3105,2028,bm25,3,1500,0.4864023951739122
3105,2028,bm25,5,1500,0.4109063483357601
3105,2028,bm25,10,1500,0.3529582574411935
3105,2028,full,1,1500,0.6742772775155128
3105,2028,full,3,1500,0.4901360486950271
3105,2028,full,5,1500,0.415759697927345
3105,2028,full,10,1500,0.35626363475852124
3105,2028,no_role,1,1500,0.6721703030085384
3105,2028,no_role,3,1500,0.484040858699837
3105,2028,no_role,5,1500,0.4124698094933389
3105,2028,no_role,10,1500,0.35624390526544814
3105,2029,bm25,1,1500,0.6993632563514915
3105,2029,bm25,3,1500,0.4864023951739122
3105,2029,bm25,5,1500,0.4109063483357601
3105,2029,bm25,10,1500,0.3529582574411935
3105,2029,full,1,1500,0.6665661664044017
3105,2029,full,3,1500,0.4891581895171679
3105,2029,full,5,1500,0.4144040992776287
3105,2029,full,10,1500,0.35657111178441936
3105,2029,no_role,1,1500,0.6721703030085384
3105,2029,no_role,3,1500,0.484040858699837
3105,2029,no_role,5,1500,0.4124698094933389
3105,2029,no_role,10,1500,0.35624390526544814
3105,2030,bm25,1,1500,0.6993632563514915
3105,2030,bm25,3,1500,0.4864023951739122
3105,2030,bm25,5,1500,0.4109063483357601
3105,2030,bm25,10,1500,0.3529582574411935
3105,2030,full,1,1500,0.6750939441821795
3105,2030,full,3,1500,0.4934425704956664
3105,2030,full,5,1500,0.41688918456271395
3105,2030,full,10,1500,0.3562392315215793
3105,2030,no_role,1,1500,0.6721703030085384
3105,2030,no_role,3,1500,0.484040858699837
3105,2030,no_role,5,1500,0.4124698094933389
3105,2030,no_role,10,1500,0.35624390526544814
