paper,experiment_id,comparison,opponent,opponent_role,inference_status,n_proposed,n_opponent_effective,mean_proposed,mean_opponent,mean_difference,relative_difference_pct,rank_biserial,mean_diff_ci_low,mean_diff_ci_high,p_raw,p_holm_stochastic_family,significant_005_holm,p_holm_across_scenarios,significant_005_cross_scenario
p4,load_uncertainty,SHIELD-MOEA vs Ablation-NoRepair,Ablation-NoRepair,ablation,inferential_stochastic,30,30,0.26210522566666666,0.23875201599999998,0.02335320966666668,9.78136648138992,0.9288888888888889,0.017423547166666695,0.029660929783333324,6.72195435841357e-10,4.033172615048142e-09,True,4.033172615048142e-09,True
p4,outage_contingency,SHIELD-MOEA vs Ablation-NoRepair,Ablation-NoRepair,ablation,inferential_stochastic,30,30,0.2698180413333333,0.24632332299999998,0.02349471833333333,9.538162301153008,0.9422222222222223,0.019043566783333278,0.027999852616666668,3.8201597819993253e-10,2.292095869199595e-09,True,2.6741118473995275e-09,True
p4,pareto_quality,SHIELD-MOEA vs Ablation-NoRepair,Ablation-NoRepair,ablation,inferential_stochastic,30,30,0.266516282,0.2435948533333333,0.022921428666666688,9.409652278367787,0.8600000000000001,0.017295295691666723,0.028568542649999973,1.1023399461097623e-08,6.614039676658574e-08,True,3.307019838329287e-08,True
p4,restoration_aware_evaluation,SHIELD-MOEA vs Ablation-NoRepair,Ablation-NoRepair,ablation,inferential_stochastic,30,30,0.338779529,0.31941476266666663,0.019364766333333394,6.062577124383561,0.9155555555555555,0.015119424283333186,0.02393204152499998,1.173735436185757e-09,7.042412617114542e-09,True,5.868677180928784e-09,True
p4,scenario_screening_efficiency,SHIELD-MOEA vs Ablation-NoRepair,Ablation-NoRepair,ablation,inferential_stochastic,30,30,0.267026305,0.2434679366666667,0.02355836833333333,9.676168720970946,0.8333333333333333,0.017614444316666627,0.029046450266666708,3.0810543518021204e-08,1.8486326110812722e-07,True,6.162108703604241e-08,True
p4,unseen_stress_generalization,SHIELD-MOEA vs Ablation-NoRepair,Ablation-NoRepair,ablation,inferential_stochastic,30,30,0.24649823900000004,0.22887544100000004,0.017622797999999995,7.699733061355407,0.6355555555555557,0.010606784174999944,0.0243438731416667,2.4327116616469627e-05,0.00014596269969881776,True,2.4327116616469627e-05,True
p4,der_uncertainty,SHIELD-MOEA vs Ablation-NoScenarioScreen,Ablation-NoScenarioScreen,ablation,inferential_stochastic,30,30,0.2713664606666667,0.26835890166666665,0.0030075590000000485,1.1207226521353864,0.24,0.00014491875833337332,0.006004898183333346,0.11198687208268976,0.1262004639715069,False,0.7839081045788283,False
p4,deterministic_vs_scenario,SHIELD-MOEA vs Ablation-NoScenarioScreen,Ablation-NoScenarioScreen,ablation,inferential_stochastic,30,30,0.26958534833333325,0.26564326066666666,0.003942087666666594,1.4839780451321838,0.3222222222222222,9.800959999997362e-05,0.007750424166666702,0.03265093917842125,0.09795281753526375,False,0.26120751342737,False
p4,load_uncertainty,SHIELD-MOEA vs Ablation-NoScenarioScreen,Ablation-NoScenarioScreen,ablation,inferential_stochastic,30,30,0.26210522566666666,0.258710919,0.00339430666666668,1.3120075023453914,0.18222222222222229,-0.0003270362750000741,0.007329128583333346,0.22823006680742364,0.557300568894647,False,1.0,False
p4,outage_contingency,SHIELD-MOEA vs Ablation-NoScenarioScreen,Ablation-NoScenarioScreen,ablation,inferential_stochastic,30,30,0.2698180413333333,0.268991024,0.0008270173333332909,0.30745164691194926,0.08666666666666667,-0.0029880095333333924,0.004674750750000005,0.5692201637415295,1.0,False,1.0,False
p4,pareto_quality,SHIELD-MOEA vs Ablation-NoScenarioScreen,Ablation-NoScenarioScreen,ablation,inferential_stochastic,30,30,0.266516282,0.26658451833333335,-6.823633333336021e-05,-0.025596510164949127,-0.020000000000000018,-0.005116681991666636,0.00500804192500005,0.8999950372363642,1.0,False,1.0,False
p4,restoration_aware_evaluation,SHIELD-MOEA vs Ablation-NoScenarioScreen,Ablation-NoScenarioScreen,ablation,inferential_stochastic,30,30,0.338779529,0.33585288100000005,0.002926647999999976,0.8714077399859965,0.2333333333333334,-0.0005412276750001319,0.0063108031000000215,0.12235292584474146,0.24470585168948292,False,0.7839081045788283,False
p4,scenario_screening_efficiency,SHIELD-MOEA vs Ablation-NoScenarioScreen,Ablation-NoScenarioScreen,ablation,inferential_stochastic,30,30,0.267026305,0.26929000066666664,-0.002263695666666621,-0.8406163099493158,-0.16666666666666663,-0.006471901783333274,0.0015832298250000603,0.2707053377245183,0.5414106754490366,False,1.0,False
p4,unseen_stress_generalization,SHIELD-MOEA vs Ablation-NoScenarioScreen,Ablation-NoScenarioScreen,ablation,inferential_stochastic,30,30,0.24649823900000004,0.24782774200000002,-0.001329502999999982,-0.5364625401784062,0.07333333333333325,-0.007676845574999964,0.004528691391666743,0.6308762921617199,1.0,False,1.0,False
