run_namespace,cap,horizon_hours,method,method_role,selection_objective,blend_mode,alpha_head,checkpoint_epoch,ridge_lambda,seed_index,seed,runtime_s,curtailment_mae,curtailment_rmse,event_f1,event_precision,event_recall,onset_f1,onset_precision,onset_recall,onset_mae,stress_subset_mae,detection_threshold,threshold_status,n_fit,n_selection,n_calibration,n_test,n_onsets_selection,n_onsets_calibration,n_onsets_test,n_events_test
p1_s3_fair_v1,0.70,1,GRU-LSR-Fixed1,mechanism_control,onset_f1,fixed_1,1.000000,5,NA,1,23,0.650457,0.0161120383,0.0351990479,0.3874345550,0.9487179487,0.2434210526,0.1345646438,0.0727532097,0.8947368421,0.0430290345,0.0474718907,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR,proposed,mae,selected,0.000000,15,NA,2,47,0.600663,0.0078391591,0.0256274392,0.6793893130,0.8090909091,0.5855263158,0.1391752577,0.0815709970,0.4736842105,0.0498102216,0.0278074524,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR-Fixed0,mechanism_control,mae,fixed_0,0.000000,15,NA,2,47,0.600663,0.0078391591,0.0256274392,0.6793893130,0.8090909091,0.5855263158,0.1391752577,0.0815709970,0.4736842105,0.0498102216,0.0278074524,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR-Fixed0.5,mechanism_control,mae,fixed_0.5,0.500000,15,NA,2,47,0.600663,0.0101044836,0.0258527263,0.6896551724,0.8256880734,0.5921052632,0.1702127660,0.0956521739,0.7719298246,0.0434915178,0.0327383394,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR-Fixed1,mechanism_control,mae,fixed_1,1.000000,15,NA,2,47,0.600663,0.0128244497,0.0284262208,0.7027027027,0.8504672897,0.5986842105,0.1640378549,0.0901213172,0.9122807018,0.0414021838,0.0392752511,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR,proposed,onset_f1,selected,1.000000,5,NA,2,47,0.621199,0.0149127223,0.0346937719,0.5000000000,0.8833333333,0.3486842105,0.1434977578,0.0784313725,0.8421052632,0.0434693682,0.0459987557,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR-Fixed0,mechanism_control,onset_f1,fixed_0,0.000000,5,NA,2,47,0.621199,0.0079676229,0.0259252891,0.6692307692,0.8055555556,0.5723684211,0.1417721519,0.0828402367,0.4912280702,0.0499766176,0.0282575023,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR-Fixed0.5,mechanism_control,onset_f1,fixed_0.5,0.500000,5,NA,2,47,0.621199,0.0111517398,0.0287917051,0.6693877551,0.8817204301,0.5394736842,0.1590909091,0.0891719745,0.7368421053,0.0445937618,0.0361030975,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR-Fixed1,mechanism_control,onset_f1,fixed_1,1.000000,5,NA,2,47,0.621199,0.0149127223,0.0346937719,0.5000000000,0.8833333333,0.3486842105,0.1434977578,0.0784313725,0.8421052632,0.0434693682,0.0459987557,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR,proposed,mae,selected,0.000000,20,NA,3,59,0.574947,0.0076889102,0.0255177639,0.6819923372,0.8165137615,0.5855263158,0.1696658098,0.0993975904,0.5789473684,0.0475433726,0.0272504532,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR-Fixed0,mechanism_control,mae,fixed_0,0.000000,20,NA,3,59,0.574947,0.0076889102,0.0255177639,0.6819923372,0.8165137615,0.5855263158,0.1696658098,0.0993975904,0.5789473684,0.0475433726,0.0272504532,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR-Fixed0.5,mechanism_control,mae,fixed_0.5,0.500000,20,NA,3,59,0.574947,0.0093975612,0.0248475611,0.6940298507,0.8017241379,0.6118421053,0.1650294695,0.0929203540,0.7368421053,0.0416671298,0.0316604555,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR-Fixed1,mechanism_control,mae,fixed_1,1.000000,20,NA,3,59,0.574947,0.0114947262,0.0267055490,0.7200000000,0.8048780488,0.6513157895,0.1674418605,0.0918367347,0.9473684211,0.0404679455,0.0374589948,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR,proposed,onset_f1,selected,1.000000,5,NA,3,59,0.595274,0.0145861272,0.0317206157,0.6953125000,0.8557692308,0.5855263158,0.1440443213,0.0781954887,0.9122807018,0.0439453907,0.0452648238,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR-Fixed0,mechanism_control,onset_f1,fixed_0,0.000000,5,NA,3,59,0.595274,0.0077874311,0.0257382040,0.6870229008,0.8181818182,0.5921052632,0.1589743590,0.0930930931,0.5438596491,0.0492518834,0.0276069766,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR-Fixed0.5,mechanism_control,onset_f1,fixed_0.5,0.500000,5,NA,3,59,0.595274,0.0109324210,0.0271142182,0.6923076923,0.8333333333,0.5921052632,0.1646234676,0.0914396887,0.8245614035,0.0427953744,0.0355388774,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR-Fixed1,mechanism_control,onset_f1,fixed_1,1.000000,5,NA,3,59,0.595274,0.0145861272,0.0317206157,0.6953125000,0.8557692308,0.5855263158,0.1440443213,0.0781954887,0.9122807018,0.0439453907,0.0452648238,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR,proposed,mae,selected,0.000000,5,NA,4,71,0.634743,0.0078676974,0.0259062918,0.6769230769,0.8148148148,0.5789473684,0.1367088608,0.0798816568,0.4736842105,0.0500443578,0.0279582010,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR-Fixed0,mechanism_control,mae,fixed_0,0.000000,5,NA,4,71,0.634743,0.0078676974,0.0259062918,0.6769230769,0.8148148148,0.5789473684,0.1367088608,0.0798816568,0.4736842105,0.0500443578,0.0279582010,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR-Fixed0.5,mechanism_control,mae,fixed_0.5,0.500000,5,NA,4,71,0.634743,0.0118485362,0.0283953863,0.6666666667,0.8556701031,0.5460526316,0.1549295775,0.0861056751,0.7719298246,0.0438191910,0.0370478977,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR-Fixed1,mechanism_control,mae,fixed_1,1.000000,5,NA,4,71,0.634743,0.0164943409,0.0349443365,0.4444444444,0.9565217391,0.2894736842,0.1369509044,0.0739191074,0.9298245614,0.0432137142,0.0485134012,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR,proposed,onset_f1,selected,1.000000,5,NA,4,71,0.655896,0.0164943409,0.0349443365,0.4444444444,0.9565217391,0.2894736842,0.1369509044,0.0739191074,0.9298245614,0.0432137142,0.0485134012,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR-Fixed0,mechanism_control,onset_f1,fixed_0,0.000000,5,NA,4,71,0.655896,0.0078676974,0.0259062918,0.6769230769,0.8148148148,0.5789473684,0.1367088608,0.0798816568,0.4736842105,0.0500443578,0.0279582010,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR-Fixed0.5,mechanism_control,onset_f1,fixed_0.5,0.500000,5,NA,4,71,0.655896,0.0118485362,0.0283953863,0.6666666667,0.8556701031,0.5460526316,0.1549295775,0.0861056751,0.7719298246,0.0438191910,0.0370478977,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR-Fixed1,mechanism_control,onset_f1,fixed_1,1.000000,5,NA,4,71,0.655896,0.0164943409,0.0349443365,0.4444444444,0.9565217391,0.2894736842,0.1369509044,0.0739191074,0.9298245614,0.0432137142,0.0485134012,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR,proposed,mae,selected,0.000000,20,NA,5,83,0.624120,0.0077028633,0.0254203671,0.6641221374,0.7909090909,0.5723684211,0.1645244216,0.0963855422,0.5614035088,0.0471246349,0.0273616863,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR-Fixed0,mechanism_control,mae,fixed_0,0.000000,20,NA,5,83,0.624120,0.0077028633,0.0254203671,0.6641221374,0.7909090909,0.5723684211,0.1645244216,0.0963855422,0.5614035088,0.0471246349,0.0273616863,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR-Fixed0.5,mechanism_control,mae,fixed_0.5,0.500000,20,NA,5,83,0.624120,0.0097401721,0.0249153926,0.6846153846,0.8240740741,0.5855263158,0.1673819742,0.0953545232,0.6842105263,0.0436841653,0.0301151333,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR-Fixed1,mechanism_control,mae,fixed_1,1.000000,20,NA,5,83,0.624120,0.0121608732,0.0261708975,0.7114624506,0.8910891089,0.5921052632,0.1743772242,0.0970297030,0.8596491228,0.0426249846,0.0341974564,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR,proposed,onset_f1,selected,1.000000,5,NA,5,83,0.644585,0.0153696301,0.0325439853,0.6446280992,0.8666666667,0.5131578947,0.1336898396,0.0723589001,0.8771929825,0.0424076626,0.0443349956,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR-Fixed0,mechanism_control,onset_f1,fixed_0,0.000000,5,NA,5,83,0.644585,0.0078402138,0.0256649423,0.6717557252,0.8000000000,0.5789473684,0.1662468514,0.0970588235,0.5789473684,0.0487264151,0.0278236038,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR-Fixed0.5,mechanism_control,onset_f1,fixed_0.5,0.500000,5,NA,5,83,0.644585,0.0113615327,0.0276100091,0.6744186047,0.8207547170,0.5723684211,0.1713221601,0.0958333333,0.8070175439,0.0432082763,0.0352223100,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR-Fixed1,mechanism_control,onset_f1,fixed_1,1.000000,5,NA,5,83,0.644585,0.0153696301,0.0325439853,0.6446280992,0.8666666667,0.5131578947,0.1336898396,0.0723589001,0.8771929825,0.0424076626,0.0443349956,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR,proposed,mae,selected,0.000000,20,NA,6,97,0.622431,0.0075421240,0.0253051348,0.6795366795,0.8224299065,0.5789473684,0.1645244216,0.0963855422,0.5614035088,0.0482126953,0.0266447760,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR-Fixed0,mechanism_control,mae,fixed_0,0.000000,20,NA,6,97,0.622431,0.0075421240,0.0253051348,0.6795366795,0.8224299065,0.5789473684,0.1645244216,0.0963855422,0.5614035088,0.0482126953,0.0266447760,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR-Fixed0.5,mechanism_control,mae,fixed_0.5,0.500000,20,NA,6,97,0.622431,0.0093249284,0.0251331559,0.6923076923,0.8333333333,0.5921052632,0.1774193548,0.1002277904,0.7719298246,0.0425877913,0.0311348747,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR-Fixed1,mechanism_control,mae,fixed_1,1.000000,20,NA,6,97,0.622431,0.0114477722,0.0269736826,0.7022900763,0.8363636364,0.6052631579,0.1702127660,0.0938628159,0.9122807018,0.0405976096,0.0368124317,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR,proposed,onset_f1,selected,1.000000,5,NA,6,97,0.643071,0.0140984904,0.0323733638,0.6333333333,0.8636363636,0.5000000000,0.1492109039,0.0812500000,0.9122807018,0.0428879876,0.0440489359,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR-Fixed0,mechanism_control,onset_f1,fixed_0,0.000000,5,NA,6,97,0.643071,0.0077527095,0.0256771604,0.6692307692,0.8055555556,0.5723684211,0.1748071979,0.1024096386,0.5964912281,0.0492341949,0.0274300784,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR-Fixed0.5,mechanism_control,onset_f1,fixed_0.5,0.500000,5,NA,6,97,0.643071,0.0106748973,0.0276325012,0.6850393701,0.8529411765,0.5723684211,0.1691729323,0.0947368421,0.7894736842,0.0436085185,0.0348517401,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR-Fixed1,mechanism_control,onset_f1,fixed_1,1.000000,5,NA,6,97,0.643071,0.0140984904,0.0323733638,0.6333333333,0.8636363636,0.5000000000,0.1492109039,0.0812500000,0.9122807018,0.0428879876,0.0440489359,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR,proposed,mae,selected,0.000000,15,NA,7,109,0.553193,0.0075338288,0.0248360997,0.6769230769,0.8148148148,0.5789473684,0.1498708010,0.0878787879,0.5087719298,0.0501867408,0.0267448704,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR-Fixed0,mechanism_control,mae,fixed_0,0.000000,15,NA,7,109,0.553193,0.0075338288,0.0248360997,0.6769230769,0.8148148148,0.5789473684,0.1498708010,0.0878787879,0.5087719298,0.0501867408,0.0267448704,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR-Fixed0.5,mechanism_control,mae,fixed_0.5,0.500000,15,NA,7,109,0.553193,0.0100781939,0.0260248912,0.6827309237,0.8762886598,0.5592105263,0.1594533030,0.0916230366,0.6140350877,0.0481500651,0.0305233665,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR-Fixed1,mechanism_control,mae,fixed_1,1.000000,15,NA,7,109,0.553193,0.0130729444,0.0294301057,0.6113537118,0.9090909091,0.4605263158,0.1276595745,0.0710059172,0.6315789474,0.0478261972,0.0358711543,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR,proposed,onset_f1,selected,1.000000,5,NA,7,109,0.571596,0.0145893925,0.0320498813,0.6721991701,0.9101123596,0.5328947368,0.1342281879,0.0726744186,0.8771929825,0.0441698705,0.0438496639,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR-Fixed0,mechanism_control,onset_f1,fixed_0,0.000000,5,NA,7,109,0.571596,0.0076766085,0.0251470782,0.6589147287,0.8018867925,0.5592105263,0.1450777202,0.0851063830,0.4912280702,0.0512275143,0.0272531602,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR-Fixed0.5,mechanism_control,onset_f1,fixed_0.5,0.500000,5,NA,7,109,0.571596,0.0108433475,0.0269581305,0.6852589641,0.8686868687,0.5657894737,0.1598513011,0.0893970894,0.7543859649,0.0440602255,0.0345200618,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR-Fixed1,mechanism_control,onset_f1,fixed_1,1.000000,5,NA,7,109,0.571596,0.0145893925,0.0320498813,0.6721991701,0.9101123596,0.5328947368,0.1342281879,0.0726744186,0.8771929825,0.0441698705,0.0438496639,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR,proposed,mae,selected,0.000000,20,NA,8,127,0.590303,0.0077501143,0.0257628666,0.6821705426,0.8301886792,0.5789473684,0.1522842640,0.0890207715,0.5263157895,0.0484649981,0.0274779911,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR-Fixed0,mechanism_control,mae,fixed_0,0.000000,20,NA,8,127,0.590303,0.0077501143,0.0257628666,0.6821705426,0.8301886792,0.5789473684,0.1522842640,0.0890207715,0.5263157895,0.0484649981,0.0274779911,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR-Fixed0.5,mechanism_control,mae,fixed_0.5,0.500000,20,NA,8,127,0.590303,0.0095848806,0.0249964303,0.6870229008,0.8181818182,0.5921052632,0.1719077568,0.0976190476,0.7192982456,0.0432128522,0.0308374246,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR-Fixed1,mechanism_control,mae,fixed_1,1.000000,20,NA,8,127,0.590303,0.0117211424,0.0262631657,0.7121212121,0.8392857143,0.6184210526,0.1742043551,0.0962962963,0.9122807018,0.0407116004,0.0352525360,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR,proposed,onset_f1,selected,1.000000,5,NA,8,127,0.610627,0.0154352552,0.0332241399,0.6324786325,0.9024390244,0.4868421053,0.1418636996,0.0770392749,0.8947368421,0.0430991513,0.0449884389,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR-Fixed0,mechanism_control,onset_f1,fixed_0,0.000000,5,NA,8,127,0.610627,0.0079751108,0.0260484454,0.6842105263,0.7982456140,0.5986842105,0.1584158416,0.0922190202,0.5614035088,0.0501015395,0.0282458741,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR-Fixed0.5,mechanism_control,onset_f1,fixed_0.5,0.500000,5,NA,8,127,0.610627,0.0114703186,0.0281249293,0.6771653543,0.8431372549,0.5657894737,0.1630434783,0.0909090909,0.7894736842,0.0444796958,0.0357868011,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR-Fixed1,mechanism_control,onset_f1,fixed_1,1.000000,5,NA,8,127,0.610627,0.0154352552,0.0332241399,0.6324786325,0.9024390244,0.4868421053,0.1418636996,0.0770392749,0.8947368421,0.0430991513,0.0449884389,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR,proposed,mae,selected,0.000000,20,NA,9,139,0.624814,0.0078787572,0.0258137077,0.6616541353,0.7719298246,0.5789473684,0.1453634085,0.0847953216,0.5087719298,0.0504884140,0.0279781850,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
