experiment,budget_multiplier,method,seed,hypervolume,preference_achievement_distance,feasible_front_size,trace_event_count,runtime_s,source_status
preference_aware_support,0.75,R-NSGA-II,17,0.09991824,0.56034074,40,0,0.211259,public_p5_preference_budget_v1_rnsga2
preference_aware_support,0.75,R-NSGA-II,18,0.08279076,0.60452338,40,0,0.210586,public_p5_preference_budget_v1_rnsga2
preference_aware_support,0.75,R-NSGA-II,19,0.12115395,0.53402238,40,0,0.210632,public_p5_preference_budget_v1_rnsga2
preference_aware_support,0.75,R-NSGA-II,20,0.08966170,0.59195106,40,0,0.212973,public_p5_preference_budget_v1_rnsga2
preference_aware_support,0.75,R-NSGA-II,21,0.12491040,0.53373557,40,0,0.212003,public_p5_preference_budget_v1_rnsga2
preference_aware_support,0.75,R-NSGA-II,22,0.13339293,0.53268290,40,0,0.210654,public_p5_preference_budget_v1_rnsga2
preference_aware_support,0.75,R-NSGA-II,23,0.12751803,0.53175629,40,0,0.211163,public_p5_preference_budget_v1_rnsga2
preference_aware_support,0.75,R-NSGA-II,24,0.10707310,0.55025660,40,0,0.209852,public_p5_preference_budget_v1_rnsga2
preference_aware_support,0.75,R-NSGA-II,25,0.10346834,0.55578289,40,0,0.211699,public_p5_preference_budget_v1_rnsga2
preference_aware_support,0.75,R-NSGA-II,26,0.12530610,0.53329208,40,0,0.211558,public_p5_preference_budget_v1_rnsga2
preference_aware_support,0.75,R-NSGA-II,27,0.09618092,0.57609805,40,0,0.212154,public_p5_preference_budget_v1_rnsga2
preference_aware_support,0.75,R-NSGA-II,28,0.11139393,0.54302736,40,0,0.210415,public_p5_preference_budget_v1_rnsga2
preference_aware_support,0.75,R-NSGA-II,29,0.14981246,0.53306107,40,0,0.212829,public_p5_preference_budget_v1_rnsga2
preference_aware_support,0.75,NSGA-II,0,0.16723246,0.53720970,40,0,0.162834,public_p5_preference_budget_v1_rnsga2
preference_aware_support,0.75,NSGA-II,1,0.16885314,0.53572223,40,0,0.161957,public_p5_preference_budget_v1_rnsga2
