paper,experiment_id,method,method_role,seed,hypervolume,feasible_front_size,compromise_cost_index,compromise_reliability,compromise_renewable,compromise_risk,portfolio_size,local_move_count,trace_event_count,decision_coverage,preference_achievement_distance,runtime_s,source_status
p5,benchmark_portfolio_optimization,R-NSGA-II,baseline,2,0.09639499,40,0.96380306,11.00820942,97.32045386,0.20287987,15,0,0,0.00000000,0.56701827,0.209977,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,R-NSGA-II,baseline,3,0.12795021,40,0.99706097,15.09401314,61.55509398,0.20675607,16,0,0,0.00000000,0.52751982,0.209369,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,R-NSGA-II,baseline,4,0.10240081,40,0.98795375,11.20533985,67.14804661,0.19830755,13,0,0,0.00000000,0.55629585,0.209128,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,R-NSGA-II,baseline,5,0.11766987,40,0.97877994,14.14397026,74.38821398,0.21653981,15,0,0,0.00000000,0.53548861,0.209189,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,R-NSGA-II,baseline,6,0.11925378,40,0.99549476,14.68946412,60.18499857,0.22746642,15,0,0,0.00000000,0.53090520,0.212467,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,R-NSGA-II,baseline,7,0.12306797,40,0.98912855,15.41338007,73.71651121,0.23218433,13,0,0,0.00000000,0.53074241,0.211538,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,R-NSGA-II,baseline,8,0.14155132,40,0.95371646,17.75366687,93.27080289,0.23677969,15,0,0,0.00000000,0.52831455,0.209500,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,R-NSGA-II,baseline,9,0.13173379,40,0.99834785,16.42344371,85.28977006,0.23283048,13,0,0,0.00000000,0.52913295,0.212397,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,R-NSGA-II,baseline,10,0.13409452,40,0.99825130,16.86480605,67.82389209,0.22567116,14,0,0,0.00000000,0.53092395,0.210761,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,R-NSGA-II,baseline,11,0.12763933,40,0.95401751,15.70342978,86.05496478,0.22690642,15,0,0,0.00000000,0.52913011,0.209975,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,R-NSGA-II,baseline,12,0.11701734,40,0.98664339,13.73286349,65.66930257,0.21156132,13,0,0,0.00000000,0.53836681,0.209250,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,R-NSGA-II,baseline,13,0.12389259,40,0.99558372,15.49719876,84.09253437,0.22910740,13,0,0,0.00000000,0.52954972,0.214382,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,R-NSGA-II,baseline,14,0.10593952,40,0.99399892,11.92250215,69.83240230,0.20203062,13,0,0,0.00000000,0.54974621,0.212402,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,R-NSGA-II,baseline,15,0.11645031,40,0.98044615,14.08319936,60.60872041,0.21342286,13,0,0,0.00000000,0.53725046,0.213721,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,R-NSGA-II,baseline,16,0.13644000,40,0.99591996,16.89269215,71.44860678,0.22912830,14,0,0,0.00000000,0.53055226,0.211758,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,R-NSGA-II,baseline,17,0.14907316,40,0.98966094,19.29219837,59.66624589,0.24540635,15,0,0,0.00000000,0.52988660,0.211344,public_rts_simbench_nerc_project_review_v3_direct_family_controls
